Day,[8] Wait Hours: Per Job,[32] Wait Hours: Per Job,[1] Wait Hours: Per Job,[6] Wait Hours: Per Job,[13] Wait Hours: Per Job,[9] Wait Hours: Per Job,[16] Wait Hours: Per Job,[4] Wait Hours: Per Job,[10] Wait Hours: Per Job,[21] Wait Hours: Per Job,[7] Wait Hours: Per Job,[20] Wait Hours: Per Job,[2] Wait Hours: Per Job,[24] Wait Hours: Per Job,[3] Wait Hours: Per Job,[5] Wait Hours: Per Job,[11] Wait Hours: Per Job,[26] Wait Hours: Per Job,[12] Wait Hours: Per Job,[30] Wait Hours: Per Job,[14] Wait Hours: Per Job,[15] Wait Hours: Per Job,[18] Wait Hours: Per Job,[23] Wait Hours: Per Job,[27] Wait Hours: Per Job
2013-02-01,13.37062500,0.00610000,5.00131799,0,0,0,0.74126875,0.15216000,0,0,0,0,0.02011765,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0
2013-02-02,0.00305000,0,0.55139346,0,0,0,0.00360000,0.01258636,0,0.21860000,0,0,0.00525789,0,0.01861429,0,0,0,0,0,0,0,0,0,0
2013-02-03,0.02140000,0,0.42502566,0.00390000,0,0,0,0.01071765,0,0.00000000,0,0,0.00889167,0,0.00218333,0,0,0,0,0,0,0,0,0,0
2013-02-04,0.00383333,0.05833333,0.24453501,0.00440000,0,0,0.04573333,0.02555357,0,0.08635000,0,0,0.00979557,0,0.04394000,0.00250000,0,0,0,0,0,0,0,0,0
2013-02-05,0.01351250,0.00640000,0.42305531,0,0,0,0.01738182,0.01008750,0,0.00000000,0,0,0.02851978,0,0.00645714,0,0,0,0,0,0,0,0,0,0
2013-02-06,0.00744444,0.09325714,0.71368795,0.00595000,0,0.00420000,0.04860000,0.00750000,0,0.00330000,0,0,0.00980600,0.04510000,0.00721429,0,0,0,0,0,0,0,0,0,0
2013-02-07,2.75221250,0.10042500,2.88598102,0.00000000,0,0,0.03720000,0.01570000,0,0.00000000,0,0,0.01445591,0.00000000,0.01479130,0,0,0,0,0,0,0,0,0,0
2013-02-08,0.02315000,0.10810000,8.57241335,0.00000000,0,0,0.06822308,0.04341667,0,0.01330000,0,0,0.01775315,0.00000000,0.01050000,0,0,0,0,0,0,0,0,0,0
2013-02-09,0.15690000,0.08514815,5.74933932,0.01000000,0,0,0.07920000,0.03807778,0.01110000,0.00000000,0,0,0.01671613,0.00610000,0.01060000,0,0,0,0,0,0,0,0,0,0
2013-02-10,0.00000000,0.00000000,16.98299855,0.00000000,0,0,0,0.01860000,0.00000000,0.00000000,0,0,0.01831154,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0
2013-02-11,18.42365714,1.89860000,25.01381923,0,0,0,0.02186667,7.01050769,55.34030000,28.45470000,0,0,8.92952793,3.31750000,20.02122000,0,0,0,0,0,0,0,0,0,0
