Day,[14] Wait Hours: Per Job,[1] Wait Hours: Per Job,[32] Wait Hours: Per Job,[26] Wait Hours: Per Job,[30] Wait Hours: Per Job,[22] Wait Hours: Per Job,[9] Wait Hours: Per Job,[13] Wait Hours: Per Job,[17] Wait Hours: Per Job,[4] Wait Hours: Per Job,[5] Wait Hours: Per Job,[16] Wait Hours: Per Job,[8] Wait Hours: Per Job,[6] Wait Hours: Per Job,[3] Wait Hours: Per Job,[19] Wait Hours: Per Job,[11] Wait Hours: Per Job,[2] Wait Hours: Per Job,[10] Wait Hours: Per Job,[24] Wait Hours: Per Job,[12] Wait Hours: Per Job,[20] Wait Hours: Per Job,[102] Wait Hours: Per Job,[7] Wait Hours: Per Job,[18] Wait Hours: Per Job,[15] Wait Hours: Per Job,[95] Wait Hours: Per Job,[27] Wait Hours: Per Job,[51] Wait Hours: Per Job,[28] Wait Hours: Per Job,[128] Wait Hours: Per Job,[64] Wait Hours: Per Job,[98] Wait Hours: Per Job
2013-08-01,0,0.83759498,0.00000000,0,0,0,0,0,0,0.41471000,0.49847500,0.37794000,0.67240000,0.00000000,0,0,0,6.35775680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,0,2.76046808,0.00000000,0,0,0,0,0,0,0.48065000,0.22666667,0.39640000,0.15526667,0,0,0,0,0.48199300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,0,0.87101971,0,0,0,0,0,0,0,4.04580000,0.00000000,0.02740000,0.03110000,0,0.09830000,0,0,0.02192537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,0,1.85583456,0,0,0,0,0,0,0,0.03878824,0.04210000,0.06110000,0.01762727,0,0.90115000,0,0,0.04002059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,0,0.50097204,0.00500000,0,0,0,0,0,0,0.03282500,0.00580000,0.26237143,0.15753000,0,0.00492500,0,0,0.01931257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,0,1.32054896,0.11810000,0,0,0,0,0,0,5.20802857,0.00000000,1.85774286,0.82906667,0,5.61560000,0,0,0.47622102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,0,2.44924048,2.43875000,0,0,0,0,0,0,1.99864444,0,1.74421538,0.99676923,0,0,0,0,0.28589938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,0,0.67070065,0.03220000,0,0,0,0,0,0,3.36816500,0,0.06346667,0.05375000,0,0.00220000,0,0,0.11305202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,0,0.72321066,10.81095000,0,0,0,0,0,0,4.85496250,2.28740000,10.18820000,1.84301304,0,11.23970000,0,0,6.99063682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,0,0.14385615,0.10680000,0,0,0,0,0,0,0.02306000,0.05470000,0.01415000,0.00000000,0,0.00110000,0,0,0.00592941,0.04560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,0,0.15413293,0.00110000,0,0,0,0,0,0,0.02306000,0.00140000,0.05580000,0.01206667,0,0.00220000,0,0,0.00340769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,0,0.06906536,0.00080000,0,0,0,0,0,0,0.00560000,0.00170000,0.02926522,0.00497143,0.00440000,0.00140000,0,0,0.00681775,0.00190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-13,0,0.09314543,0.00000000,0,0,0,0,0,0,0.08645556,0.00190000,0.08230000,0.00536667,0.00000000,0.00250000,0,0,0.00796753,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,0,0.07919752,0.10850000,0,0,0,0,0,0,0.07736364,0.00000000,1.43853333,0.05440000,0,0.09795833,0,0,0.03097222,1.70140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-15,0,0.10461592,1.91892500,0,0,0,0,0,0,1.13879167,3.97235000,0.80155000,0.19686667,0,1.52610000,0,0,0.80943058,0.00360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-16,0,0.77041039,0.32743333,0,0,0,0,0,0,1.04690714,0.25083333,0.00000000,0.05754000,2.02810000,1.35842000,0,0,0.05410336,1.49426667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-17,0,2.37813419,3.93869286,0,0,0,0,0,0,1.07420455,0.62905000,2.26920000,0.11820000,2.40330000,4.15973333,0,0,0.13445968,0.51500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-18,0,3.92877785,0.00547500,0,0,0,0.00390000,0,0,0.02364848,0.00000000,0,0.03622000,0.00360000,0.03725000,0,0,0.01083692,0.08915000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19,0,0.71940380,2.98470000,0,0,0,0.00000000,0,0,0.57176154,0,1.35555000,0.00748571,1.32320000,0.04620000,0,0,0.26004217,0.00580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20,0,1.47233692,4.36720000,0,0,0,0,0,0,1.36377000,0,3.23176667,1.29198519,0.06440000,1.59940000,0,0,0.21180976,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-21,0,18.87422486,11.15455000,0,0,0,0,0,0,9.47683333,0,8.63803333,7.66632500,0.00000000,4.87327500,0,0,0.68391280,6.55610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-22,0,26.58059844,21.09036667,0,0,0,0,0,0,4.68604400,0.86500000,0.00000000,10.86440000,9.76140000,2.62750000,0,0,2.02394271,0.87440000,15.39030000,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-23,0,0.81132082,45.08690000,0,0,0,0,0,0,6.94092308,0,0.00000000,0.04542500,1.19680000,0.00000000,0,0,0.62063030,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-24,0,7.82903045,31.13139167,0,0,0,0,0,0,5.04832895,0,10.27095000,0.75547273,0.00000000,17.08940000,0,0,3.42954688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-25,0,0.26412522,0.00000000,0,0,0,0,0,0,0.28497333,0,0.00420000,0.00250000,0.00640000,0.00312500,0,0,0.01152727,0,0.00280000,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-26,0,0.12985338,0.00000000,0,0,0,0,0,0,0.04952000,0.00250000,0.02045714,0.00566667,0.06170000,0.01324286,0,0,0.01088810,0.02176667,0.07720000,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-27,0,0.80050862,0,0,0,0,0,0,0,6.48732188,0.56570000,2.75220000,0.35278000,2.19270000,0.47638571,0,0,0.14620811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-28,0,1.58475562,2.12375000,0,0,0,0,0,0,1.56420000,2.12860000,3.51820000,1.49677500,0.00690000,3.41585000,0,0,0.31119107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-29,0,3.53293158,0.00000000,0,0,0,0,0,0,6.50400000,0.00000000,4.13040000,7.24735714,0.00000000,3.96576667,0,0,0.20031818,4.58110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-30,0,2.42995698,10.67073333,0,0,0,0,0,0,12.40727000,0.26055000,2.02015000,3.49212500,0.00000000,7.41565000,0,0,0.49707500,6.59310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-31,0,10.05399000,26.78813333,0,0,0,0,0,0,7.24650000,2.94190000,11.72650000,2.89212000,0,6.51306667,0,0,0.38850536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,17.30362669,0.00000000,0,0,0,0,0,0,4.54491111,0,0.00390000,2.27914000,0,0,0,0,0.26985714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-02,0,2.53614872,0.00000000,0,0,0,0,0,0,0.02391538,0,0.00420000,0.02090000,0,0.04444286,0,0,0.01407458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-03,0,1.19812169,0.00000000,0,0,0,0,0,0,0.01671667,0.06110000,0.03250000,0.02765556,0,0.00375000,0,0,0.01767404,0,0.00310000,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-04,0,0.11615363,0.36222500,0,0,0,0,0,0,0.00940000,0,0.03240000,0.03932500,0,0.02073333,0,0,0.05747634,0.00360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-05,0,2.02344757,0,0,0,0,0,0,0,2.76945000,4.66060000,0,0.01970000,0,0,0,0,0.97711304,3.26500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-06,0,15.40620681,3.11453333,0,7.36580000,0,0,0,0,1.94890714,0.00000000,3.72960000,2.84775000,0,4.14546667,0,0,0.42217333,3.93463333,0,0,0,0,0,0,0.27860000,0,0,0,0,0,0,0
2013-09-07,0,8.97330645,0,0,0,0,0,0,0,1.24565500,0,1.07055000,1.87549231,0,0.17805000,0,0,0.25145250,0.00940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-08,0,1.54968007,0,0,0,0,0,0,0,0.01914000,0,0.00000000,0.03323182,0,0.00000000,0,0,0.02029126,0.00930000,0,0,0,0,0,0,0.02367500,0,0,0,0,0,0,0
2013-09-09,0,7.42933653,0.04567143,0,0,0,0,0,0,0.02629167,0.00666667,0.40280000,0.03328333,0,0.09934000,0,0,0.01691975,0.00870000,0,0,0,0,0,0,0.49000000,0,0,0,0,0,0,0
2013-09-10,0,2.89876316,0.08030000,0,0,0,0,0,0,0.01475172,0.00713333,0.00000000,0.02046667,0.00835000,0.00775000,0,0,0.04846385,0.05207500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-11,0,2.76470897,0.01170000,0,0,0,0,0,0,0.03810588,0,0.00000000,0.00828333,0.00000000,0.01335000,0,0,0.04477751,0.41552500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-12,0,3.47932970,0,0,0,0,0,0,0,1.74846111,0,2.23560000,0.98085000,0.73375000,0.98437500,0,0,0.34302251,0.10097500,0,0,1.09610000,0,0,0,0,0,0,0,0,0,0,0
2013-09-13,1.70110000,2.23257731,0,0,0,0,0.94095000,1.78110000,1.56750000,0.47988000,0.92595000,1.02305000,0.62156667,0.92165000,0.30526154,1.11670000,1.78220000,0.06898882,1.02132500,0,1.77420000,0.95795000,0,0.95390000,1.50140000,1.63500000,0,0,0,0,0,0,0
2013-09-14,0,6.00169581,0.08276667,0,0,0,0,0,0,0.03722500,0,0.10094000,0.02780000,0.00000000,0.03444286,0,0,0.02320267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-15,0,19.13332031,0,0,0,0,0,0,0,0.19207143,0,0.00000000,0.25830000,0.02750000,0.21180000,0,0,0.04283966,0.03913333,0,0,0.02210000,0,0,0,0,0,0,0,0,0,0,0
2013-09-16,0,58.95407556,0,0,0,0,0,0,0,0.48002857,0,0.56186667,0.74547500,0.00000000,0.31994000,0,0,0.29686531,0.85583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-17,0,67.18052764,0,0,0,0,0,0,0,0.54900000,0.04940000,0,0.61056250,0.00000000,2.22961000,0,0,0.19494118,1.15300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-18,0,54.10491852,0,0,0,0,0,0,0,0.97214706,0,0,0.23717000,0.78315556,2.73688824,0,0,17.37819179,1.48310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-19,0,32.83710603,0,0,3.10360000,0,0,0,0,0.93976667,1.06970000,0.55000000,0.07115000,1.46220000,1.08315714,0,0,0.43102376,2.34810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-20,0,28.84468498,0,0,5.03531667,0,0,0,0,1.76585000,6.43313000,0.00000000,1.31722500,0,1.60378333,0,0,0.46027051,2.61542500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-21,0,40.14189500,2.75250000,0,6.91856000,0,0,0,0,0.44434000,0.23170000,1.25223333,0.74880000,0,0.66366667,0,0,0.16278222,1.27110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-22,0,35.72955800,0.02875000,0,2.32694000,0,0,0,0,0.53834167,0.00000000,0.94277500,0.40585000,0,0.15470000,0,0,0.48672266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-23,0,19.90257573,1.27926000,0,3.29515000,0,0,0,0,1.41615714,1.44610000,0.01140000,0.85193750,0,1.11325000,0,0,0.24473311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-24,0,23.08553619,10.48920000,0,6.53880000,0,0,0,0,1.38552500,0,3.78138750,4.94943333,1.79733333,2.29695000,0,0,0.78767343,0,0,0,0,0,0,0,0.11040000,0,0,0,0,0,0,0
2013-09-25,0,19.50145443,0,0,8.86500000,0,0,0,0,4.89574286,0,0,5.30010000,0.03625000,3.21468750,0,0,0.66823533,0,0,7.87920000,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-26,0,42.30420460,7.62690000,0,5.79680000,0,0,0,0,1.32042667,2.14080000,0,0.62166364,5.41073333,1.03343750,0,0,0.67137021,2.60060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27,0,68.98586266,0.00000000,0,7.07220000,0,0,0,0,3.20132500,0,5.04080000,4.78360000,0.00390000,1.30847500,0,0,0.35384056,1.21110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-28,0,6.15477232,0,0,0.09038182,0,0,0,0,0.03176667,0,0,0.10717143,0,0.00606667,0,0,0.01835128,0.01594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
