title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-02-01,2011-07-31
---------
Day,"[64] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[1008] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[1440] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[800] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[400] XSEDE Utilization (%)"
2011-02-01,1.247811686,8.365379130,0,0,0.148686218,0.200023702,0,0,0,0,0,0,0.000474752,1.568074544,0.524133708,0,0,0.527185465,0,0,0,0,0,0,0,0
2011-02-02,0.009096476,5.224030660,0,0,0.240284119,1.089364522,0.508789063,0,0,0,0,2.291811320,0.000352681,0,0,0,0,1.721394857,0,0,0,0,0,0,0,0
2011-02-03,0.034704183,3.081633301,0,0,0.149861654,0.380334880,2.343750000,0,0,0,0,1.662037048,0,0,0,0,0,2.339477539,0,0,0,0,0,0,0,0
2011-02-04,0.650245972,2.688440348,0,0,0.072148132,0,1.616970520,0,0,0,0,1.115161947,0,0,0,0,0,0.948938395,0,0.647569478,0,0,0,0,0,0
2011-02-05,0.025191650,6.912507324,0,0,0.628196411,0.851788635,0,0,0,0,0,0,0,0,0,0,0,0,0,9.369574687,0,0,0,0,0,0
2011-02-06,0,3.160771179,0,0,1.838885295,1.411404012,0.848849792,0,0,0,0,10.918185832,0,0,0,0,0,0,0,9.375000000,0,0,0,0,0,0
2011-02-07,0,3.960937500,0,0,0.292326762,1.760705973,2.201226196,0,0,0,0,16.583477987,0.044284363,0,0,0,0,0,0,9.375000000,0,0,0,0,0,0
2011-02-08,0.001121216,3.870731913,0,0,1.059303589,2.651123047,0,0,0,1.178503011,0,17.504123230,0.026258647,0,0,0,0,0,0,8.743001302,0,0,0,0,0,0
2011-02-09,0,2.151258647,0,0,0.647687073,0.729718323,0.001546224,0,0,2.723931173,0,5.346860555,0,0,0,0,0,0.162398783,0,1.652832031,0,0,0,0,0,0
2011-02-10,0.030924479,2.867947083,0,0,0.738168233,0.249981893,0,0,0,5.468750000,0,0.979745382,0,0,0,0,7.840567118,0,0,0,0,0,0,0,0,0
