title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2013-08-01,2014-01-31
---------
Day,"[64] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[1920] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[1536] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[352] XSEDE Utilization (%)","[1968] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[800] XSEDE Utilization (%)","[960] XSEDE Utilization (%)","[336] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[272] XSEDE Utilization (%)","[1440] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[496] XSEDE Utilization (%)","[304] XSEDE Utilization (%)","[368] XSEDE Utilization (%)","[448] XSEDE Utilization (%)"
2013-08-01,7.678656718,6.525128479,15.933015035,3.093352051,7.857073771,0,0,0.295043945,0,0,0,1.689805806,0,0,0,0,0,0,0.113005473,0,0.513802999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,8.192545471,10.377640381,8.966001180,5.434244792,9.023514608,0,1.011881510,0.574544271,8.923611043,0,0,0,0,0,0,0,0,0,1.559900309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,7.892415466,5.228135885,2.047019755,0.046404826,5.810935669,0,1.084391276,0,9.375000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281982422,0,0,0,0,0
2013-08-04,8.804597066,3.863299459,0.006076355,0.332356771,5.710137227,0,0.043375651,0.000447591,9.375000000,0,0,0,0,0,0,0,0,0,0.001944071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,23.225821025,8.255181580,3.812572225,0.073169861,6.818156230,0,1.387451172,3.390285950,9.375000000,0,0,0,0,0,0,0,0,0,1.494389242,0,0,0.533130798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,17.414189148,8.391782227,15.786820068,0.400752360,5.411680094,0,3.515625000,5.039672852,0.143663228,0,0,0,0,0,0,0,0,0,0.800080566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,19.100676473,13.511990153,13.380280762,0,3.804904378,0,3.591512044,2.558810730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,6.418439026,23.146050415,19.696325175,0.575484619,6.342796122,0,2.828287760,2.581719259,0,0,0,3.049343567,0.047254740,0,0,0,0,0,0.326651103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,9.888924764,28.471697795,14.615523783,0.189850972,5.770471395,0,0,3.827311198,0,0,0,2.878987630,0,0,0,0.174153646,0,0,0,0,0,0.931080017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,9.194534912,27.568115234,12.500000000,0.394169515,5.887080485,0,0,4.042765299,0,0,0,0.108534037,0,0,0,0.539189046,0,0,1.561347148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,3.920609029,33.372278341,12.568287048,0.081850382,4.451908875,0,0,0.358927409,0,0,0,0,0,0,0,0,0,0,1.953125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,2.049406738,16.923149923,8.977502848,0.361870626,3.825398763,0,0,0.000081380,0,0,0,0,0,0,0,0.886185303,0,25.859117330,1.446736654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-13,0.099518941,10.579888306,7.044415588,0.137731527,3.166521912,0,0,2.202867330,0,0.738136597,0,0,0,0,1.478587952,3.906250000,0,36.066297709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,0.682020467,7.291323039,8.422815348,0.112702535,3.379376221,0,0,2.975721537,0,0,0,0.502034505,0,0,0,1.800763143,0,22.240030924,1.005701090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-15,1.497106425,9.549198914,24.776186320,0.413917847,4.300555318,0,0,1.338378906,0,0,0,0.233723958,1.983995260,0,0,0,0,0,0.167688395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-16,1.100947571,12.792173055,38.891276042,1.493127950,7.142243551,0,0,0.448676249,0,0.122106527,0,0,2.127712708,0,0,0,0,0,3.932382100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
