title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[58] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[62] XSEDE Utilization (%)","[69] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[47] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[38] XSEDE Utilization (%)"
2015-05-11,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,2.308005540,3.313406011,1.577286402,1.021093231,0.508582783,1.367863663,0.549784307,0,0,0,2.087316852,0,0.045147998,0,0,0,0,0,0,0.293942621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598440351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,10.591902745,4.812815761,3.860591307,1.259672179,4.089696035,1.676848940,4.192258375,0,1.219832109,0.397778944,3.655792135,0,0.166786901,0.545528740,0.988362773,0.035778827,0.400533403,1.286383032,0,1.112228434,1.181442129,0,1.033104524,0.973989303,0.462114039,0,0,0,0,0,0,0,0,0,0.503505013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,18.402425336,5.965214637,5.713226507,1.071956003,7.973728185,1.884419569,5.161322924,0.026840196,3.851652676,0.039247406,4.019701427,0.021066515,0.178210986,0,1.569495453,1.013903463,0.640929229,1.305235541,0.033325564,0.321772628,2.474677918,0,2.623294858,3.442558341,0.606675803,0,0,0,0,0,0,0,0,0.029676023,0,0,0.247244930,0.084032879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,13.855585131,6.460249796,4.891904467,8.281265785,1.979980371,0.118611785,6.815611510,0,6.546738370,0.709189548,1.716582138,0.459244200,0.883716990,0,0.294264457,3.349473884,0,1.921649715,0.023922992,0.291440772,0,0,0.232665605,3.064047862,0,0,0,0,0,0,0,0.025235249,0,0,0,0,1.704431783,0.707273085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,14.656152200,6.959355926,4.130602438,8.598587310,2.367828440,0,2.755916996,0,3.756864288,2.079890259,2.662595705,0.489543255,2.557601361,0,0.883285240,3.730507462,0,0,0.938097528,0.017233590,0,0,0,1.705445277,1.021978593,0,0,0,0,0,0,0.937437451,0,0,0,0,2.814002929,0.973209601,0,0,1.059786830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,12.956170955,7.545798347,4.800477777,8.577144289,3.150118057,0.419902064,1.233269199,0,5.337792935,1.668477469,4.158408134,0.517233590,2.744449181,0,0,2.138823307,0.662979480,1.111409875,1.195350456,0.056297602,0,0,0.287621209,1.261747142,1.154249738,0.389001836,0,0,0,0,0,1.234695625,0,0,0,0,0,0,0,0,1.206715635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,22.349330677,6.982241742,6.604806705,4.254158405,7.009290836,0,0.406008311,0,4.819910808,1.298785997,2.150749588,0.336452139,2.562538256,0,0,8.384596887,0.282208231,2.195350447,1.469045121,0.709440346,0,0,2.123107830,0.868541348,0.132511614,1.416579224,0,0.055898041,0,0,0,1.521511018,0,0,0,0.571541259,0,0,0,0,0.147180204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,19.304999854,9.835813322,5.691141033,3.736606622,6.748585097,0,2.839677827,0,3.035283316,1.026313105,3.363258323,0.353110062,3.046875000,0.515603749,0.112455550,7.428296607,1.693249388,2.243996180,1.026291244,1.584081455,0.598839921,0,5.209456741,0,0,1.115506952,0,0.731440189,0,0,0,1.002471481,0,0,0,0,0,0,0,1.632831018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,8.794300154,10.280882001,5.562046990,3.728989357,8.606018740,0,8.406076325,2.222076475,0,0.409893465,2.574290253,0.549660429,3.945327985,3.304457661,1.170663548,6.398944853,4.999985426,1.522169875,0.418524834,0.717279862,1.505728739,0,5.072948246,0,0,0.243884444,0,0,0,0,0,0.261949955,0,0,0,0,0,0,0,1.809226347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,13.449459228,9.552045687,4.490680016,4.327722379,4.656522039,0,6.475807383,4.340654266,0,0.314839105,2.680958769,1.013845167,2.810594468,3.357817419,3.056557508,7.174857176,7.386192725,2.133805645,1.469045121,0.143227646,1.185735351,0,3.573146205,0,0,0.791530037,0,0,0,0,0,1.521511018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,11.783569038,8.281248798,6.920494737,11.691053590,3.103979620,0,1.648196722,1.237952272,0,0.056564795,0,0.362313455,2.170692696,2.519412382,3.050855486,9.443387840,4.947679841,2.078162045,1.050724321,0.504219133,1.456973109,0,1.225965281,0,0,0.686008001,0,0.002011193,0,0,0.000085011,0.419348867,0,0.094209077,0.000119023,0.312709499,0,0,0,0,0,0,0.000142095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,6.063495167,6.557661460,6.480491677,11.312550999,3.315650386,0,1.093253277,0.570688077,0,0,0,0.738996735,2.234191005,0,1.811403317,4.522778944,6.033738487,1.682833933,0,0.413782254,0,0,0.001882460,0,0,1.416579224,0,0,0,0,0.009296301,0,0,0,0,0.786988458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,7.420059316,6.693062369,6.461126650,9.257665841,3.588564147,0,0.051290269,2.098635887,2.123732074,0,0,0.488202460,2.364827445,0,3.368000904,6.092930220,2.932566748,1.777462008,0,0.594422219,0,0,0.010657135,0,0,0.798366999,0,0.307253410,0,0,0.367261280,0,0,0,0,0.509064941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,10.009248891,9.095062850,6.433369522,2.317015465,2.958321191,0,1.571751978,2.065261747,1.682275271,0,0.512635537,1.164895943,3.440471246,0,4.091556634,5.780029439,1.029322607,2.254754112,0.369675686,0.633546968,0.944082530,0,0,0.479449645,0,0,0,1.888772298,0,0,0.358190264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,11.460940069,8.235987215,6.063375652,2.066981462,3.888965411,0,4.559811123,0.412221639,0.830054215,0.056841699,2.774863006,2.024046870,2.759498513,0.006801138,4.763338726,6.217937507,0.867552757,1.060570785,0.487590358,0.644489505,2.702558441,0,0,1.877948174,0.034761089,0.002197009,0,4.636673662,0,0,0,0,0,0,0,0.001202343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,12.854948272,8.118580215,6.396212245,2.012081739,3.940284819,0,1.421942413,0,2.295120672,0.032087997,2.789388290,0.934658097,1.941633511,0.001632272,2.011611723,6.294413839,1.321237029,0,0,0.474907456,0,0,0,0.832197784,0,0.558450289,0,1.712618048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,11.355587181,8.017544505,5.660086578,2.178913573,4.098411203,0.006645680,0.128764920,0,1.263466247,0.072504955,1.049293660,1.663832051,1.594141672,0,1.573867611,4.264930920,0.537192492,0.004517286,0.484801896,0.450523575,0,0,1.270385187,0.521440581,0,4.249737671,0,1.167978314,0,0,0,0,0,1.081125393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,9.194908786,6.610870633,5.246516847,2.384652741,3.531021682,0,0.085694299,0,0.086918503,0.314795383,1.049317943,0.550534861,1.454837429,0,1.573885828,1.080833916,0.006762271,0,1.469045121,0.229942114,0,0,0.478447693,0.857018890,0,3.692762985,0,0,0,0,0,0,0,2.833158447,0,0,0,0.120360047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,8.574325294,7.362539359,3.627482411,1.087792935,3.112021977,2.267712095,0.169503705,0.496871475,1.031392095,0.138998193,0.239181341,0.054389647,1.502894733,0,0.614306430,0,0,0,0.993696805,0.219181751,0,0,0,0.046590810,0,0,0,0,0,0,0,0,0,1.752164218,0,0,0,0.185767532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016038533,0,0,0,0,0,0,0
2015-06-01,9.127954650,8.878611894,5.280376780,1.634973384,2.382092606,5.039854653,0.763767443,2.108278927,0,0.314795383,1.066551533,0.358043314,2.089268538,0,0,0,0,0,0,0.000941225,0,0,0,1.311647429,0,0,0,0,0,0,0.152222149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
