title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[126] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[93] XSEDE Utilization (%)","[76] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[94] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[103] XSEDE Utilization (%)"
2014-08-01,31.406820207,13.731175178,11.743056423,5.327533470,0,2.214645209,6.026151140,0.083921834,11.785748241,0.942909381,0.958788385,9.167559994,0,0,2.110873136,0,0,0,0,0,1.111177432,0,4.678385851,0,0,0,0,3.241202331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,33.560933279,12.904546838,17.184106540,6.049150338,0,2.033598507,6.130266566,1.320451537,9.464193738,1.163292586,0,4.594216449,0,0,0,0,0,0,0,0,0,0,4.156954087,0,0,0,0,2.228092860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,22.786718554,17.289218107,15.513792065,5.652036477,0,4.816328155,0,0.936048492,2.074793179,1.724575086,0,4.161043221,0,0,0,0,0,0,0,0,0,0,2.545681998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,26.160255558,21.524848150,16.384892213,6.724553668,0,4.737628592,0,0.752608732,0,1.303241892,0.921654830,6.301932636,0,0.191320330,0.083643332,0,0,0,0,0,0,0,2.738776516,0,0,0,0,2.301060296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,42.875529717,12.781463858,18.143012758,7.772966639,0,1.871224678,0,1.527780541,4.827008461,1.750139814,2.291670811,5.965210832,0,0.891205315,0.537657038,0,0,0,0,0,0.000235765,0,3.642153381,0,0,0,0,2.837534067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,49.491121533,19.295219851,17.200038725,5.422117806,0,0,0,0.003890171,1.030279331,1.817492988,1.551174680,2.101317114,0,0.475247601,2.164355766,0,0,0,0,0,0.159468029,0,1.862483539,0,0,0,0,1.312883354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,47.837341867,12.354982030,18.683689152,5.726586531,0.555565126,2.049937238,0.001320297,0,0,8.159298541,1.550617677,0.539519585,0,0,0.665439204,0,0,0,0,0,0.080647583,0,3.344642855,0,0,0,0,1.583136061,0.226538258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,34.296103165,9.912218896,18.775739157,6.225534723,2.937535327,4.068234366,5.298097701,0,5.456510639,6.539360507,0.421439323,0,0,0,2.164355766,0,0,0,0,0,0,0.209391971,3.687774606,0,0,0,0,3.026835624,1.739851466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,33.414349268,11.313120611,19.730678649,4.610110240,0,7.521725782,0.789447572,0.011033971,15.271174415,1.145733719,0.763890270,0,0,0,2.162502039,0,0,0,0,0,0,1.177711313,0,0,0,0,0,1.780633525,0,0.571732977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852414013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,24.940315967,19.585957979,19.923277931,3.793655334,0,4.091033208,0,0.085283409,15.249513186,0.729806972,0.511647337,0,0,0,1.767932987,0,0,0,0,0,0,0,0,0,0,0,0,1.366143481,0,1.782410631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.532466431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
