title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[93] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[118] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[87] XSEDE Utilization (%)","[69] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[88] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[81] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[79] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[29] XSEDE Utilization (%)"
2015-02-01,19.666286645,21.425613168,6.030795818,2.181169044,4.275192034,0.619316942,2.936002838,0.769946587,0.593831851,0,1.775302207,1.002738600,1.683676620,3.316446385,0,0,23.189822455,0,0,0,0,0,0,0,0,2.141769149,0,0,0.112137434,0,0,0,2.875587108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105942629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,20.947429463,15.850723143,9.420211164,1.008441220,4.131019581,10.649431989,0.996546745,1.527780541,0.729165954,0,1.773419006,1.273150451,0,6.604806906,0,0,0,0.320126619,0,0,0,0,0,2.356305311,0,5.484612783,0,0,0,0,0,0,13.149563482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,22.786154323,19.574358120,7.005050594,1.427643743,6.079446710,3.025948530,1.796839669,0.790484991,1.001102966,0,2.343869980,0.863355149,0,3.910730636,0,0,3.147227914,0,0,0,0,0,0.061870072,14.386600092,0,11.074424032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373262979,0,0,0.346848024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,26.570960831,18.289513550,4.732500613,1.716230347,4.625473486,0.081811720,3.647693907,1.924402249,0.039684265,0,2.289283654,0.646786953,0,5.276155052,0,0,4.160089817,0.000194520,0,0,0,0,0,7.374131605,0,0,0,0,4.275295212,0,0.441217351,0,0,0,0,0,13.613013852,0,0,0,0,0,0,0,0,0,0,0.457031537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,27.143420199,9.835040084,2.777230301,2.243886358,5.528196072,1.613364532,1.101628804,1.576107210,0.763890270,0,1.486456199,0.743908903,0,9.787152519,0,0,16.736930116,0,0,0,0,0,0,0,0,0,0,0,5.130398456,0,3.594315914,0,0,0,0,0,0,0,0,0,5.239884985,0,0,0,0,0,0,0.135897007,0,0,0,0,0.002785017,0,0,0,0,0,0,0,0,0,0,0,0,0.154071827,0,0,0,0,0,0,0,0,0
2015-02-06,23.287660387,8.153161193,3.625944286,1.882111208,8.631123058,0.020323261,0.442018971,0.394871160,2.109314123,0,2.120193360,0.265372297,0.061187843,5.903439496,0,0,15.532058260,1.378592075,0,0,0,0,0.059017287,0,0,0.052638273,0,0,5.974302685,0,2.521686659,0,0,0,2.687903512,0.024994430,0,0,0,0,5.385262853,1.338757485,0,0,1.958485581,0,0,0.816743686,0,0,0.393039514,0,0.019495116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061022797,0,0,0,0,0
2015-02-07,33.990600900,3.012745496,7.393721014,1.109034892,4.643215070,0,1.457497928,0.123592837,2.398058446,0,2.106215229,0,0,4.398837952,0,0,8.376009668,1.451886617,0,0,0,0,0,0.757794167,0,0.156274808,0,0,5.694843210,0,0,0.031108205,2.432795991,0,0.193377396,0,0,0,0.288764978,0,0,7.454724681,0,0,3.819451352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006561731,0
2015-02-08,25.968610343,12.441792059,3.487825134,1.133716936,1.462390141,0,1.098351635,0.777470542,0.298005630,0,1.221296094,0,0.348519034,1.602858123,0,0,0,1.373623240,0,0,0,1.958618201,0.023535612,13.194377217,0,0,0,0,2.592644174,0,0,0.747555916,0,0,0,0,0,0,0,0,0,0,0,0,1.869851300,0,5.296190926,0.552276154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118622544,0.117875463,0,0,0,0,0,0,0
2015-02-09,34.477519677,10.795467054,6.565872639,2.354476616,2.624399265,2.588079101,0.309210547,1.581031849,1.653314070,0,4.367993528,0.006188937,2.181555100,1.128425405,0,0,0.946658080,0.632879541,0,0,0.512154244,0,0,6.400704941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.730410392,0,0,0,0,2.222786608,0.100042505,0.662885509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399636622,0.196821102,0,0,0,0,0.073147201,0,0,0,0,0,0
2015-02-10,51.354063770,0.347617219,9.187212795,2.661795175,3.381475827,6.696158368,1.950065647,2.093227337,1.291995763,0.168987149,6.823555936,0.236903260,0,2.129918837,0,0,2.284314820,0.401219207,0,0,0,0,0.245113887,0,0,0,0.038747107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108373981,0.098816501,0,0,0,0.715682959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
