title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[108] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[27] XSEDE Utilization (%)"
2016-02-01,20.385324786,3.117686082,8.720609057,5.836802436,20.023638790,12.910591418,0,8.793426134,0,9.900748805,0,0.071579337,0,0,0.359536792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991470323,0,0.012377841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,19.879818377,1.599454170,13.350067006,9.620614428,22.451000351,12.092055806,0,7.884667920,0,11.623288939,0,0,0,0,0.966086886,0,0.155455516,0.068596882,0,0,0,0,0,0,0,0,0,0,0,0,0.000660148,0,1.181327425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,21.607054745,6.720253901,12.472724874,9.922315741,14.177119597,6.606681222,0,9.917205435,0,9.578983602,0.035883978,0.368329487,0,0,1.397048313,0,0,0,0,0,0,0,0,0,0,0.659611291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,24.959516236,6.786269172,12.460842136,10.684322810,9.269283820,5.488987713,0,12.758252435,0,4.024761616,0,0.141761755,0,0,4.292024475,0,0,0.025927178,0,0,0,0,0.190154734,0,0,1.145835406,0,0,0,0,0,0,1.314620674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,29.629182366,5.732524949,10.608549736,14.263988641,7.762946448,5.386740768,0,11.645966964,1.116275902,0.522610588,0.089450622,1.528204924,0,0,2.615325118,0,0,0,0,0,0,0,0.580911728,0,0,0.757869330,0,0,0,0,0,0,1.086912411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,23.961023726,8.718416353,0.159473897,16.449722725,7.492655447,4.569599190,0,9.631053101,1.555159177,1.276230182,0.417781966,0.804719509,0,0,1.189126930,0,0,0,0,0,0,0,0.757966573,0,0,0,0,0,0,0,0.243431074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,12.900596922,7.384296187,1.892278807,7.909738938,2.791069977,1.441677840,0,3.790899759,0.010904302,0.292235175,0,0,0,2.753435417,0.408159668,0,0,0,0,0,0,0,0.148556334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,6.377074970,1.464665301,0,0,0.016097098,0.008543668,0,0.818199553,0,0,0,0,0,0.014782702,0,0,0,0.028502954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,4.452736213,0.254865822,0.114866452,0.134105181,0.117642616,0.038984364,0,0.212934446,0.045621224,0.037118834,0,0.041342013,0,0.042968828,0.031784566,0,0,0.104149277,0,0,0,0,0,0,0,0,0,0,0,0,0.050130299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,19.563584913,21.017497729,6.186756749,8.787302081,9.572022519,4.305906821,0,13.152929075,2.638191729,3.693359360,0,1.527780541,0,3.055030602,6.535001691,0,0,0.363488863,0,0,0,0,0.000088424,0,0,0.256433720,0,0,0,0,0.073441916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
