title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[256] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[1] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[75] XSEDE Utilization (%)","[200] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[230] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[136] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[150] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[181] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[250] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[106] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[216] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[168] XSEDE Utilization (%)","[152] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[210] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[232] XSEDE Utilization (%)","[120] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[132] XSEDE Utilization (%)","[175] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[213] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[129] XSEDE Utilization (%)","[110] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[84] XSEDE Utilization (%)","[165] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[140] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[183] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[225] XSEDE Utilization (%)","[194] XSEDE Utilization (%)"
2013-01-07,0,0,0,0,0.000014667,0,0,0,0,0,0,0,0.000060285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,0.018775721,0.417599826,0.002435375,0.000308643,0.083128585,0,0.089120370,0,0.000183255,0.008966892,0,0.003478651,0.032744982,0,0,1.105605392,0.147585522,0,0,0,0,0,0.049011384,0,0,0.050591969,0,0.819950810,0,0,0,0,0,0,0,0.023482508,0.003426007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025810588,0,0,0,0.071759259,0,0,0,0.244356635,0,0,0,0,0,0.041443626,0,0,0,0.010623635,0,0.026077836,0,0.006643035,0,0.016175573,0,0,0,0,0,0,0,0
2013-01-09,2.840843619,0.755402850,0.045248205,0.825681582,0.212518071,0.004963184,0.361448685,0,0.352758495,0.764235510,0,0.012332818,0.160990144,0,0.115258486,4.450271670,0,0,0,0.013683128,0.009402931,0,0.121762876,0,0,0.110387126,0.201507442,1.712390290,0.103428819,0,0,0,0,0.434156377,0.015917969,0.064891972,0,0,0,0,0.021321615,0,0.001653325,0,0.108930524,0,0,0,0.012935637,0.008173589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001696325,0,0.011498119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001836381,0,0,0,0
2013-01-10,4.515895060,0.785073464,0.087000063,0.252623454,0.226597064,0.180913231,0.393988715,0,0.808985989,2.746551889,0,0.011439042,0.947766746,1.974440583,0.360148618,0.305848927,0,0,0.012741125,0,0.000521435,0,0.092156151,0.000653049,0,0.151194182,0.547550958,0.007836611,0.215567130,0.000096449,0.208458718,0,0,0.109053498,0.294064670,0.205298358,0,0,0,0,0.079408999,0,0.009062541,0,0.252530219,0,0,0.163781182,0,0.000656869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009223090,0
2013-01-11,8.734207818,1.098035622,0.003176437,0.176414605,0.559164799,0.867665731,0.397077546,0,0.476514278,3.875837913,0,0.282548864,1.435831403,1.056938015,0.300049832,0.188601142,0,0,0,0.000019694,0.000119557,0.079752604,0.137021367,0,0,0.052112269,0.590195796,0,0.200339988,0,0,0,0,0,0.312471065,0.002160495,0,0,0,0,0.014883536,0,0,0,0.571917598,0,0,0.246125900,0,0.003713347,0,0,0,0,0,0,0,0,0,0,0.383184236,0,0,0,0,0,0.213278840,0,0,0,0,0,0.004328821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001949106
2013-01-12,24.594393003,1.770232123,0.004541215,0.022427983,0.295755764,0.328719776,0.382009549,0,0.256262858,1.455560380,0,0.016113679,0.730450661,0,0.123452772,0,0,6.773497780,0,0,0,0.083839699,0.129712823,0,0,0.126404559,0.590243616,0,0,0.015564720,0,0,0,0,0.312458406,0.036368313,0,0,0,0,0,0,0,0,0.590287421,0,0,0.101232960,0,0.009570313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012333623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009288194,0,0
2013-01-13,20.612705765,1.494001587,0.082675872,0.044470161,0.428882745,0.095566488,0.405010607,0,0.210998585,0.545156973,0.000964505,0.292020318,0.495819273,0,0.033922481,0,0,0,0,0.000419158,0.015948513,0.465838397,0.077164112,0,0,0.196107010,0.434578351,0,0,0,0,0,0,0.639094650,0.319200304,0.088143003,0,2.552976712,0,0,0.000428001,0,0,0,0.117448721,0,0.510593492,0,0.000402280,0.049087940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004867138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,0.038837448,1.017198753,0.386469586,0.015367798,0.721789596,0.174004951,0.145657312,0,0.289284338,0.718722873,0,0.005176184,0.420524685,0,0.056811419,0,0,0,0,0,0,0,0.049790220,0.081460585,0,0.002456475,0,0,0.317281539,0,0,0,0,0.239506171,0.037395110,0.031558639,0,0.133351418,0,0,0,0,0,0,0,0.281279139,0.986247748,0,0,0.063800677,0,0,0,0,0,0.142181071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,19.698765435,0.377642750,0.176329414,0.361239714,0.553994068,0.544282887,0.354685090,0,0.001337448,0.548728660,0,0.002790636,0.250748707,0,0.370663742,0,0,0,0,0,0.012965576,0.269594546,0,1.204602905,0,0.138410251,0.002712271,0,0.614460359,0,0,0,0,0,0.123922164,0,0,0,0,0,0,0,0,0,0,0.245102114,0,0.149924448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043105790,0,0,0,0,0,0,0,0,0,0.009645060,0,0,0,0,0,0,0,0,0,0
2013-01-16,49.797427983,1.635379697,0.471003725,0.333153293,1.221831403,1.166759101,0.828040609,0,0.634175664,1.203809195,0,0.028401494,0.844167557,0.000482255,2.947494701,0,0,0,0,0.181059512,0,0.372178819,0.039562835,1.967271091,0.000355261,0.173489344,0.501920573,0,1.005258970,0,0,0,0,0,0.085123698,0.002983539,0.144274052,0,0,0,0,0,0,0,0,0.231366948,0,0.538306971,0,0.000578098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000093438,0,0,0,0,0,0,0.016285283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
