title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-02-01,2014-07-31
---------
Day,"[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[1] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[252] XSEDE Utilization (%)","[157] XSEDE Utilization (%)","[220] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[250] XSEDE Utilization (%)","[135] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[127] XSEDE Utilization (%)","[500] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[120] XSEDE Utilization (%)","[181] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[140] XSEDE Utilization (%)","[625] XSEDE Utilization (%)","[638] XSEDE Utilization (%)","[641] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[108] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[147] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[119] XSEDE Utilization (%)","[187] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[81] XSEDE Utilization (%)","[125] XSEDE Utilization (%)","[84] XSEDE Utilization (%)","[225] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[168] XSEDE Utilization (%)","[129] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[75] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[190] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[47] XSEDE Utilization (%)","[216] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[200] XSEDE Utilization (%)","[156] XSEDE Utilization (%)","[62] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[226] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[180] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[194] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[407] XSEDE Utilization (%)","[123] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[122] XSEDE Utilization (%)","[282] XSEDE Utilization (%)","[183] XSEDE Utilization (%)","[196] XSEDE Utilization (%)","[121] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[244] XSEDE Utilization (%)","[2048] XSEDE Utilization (%)","[126] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[82] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[102] XSEDE Utilization (%)","[210] XSEDE Utilization (%)","[232] XSEDE Utilization (%)","[165] XSEDE Utilization (%)","[148] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[162] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[170] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[219] XSEDE Utilization (%)","[104] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[98] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[576] XSEDE Utilization (%)","[150] XSEDE Utilization (%)","[1000] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[95] XSEDE Utilization (%)","[76] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[241] XSEDE Utilization (%)","[485] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[420] XSEDE Utilization (%)","[375] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[110] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[484] XSEDE Utilization (%)","[450] XSEDE Utilization (%)","[729] XSEDE Utilization (%)","[430] XSEDE Utilization (%)","[130] XSEDE Utilization (%)","[280] XSEDE Utilization (%)","[166] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[864] XSEDE Utilization (%)","[185] XSEDE Utilization (%)","[506] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[132] XSEDE Utilization (%)","[92] XSEDE Utilization (%)","[101] XSEDE Utilization (%)","[146] XSEDE Utilization (%)","[124] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[1001] XSEDE Utilization (%)","[83] XSEDE Utilization (%)","[350] XSEDE Utilization (%)","[400] XSEDE Utilization (%)","[155] XSEDE Utilization (%)","[410] XSEDE Utilization (%)","[361] XSEDE Utilization (%)","[242] XSEDE Utilization (%)","[114] XSEDE Utilization (%)","[182] XSEDE Utilization (%)","[490] XSEDE Utilization (%)","[109] XSEDE Utilization (%)","[143] XSEDE Utilization (%)","[470] XSEDE Utilization (%)","[827] XSEDE Utilization (%)","[330] XSEDE Utilization (%)","[435] XSEDE Utilization (%)","[290] XSEDE Utilization (%)","[138] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[340] XSEDE Utilization (%)","[77] XSEDE Utilization (%)","[111] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[345] XSEDE Utilization (%)","[169] XSEDE Utilization (%)","[437] XSEDE Utilization (%)","[370] XSEDE Utilization (%)","[161] XSEDE Utilization (%)","[460] XSEDE Utilization (%)","[440] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[300] XSEDE Utilization (%)","[422] XSEDE Utilization (%)","[248] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[386] XSEDE Utilization (%)","[217] XSEDE Utilization (%)","[360] XSEDE Utilization (%)","[237] XSEDE Utilization (%)","[310] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[519] XSEDE Utilization (%)","[513] XSEDE Utilization (%)","[154] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[218] XSEDE Utilization (%)","[481] XSEDE Utilization (%)","[78] XSEDE Utilization (%)","[249] XSEDE Utilization (%)","[115] XSEDE Utilization (%)","[391] XSEDE Utilization (%)","[321] XSEDE Utilization (%)","[99] XSEDE Utilization (%)","[211] XSEDE Utilization (%)","[900] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[201] XSEDE Utilization (%)","[172] XSEDE Utilization (%)","[136] XSEDE Utilization (%)","[251] XSEDE Utilization (%)","[255] XSEDE Utilization (%)","[164] XSEDE Utilization (%)","[167] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[245] XSEDE Utilization (%)","[259] XSEDE Utilization (%)","[188] XSEDE Utilization (%)","[107] XSEDE Utilization (%)","[73] XSEDE Utilization (%)","[212] XSEDE Utilization (%)","[243] XSEDE Utilization (%)","[133] XSEDE Utilization (%)","[105] XSEDE Utilization (%)","[151] XSEDE Utilization (%)","[222] XSEDE Utilization (%)","[88] XSEDE Utilization (%)"
2014-02-01,12.472093632,14.179719645,3.573868318,4.501800406,5.513350360,5.062755810,0.163065846,1.771320416,2.700725378,1.576255059,0.511206963,0,0.630313223,2.058334540,1.746378278,0.599316004,0,2.206991062,0.969782019,1.735327451,0.697511574,1.287731283,0,0,1.892151331,0.304964794,0.887178901,0,0,0,0,0.261348018,1.473228932,0,0,0.067517641,0,1.257025825,0,0.854472096,0,0,0,0,0,1.142722796,0,0,0,0,0,0,0.511826855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271791811,0,0,0,0,0,0,0,0,0,0,0,0.001329210,0,0,0,0,0,0,0,0,0,0,0.317800768,0,0,0.365057549,0,0,0,0,0,0,0,0,0,2.030779803,0,0,0.018836806,0,0,0,0,0,0,0,0.179317772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367184285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,4.890480333,21.834542182,4.515946506,6.358449079,5.176276367,4.288458686,1.508616256,3.046886230,1.914338985,0.864524256,0.446263138,0,0.348802807,2.216539677,1.582216923,0.991821791,0,1.514338994,1.207556907,1.735448012,0.833333333,1.493844238,0,0,2.696737558,0.215458623,1.094968691,0,0,0,0.188461891,0.520821275,0.581312093,0.000144676,0,0.008126564,0,1.017116970,0,0.858490867,0,0,0,0,0,2.346354171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738888889,0,0,0,0,0,0,0,0.024114262,0,0,0,0,0,0.073401937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026041667,0,0,0.090278583,0,0,0,0,0,0,0,0,0.061035758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005281878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,10.717991252,20.495627568,3.627829215,6.568756438,5.282609958,3.777486410,7.974562758,2.765207031,3.457275996,0.797289745,0.375057870,0.154115225,0.221345124,6.525278103,1.095302856,0.659882971,0,1.156193735,1.433314046,1.548514662,0.624508102,2.131397890,0,0.058333333,2.549305556,0.366970486,0.274427124,0,0,0,0.093026824,0.424036097,0.455366274,0,0,0.026048900,0,2.343750000,0,0.778034980,0,0,0.603318708,0,0,2.561752505,0,0,0,0,0,0,0,0,0.177228412,0,1.138650174,0.015515688,0,2.118036264,0,0,0,0,0,0,0,0,0.119208139,0,0,0,0,0,0,0,0,0.000184462,0,0,0,0,0,0,0,0,0,0,0.018446181,0,0,0.275070728,0,0,0.138030477,0,0,0,0,0,0.253282936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002338524,0,0,0.000559213,0,0,0,0,0,0,0,0,0,0,0.110717272,0,0,0,0.434622559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,7.004362784,22.908886312,5.119341562,8.244913836,6.468716245,3.994319860,8.032150210,2.979752604,2.410560954,0.860956792,0.628565647,0,0.706637008,4.897442848,0.924262148,0.931548195,0,1.543539415,1.046137153,1.400101273,1.098466435,0.642788104,0.392322532,0,2.744505932,0.325906639,0.708638758,0,0,0,0,0.628206982,0.562530138,0,0.018823947,0.127344957,0,0.966661241,0.025334364,0.572384178,0,0,0,0,0.013973285,2.043860917,0,0,0,0,0,0,0,0,0.184783307,0,1.733680556,0.130272230,0,0.309047069,0,0,0,0,0.002712674,0.001620370,0,0,0.241539270,0,0,0,0,0.000949436,0,0,0,0,0,0.006814236,0.000232083,0,0,0,0.000428602,0,0,0,0.023618345,0.311795311,0,0.763888889,0,0,0.460088334,0,0,0,0,0,0,0,0,0,0,0,0,0.000447288,0,0,0,0,0,0,0,0.225330345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004107992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004312749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,10.517917313,18.313914601,7.813786006,5.032465273,11.563011194,4.349175573,1.816949589,0.959862892,3.336478005,0.926379241,1.601172481,0,0.305268012,1.450255588,0.837487938,0.799676084,0,0.885681907,0.722111301,1.580343366,1.847694829,1.458845721,0.154668208,0,2.529419850,0.532570168,0.583814580,0,0,0,0,0.694079739,1.120123219,0,0.081902651,0.220746930,0,0,0.085037295,0.768962592,0,0,0,0,0.180591725,0,0,0,0,0,0,0,0.151040057,0,0.000512795,0,1.560655382,0.622513581,0,0,0,0,0,0,0,0.012000868,0,0,0.093143767,0,0,0,0,0,0,0,0,0,0,0,0.011118946,0,0,0,0,0,0,0,0.038447627,0.624578631,0,0.553784080,0,0,0.385047743,0,0,0,0,0,0,0,0,0,0,0,0.023199589,0.009528117,0.001234167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002925668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012293032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,6.758240094,13.217193934,9.784053498,2.852816366,13.232833415,4.845407733,0.973328193,1.550805379,3.193831204,1.216016832,1.395935203,0,0.578103299,1.244096422,2.087598859,1.432794013,0,0.704869150,0.573148148,1.504549253,2.565326005,1.263980320,0,0.043004114,3.111027922,0.520833333,0.586097245,0,0,0,0.001906105,0.518283416,1.024564969,0,0.041859569,0.065994724,0,1.172526042,0,0.692455150,0.001493779,0,0,0,0.014359086,0,0,0,0,0,0,0,0.590277778,0,0.000161354,0,1.461653646,1.288474148,0,0,0,0,0,0,0,0,0,0,0.002290704,0,0,0,0,0,0.007444784,0,0,0,0,0,0.099585264,0,0,0,0,0,0,0,1.365668403,0.272778623,0,0.763888889,0,0,0.384216661,0,0,0,0,0,0.091559367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002273822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,4.959976214,19.419354420,7.363014404,3.184805813,15.801638030,4.173600455,1.072453704,2.814753739,3.455359859,1.325874078,1.802944146,0,0.789393446,2.252224388,1.625894581,1.609487526,0,0.719513568,0.532195213,1.241540478,2.905931713,2.388358412,0.296682097,0,2.689398872,0.056242766,0.820109551,0,0,0,0.093074644,0.862645277,0.602686347,0,0,0.464899206,0,2.343750000,0,0.611115130,0,0,0,0,0.030418113,0,0.027241071,0,0,0,0,0,0.533948608,0,0,0,1.031336806,1.417944643,0,0,0,1.044825828,0,0,0,0.060966435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163163701,0,0,0,0,0,0,0,0,0,0,0.584737495,0,0,0.237057531,0,0,0,0,0,0.148162616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,5.972209373,12.870370375,9.417541151,2.984638631,11.756703315,5.575528682,0.015715020,2.550397859,3.968735139,1.196115456,0.302625271,0,1.501168258,1.987328803,1.520563269,2.413736984,0,0.661570860,0,1.485399794,2.282407407,2.014255602,0.504050926,0,1.890444155,0.253743490,1.507967213,0,0,0,0,0.971809295,0.365365384,0,0,0.727425732,0,1.410074870,0,0.820392877,0,0,0,0,0,0,0.031860049,0,0,0,0,0,0.564316488,0,0.116121722,0,0,0.710606355,0,0,0,6.493055556,0,0,0,0,0,0,0,0.013773148,0,0,0,0,0,0,0,0,0,0,0.359722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,11.932288452,7.468479935,10.213528804,5.561078966,7.206946068,6.150169985,0.060776747,1.571293877,4.244607603,0.909473863,0.175676355,0,1.210771123,3.486649627,0.977838053,1.822952840,0,0.694444444,0.007677468,2.155912421,1.666666667,2.226607711,0,0,2.988910590,0.251711995,0.753490307,0,0,0,0,0.133755909,0.355070688,0.105721933,0,0.413700005,0,2.343750000,0,0.857285238,0.001249037,0,0,0,0,0,0.035897113,0,0,0,0,0,0.093631447,0,0.127405436,0,0,0.201253454,0,0,0,0.687632618,0,0,0,0,0,0.469378540,0,0.030787037,0,0,0,0,0,0,0,0,0,0,0.360072456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186485261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,11.602690968,4.911111111,5.577469130,5.376864705,5.344085965,3.803900825,1.100514404,2.394996623,5.567129634,1.289509784,0.483005407,0,1.012306496,0.714612671,1.176089893,1.445280350,1.786072532,1.020744923,0.000462963,2.525438852,1.213773148,0.913397389,0,0,2.231550203,0.530870226,0.481986844,0,0,0,0,0.355170360,0.316634720,0.104275174,0,0.451119828,0,1.897271050,0,0.646018198,0.583043579,0,0,0,0,0,0.186141253,0,0,0,0,0,0,0,0.116528420,0,0,0.403606445,0,0,0,9.577482399,0,0,0,0,0,0.972222222,0.036991021,0.023208428,0,0,0,0.003565660,0,0,0,0,0.074438581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405718718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
