title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-08-01,2015-01-31
---------
Day,"[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[1] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[216] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[127] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[157] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[120] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[864] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[102] XSEDE Utilization (%)","[250] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[153] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[77] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[252] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[75] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[150] XSEDE Utilization (%)","[116] XSEDE Utilization (%)","[407] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[155] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[78] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[108] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[255] XSEDE Utilization (%)","[945] XSEDE Utilization (%)","[225] XSEDE Utilization (%)","[121] XSEDE Utilization (%)","[200] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[168] XSEDE Utilization (%)","[203] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[151] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[220] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[180] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[140] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[76] XSEDE Utilization (%)","[98] XSEDE Utilization (%)","[2048] XSEDE Utilization (%)","[93] XSEDE Utilization (%)","[234] XSEDE Utilization (%)","[94] XSEDE Utilization (%)","[79] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[47] XSEDE Utilization (%)","[62] XSEDE Utilization (%)","[810] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[690] XSEDE Utilization (%)","[101] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[1000] XSEDE Utilization (%)","[680] XSEDE Utilization (%)","[95] XSEDE Utilization (%)","[114] XSEDE Utilization (%)","[84] XSEDE Utilization (%)","[235] XSEDE Utilization (%)","[4096] XSEDE Utilization (%)","[135] XSEDE Utilization (%)","[154] XSEDE Utilization (%)","[1728] XSEDE Utilization (%)","[104] XSEDE Utilization (%)","[126] XSEDE Utilization (%)","[179] XSEDE Utilization (%)","[129] XSEDE Utilization (%)","[760] XSEDE Utilization (%)","[800] XSEDE Utilization (%)","[473] XSEDE Utilization (%)","[780] XSEDE Utilization (%)","[118] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[790] XSEDE Utilization (%)","[486] XSEDE Utilization (%)","[204] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[147] XSEDE Utilization (%)","[600] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[248] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[700] XSEDE Utilization (%)","[119] XSEDE Utilization (%)","[660] XSEDE Utilization (%)","[125] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[745] XSEDE Utilization (%)","[82] XSEDE Utilization (%)","[710] XSEDE Utilization (%)","[740] XSEDE Utilization (%)","[117] XSEDE Utilization (%)","[729] XSEDE Utilization (%)","[89] XSEDE Utilization (%)","[132] XSEDE Utilization (%)","[81] XSEDE Utilization (%)","[720] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[211] XSEDE Utilization (%)","[785] XSEDE Utilization (%)","[122] XSEDE Utilization (%)","[730] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[210] XSEDE Utilization (%)","[188] XSEDE Utilization (%)","[137] XSEDE Utilization (%)","[500] XSEDE Utilization (%)","[576] XSEDE Utilization (%)","[187] XSEDE Utilization (%)","[725] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[183] XSEDE Utilization (%)","[92] XSEDE Utilization (%)","[313] XSEDE Utilization (%)","[960] XSEDE Utilization (%)","[162] XSEDE Utilization (%)","[99] XSEDE Utilization (%)","[207] XSEDE Utilization (%)","[750] XSEDE Utilization (%)","[133] XSEDE Utilization (%)","[172] XSEDE Utilization (%)","[529] XSEDE Utilization (%)","[650] XSEDE Utilization (%)","[143] XSEDE Utilization (%)","[197] XSEDE Utilization (%)","[670] XSEDE Utilization (%)","[109] XSEDE Utilization (%)","[620] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[105] XSEDE Utilization (%)","[171] XSEDE Utilization (%)","[244] XSEDE Utilization (%)","[123] XSEDE Utilization (%)","[169] XSEDE Utilization (%)","[138] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[769] XSEDE Utilization (%)","[58] XSEDE Utilization (%)","[69] XSEDE Utilization (%)","[83] XSEDE Utilization (%)","[205] XSEDE Utilization (%)","[324] XSEDE Utilization (%)","[106] XSEDE Utilization (%)","[375] XSEDE Utilization (%)","[175] XSEDE Utilization (%)","[88] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[251] XSEDE Utilization (%)","[152] XSEDE Utilization (%)","[124] XSEDE Utilization (%)","[103] XSEDE Utilization (%)","[189] XSEDE Utilization (%)","[300] XSEDE Utilization (%)","[107] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[236] XSEDE Utilization (%)","[184] XSEDE Utilization (%)","[358] XSEDE Utilization (%)"
2014-08-01,11.012336037,7.870318925,2.596373467,1.077366256,4.415013125,4.291832244,4.442599035,3.041593103,0,1.502076100,1.304052531,0,0,3.085407019,0.819425153,0.794029704,1.225018089,1.548284582,3.335876004,2.169962059,0.804398148,1.493573993,0,1.201765046,6.331687242,2.054599085,0,0.783429380,0.757137347,0,1.149098592,0.398128857,1.318232784,0.380805122,0.216772764,0.093919592,0,0,0,0.160856916,0.595504196,2.049281847,0,0,0.123738910,0,1.689593786,0.007262731,0,0,0,0.001191366,0,0,0,0.557987920,0,0.214791504,0,0.208678747,0,0,0,0,0,0,0,0.017517040,0,0,0,0,0.108535880,0.267111143,0,0,0.003795130,0,0,0,0,4.710165894,0.062043670,0,0,0,0,0,0,0,0,2.701461227,0,0,0,0,0,0.434109361,0.680757302,0,0,0,0,0,0,0,0,0.084604669,0,0,0.003251591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042246980,0,0,0,0,0,0.239113137,0,0,0,0,0,0.155642763,0,0.000168991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,9.076260295,7.779063775,4.754038063,0.925411522,4.869716684,2.273601454,3.056311080,1.752029898,0.059696502,1.163204088,0.532716851,0,0,0.032503857,0.983150083,1.057713637,0.567632374,1.287477087,1.859925976,2.665621790,2.001802427,1.584070783,0,1.668499231,8.128500353,1.852615420,0,0.034497572,0.235966435,0,1.099913800,0.261805556,0.508564815,0.387785735,0.470419800,0.067689846,0,0.606192130,0,0.280049194,0.366952402,1.492736667,0,0,0,0,4.340277778,0,0,0,0,0,0,0,0,0.781250000,0,0,0,0.164792105,0,0,0,0,0,0.104832176,0,0,0,0,0,0,0.021219134,0.329861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.761047616,0,0,0,0,0,0,0.746527778,0,0,0,0,0,0,0,0,0.012413194,0,0,0,0,0,0,0,0,0,0,0,0,0.097889341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010814123,0,0,0,0,0,0,0,0,0,0,0,0.036496510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,10.018039487,6.966705245,3.053157145,0.181275721,3.549135543,2.953585558,2.329975242,2.266960038,0,0.655762926,0.314859022,0,0,0.610050153,0.545891204,0.740282602,0.705672499,1.411555786,1.443044700,1.340036653,1.614896801,1.225469397,0,1.241685958,6.324620628,0.020475663,0,0,0.264998074,0,1.558094419,0,0.950379774,1.327341942,0.541889707,0.023508030,0,0.200376157,0,0.507415441,0,1.773057120,0,0.238368056,0.106522475,0,3.538984135,0,0,0,0,0,0,0,0,0.065230758,0,0,0,0.178684616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289407312,0,0,0.019565809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402554737,0,0,0,0,0,0,0,0,0.055574241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060635290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,7.229484940,4.772067903,4.212815073,0,2.419172797,2.875711326,1.859230306,2.255208324,0.102211932,0.233979555,0.127913610,0,0,1.267264662,0.335021218,0,0.331893812,1.657466684,0.922665889,0.316679525,1.473518279,0.506787715,0,0.495814042,1.678983611,0.057910559,0,0.001237784,0.184043855,0,1.265979655,0,0.024848090,0.966983145,0.001371406,0.001656942,0,0,0,0.194303584,0,1.004035857,0,0,0.371728715,0,0,0,0,0,0,0,0,0,0,0,0.009358724,0,0,0.207495619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073940050,0,0,0.172533678,0,0,0,0,0,1.074694377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020463203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,1.233207949,2.003317894,1.062172065,1.705709875,0.537661341,0.917817654,0.485395775,0.503133830,0,0.078479456,0.072796102,0,0,0,0.069251542,0.080198690,0.102074897,0.825243535,0.693018184,0.107044108,0.678735049,0.236852571,0.169932527,0.257851079,0.210168710,0.022203735,0,0,0,0,0.202686953,0,0.101797598,0.302094184,0.014678580,0.022336353,0,0,0,0.054033447,0,0.137188345,0,0,0.157777941,0,0,0,0.084221282,0,0,0,0,0,0,0.120433666,0,0,0,0.000961290,0,0,0,0,0,0,0,0,0,0,0,0,0.003134246,0.147578482,0,0,0.014501953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057544850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,10.537792562,9.110866767,9.801511063,0.740380656,3.353410911,4.839261022,3.316489850,3.137774514,1.201388889,1.151400942,0.836443861,0,0,0.392119982,0.405483213,1.041666667,1.073205408,1.486659663,2.953310669,1.388848701,0.656479072,1.840973027,2.019897764,0.650761954,2.767715567,0.362433291,0.012345681,0,0.034979424,0,0.511012451,0,1.451406973,1.241679326,0.135353371,0.072593158,0,0.665895060,0,0.262045885,0,1.546104194,0,0,0.275733023,0,0,0.010669850,1.009794560,0,0,0.031130240,0,0,0,0.821234809,0.009358724,0,0,0.155595138,0,0,0,0,0,0,0,0.029226947,0,0.047857589,0,0,0.176958754,0.561913063,0.008708686,0,0.187309710,0,0,0,0,0,0.084733073,0,0,0,0,0.100716146,0,0,0,0,0,0,0,0,0,0,0.698107155,0,0,0,0,0,0,0,0,0,0,0,0.571258518,0,0,0,0,0,0,0.100308643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096573590,0,0,0,0,0,0,0,0.001386882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,8.838673462,7.993647117,6.510474542,1.519495886,3.389116952,4.474566777,4.225337583,2.942297191,3.366332298,2.424064431,1.411747690,0.439711932,0,2.480902778,0.004812884,0.707079477,0.909711385,0.802631895,1.397102865,0.739575295,0.825701678,2.591403035,0.917416169,1.567341819,3.433081557,1.094332723,0.444733796,1.035841449,0.103459360,0.215534980,0.582426098,0,0.541800492,0.570104528,0,0.019177196,0,2.040581597,0,0.292397081,0,0.926227132,0,0,0,0,0,0.026157407,1.148045067,0,0,0.011000796,0,0,0,0,0.015959563,0,0,0.249820159,0,0,0,0,0,0,0,0,0,0,0,0.414785880,0.448541590,0.808549140,0.008841309,0,0.180214563,0,0,0,0.659579151,0.009162810,0.178995465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746527778,0,0,0,0,0,0,0,0,0,0,0,0.094246320,0,0,0,0.022966498,0,0,0.152520576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223958333,0,0,0,0,1.048781508,0,0,0,0,0,0,0,0.096000515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352647569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,10.639461177,6.329462439,6.192798367,2.261779835,3.999570760,3.455164935,2.958902403,3.004405377,2.016229424,2.687140720,1.382708012,0.383950616,0,3.152150852,0.255333718,1.609423227,1.057770304,0.599260742,1.789559231,0.642465599,0.871720681,2.422660685,0,1.044000773,3.859665360,0.851900079,0.087127057,1.289699476,0.223588605,0.208847738,0.608186447,0,1.032993345,0.541825810,0.016725138,0.046468904,0,2.011718750,0,0.232919804,0,1.456011687,0,0,0.132296491,0,0,0.070724826,1.876350911,0,0,0.009345260,4.737413194,0,0,0,0,0,0,0.259590205,0,0,0,0,0,0,0,0.109092077,0,0,0,0.070949074,0.019999037,0.587943070,0,0,0.038665243,0,0,0,0.020569300,0,0.092601635,0,0,0,0,0,0.299761285,0,0,0,0,0,0,0,0,0,0.728633577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136959875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327626067,0,0,0,0,0.197209364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,8.897736622,6.863541667,6.997685176,2.216049380,3.415478918,4.046019807,3.829169890,2.094994633,1.368518519,2.215072826,0.750755529,0,0,2.915943287,0.995490931,1.202148438,2.040703374,1.350369918,0.680322858,0.694444444,1.003671156,1.864651661,0,1.768499227,5.251914745,0,0,0.308070105,0.417422196,0,2.289190100,0.452874227,0.562196181,0.566981337,0.100176021,0.075077162,0,2.078703704,0,0.441778592,0,1.353529487,0,0,0.475421170,0,0,0.005844907,1.351388889,0,0,0,11.177306374,0,0,0,0,0,0,0.335250289,0,0,0,0,0,0,0,0.062184123,0,0,0,0.067042824,0,0.052071479,0,0,0.041056817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032470504,0,0,0,0,0,0,0,0,0,0,0,0.287211453,0,0.011449490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,5.225147872,7.024318414,5.421238435,3.795833338,3.092792535,2.271749602,3.636268650,1.999000931,0,1.220430650,0.567459170,0,0,3.593991125,0.238517556,1.041666667,0.903552997,2.064501352,0.906234330,0.055844907,1.176299669,1.544598366,0,2.130131171,0.646784578,0,0,0,0,0,5.635433747,0.770621143,0.440791377,0.527475767,0,0,0,1.406780477,0,0.226402353,0,1.592790116,0,0,0.052161296,0,0,0,0.940498409,0,0,0.010505683,0,0,0,0,0,0,0,0.392470219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127637926,0.021970649,0,0.095510426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079518713,0,0,0.213720504,0,0.056600437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
