title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2015-08-01,2016-01-31
---------
Day,"[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[1] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[127] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[217] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[179] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[250] XSEDE Utilization (%)","[163] XSEDE Utilization (%)","[125] XSEDE Utilization (%)","[126] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[138] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[768] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[225] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[252] XSEDE Utilization (%)","[116] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[132] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[200] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[47] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[120] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[75] XSEDE Utilization (%)","[168] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[188] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[165] XSEDE Utilization (%)","[216] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[150] XSEDE Utilization (%)","[545] XSEDE Utilization (%)","[91] XSEDE Utilization (%)","[62] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[152] XSEDE Utilization (%)","[98] XSEDE Utilization (%)","[73] XSEDE Utilization (%)","[124] XSEDE Utilization (%)","[84] XSEDE Utilization (%)","[864] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[203] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[181] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[118] XSEDE Utilization (%)","[108] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[180] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[94] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[140] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[255] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[185] XSEDE Utilization (%)","[172] XSEDE Utilization (%)","[76] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[82] XSEDE Utilization (%)","[151] XSEDE Utilization (%)","[231] XSEDE Utilization (%)","[135] XSEDE Utilization (%)","[105] XSEDE Utilization (%)","[198] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[243] XSEDE Utilization (%)","[156] XSEDE Utilization (%)","[88] XSEDE Utilization (%)","[115] XSEDE Utilization (%)","[158] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[97] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[79] XSEDE Utilization (%)","[264] XSEDE Utilization (%)","[109] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[122] XSEDE Utilization (%)","[130] XSEDE Utilization (%)","[233] XSEDE Utilization (%)","[226] XSEDE Utilization (%)","[433] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[81] XSEDE Utilization (%)","[95] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[190] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[248] XSEDE Utilization (%)","[136] XSEDE Utilization (%)","[649] XSEDE Utilization (%)","[998] XSEDE Utilization (%)","[119] XSEDE Utilization (%)","[99] XSEDE Utilization (%)","[106] XSEDE Utilization (%)","[186] XSEDE Utilization (%)","[4320] XSEDE Utilization (%)","[103] XSEDE Utilization (%)","[131] XSEDE Utilization (%)","[78] XSEDE Utilization (%)","[253] XSEDE Utilization (%)","[865] XSEDE Utilization (%)","[110] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[175] XSEDE Utilization (%)","[83] XSEDE Utilization (%)","[549] XSEDE Utilization (%)","[1000] XSEDE Utilization (%)","[141] XSEDE Utilization (%)","[244] XSEDE Utilization (%)","[238] XSEDE Utilization (%)","[950] XSEDE Utilization (%)","[218] XSEDE Utilization (%)","[182] XSEDE Utilization (%)","[133] XSEDE Utilization (%)","[201] XSEDE Utilization (%)","[199] XSEDE Utilization (%)","[546] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[1020] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[579] XSEDE Utilization (%)","[161] XSEDE Utilization (%)","[195] XSEDE Utilization (%)","[360] XSEDE Utilization (%)","[540] XSEDE Utilization (%)","[92] XSEDE Utilization (%)","[102] XSEDE Utilization (%)","[232] XSEDE Utilization (%)","[178] XSEDE Utilization (%)","[269] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[87] XSEDE Utilization (%)","[134] XSEDE Utilization (%)","[205] XSEDE Utilization (%)","[239] XSEDE Utilization (%)","[206] XSEDE Utilization (%)","[524] XSEDE Utilization (%)","[147] XSEDE Utilization (%)","[213] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[101] XSEDE Utilization (%)","[235] XSEDE Utilization (%)","[153] XSEDE Utilization (%)","[166] XSEDE Utilization (%)","[249] XSEDE Utilization (%)","[220] XSEDE Utilization (%)","[129] XSEDE Utilization (%)","[162] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[93] XSEDE Utilization (%)","[251] XSEDE Utilization (%)","[262] XSEDE Utilization (%)","[211] XSEDE Utilization (%)","[214] XSEDE Utilization (%)","[77] XSEDE Utilization (%)","[114] XSEDE Utilization (%)","[123] XSEDE Utilization (%)","[223] XSEDE Utilization (%)","[58] XSEDE Utilization (%)","[146] XSEDE Utilization (%)","[145] XSEDE Utilization (%)","[209] XSEDE Utilization (%)","[104] XSEDE Utilization (%)","[173] XSEDE Utilization (%)","[137] XSEDE Utilization (%)","[196] XSEDE Utilization (%)","[236] XSEDE Utilization (%)","[219] XSEDE Utilization (%)","[170] XSEDE Utilization (%)","[164] XSEDE Utilization (%)","[148] XSEDE Utilization (%)"
2015-08-01,9.291158700,11.659709364,6.626028813,0.042335390,9.730189042,5.375462958,3.358637153,3.137439892,5.471853303,6.822765964,0.593885634,0,0.884673195,0,1.368172508,1.993357765,0.963233032,0.468364195,1.508781829,0.272612847,0,0.995360727,0.337516276,2.396532602,1.989986211,0.588368860,0,1.167317708,0,0.972222222,0.154883617,0,0,0.483257781,0.404975043,0,0,0.513076090,0,0,0,0,0.170555235,5.098182708,0.167336797,0,1.250000000,0,0,0.049298322,0.529468678,0,0.245573319,0,0,0,0.372825846,1.701164641,0,0,0.108437826,0,0.659936022,0.104753811,0,0,0,0.351909121,0,0.275810185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605012618,0,0,0,0,0,0,0,0.293164063,0,0,0,0,0,0,0,0,0,0,0.056689453,0,0,0,0.394092398,0,0,0,0,1.851337448,0,0,0,0.024455056,0,0,0,0,0,0.007523148,0,0,0,0,0,0,0.884323563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,12.685902145,6.998701136,7.152065629,2.128806586,7.643402773,10.056481486,3.882847046,3.419851739,3.610767094,5.350065511,1.098138505,0,2.769643772,0,2.289085404,1.299209305,1.014337384,1.071148406,1.696039497,0.020346259,0,1.242746917,0.094279876,1.717725211,2.966619046,0,0,0,0.290432097,0.479742156,0.712946886,0,0,0.134819878,0.721761072,0,0,0.899627261,0,0,0,0,0.025532086,0.399294904,0.110064218,0,0.800607639,0,0,0.565375434,3.906250000,0,0.339129612,0,0,0.091919447,0.369241898,2.291666667,0,0,0.315818106,0,1.851314941,0.225122572,0,0,0,0.263038918,0.679542824,1.250000000,0,0,0,0,0,0.090512876,0,0,0,0,0,0,0,0.049135561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281491125,0,0,0,0,0,0,0,0.203704504,0,0,0,0,0,0,0,0.077745226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016164117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,10.496084097,6.675115741,5.343835223,2.112705761,9.866139409,10.432844645,10.427426559,2.435535816,2.483532281,3.265088492,1.255852141,0,3.403103299,0,1.686956263,2.162550234,2.051581792,0.599103005,1.597960069,0.008400852,0,3.092592588,0.113040726,1.124125918,1.205099225,0,0.523167440,0.098786531,0,0.154047711,1.919849537,0.001277972,0,0,0.498673806,0,0,0.655355220,0,0,0,0,0.053131836,0.004553476,0,0,1.104687500,0,0,0.411675347,3.377504702,0,0.050474216,0,0,0.147140037,0,1.459903067,0,0,0.267275508,0,1.426511859,0,0,0,0,0.278576511,0,0.974320023,0.208101852,0.091348380,0,0.229605518,0,0,0,0,0,0,0,0,0,0.442185692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035604343,0,0,0,0,0,0,0,0.213493440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179655350,0,0,0,0,0,0,0.095619534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035054773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,13.412509639,13.068377057,5.083031096,1.598611111,8.922601594,12.591666662,8.107374426,3.176722471,1.971745190,1.940638663,0.323425438,0,2.518309543,0,1.143288240,0.085412851,1.660059801,1.405309606,1.251110388,0.010180361,0,2.362220296,0.488548900,1.048231337,2.693998363,0,0,0.682653356,0,0.972222222,0.149321633,0.007282023,0,0,0.426676428,0,0,0.457199436,0,0.030533854,0,0,0.230255751,0.047850758,0.343082881,0,1.039916088,0,0,0,0,0,1.687914338,0,0,0.071622617,0,2.291666667,0,0,0.188099600,0,0.992637605,0.297191881,0,0,0.018655156,0.092140480,0,0,0,0.003582538,0,0.042725211,0,0.226912132,0.000694444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025002812,0.422929127,0,0.284560669,0,0,0,0,0,0.902777778,0,0,0,0,0,0.184084039,0,0.275357671,0,0,0,0,0,0,0,0.179226345,0,0,0.531823278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048429864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,10.401482105,8.548816863,6.763064214,4.204012343,3.377346969,6.811831272,3.670182292,4.567796360,2.842862241,1.640126677,0.713909388,0,1.880702641,6.408847738,0.695783904,2.204861111,1.588811727,3.140994724,0.995920139,0.312755597,0,1.129706787,0.762617549,0.618555895,3.075609239,0,0,0,0,0.967608665,4.208558386,0.049455056,0,0,0.709837362,0,0,0.590111202,0,0,0,0,0.456013297,0.296956177,0.082389924,0,0.343627025,0,0,0,0,0,0.086874679,0,0,0,0.258842914,1.422796102,0,0,0.170331389,0,0.604607928,0.032760860,0,0,0.023150960,0.117971160,0.339771412,0,0,0.413523582,0,0.136524242,0.060768107,0,0.249782986,0,0,0,0,0,0,0.527617427,0,0,0,0,0,0,0,0,0,0,0,0,1.030209540,0,1.067933788,0,0,0.277249308,0,0,0.867288371,0,0,0,0,0,0,0,0.275113331,0,0,0,0,0,0,0,0,0,0,0,0,0.079101563,0,1.321156444,0,0.210999390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061388609,0,0,0,0,0,0,0,0,0,0,0.108556374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,9.923006696,6.237011321,5.159812265,7.394187242,5.734587190,6.523791147,4.175384992,4.511062107,3.418117861,3.562393500,0.440631040,0,3.060964830,8.989917697,0.700113331,1.048533949,2.879800831,1.282399373,0.863017216,0.643070023,0,1.983371912,0.344623481,0.041540075,0.787523311,0,0,0,0.046193414,0,1.401250642,0,0,0.000070331,0.667739678,0,0,0.417207994,0,0,0,0,0.800752717,1.602023456,0.000175822,0,1.352466725,0,0,0,0,0,0.251933833,0,0,0,0.486111111,0.219114100,0,0,0.281882957,0,1.319444444,0.280706462,0,0,0.140026403,0,0,0,0,0.127439598,0,0,0.019752482,0.359763817,0.113324653,0,0,0,0,0,0,0.462023171,0,0,0,0,0,0,0,0,0,0,0,0.099997387,0,0,0.829173900,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395069765,0,0,0,0,0,0,0,0.076388889,0,0,0,0,0,0,0.270296423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064181858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,7.673733294,4.578034975,2.947746266,4.880504114,5.499421305,9.830426957,12.222915844,3.084222448,2.454142144,3.599193436,0.638704427,0,2.394816587,11.785390946,1.389776236,0.112846015,0.408041567,2.599183386,1.325828270,0.175086801,0,1.793952546,0.704126881,0.183581692,0.481932590,0,0,0,0.016255145,0.036030735,2.750610853,0,0,0.000090422,0.378427011,0,0.246501655,0,0,0,0,0,0.455923277,4.012303883,0.002647371,0,1.133145255,0,0,0,0,0,0,0,0,0.046443585,0.227352593,1.873464025,0,0.642160174,0.008364276,0,0.832227367,0.049246279,0,0,0.003845970,0,0,0,0,0.026799407,0,0.631056292,0,0.221375267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313042535,0.636299190,0,0,0,0,0,0,0,0,0,0.370255837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119498494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,6.972916667,10.208191876,2.940346888,12.729938273,5.593042707,4.878883744,7.128896588,3.081387261,2.553154338,2.603135855,0.758547933,0,1.277854130,12.005144034,1.875677567,2.204861111,1.140075236,0.312074011,1.103186487,0,0,0.975250773,0.936413122,0.047791278,0.286513595,0,0.008179014,0,0,1.870616319,0,0,0,0.034109357,0.119589722,0,0.647525237,0,0,0,0,0,0.225028935,2.323904482,0.037038041,0,0.034642650,0,0,0,0,0,0,0,0,0,0.354399758,2.291666667,0,0,0.217408533,0,0.090520915,0.018539415,0,0,0.174797051,0,0,0,0,0,0,0.272821823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034879155,0,0,1.432356771,0,0,0,0,0.446404803,0.419133391,0,0,0,0,0,0,0,0.003069544,0,0,0,0,0,0,0,0.165093316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,12.124273388,4.831648664,3.750020892,6.540586421,2.876993322,3.611213994,4.112479917,3.343000922,3.581225486,4.010906951,1.750879508,0,1.912704151,7.686008228,2.376825317,1.050422372,2.229320986,1.641356423,0.925502749,0.385749421,0,10.245351079,0.556228299,1.807978877,0.514575100,0,0.137615741,0,0.326646091,1.873485727,0.302742414,0.324001736,0,0,0.321325231,0,0,0,0,0,0,0,0.318965409,3.995145526,0,1.526262297,0.350802951,0,0,0,0,0,0,0,0,0.020741301,0.609000452,0.418414836,0,0,0.218774717,0,0.659722222,0.311336968,0.030671296,0,0.116988168,0,0,0,0,0.418675854,0,0,0,0.109610098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088429543,0,0.770442708,0.052670478,0,0,0,0,1.254066198,0.135259933,0,0,0,0,0,0,0,1.208772985,0,0,0,0,0,0,0,0.086127387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011352842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,11.075530499,2.709194955,6.037750769,8.901080245,3.249286264,5.514403293,8.659668376,3.853649871,2.959985876,4.152100600,1.507061994,0,1.783078541,0.314609054,2.093077261,1.856753350,4.745698296,1.088847100,1.746216725,0.951393713,1.992907864,5.408053625,0.303068938,3.132486979,0.438393166,0.007736143,0.207214505,0,0.354835390,0.576986884,0.459506818,1.141251931,0,0,0.384132668,0,0,0,0,0,0,0,0.448808833,3.126070801,0,0.532656973,0.625000000,0,0,0,0,0,0,0,0,0,0.280335327,0,0,0,0.225694444,0,0.569873246,0,0.026427468,0,0.006330377,0,0,0,1.210455245,0,0,0,0,0.147075137,0,0,0,0,0,0,0.001382862,0,0.105891525,0,0,0,0,0,0,0,0.013764106,0,0,0.026125859,0,0,0.015461032,0,0,0,0,0,0,0,0,0.023122830,0,0,0,0,0.515056745,0.023871528,0,0,0,0,0,0,0.071234809,0,0,0,0,0,0,0,0,0.294973714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049299529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037633423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016404640,0,0,0,0,0,0,0,0
