title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2016-02-01,2016-07-31
---------
Day,"[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[1] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[648] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[200] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[118] XSEDE Utilization (%)","[250] XSEDE Utilization (%)","[641] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[1728] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[62] XSEDE Utilization (%)","[236] XSEDE Utilization (%)","[252] XSEDE Utilization (%)","[75] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[163] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[188] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[110] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[181] XSEDE Utilization (%)","[140] XSEDE Utilization (%)","[120] XSEDE Utilization (%)","[255] XSEDE Utilization (%)","[138] XSEDE Utilization (%)","[123] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[108] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[126] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[205] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[81] XSEDE Utilization (%)","[127] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[94] XSEDE Utilization (%)","[896] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[130] XSEDE Utilization (%)","[196] XSEDE Utilization (%)","[217] XSEDE Utilization (%)","[91] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[156] XSEDE Utilization (%)","[186] XSEDE Utilization (%)","[88] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[69] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[116] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[133] XSEDE Utilization (%)","[960] XSEDE Utilization (%)","[58] XSEDE Utilization (%)","[150] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[161] XSEDE Utilization (%)","[84] XSEDE Utilization (%)","[769] XSEDE Utilization (%)","[119] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[125] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[155] XSEDE Utilization (%)","[76] XSEDE Utilization (%)","[129] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[82] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[79] XSEDE Utilization (%)","[175] XSEDE Utilization (%)","[216] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[109] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[47] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[106] XSEDE Utilization (%)","[225] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[136] XSEDE Utilization (%)","[576] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[1018] XSEDE Utilization (%)","[98] XSEDE Utilization (%)","[95] XSEDE Utilization (%)","[227] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[157] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[1000] XSEDE Utilization (%)","[1009] XSEDE Utilization (%)","[93] XSEDE Utilization (%)","[513] XSEDE Utilization (%)","[149] XSEDE Utilization (%)","[83] XSEDE Utilization (%)","[73] XSEDE Utilization (%)","[1501] XSEDE Utilization (%)","[257] XSEDE Utilization (%)","[168] XSEDE Utilization (%)","[124] XSEDE Utilization (%)","[179] XSEDE Utilization (%)","[220] XSEDE Utilization (%)","[253] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[78] XSEDE Utilization (%)","[189] XSEDE Utilization (%)","[195] XSEDE Utilization (%)","[248] XSEDE Utilization (%)","[107] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[172] XSEDE Utilization (%)","[2048] XSEDE Utilization (%)","[145] XSEDE Utilization (%)","[180] XSEDE Utilization (%)","[167] XSEDE Utilization (%)","[221] XSEDE Utilization (%)","[207] XSEDE Utilization (%)","[251] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[193] XSEDE Utilization (%)","[162] XSEDE Utilization (%)","[254] XSEDE Utilization (%)","[87] XSEDE Utilization (%)","[135] XSEDE Utilization (%)","[939] XSEDE Utilization (%)","[170] XSEDE Utilization (%)","[600] XSEDE Utilization (%)","[99] XSEDE Utilization (%)","[230] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[134] XSEDE Utilization (%)","[508] XSEDE Utilization (%)","[211] XSEDE Utilization (%)","[210] XSEDE Utilization (%)","[132] XSEDE Utilization (%)","[190] XSEDE Utilization (%)","[143] XSEDE Utilization (%)","[247] XSEDE Utilization (%)","[245] XSEDE Utilization (%)","[235] XSEDE Utilization (%)","[166] XSEDE Utilization (%)","[215] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[185] XSEDE Utilization (%)","[165] XSEDE Utilization (%)","[148] XSEDE Utilization (%)","[212] XSEDE Utilization (%)","[89] XSEDE Utilization (%)","[152] XSEDE Utilization (%)","[238] XSEDE Utilization (%)","[2000] XSEDE Utilization (%)","[102] XSEDE Utilization (%)","[213] XSEDE Utilization (%)","[115] XSEDE Utilization (%)","[432] XSEDE Utilization (%)","[77] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[142] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[288] XSEDE Utilization (%)","[241] XSEDE Utilization (%)","[249] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[114] XSEDE Utilization (%)","[222] XSEDE Utilization (%)","[204] XSEDE Utilization (%)","[105] XSEDE Utilization (%)","[183] XSEDE Utilization (%)","[400] XSEDE Utilization (%)","[104] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[103] XSEDE Utilization (%)","[233] XSEDE Utilization (%)","[111] XSEDE Utilization (%)","[390] XSEDE Utilization (%)","[92] XSEDE Utilization (%)"
2016-02-01,9.425633364,10.658950616,6.926131696,2.839917693,2.525462963,5.818460648,3.884902253,4.849597132,1.530840083,2.976779514,2.177909189,0,2.916614421,0.692905454,1.789754539,0.038100405,0.756568287,0.894103249,0.803896805,0.741657014,2.802869412,1.048578957,0,0.334042245,0.001220703,2.871873390,0,0,0,0.176678042,0,0.107401783,0,1.581510417,0,0,1.010571389,1.076388889,0,0,0.332739556,0,0,0,0,1.429079861,0.672297576,0.017317907,0,0.984972991,0,1.101874358,0,0,0,0,0,0,0.001812871,0,0,0,0.000229872,0,3.491225003,0.539951850,0.028052662,0,0,0,0.432031250,0,0,0.000378771,0,0.004836195,0,0,0,0,0,0,0,0.206149934,0.972030929,0,0,0,0,0,0.101517890,0,0,0.058948405,0.123017940,0,0,0.252481997,0,0,0,0,0,0,0,0.046650350,0,0,0,0,0,0,0,0,0,0,0,0.837557870,0.000145883,0.003757555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,9.376880787,8.569611631,8.711464753,0.874537042,2.620010286,5.666395001,7.757783574,5.672045030,1.897344808,2.195839351,2.063667449,0,1.201404961,0.745776675,1.269133396,0.134859664,2.685021218,0.699915003,1.284130452,0.837426459,2.644627699,0.570842981,0,1.253117766,0.262998730,1.927637926,0,0,0,0.445912702,0,0.686055248,0,1.461313657,0,0,0.007213700,0.865695728,0,0,0.760030866,0,0,0,0.006783696,0.776410391,0.666314019,0.023329997,0,2.275327931,0,0.908285107,0,0,0,0,0,0,0.000112323,0,0,0,0.117110338,0,0.069079739,0.340204640,0.050851780,0,0,0.400572474,2.294056234,0,0,0.005485627,0,0,0,0,0,0,0,0,1.287007297,1.566476178,0.863342335,0.288580245,0,0,0,0,0,0,0,0.182340291,0.046072049,0,0,0.796395160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023847417,0,1.210069444,0.001757211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566716096,0,0,0,0,0,0,0,0,0.233728380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005787037,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,7.032047327,6.489493318,10.496842850,0.215740741,2.645524690,5.005987974,7.117507383,5.055644757,1.407900124,1.184262863,0.923671396,0.030658438,6.408717534,0.727325656,1.086296771,0,1.779861111,0.992428630,1.372123571,1.056399495,2.844319056,0.872926310,0,0.549996383,0.003647040,1.181962127,0,0.048386059,0,0.905231432,0,0.060683512,0,0.074873409,0,0,0.222499521,1.076388889,0,0,0.588484398,0,0,0.206669560,0,0.398473267,0.366743824,0.941212344,0,3.077893519,0,0,0,0,0.179277583,0,0,0,0.105817781,0,0,0,0.465870949,0,1.205455887,0.404912552,0.395294416,0,0,0.541791649,0.714549579,0.083854167,0,0,0,0,0,0,0,0,0,0,8.738315606,0,0.425060280,0.049074074,0,0,0,0,0,0,0,0.146573794,0,0,0,0,0.059124227,0,0,0,0,0,0,0,0,0,0,0.000765173,0,0,0,0,0,0,0,0.975948030,0,0,0,0,0,0,0,0,0,0,0,0.054796007,0,0.009209427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054197211,0,0,0,0,0.032757039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056059914,0,0,0,0,0.051691501,0,0.046539433,0,0,0.059863684,0.057089722,0,0.052231025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005144034,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,7.652340549,7.379861111,9.009342850,1.510288072,2.174922838,4.161815199,5.693690498,4.956097498,1.568995954,1.213167919,2.955910007,1.279423869,8.605926889,1.164009449,1.008154898,0.040545428,1.884866898,0.740686487,2.696107209,0.511537905,2.586921301,1.719489457,0,0.707477937,0,0.711484059,0,0,0,0.816867802,0,0,0,1.562843605,0,0,0.006219057,0.739033162,0,0,2.015878183,0,0,0.201593845,0.042631171,0.395132460,0.500808377,0.002486617,0,0.621103394,0.008178209,0,0,0.033757718,2.112316745,0,0,0,0.253451728,0,0,0,0.902777778,0.099666043,3.132068020,0.260722096,0.412510851,0,0,0.485804073,0.208166956,0.001936849,0,0,0.000848764,0,0,0,0,0,0.031790527,0,2.918876393,0,0,0.205555556,0,0,0,0.240485550,0,0,0,0.609911508,0,0,0,0,0,0,0,0,0,0.036681374,0,0,0,0,0,0.460587466,0,0.030191054,0.300614271,0.037748359,0,0,0,0.700337579,0,0,0,0.042197144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014811198,0,0,0,0,0,0.035808295,0.043583623,0,0,0,0,0,0,0,0,0,0.033257378,0,0.041503906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045017320,0.040183738,0,0,0,0,0,0,0,0,0.026574155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,10.719573043,5.999447021,9.793537806,0.051800411,7.019701642,8.471577610,5.268858498,2.230645182,2.123447573,0.828508400,2.139931758,0.161316872,3.424965441,0.947939566,1.496462674,0.185532407,2.296923227,0.845030988,1.641476978,0.203733846,1.496277009,1.268984696,0,1.251578776,0.316227412,2.492910880,0,0,0,0.622531670,0,0,0,1.465053530,0,0,0.998203609,0.778650255,0,0,1.718840422,0,0,0.156177662,0.004822532,0.203035984,0.330517578,0.472313648,0,1.666666667,0,0.055812758,0.087869728,0,1.904103972,0,0,0,0.145930791,0,0,0,0.876488553,0.578686826,3.010220753,0.258769771,0.167708333,0,0,0.358429787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331002844,0,0.025925926,0,0,0,0.288281051,0,0,0,0.466600559,0,0,0,0,0,0.011039578,0,0,0,0,0,0,0,0,0,0.114967529,0,0,0.000329540,0,0,0,0,0,0,0,0,0,0,0,0,0.409594424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142314091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,8.695894423,8.790650721,8.217644038,0.139763373,11.446682102,10.144756289,5.610662634,3.556559471,4.247430402,0.766102435,3.251014739,0,3.336737232,1.333352639,1.080287910,0.511863426,0.655536264,1.751079038,1.175042801,0.200141059,1.972979357,2.145463605,0,1.859595631,0,1.788049764,0,0,0,1.218498825,0,0,0,0,0,0,1.057741772,0.823462416,0,0,1.882806469,0,0,0.083019870,0.000996654,0.198123029,0.648730469,0.482580616,0,1.341647375,0,0.088175153,0,0,0,0,0,0,0.020571108,0,0,0,0,0,1.526592240,0.279266330,0.450627532,0,0,0.125932757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049176957,0,0,0,0,0.005776991,0.004933449,0,0.110391348,0.000185669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039411531,0,0.193826959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,6.567004241,20.859940855,7.934214247,4.565483543,5.532741772,7.728459360,4.528891796,3.665267944,4.134338433,0.378688033,1.753084409,0,1.315184543,0.547353629,0.921313169,0,0.996595292,0.497055248,0.648067776,4.594985772,1.605348190,2.464795523,0,2.591713686,0,2.107076258,0,0,0,1.035321018,0,0,0,0.726378038,0,0,0,0.566536861,0,0,1.904628422,0,0,0.115933643,0.260255914,0,0.462573545,0.789606038,0.686512184,0,0,0.125196117,0,0,0.377242477,0,0,0,0.000127998,0,0,0,0,0,0,0.120112770,0.756573712,0,0,0.032120266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051647095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,10.802446628,5.233770567,6.034767235,0.857561727,8.949125511,8.094034519,7.507236215,3.598766032,3.727756067,1.011552368,3.134807816,0,3.043414840,1.062649504,1.394280486,0.938708044,1.088204088,1.185733751,1.183709287,0.482717254,1.552985148,2.834072790,0,2.038993779,0,1.888318224,0,0,0,0.234170243,0,0,0,1.630143229,0,0,0,1.076388889,0,0,1.437551238,0,0,0,0,0,0.812995515,0.954861111,2.315132297,0.276736111,0,0.140983475,0.091143021,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0.254834183,1.311689815,0,0,0.159002658,0.680884693,0,0,0,0,0,0,0,0,0.025676961,0,0,0,0,0.203142687,0,0,0,0,0,0.792926554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211359072,0.041599153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000990225,0,0,0,0.033284709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000733426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,8.138155861,5.736574070,4.194939557,7.591409460,9.160468108,5.863115664,7.721568766,3.751120447,2.083820010,0.997357246,2.796364620,0,5.359579956,0.987469849,0.804918977,1.328566262,0,1.553168403,0.866673105,2.688404225,1.669979745,2.017779066,0,1.027866392,0.051440330,2.025937179,0,0.003415961,1.050548159,0.313080309,0,0,0,0.742364728,0,0,0,0.695865483,0,0,0.123170451,0,0,0,0,0,0.484642650,0.053324128,0.533744050,2.982407407,0,0,0,0,0.149136768,0,0,0,0.000161960,0,0,0,0.006551410,0.118654152,1.921133536,0.276281589,1.351249638,0,0,0.007624421,0.560783181,0,0,0.007954160,0,0,0,0,0,0.151762031,0,0,0,0,0.959692482,0,0,0,0,0.000209979,0.079667006,0,0,0,0.005978936,0,0,0,2.557050542,0,0,0,0,0,0,0,0,0,0,1.027657213,0.077047766,0,0,0,0,0.011690421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116306586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,7.087525716,7.265534980,1.459992278,5.790380656,8.163605962,7.942828880,5.150422757,3.810933535,1.827997210,1.028503576,1.993192188,0.492798353,2.731360926,1.849532828,1.033892750,0.010980903,0.480169750,0.487229338,0.530532652,3.984610098,1.377121912,1.103604036,0,0.563818359,0.140094523,1.432042503,0,0,0.159424832,0.288091159,0,0.075552983,0,0,0,0,0.152452257,0.983425763,0,0,0,0,0,0,0,0,0.191461105,0,1.504146575,10.959220681,0,0.162070796,0,0,0.181254824,0,0,0,0.000133224,0,0,0,0,0.622728588,3.559027778,0.382747798,0.992995877,0,0,0,0.081676794,0,0,0.004688906,0,0,0,0,0,0.202250918,0,0,0,0.377411264,1.024119086,0.298148148,0,0,0,0.000213799,0.798611111,0,0,0,0.113960020,1.346946533,0,0,0.133391204,0,0,0,0,0,0,0,0,0,0,0.549327257,0.106941429,0,0.344302988,0,0,0.007983701,0,0,0.003998481,0.001434701,0,0,0,0,0,0,0,0,0,0,0.124903551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105276051,0,0,0,0,0,0,0,0,0,0,0,0.164996460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013946759,0.013559150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
