title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[19] XSEDE Utilization (%)"
2012-02-01,30.070174713,0,7.186818588,8.579797787,2.421655517,0,4.613937286,0,0,0,0.683472555,0.001428904,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,37.368743914,0.020902743,14.100700128,10.135010368,1.027459319,5.477170254,4.482106114,0,0,0,0.001684039,0,0,0,0,0,0,3.884357260,0,0,0,0,0,0,0
2012-02-03,37.513068829,12.126526905,11.756401450,3.685209757,0.423362004,3.160967411,3.784553836,0.371686979,0,0,0.383506026,0,0,0.469821693,0,0,0,9.349739124,0.612895218,0,0,0,0,0,0
2012-02-04,28.205117968,38.023058357,5.285777036,9.835758320,1.409505840,0,2.100051440,0,0,0,0.067770567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,19.247034373,22.236266236,1.631053884,10.120231493,0.000673604,0,1.075868343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,10.690644692,6.930563708,0.125301638,1.670953380,0.066892809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,21.405186115,14.975994532,0.581224624,2.798476425,4.230007624,0,0.605771134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,29.518766936,42.297831296,1.570251702,3.503290516,9.234621064,0,2.818746326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,30.962271848,32.498693611,1.344730754,2.243737312,11.557682579,2.952021674,3.397220385,0.218437684,0,0.050108392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-10,47.629809269,33.849369626,5.828444493,13.499248776,11.874591750,1.462864962,7.193011464,2.645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
