Day,[256] XSEDE Utilization (%),[976] XSEDE Utilization (%),[32] XSEDE Utilization (%),[128] XSEDE Utilization (%),[64] XSEDE Utilization (%),[16] XSEDE Utilization (%),[48] XSEDE Utilization (%),[96] XSEDE Utilization (%),[192] XSEDE Utilization (%),[1024] XSEDE Utilization (%),[320] XSEDE Utilization (%),[512] XSEDE Utilization (%),[80] XSEDE Utilization (%),[112] XSEDE Utilization (%),[160] XSEDE Utilization (%),[224] XSEDE Utilization (%),[960] XSEDE Utilization (%),[176] XSEDE Utilization (%),[384] XSEDE Utilization (%),[768] XSEDE Utilization (%),[208] XSEDE Utilization (%),[752] XSEDE Utilization (%),[1104] XSEDE Utilization (%),[368] XSEDE Utilization (%),[800] XSEDE Utilization (%),[480] XSEDE Utilization (%),[144] XSEDE Utilization (%),[240] XSEDE Utilization (%)
2014-08-01,0,0,0,3.125000000,0,0.025684408,1.105699259,2.343750000,0,0,0,0,0,13.671875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,0,0,0,3.125000000,0,0,1.171875000,2.343750000,0,0,0,0,0,13.671875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,0,0,0,2.422526042,0,0.000189921,0.734402161,0.103380025,1.388617655,0,0,0,0,7.324453837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,0.002531840,0,3.938657430,0.878833923,2.430483195,2.784699707,1.021497904,0,4.687500000,0,0,0,0,0,0,0,0,0,0,0,2.640037231,8.184158936,11.993516744,0,0,0,0,0
2014-08-05,0.001591390,0,4.990496724,8.035156250,5.709942830,3.775643616,1.230129700,0.046603699,4.687500000,0,0,0,0,1.317626953,0,0,0,0,0,0,5.078125000,7.660151774,0,0,0,0,0,0
2014-08-06,5.048104655,0,1.830078125,14.012514445,2.199526164,3.434299215,2.169582825,0.048773905,4.687500000,0,0,0,0,2.563413289,0,0,0,0,0,0,4.866301371,0,0,0,0,0,0,0
2014-08-07,6.936993612,0,2.366925252,12.500000000,0.203143107,2.988688151,2.343953451,0.050889791,4.687500000,0,0,0,0,2.734375000,0,0,0,0,0,0,2.222091064,0,0,0,0,0,0,0
2014-08-08,10.000216980,0,2.843062642,11.115668437,0.978551737,3.507251892,1.616889140,0.972683411,4.757758280,0,0,0,0,2.734375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,12.284866943,0,2.021086528,9.375000000,1.901385295,2.597100118,2.343750000,2.343750000,4.687500000,0,0,0,0,2.734375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,7.098090210,0,7.892116801,12.996527812,3.159071248,5.455051270,2.784586589,3.857747396,4.687500000,0.528067118,0,0,0,2.734375000,0.000361735,0,0,0,0,0,0,0,0,0,0,0,0.001017253,0
