Day,[1] XSEDE Utilization (%),[2] XSEDE Utilization (%),[60] XSEDE Utilization (%),[4] XSEDE Utilization (%),[8] XSEDE Utilization (%),[16] XSEDE Utilization (%),[12] XSEDE Utilization (%),[3] XSEDE Utilization (%),[40] XSEDE Utilization (%),[64] XSEDE Utilization (%),[10] XSEDE Utilization (%),[6] XSEDE Utilization (%),[20] XSEDE Utilization (%),[22] XSEDE Utilization (%),[72] XSEDE Utilization (%),[24] XSEDE Utilization (%),[32] XSEDE Utilization (%),[30] XSEDE Utilization (%),[5] XSEDE Utilization (%),[25] XSEDE Utilization (%),[50] XSEDE Utilization (%),[15] XSEDE Utilization (%),[43] XSEDE Utilization (%),[48] XSEDE Utilization (%),[36] XSEDE Utilization (%),[7] XSEDE Utilization (%),[18] XSEDE Utilization (%),[35] XSEDE Utilization (%),[11] XSEDE Utilization (%),[70] XSEDE Utilization (%),[45] XSEDE Utilization (%),[46] XSEDE Utilization (%),[9] XSEDE Utilization (%),[21] XSEDE Utilization (%),[42] XSEDE Utilization (%),[62] XSEDE Utilization (%),[28] XSEDE Utilization (%),[14] XSEDE Utilization (%),[38] XSEDE Utilization (%),[54] XSEDE Utilization (%),[65] XSEDE Utilization (%),[56] XSEDE Utilization (%),[26] XSEDE Utilization (%),[55] XSEDE Utilization (%),[17] XSEDE Utilization (%),[34] XSEDE Utilization (%),[41] XSEDE Utilization (%),[27] XSEDE Utilization (%),[13] XSEDE Utilization (%),[19] XSEDE Utilization (%),[67] XSEDE Utilization (%),[52] XSEDE Utilization (%),[53] XSEDE Utilization (%),[33] XSEDE Utilization (%),[63] XSEDE Utilization (%),[23] XSEDE Utilization (%),[44] XSEDE Utilization (%),[49] XSEDE Utilization (%),[31] XSEDE Utilization (%),[61] XSEDE Utilization (%),[39] XSEDE Utilization (%),[58] XSEDE Utilization (%),[57] XSEDE Utilization (%),[37] XSEDE Utilization (%),[68] XSEDE Utilization (%),[59] XSEDE Utilization (%),[66] XSEDE Utilization (%),[47] XSEDE Utilization (%),[29] XSEDE Utilization (%)
2016-02-01,10.248952905,5.403680118,0,2.836354977,9.046043680,5.025805452,3.249599219,1.083114725,11.934267035,0,3.375931506,1.176697126,4.331436309,4.616998951,3.583726828,0.041025417,0,0,0.500855003,0.099922030,0,1.446756223,0,0,0,0,0.320883613,0,0.504436529,2.371938278,0,0,0.052460432,0,1.998998047,0,0,0.236560469,0,0,0,0,0,5.771248688,0.048012973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,8.387350408,5.485854848,0,2.507612392,4.954772447,7.266381028,3.638517255,2.408004328,12.642556638,0.002059769,2.817187910,3.760857526,3.990250097,4.292753631,0.500655824,0.005363181,0.001379662,0,0.479899003,2.603938950,0.680902896,0.156787411,0,0,0,0,0,0,0.577124869,5.479589309,0,0,0.685636368,0,3.456897808,0,0.000357060,1.246341961,0,0,0,0,0,0.249820259,0,0,0,0,0,0,6.266196414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,11.444828356,7.861661293,0,2.217410416,0.991085652,4.885070537,7.314642357,1.883199618,11.179535394,0,4.570896957,7.231771744,2.774510792,2.026990789,1.146729626,0.618674945,0,0.000637606,0.634618757,0.717322372,0.751798660,0.530570494,0,0,0.177597062,2.810602975,0.011017838,0,0.399084516,0.677563050,0,0,0.728292235,0,2.198976915,0,0.837015665,0.626188981,0,0,0,0,0,5.771248688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024396642,0,0,0,0,0,0,0,0,0,0
2016-02-04,17.781329673,5.665675653,0,4.625230768,1.480407868,1.049687163,3.689132272,1.937995511,6.953455945,0.040845676,5.167204688,6.271168532,0.419253527,4.616998951,0.391220707,2.814766235,0,0,4.987761000,0,3.421304798,0.710830929,0,0,0,3.694873763,0,0,0.565408697,0,0,0,0.833683106,0,0.579303661,0,1.469045121,0,0,0,0,0,0,4.158638902,0,0,0,0,0,0.899116706,0,0,0,0,0,0,0,0,0.135800442,0,0,0,0,0,0,0,0,0,0
2016-02-05,16.843366890,7.409833976,0,6.420227562,0.729441147,1.446620805,4.109398683,1.492450740,7.517075700,0,2.435449932,2.175410983,0.327693240,3.676352208,1.513947184,2.953349073,0.166919277,0,1.699381950,0,2.600067768,1.937212166,0.601008393,0,0,2.121711773,0.379514253,0,0.521623355,0,0,0,0.697621546,0,0,0,0.632692566,0.000085011,0,0,0,0,0,0,0.713009721,0,0,0,0,0.482273331,0,0,0,0,0,0,0,0,0.406855425,0,0,0,0,0,0,0,0,0,0
2016-02-06,10.507385623,8.447588718,0,4.210135646,1.317544979,2.065854420,7.001442812,0.517014982,8.394543547,0,2.702024081,2.262857788,2.148442054,2.649390567,1.551241693,1.259181532,0,0,0.850032554,0,3.844645072,1.092839134,1.471618017,0,0,1.377943929,0.134006646,0,0.577124869,1.422372333,0,0,0.808149703,0,1.138152909,0,0,0,0,0,0,0,0,0,0.216321631,0,0,0,0,0.928030033,0,0,0,0,0,0,0,0,0.269831380,0,0,0,0,0,0,0,0,0,0
2016-02-07,5.626845124,4.371278811,0,5.631465948,0.197942171,0.867387590,1.722725020,0.368414437,4.584232058,0,3.522477748,4.932719774,0.209074168,1.313226261,2.517095138,0.020869768,0,0,0.366259327,0,0.684941076,0.951700405,1.176035837,0.035968287,0,0.412684359,0,0,0.569770535,0.059254884,0,0,0.308308193,0,1.262664685,0,0,0,0,0,0,0,0,0,0.186074795,0,0,0,0,0,0,0,0,0,0,0,0,0,1.356987920,0,0,0,0,0,0,0,0,0,0
2016-02-08,0.837255150,0.381707619,0,2.657006629,0.575312855,0.198340520,0.000123878,0.077062930,0,0,1.101662395,0.651451556,0.044183090,0,1.142707240,0,0,0,0.008562143,0,0,0,0,0,0,0,0,0,0.218225341,0,0,0,0.075611009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,0.346458789,0.338497326,0,0.086051367,0.015064517,0,0.170652617,0.044557756,0.072796432,0,0.019808308,0.060696485,0.036009586,0.005610936,0.013947184,0,0,0,0.008431588,0,0,0,0.004203948,0,0,0.023608442,0,0,0.001262461,0,0,0,0,0,0.004080681,0,0.002703451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,11.435931142,3.995016960,0,4.082250013,4.136051850,0.379114684,5.506339629,1.723049289,5.511906853,0,2.684092149,1.432901947,1.307578890,0.005517418,0.777544596,0.976579806,0.393280476,0.020075493,2.794331260,3.298019048,2.838228939,2.087122537,0.205601946,0.763903463,0.044596013,0.375766949,0.008547569,0,0.366621251,0,0,0,0.060767532,0,0.943708464,0,0.000765128,0.000535589,0,0,0,0,0,0,0.129328437,0,0,0,0.623600308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
