Day,[1] XSEDE Utilization (%),[32] XSEDE Utilization (%),[16] XSEDE Utilization (%),[64] XSEDE Utilization (%),[4] XSEDE Utilization (%),[24] XSEDE Utilization (%),[2] XSEDE Utilization (%),[20] XSEDE Utilization (%),[10] XSEDE Utilization (%),[3] XSEDE Utilization (%),[36] XSEDE Utilization (%),[51] XSEDE Utilization (%),[5] XSEDE Utilization (%),[8] XSEDE Utilization (%),[40] XSEDE Utilization (%),[12] XSEDE Utilization (%),[15] XSEDE Utilization (%),[6] XSEDE Utilization (%),[30] XSEDE Utilization (%),[50] XSEDE Utilization (%),[18] XSEDE Utilization (%),[26] XSEDE Utilization (%),[38] XSEDE Utilization (%),[11] XSEDE Utilization (%),[13] XSEDE Utilization (%),[31] XSEDE Utilization (%),[9] XSEDE Utilization (%),[33] XSEDE Utilization (%),[17] XSEDE Utilization (%),[63] XSEDE Utilization (%),[14] XSEDE Utilization (%),[60] XSEDE Utilization (%),[21] XSEDE Utilization (%),[25] XSEDE Utilization (%),[7] XSEDE Utilization (%),[35] XSEDE Utilization (%),[57] XSEDE Utilization (%),[29] XSEDE Utilization (%),[48] XSEDE Utilization (%),[28] XSEDE Utilization (%)
2012-03-05,0.782491522,0.002296142,0.168471524,6.726259131,0.036611182,0,0.113761684,0,0.029802915,0.047102301,0,0,0.104552148,0.139836729,0,0,0,0,0,0,0,0,0,0,0,0,0.163669022,0.726828811,0.369150575,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,0.779603022,0.002456312,0.601478097,2.491349481,0.061027534,0.181140292,0.128529630,0,0.278588764,0.082735606,0,0,0.144200360,0.196185211,0,0,0,0,0,0,0,0,0,0,0,0,0.376673034,1.105799640,1.169094969,0,0,0,0,0,0,0,0,0,0,0
2012-03-07,0.236879671,0,0.205903716,1.039237050,0.087079226,6.341030681,0.426094794,0,0.115039889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008223325,0,0,0.233098448,0.557938466,0.021871583,0,0,0,0.278168253,0,0,0,0,0,0,0
2012-03-08,0.297565164,4.601648930,6.629982046,2.494980559,0.090743682,6.572752480,0.530615253,0,0,0,0,0,0,1.328562219,0,0.389413552,0,0,0,0,0,0,0,0,0,0,0.108371780,0.180839926,0.047856519,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,0.530803770,8.536940945,7.307926451,1.628753890,0,5.234405037,0.152695703,0,0,0,0,0,0,2.272296450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,0.576225678,3.262954415,3.037800628,0,0,2.737648981,0.441510214,0,0,0,0,0,0,0.775930231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,0.162676066,3.856710617,3.915160818,0.163816579,0,2.570792157,5.190311419,0,0,0,0,0,0,0.967339746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,0.639716282,6.552127412,8.459566821,0.007262156,0,4.539960592,5.242271264,0,0.208336675,0,0,0,0,2.389425566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,2.291334650,5.986052390,6.101713021,0.092272203,0,3.429249980,0.467852246,0,1.441753172,0,0,0,0,0.924457465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,1.256943468,2.489160156,1.873371345,0,0.348750781,2.357867166,0.767129454,0,0.205733484,0,0,0,0,0.057536615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-15,1.415145805,4.315647865,5.163505473,0,0.026425458,1.131535948,0.496947613,0,0.000350414,0,0,0,0,1.965963962,0,0.087446347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,1.762881989,6.926769602,4.700328937,0,0,3.044582199,0.491637832,0,0.002803421,0,0,0,0,1.256394438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-17,1.660222143,7.915011316,4.650748623,0,0,0.937860438,0.527064223,0,0,0,0,0,0,1.997936153,0,1.091727528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,0.867416491,7.769981648,7.789151633,0,0.015145091,0,0.565971546,0,0,0,0,0,0,1.919574165,0,2.597638716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-19,1.644653198,8.005147584,4.375293682,0.318467244,0.051989882,0,0.583582974,0,0,0,0,0,0,2.022632859,0,1.682826317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-20,0.499241953,8.952913430,4.487269808,0,0.004018211,0,0.504720390,0,0,0,0,0,0,2.163203793,0,0.058270857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-21,1.853502184,2.915011316,1.381786903,0,0.000193585,0,0.432552684,0,0.112336601,0,0,0,0,0.712252762,0,0.145116474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-22,3.516507736,0.431618210,0.217571217,0.205903716,0.106516199,0.482146290,0.030013171,0,0,0,0,0,0,0.023642086,0,1.730103806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-23,4.761124365,4.725426143,2.538500141,0.321671127,0.790768237,2.425269090,0.001925679,0,0,0,0,0,0,0.199522607,0,1.108087447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-24,14.162313023,0,2.668151109,0.243602896,0.854218742,3.303497040,0.446442850,0,0,0,0,0,0,0.033974651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-25,16.964977750,0.042344816,0.876826258,0,0.005446636,3.392164860,2.922500436,0,0,0,0,0,0,0.064651929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-26,13.661474027,0,1.205866321,0,0.949214245,3.447231834,2.417449681,0,0.028134199,0.181976283,0,0,0,0,0,0,0,0,0.943046732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-27,5.579414543,0,5.668759875,0,1.731198450,3.172818147,2.918268590,0,0,0.501810189,0,0,0.002795049,0.029329014,0,0,0,0,3.391824471,4.754614924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-28,2.415685786,0.065733282,11.115676663,0.021786505,0.935444188,3.287918108,2.096739610,4.340978605,0,0.401733520,0,0,0,0.117342676,0,1.091006652,0,0,0,7.365790126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-29,2.771999126,0,4.304167192,0,1.600920056,3.280549135,3.204987302,5.208400052,0,0.349474962,0,0,0,0.038753800,0,1.600706459,0,0,1.695611852,6.006136800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-30,4.595015889,0.020771909,0.405666653,0,0.277944668,2.251177432,16.416555869,3.290000616,0,0,0,0,0,0.021319249,0,1.730103806,0,0,3.325143349,2.627111230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,1.332899193,0.236340740,0.997132526,0,0.140444105,0,19.138188700,0,0,0,0,0,0,0.100468833,0,1.728922357,0,0,0,0,0.153787005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0.744401868,0.004805844,0.395681161,0.007262156,0.162243976,0,2.150561796,0,0,0,0,0,0,0.018649340,0,1.796885025,0,0.007348924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-02,43.390045671,0.109840228,2.042216673,0.107010112,0.072274561,0,0.489798958,0,0,0,0,0,0,0.056241740,0,1.049356017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003691151,0,0,0,0,0,0,0,0,0
2012-04-03,5.474173282,0.008970896,4.664872435,0.019757350,0.441096386,0,2.917143947,0.028034102,0.001785521,1.609116723,0,0,0,0.001868948,0,1.228233544,0,0,0.003504249,0.005089539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-04,7.645276606,0.184170639,1.845737742,0,6.435105038,0,4.040810325,0,0,0,0,0,0,0,0,1.575555901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-05,7.094246616,0.109893618,0.876292246,0.253534961,2.625292368,0,2.440297414,3.262400429,0,0.007689350,0,0,0,0.042451634,0,2.069716726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-06,9.395109453,3.578911957,1.022683583,0.071553684,0.893473138,0,1.526035697,3.751428387,0,0,0,0,0,0,0,0.556576797,2.779605012,0,0,0,0,0,0,0,0,0,0,0.039097530,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-07,3.802350283,4.629843202,0.614400448,0.168204537,0.200263533,0,0.693303057,1.668362041,0.409214267,0,0,0,0,0,0,1.721092849,8.600608352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-08,1.387607343,2.394004447,2.603672716,3.015934038,0.003684468,0,2.039923872,0.134096411,0.463480242,0,0,0,0,0,0,1.678561130,0.813614355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-09,2.742923770,9.257283519,0.711665398,0,0.019323472,0,0.606647684,0.000333743,6.001381004,0.207412188,0,0,0,0.334820479,0,1.791298231,1.697363995,0,0,0,0,0,0,0.367847290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-10,2.885834325,26.893769486,0.642034013,0,0,0,3.238394563,0,8.799516900,3.726386298,0,0,0,0.154160810,0,1.536908881,0.292255383,0,0.043102413,0,0,0,0,1.585928489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-11,4.594405097,24.545046789,0.816352672,0.162437524,0.031071095,0,1.927897661,0.223972375,9.663684378,0.864000625,0,0,0,0.724120531,0,0.209694964,2.876597943,0,0.132661341,0,0,0,0,1.583780878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-12,6.174803486,12.021231130,0.282263245,2.339057619,0.078782462,0,4.178788094,0.020157849,1.533881913,0.607598828,0,0,0,0.688717493,0,0.942646233,0,0.525128556,0,0,0,0,0,1.115124329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-13,7.357576788,7.706544471,1.637698091,7.245076676,0,0,0.843228679,1.406009670,0.035493147,0.164449971,0,0,0,1.160571242,0,0,0,0.852186246,0.190031065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-14,2.227705577,10.208894003,4.233841626,0,0,0,3.675539418,7.015163789,0,0.858088423,0,0,0,0,0,0,0,0.400877480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-15,3.090449624,3.956010534,2.118656286,0,0,0,0.870478489,0,0,0.224377831,0,0,0,0,0,0.420190965,0,0.498386025,0,0,0,0,0,0.384514219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-16,10.882014242,3.972937730,0.847216891,2.562796348,0.011393867,0,0.098172690,3.852150878,2.970462082,0,0,0,0.305087662,0.023081417,0.084235781,1.730103806,0,0.827326028,0,0,0,0,1.095225131,1.585928489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-17,11.331013537,6.917745316,0.007902947,0,0.001628655,0,0.423778640,5.652940688,4.157388722,0,0,0,1.441753172,0.003097104,0,1.311054229,0,0.704376509,0,0,0,0,5.343153925,0.807667123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-18,9.550693506,24.325579893,0,0,0.019670582,0,0.954680854,1.498855946,9.263814774,0,0,0,1.394896194,0,0,0,0,0,0,0,0,0,2.914724317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-19,12.422427222,22.038211791,0.715883877,0.008543739,0.009798590,0,1.243598916,3.977169613,8.951017788,0,0,0,1.441753172,0,0,0,0,0,0.108832353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-20,9.816058052,15.587647892,2.211142086,0,0,0,3.474328083,0.528475977,5.994372507,0.056128239,0,0,0.336484165,0,0,0,0,0,1.415270982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-21,2.970170089,3.475479496,3.402804510,0,0,0,4.986109835,0.958331982,0,0.003273981,0,0,0,0,0,0,0,0,0.941845271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
