Day,[1] XSEDE Utilization (%),[32] XSEDE Utilization (%),[64] XSEDE Utilization (%),[16] XSEDE Utilization (%),[38] XSEDE Utilization (%),[2] XSEDE Utilization (%),[4] XSEDE Utilization (%),[10] XSEDE Utilization (%),[8] XSEDE Utilization (%),[20] XSEDE Utilization (%),[35] XSEDE Utilization (%),[3] XSEDE Utilization (%),[6] XSEDE Utilization (%),[12] XSEDE Utilization (%),[28] XSEDE Utilization (%),[9] XSEDE Utilization (%),[100] XSEDE Utilization (%),[45] XSEDE Utilization (%),[50] XSEDE Utilization (%),[24] XSEDE Utilization (%),[5] XSEDE Utilization (%),[128] XSEDE Utilization (%),[25] XSEDE Utilization (%),[15] XSEDE Utilization (%),[30] XSEDE Utilization (%),[52] XSEDE Utilization (%),[60] XSEDE Utilization (%),[54] XSEDE Utilization (%),[17] XSEDE Utilization (%),[40] XSEDE Utilization (%),[55] XSEDE Utilization (%),[14] XSEDE Utilization (%),[13] XSEDE Utilization (%),[39] XSEDE Utilization (%),[21] XSEDE Utilization (%),[48] XSEDE Utilization (%),[18] XSEDE Utilization (%),[11] XSEDE Utilization (%),[42] XSEDE Utilization (%),[34] XSEDE Utilization (%),[80] XSEDE Utilization (%),[36] XSEDE Utilization (%),[43] XSEDE Utilization (%),[63] XSEDE Utilization (%),[7] XSEDE Utilization (%),[27] XSEDE Utilization (%),[29] XSEDE Utilization (%),[68] XSEDE Utilization (%),[61] XSEDE Utilization (%),[62] XSEDE Utilization (%),[47] XSEDE Utilization (%),[46] XSEDE Utilization (%),[59] XSEDE Utilization (%),[58] XSEDE Utilization (%),[57] XSEDE Utilization (%),[22] XSEDE Utilization (%),[56] XSEDE Utilization (%),[51] XSEDE Utilization (%),[53] XSEDE Utilization (%),[49] XSEDE Utilization (%),[37] XSEDE Utilization (%),[41] XSEDE Utilization (%),[44] XSEDE Utilization (%),[31] XSEDE Utilization (%),[33] XSEDE Utilization (%),[26] XSEDE Utilization (%),[23] XSEDE Utilization (%),[19] XSEDE Utilization (%)
2012-08-01,21.893779473,0.259462181,0.012708791,9.304834679,0.009067689,2.012447173,5.844300006,5.527237796,0.268446406,0.007008535,0.008001392,8.842407367,0,0.006067378,0.007569204,1.297577855,0,0.008860775,0.009344701,4.627266744,0,0,0.007884588,0.006708170,0.008310093,0.009631700,0.010512784,0.009731834,0.006155835,0.008610458,0.010554497,0.006190866,0.005987293,0.008460275,0.007078595,0.009291311,0.006818291,0.005818751,0.008550385,0.008226666,0,0.008350154,0.008610458,0.011143551,0,0.008109862,0.008033118,0,0.012418451,0.012415109,0.011450599,0.010823173,0.010731374,0.010646296,0.010557838,0.007268839,0.010092272,0.009786913,0.009728492,0.009321347,0.008952536,0.008894153,0.008737287,0.008225014,0.008039764,0.007939667,0.007445716,0.006816639
2012-08-02,31.893398948,0.139369473,0,12.352781007,0,2.397798961,4.181204382,2.330183516,0.700037884,0,0,23.433880524,0,0,0,0.292901168,0,0,0,3.301654825,0.344986153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721223658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,39.879610231,0.123990773,0,12.426390503,0,2.563540653,2.758901512,0,0.428841484,0,0,7.564873862,0,0,0,0,0,0,0,3.012463168,1.242135424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,27.582577126,0,0,9.873259233,0,4.868326560,0.719755247,0,1.140653685,0,0,1.529635011,0,0.886918493,0,0,0,0,0,1.866950211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,25.765509172,0,0,10.411914250,0,4.549979425,0.986212559,0.923155908,0.815631833,0,0,1.172991383,0,0.091110803,0,0,0,0,0,3.460207612,0.704740289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,28.523032307,0.486992195,0,8.212306152,0,1.363511330,0.801548007,2.883506344,0.508885480,0,0,4.012333973,0.375246300,0,0,0,0,0,0,3.236415494,1.441753172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,21.071703229,0.069471139,0,15.620781520,0,1.159379806,1.786699264,2.897156292,0.467662002,0,0,7.508490349,0.381774250,0,0,0,0,0,0,3.460207612,1.072479147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,23.566612150,2.070571152,1.419859887,10.817393926,0,1.454425319,0.995430431,5.767012687,0.860299449,0,0,7.080559986,0,1.396478105,0,0.083651720,0,0,0,3.003652441,1.271637974,0,0,0.004905978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220356278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,33.795371860,4.124802435,1.855055748,11.053227387,0,1.991224642,1.736164539,3.514056418,1.905824120,0,0,5.864130833,0,1.730103806,0,0,0,0,0,3.460207612,1.301065433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,30.966767439,0,5.251505844,8.197301218,0,1.430382658,1.798353473,0.027032872,2.562475971,0,0,5.154613047,0.134904056,0.335908477,0,0,0,0,0,3.424203844,0.417933194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-11,23.417672477,0,0,6.919747776,0,0.890669754,4.209198423,3.482434641,1.326159297,0.078628938,0,1.793055368,0.891193704,0,0,0.005481666,0,0,0,3.316753172,0.648430179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003013677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,14.379422015,0,0,6.288366666,0,0.295322450,1.780958946,13.652685002,0.095222466,26.645300711,0,1.778953220,2.193397183,0,0,1.264042075,0,0,0,2.595596233,1.441753172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,16.767918138,0,0,3.085405178,0,0.948496709,0.863016103,8.892897075,0.010906600,64.823859138,0,0.757466066,1.042898164,0,0,0.710093474,0,0,0,1.304426182,0.588807640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019058175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-14,26.528862209,0.884435486,3.909287031,6.510183058,0,1.406897400,1.225316660,5.022807709,0,35.909132155,0,1.179248967,0.273933103,0,0,0.837313173,0,0,0,0,0,0,0,1.465582160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507767445,0,0,0,0,0,0,0.020319709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-15,26.099922356,3.904534577,4.054850711,11.474406215,0,0.528249051,1.387961098,7.131939113,0.677049955,7.255122241,0,0.890527869,2.239893723,0,0,1.123020593,0,0,0,0,0,0,0,2.162629758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-16,26.432491860,0.355258645,6.770472857,11.765773831,0,0.764019022,1.090539471,1.690205315,0.524637947,0,0,0,2.106101019,0,0,0,0,0,0,0,0,0,0,1.633235977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324634756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
