Day,[1] XSEDE Utilization (%),[4] XSEDE Utilization (%),[16] XSEDE Utilization (%),[2] XSEDE Utilization (%),[64] XSEDE Utilization (%),[8] XSEDE Utilization (%),[3] XSEDE Utilization (%),[32] XSEDE Utilization (%),[40] XSEDE Utilization (%),[96] XSEDE Utilization (%),[6] XSEDE Utilization (%),[128] XSEDE Utilization (%),[48] XSEDE Utilization (%),[10] XSEDE Utilization (%),[12] XSEDE Utilization (%),[18] XSEDE Utilization (%),[35] XSEDE Utilization (%),[9] XSEDE Utilization (%),[25] XSEDE Utilization (%),[60] XSEDE Utilization (%),[24] XSEDE Utilization (%),[33] XSEDE Utilization (%),[15] XSEDE Utilization (%),[20] XSEDE Utilization (%),[7] XSEDE Utilization (%),[45] XSEDE Utilization (%),[38] XSEDE Utilization (%),[63] XSEDE Utilization (%),[41] XSEDE Utilization (%),[14] XSEDE Utilization (%),[36] XSEDE Utilization (%),[11] XSEDE Utilization (%),[43] XSEDE Utilization (%),[19] XSEDE Utilization (%),[23] XSEDE Utilization (%),[31] XSEDE Utilization (%),[34] XSEDE Utilization (%),[5] XSEDE Utilization (%),[65] XSEDE Utilization (%),[30] XSEDE Utilization (%),[61] XSEDE Utilization (%),[21] XSEDE Utilization (%),[46] XSEDE Utilization (%),[37] XSEDE Utilization (%),[81] XSEDE Utilization (%),[256] XSEDE Utilization (%),[26] XSEDE Utilization (%),[17] XSEDE Utilization (%),[57] XSEDE Utilization (%),[49] XSEDE Utilization (%),[126] XSEDE Utilization (%),[13] XSEDE Utilization (%),[42] XSEDE Utilization (%),[117] XSEDE Utilization (%),[50] XSEDE Utilization (%),[29] XSEDE Utilization (%)
2013-08-01,41.587715212,6.490933025,0.341455210,8.546038671,0.559079816,0.100615711,0,0,5.767012687,21.174868665,2.858165542,0,0,0.462195355,0,0,1.259431469,7.180846910,0,0,1.206427028,0,0.005356526,0.002002422,0,0,2.796273594,0,0,0,0,0,0,0,2.154384732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,50.963208900,8.622571697,3.508880148,2.116687204,2.505553415,1.522197630,0,0,5.762340356,2.228149442,3.018250192,0,0,1.338794649,0,0.040609381,4.088246333,12.543973472,0,0,1.572552211,0,0,0,0,0,4.561303195,0,0,0,0,0,0,0,0.349565071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,47.525099871,8.187028802,2.306805075,4.753590416,3.575654684,4.186197091,0,0.006461194,3.295473946,1.571510957,0.108431853,0,0,2.573479326,0,0,0,12.170754638,0,0,2.014489619,0,0,0,0,0,5.478662053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,15.539533698,7.395459529,6.085907163,8.550761013,7.482058170,5.876692746,0,0,0,19.218569781,0,0,0,2.578068269,0,6.162173203,1.224038418,10.934601475,0,0,0.014577701,0,0,0,0,0,2.728804877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,24.821683104,4.950439735,4.852353812,6.446846052,6.188538588,0.701185992,0,0.064718685,0.025297437,19.450211457,0,1.483403807,0,0.411416958,0,3.297619906,3.155587207,9.211961745,0,0,2.200195425,0,0,0,0,0,3.977800343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,39.676251697,3.734574555,1.035686057,4.198528661,9.159938485,0,0.000150183,0,0.123550250,12.972414456,0,0,0,1.576550410,0,1.702199875,4.982825754,6.643268214,0,0,4.485294118,0,0,0,0,0,2.595960012,0,0,0,0,0,0,0,0.956199388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,34.433168808,13.535672690,2.877365526,4.973037226,1.776773920,1.523492579,0.014157228,0.363535397,0,19.670639523,0,0,0,2.250519970,0,6.467884948,3.993923273,3.244124856,0,0,5.228317609,0,0,0,0,0,1.490398975,0,0,0,0,0,0,0,0.698093882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,35.431604919,7.563610676,4.690156580,4.412876020,5.880217006,0.644063168,0,0.208199821,3.835664168,10.607138293,0,0,0,1.795399869,0,2.986651769,1.318828696,2.517736568,0,0,4.236111111,0,0,0,0,0,5.478662053,0,0,0,0,0,0,0,3.316032295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,44.057362065,2.433585941,4.527265092,6.446248626,2.265902012,1.153402537,0.000250317,1.039237050,5.767012687,0,0,0,0,1.496936913,0,7.219609045,0,13.109621300,0,0,0.259475510,0,0,0,0,0,2.098188047,0,0,0,0,0,0,0,2.691628032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,47.193359750,1.153509280,6.067244419,7.040294298,0,0.111896078,0,2.202358055,5.683511150,0,0,0,0,0,0,10.166252163,3.626793518,11.740466407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,41.739753866,0.477560726,3.465600821,3.154983134,0,0.287282686,0,2.691539575,5.767012687,0,0,0,0,0.031521680,0,13.118031526,2.867186486,16.272527393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,38.621746969,1.337980359,3.934384236,1.061904639,0,0,0,0,1.908987979,14.651576317,0,0,0,0.066630998,0,13.134701797,0,17.416092969,0,0,0.932373779,0,0,0,0,0,0.018896315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-13,39.953171895,2.685585660,7.006519916,1.618691692,2.780661284,0.101269832,0,0,1.142789620,6.622292695,0,0,0,1.598193378,0,9.015342657,2.225322667,13.823514394,0,0,2.337121953,0,0.187077499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,24.305118336,4.561099660,9.867865988,0.723980335,7.718826105,0.905674613,0,0,5.767012687,23.849801383,0,0,0,2.012080052,0.563324991,9.337724673,4.370864984,1.640324635,1.550260116,0,2.596317109,0,0,0,0,0,0,0,0,0.276089049,0,0,0,0,0.001381680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-15,27.579458021,2.495928361,7.817666282,0.480253989,5.414584122,1.256834999,0,1.878924760,4.571091798,13.763776740,0,0,0,2.555857911,3.440723933,10.279610006,8.412913453,0,2.455235554,0,1.316000269,0,0,0,0,0,0,0,0,2.018454441,0,0,0,0,0.836338675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-16,40.180595542,1.509655766,8.708749865,1.064954960,0,2.260108267,0,0.145350083,4.712797437,16.670351134,0,0,0,1.381780257,4.702598385,9.971164937,3.404214537,0,0.496562170,0,1.704793041,0,0,0,0,0,1.833512877,0,0,0.890666375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-17,39.126922413,0.872420876,13.840830450,0.049113021,0,0.483921786,0.067567162,2.271348610,5.767012687,13.651319993,0,0,0,1.710079469,3.553601192,9.542393551,4.424889015,0,0,0,0,0,0,0,0,0,0.078946011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
