Day,[1] XSEDE Utilization (%),[64] XSEDE Utilization (%),[4] XSEDE Utilization (%),[8] XSEDE Utilization (%),[32] XSEDE Utilization (%),[2] XSEDE Utilization (%),[10] XSEDE Utilization (%),[16] XSEDE Utilization (%),[6] XSEDE Utilization (%),[15] XSEDE Utilization (%),[33] XSEDE Utilization (%),[9] XSEDE Utilization (%),[100] XSEDE Utilization (%),[20] XSEDE Utilization (%),[12] XSEDE Utilization (%),[24] XSEDE Utilization (%),[48] XSEDE Utilization (%),[96] XSEDE Utilization (%),[17] XSEDE Utilization (%),[40] XSEDE Utilization (%),[60] XSEDE Utilization (%),[3] XSEDE Utilization (%),[5] XSEDE Utilization (%),[30] XSEDE Utilization (%),[26] XSEDE Utilization (%),[19] XSEDE Utilization (%),[18] XSEDE Utilization (%),[28] XSEDE Utilization (%),[36] XSEDE Utilization (%),[59] XSEDE Utilization (%),[38] XSEDE Utilization (%),[128] XSEDE Utilization (%),[34] XSEDE Utilization (%),[7] XSEDE Utilization (%),[11] XSEDE Utilization (%),[21] XSEDE Utilization (%),[120] XSEDE Utilization (%),[25] XSEDE Utilization (%),[45] XSEDE Utilization (%),[57] XSEDE Utilization (%),[43] XSEDE Utilization (%),[50] XSEDE Utilization (%),[29] XSEDE Utilization (%),[63] XSEDE Utilization (%),[99] XSEDE Utilization (%),[14] XSEDE Utilization (%),[47] XSEDE Utilization (%),[56] XSEDE Utilization (%),[13] XSEDE Utilization (%),[52] XSEDE Utilization (%),[22] XSEDE Utilization (%),[114] XSEDE Utilization (%),[126] XSEDE Utilization (%),[27] XSEDE Utilization (%),[55] XSEDE Utilization (%),[35] XSEDE Utilization (%),[23] XSEDE Utilization (%),[65] XSEDE Utilization (%),[62] XSEDE Utilization (%)
2015-08-01,20.215059215,50.749285875,5.510425047,3.055561081,13.772517224,1.893098132,0,2.037040721,3.369100871,0,0,0,0,0,0.176649625,0,0,0,0,0,0,0.096206841,0,0,0,0.609590039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,19.182042180,43.019942344,6.776243046,1.202455224,15.088813285,3.591893380,0.392569443,5.147182226,0.098563064,0.948452890,0,0,0,0,1.527780541,0,0,0,0,0,0,0.031276168,1.945275153,0,0,1.259636489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,16.035720424,52.664292772,9.499093411,0.085619368,2.559173878,2.902102257,0,5.955986393,0.302558900,1.909725676,0,0,0,0,1.353535744,0,0,0,0,0,0,0.215852049,2.990245811,0,0,0.829706545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,15.214554729,56.358503849,9.013333433,0.351978920,6.262202683,2.965806959,0,4.006227231,0.523326735,0.733675062,0,0,0,0,0,0,0,0,0,0,0,0.050965804,2.002611152,0,0,0.620957018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,16.823814511,52.878747903,7.627627000,1.057056735,14.086796734,2.546692892,0,2.062833821,1.634468791,0,0,0,0,0,0,0,0,0,0,0,0,0.004672628,0.114900336,0,0,1.776442738,0,0,0,0,0,0,0,0,0,0,0,0,0.002320847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,15.722076727,46.111057378,8.400199560,0.812435033,18.083168852,1.546291319,0,2.014713442,3.603563926,0,0,0,0,0,0.654328612,0,0,0,0,0,0,0.200737797,0.095486284,0,0,1.336489685,0,0,0,0,0,0.005658457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,14.236139834,42.073378557,10.250776788,0,21.954489314,1.710212424,0,3.277725802,0.883654804,0,0.001653338,0,0,0,1.527780541,0,0,0,0,0,0,0.336155948,0.207115353,0,0,0.885309634,0,0,0,0,0,0.033573442,0,0,0,0,0,0,1.448142328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003448116,0
2015-08-08,13.623820811,39.342046424,9.838281877,0.109455562,23.042278508,1.932400717,0.045031829,4.173387177,0.723131784,0,0,0,0,0,0.074178685,0,0,0,0,0,0,0.817702958,0,0,2.349469487,0.813943948,0,0,0,0,0,0,0,0,0,0,0,0,4.294097754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,20.631624792,38.496957502,21.465016014,0.720779937,6.743595025,4.201263867,0.819796893,4.000663132,0,0,0,0,0,0,0,0,0,0,0,0,0,1.347386627,0.644274536,0,0.029462227,0.804424761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,22.357525446,33.440475442,21.323047869,0.964446843,4.785725397,1.178739879,0,4.022566028,0,0,0.001653338,0,0,0,0.031245234,0,0,0.081481629,0,0,0,2.075849695,0.295771715,0,0,1.643566512,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502710982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,27.442011478,15.893444369,19.173474872,1.107593746,15.919708999,3.308985823,0,3.931983694,0,0,0,0,0,0,1.528098828,0,0,0.320268058,0,0,0,1.344057869,0.464095765,0,0,2.142650308,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273579244,0,0,0,0,0,0,0,0,0,0,0.036211118,0,0,0,0,0,0,0,0
2015-08-12,58.209662284,8.850847607,15.033832050,1.476854556,0.551934294,2.030309535,0.214858859,4.067951488,0.242420213,0,0,0,0,0,0.841623167,0,0,2.276110061,0,0,0,1.799160550,0.310978801,0,0,2.269339089,0,0,0,0,0,0.285374319,0,0.024456557,0,0,0,0,0,0,1.095416294,0,0,0,0,0,0,0,0,0,0,0.197886471,0,0,0,0,0,0,0
2015-08-13,50.566866558,0.952599448,4.155816540,1.937440304,22.847109219,2.512394418,0.712640063,2.399110552,0.776648299,0.777439608,0,0.884706943,0,0,0.011440682,1.595681898,0,2.577705279,0,0,0.087440669,0.528344208,0.364689802,0.427477935,0,1.465082291,0,0,0,0,0,0,0,0.668486509,0,0,0,0,0,0,0,0,1.261992713,0,0,0,0,0,0.338853999,0,0,0,0,0,0,0,0,0,0
2015-08-14,44.846840962,0,17.042368325,1.687266208,3.150575835,2.192494612,0.638873958,1.887586982,1.275687899,1.909725676,0,9.360745854,0,0,0,3.055561081,0,4.039847852,0,0,0,0.274319727,1.689024183,0.845584091,0,1.846940493,0,0,0,0,0,0,0,0.772140716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,32.130601763,0,19.630824630,2.511407163,1.040918392,1.067239021,2.243721379,1.290337982,0.406347185,0.690485190,0,10.720669465,0,0,0,1.467518086,0,6.999215322,0,0,0,0.021236846,2.195234074,0,0,0.047455788,0,0,0,0,0,0,0,0.420413741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,41.843680267,0,14.975031398,2.262341171,0,0.332386593,0.268319408,1.023495063,1.853194248,0.016179620,0,7.676288236,0,0.021101275,0.012696128,0,0,3.845621689,0.019814863,0.053165834,0.088324813,0.097126360,0.573212417,0.036116792,0,2.412658431,0,0,0,0,0,0,0,0.007024442,0,0,0,0.028955320,0.059479998,0,0,0.067930832,0,0,0,0,0,0,0,0,0,0,0,0,0.078614090,0.043941362,0,0,0
2015-08-17,51.571730026,0,16.129101036,2.773782218,0,1.468926807,0.667372503,0.887102953,2.071194772,0,0,8.501435610,0,0,0,0.027408111,0,0,0,0,0,0.293859038,1.606578806,0,0.030343419,2.409102727,0,0.034369161,0,0,0,0,0,0,0,0.024941382,0,0,0,0,0,0.068372887,0.133626291,0,0,0,0,0,0,0,0.026388397,0,0,0.033022340,0,0,0.025757723,0,0
2015-08-18,59.836180714,7.538276672,7.730227708,3.081413131,0,1.558091501,4.254768612,2.037040721,0.746119212,0,0,3.609209122,0,1.058453653,0,0,0,0,0,0,0,0.362007964,2.176512596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,65.318148395,9.229586326,3.360781197,5.413400406,0,1.142069002,6.069567991,2.028270140,1.468358001,0,0,0.070328300,0,1.590524445,0,0,0,0,0,0,0,0.913631330,2.336835260,0,0,0.480269484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,57.912678689,13.593757418,5.702116646,6.935310264,1.590164913,0.628883308,8.634612452,2.848744820,1.523996433,0,0,0,0,1.233600264,0.277688270,0,0,0,0,0,0,1.016097860,1.847585921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,68.512146983,11.182221880,7.765091939,4.902018275,2.075046616,1.419471410,3.470616947,5.212419417,0.562361164,0,0,0,0,0,0.888270007,0,0,0,0,0,0,0.383063585,0.272283249,0,0,0.875398523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,53.326381037,8.659403542,5.208753241,5.893189441,2.135214745,1.857552998,7.484547932,6.257911702,0.132522595,0,0,0,0,1.454898579,2.324065428,0,0,0,0,0,0,0.591705524,0.668602916,1.304448732,0,1.685086800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,36.135035741,8.148162884,3.189053227,7.950836367,7.316465549,1.370676195,12.281112813,7.420085838,0.160187093,0,0,0,0,2.418720616,1.298153733,0,0,0,0,0,0,0.758267189,1.137126692,0,0,2.325894090,0,0,0,0,0,0,0,0,0,0,3.651643060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,41.473695253,3.874809823,3.466812250,3.547115054,7.923381110,2.145237854,11.754744641,6.211300238,0.058114013,0,0,0.633564755,0,0.446575192,0.385110307,0,0,0.003253596,0,0,0,2.052044434,0.008222430,0,0,2.314695074,0,0,0,0,0,0,0,0,0,0,9.193914507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
