Day,[32] XSEDE Utilization (%),[64] XSEDE Utilization (%),[16] XSEDE Utilization (%),[8] XSEDE Utilization (%),[1] XSEDE Utilization (%),[256] XSEDE Utilization (%),[4] XSEDE Utilization (%),[2] XSEDE Utilization (%),[240] XSEDE Utilization (%),[128] XSEDE Utilization (%),[20] XSEDE Utilization (%),[12] XSEDE Utilization (%),[10] XSEDE Utilization (%),[250] XSEDE Utilization (%),[6] XSEDE Utilization (%),[100] XSEDE Utilization (%),[384] XSEDE Utilization (%),[220] XSEDE Utilization (%),[3] XSEDE Utilization (%),[60] XSEDE Utilization (%),[24] XSEDE Utilization (%),[120] XSEDE Utilization (%),[40] XSEDE Utilization (%),[90] XSEDE Utilization (%),[30] XSEDE Utilization (%),[15] XSEDE Utilization (%),[66] XSEDE Utilization (%),[5] XSEDE Utilization (%),[48] XSEDE Utilization (%),[106] XSEDE Utilization (%),[25] XSEDE Utilization (%),[375] XSEDE Utilization (%),[212] XSEDE Utilization (%),[50] XSEDE Utilization (%),[150] XSEDE Utilization (%),[183] XSEDE Utilization (%),[13] XSEDE Utilization (%),[7] XSEDE Utilization (%),[80] XSEDE Utilization (%),[135] XSEDE Utilization (%),[54] XSEDE Utilization (%),[18] XSEDE Utilization (%),[160] XSEDE Utilization (%),[512] XSEDE Utilization (%),[45] XSEDE Utilization (%),[125] XSEDE Utilization (%),[28] XSEDE Utilization (%),[72] XSEDE Utilization (%),[122] XSEDE Utilization (%),[181] XSEDE Utilization (%),[42] XSEDE Utilization (%),[26] XSEDE Utilization (%),[96] XSEDE Utilization (%),[252] XSEDE Utilization (%),[110] XSEDE Utilization (%),[36] XSEDE Utilization (%),[9] XSEDE Utilization (%),[35] XSEDE Utilization (%),[14] XSEDE Utilization (%),[144] XSEDE Utilization (%),[61] XSEDE Utilization (%),[78] XSEDE Utilization (%),[19] XSEDE Utilization (%),[224] XSEDE Utilization (%),[192] XSEDE Utilization (%),[31] XSEDE Utilization (%),[174] XSEDE Utilization (%),[81] XSEDE Utilization (%),[1024] XSEDE Utilization (%),[22] XSEDE Utilization (%),[62] XSEDE Utilization (%),[117] XSEDE Utilization (%),[56] XSEDE Utilization (%),[11] XSEDE Utilization (%),[2000] XSEDE Utilization (%),[243] XSEDE Utilization (%),[75] XSEDE Utilization (%),[63] XSEDE Utilization (%),[49] XSEDE Utilization (%),[38] XSEDE Utilization (%),[93] XSEDE Utilization (%),[39] XSEDE Utilization (%),[43] XSEDE Utilization (%),[84] XSEDE Utilization (%),[82] XSEDE Utilization (%),[34] XSEDE Utilization (%),[112] XSEDE Utilization (%),[196] XSEDE Utilization (%),[44] XSEDE Utilization (%),[140] XSEDE Utilization (%),[162] XSEDE Utilization (%),[204] XSEDE Utilization (%),[99] XSEDE Utilization (%),[139] XSEDE Utilization (%),[52] XSEDE Utilization (%),[180] XSEDE Utilization (%),[29] XSEDE Utilization (%),[17] XSEDE Utilization (%),[2048] XSEDE Utilization (%),[200] XSEDE Utilization (%),[70] XSEDE Utilization (%),[33] XSEDE Utilization (%),[187] XSEDE Utilization (%),[101] XSEDE Utilization (%),[123] XSEDE Utilization (%),[86] XSEDE Utilization (%),[171] XSEDE Utilization (%),[210] XSEDE Utilization (%),[65] XSEDE Utilization (%),[83] XSEDE Utilization (%),[98] XSEDE Utilization (%),[47] XSEDE Utilization (%),[57] XSEDE Utilization (%),[207] XSEDE Utilization (%),[147] XSEDE Utilization (%),[138] XSEDE Utilization (%),[225] XSEDE Utilization (%),[226] XSEDE Utilization (%),[126] XSEDE Utilization (%),[105] XSEDE Utilization (%),[113] XSEDE Utilization (%),[76] XSEDE Utilization (%),[108] XSEDE Utilization (%),[136] XSEDE Utilization (%),[234] XSEDE Utilization (%),[400] XSEDE Utilization (%),[705] XSEDE Utilization (%),[640] XSEDE Utilization (%),[21] XSEDE Utilization (%),[188] XSEDE Utilization (%),[121] XSEDE Utilization (%),[51] XSEDE Utilization (%),[23] XSEDE Utilization (%),[157] XSEDE Utilization (%),[68] XSEDE Utilization (%),[170] XSEDE Utilization (%),[625] XSEDE Utilization (%),[115] XSEDE Utilization (%),[169] XSEDE Utilization (%),[163] XSEDE Utilization (%),[153] XSEDE Utilization (%),[142] XSEDE Utilization (%),[248] XSEDE Utilization (%),[41] XSEDE Utilization (%),[27] XSEDE Utilization (%),[500] XSEDE Utilization (%),[46] XSEDE Utilization (%),[129] XSEDE Utilization (%),[255] XSEDE Utilization (%),[114] XSEDE Utilization (%),[37] XSEDE Utilization (%),[197] XSEDE Utilization (%),[216] XSEDE Utilization (%),[132] XSEDE Utilization (%),[148] XSEDE Utilization (%),[111] XSEDE Utilization (%),[69] XSEDE Utilization (%),[152] XSEDE Utilization (%),[768] XSEDE Utilization (%),[800] XSEDE Utilization (%),[194] XSEDE Utilization (%),[55] XSEDE Utilization (%),[320] XSEDE Utilization (%),[176] XSEDE Utilization (%),[173] XSEDE Utilization (%),[58] XSEDE Utilization (%),[233] XSEDE Utilization (%),[53] XSEDE Utilization (%),[168] XSEDE Utilization (%),[124] XSEDE Utilization (%),[146] XSEDE Utilization (%),[195] XSEDE Utilization (%),[87] XSEDE Utilization (%),[130] XSEDE Utilization (%),[237] XSEDE Utilization (%),[350] XSEDE Utilization (%),[102] XSEDE Utilization (%),[161] XSEDE Utilization (%),[94] XSEDE Utilization (%),[59] XSEDE Utilization (%),[241] XSEDE Utilization (%),[864] XSEDE Utilization (%),[97] XSEDE Utilization (%),[218] XSEDE Utilization (%),[203] XSEDE Utilization (%),[155] XSEDE Utilization (%),[103] XSEDE Utilization (%),[119] XSEDE Utilization (%),[92] XSEDE Utilization (%),[211] XSEDE Utilization (%),[175] XSEDE Utilization (%),[191] XSEDE Utilization (%),[127] XSEDE Utilization (%),[71] XSEDE Utilization (%),[145] XSEDE Utilization (%),[133] XSEDE Utilization (%),[159] XSEDE Utilization (%),[131] XSEDE Utilization (%),[88] XSEDE Utilization (%),[209] XSEDE Utilization (%),[107] XSEDE Utilization (%)
2013-08-01,4.546489195,7.362577167,9.450761963,3.523382817,3.981819702,1.043827162,3.500385796,2.135178743,0,0.841640941,1.317885163,1.198615931,1.515395919,0.650840730,1.531950480,0.096530992,0,0,1.031797363,0.262128667,0,0.016782407,0.067226079,0,0.280972706,0.962094907,0,0.895010489,0.055951000,0,0.046768500,0,0,0.012498390,1.503966535,0,0.364405102,0.389931157,0,0,0,0.323885995,0,0.058539094,0.313178168,1.654831371,0,0.000144676,0,0,0,0,0.030497685,0,0,0,0.037595848,0.059448744,0.135103999,0,0,0,0.000068721,0,0,0.414266457,0,0,0.063168724,0.000150300,0,0.173925781,0,0.030168746,0,0,0,0,0,0,0,0,0.010886863,0,0,0,0,0,0,0,0,0,1.708664280,0,0,0,0,0.000126393,0,0,0,0,0,1.322937966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486322098,0,0,0,0,0,0,0,0,0.076144748,0,0,0.617414157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047814589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,2.832619593,7.029359569,9.544100432,4.026721616,2.936087190,3.869907407,6.173303272,1.807020404,0,2.792746908,1.351092308,1.737709776,2.336445873,1.063116885,1.679494606,1.639720775,0,0,1.517449739,0.000554593,0.033260995,0.000795718,0.883752894,0,0.569486645,1.045967764,0,0.567056283,3.402401611,0,0,0,0,0,1.644181618,0,0.674144604,0.505205327,0,0,0,0.243945313,0,0,0.163402416,0.659506212,0,0,0,0,0,0,0.761419755,0,0,0,0.000689019,0,0.036337371,0,0.141510136,0,0,0,0,0.196951764,0,0,0,0,0,0,0,0.022313246,0,0,0,0,0,0,0,0,0.004233778,0,0,0,0.484085648,0,0,0,0,0,1.446654369,0,0.441243087,0,0,0.005755891,0,0,0,0,0,1.045852824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479275174,0,0,0,0,0,0,0,0,0,0,0,0.321199241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019683964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,2.103677979,3.974601341,10.025716960,6.034355717,3.808632116,4.366203704,4.969458107,1.381886981,0,4.089068934,1.250261217,0.907499028,2.298587000,0,1.445676600,0.688195245,0,0,1.411696456,0.001060958,0,0.002218366,0,0,1.760109226,0.538676695,0,0.300157331,3.554745370,0,0.008590133,0,0,0,0.298725649,0,0.721362807,0.348648288,0.021524563,0,0,0.142455150,0,0.662962963,0,0,0,0,0.006373779,0,0,0,0,0,0,0.617404514,0.131128834,0,0,0,0.013323649,0,0,0,0,0.422850152,0,0,1.124485596,0,0,0.175689019,0,0.005280472,0,0,0,0,0,0,0,0,0,0,0,0,1.427973895,0,0,0,0,0,0,0,0.700781250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013076294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,1.137545008,4.362564295,8.144605197,5.122083962,2.601977648,3.235853909,3.500901801,1.224773718,0,4.655452673,0.880915640,0.932130109,2.248000660,0,1.605020255,2.327755272,0,0,1.360191207,0.001615546,0,0.002338926,0,0,1.213179977,0.689419972,0,0.396652158,0.816763116,0,0.425553186,0,0,0,0.593020594,0,0.674377093,0.285605749,0,0,0,0.269028501,0,0,0.553828487,0,0,0,0,0,0,0,0,0,0,1.003638600,0.086127387,0,0,0,0,0,0,0,0,0.382080679,0,0,0,0,0,0.089713542,0,0.194698830,0,0,0,0,0,0,0,0,0,0,0,0,1.140358154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300298995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338404225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026065177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,1.311394038,2.729102363,4.876022366,1.564620303,2.067576525,3.728549389,1.800248372,0.993629824,0,2.910288063,0.568226752,0.553662711,0.901174285,0,0.835179159,2.434654708,0,0,0.999512320,0,0,0,0,0,0.550220635,0.235143591,0,0.298764829,0.925250773,0,0.000085399,0,0,0,0,0,0.554471693,0.383365289,0,0,0,0.265986690,0,0.375411522,0.322048611,1.249939715,0,0,0,0.236477223,0,0,0.043094134,0,0,0.325759549,0.014845558,0,0,0,0,0,0,0,0,0.036353041,0,0,0.272222222,0,0,0.221674262,0,0.005282683,0,0,0,0,0,0,0,0,0,0,0,0,0.763509517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041332104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002532633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018180940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,0.354269545,0.262397122,0.403173227,0.245389657,0.308766954,2.558950620,0.137889011,0.032167083,0,0.224459880,0.083196696,0.071969039,0.065381461,0,0.227587285,0,0,0,0.288743616,0,0,0,0,0,0.178505981,0,0,0,0,0,0,0,0,0,0.028935185,0,0.040758224,0.129816705,0,0,0,0.010087529,0,0,0.124963831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074925854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013163701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,2.261857001,6.933011845,5.743852869,5.289930569,2.695161178,5.553909460,3.276303675,1.831925573,0,4.657947528,1.074492020,1.571988331,1.934729063,0.899402005,0.884259255,2.893639083,0,0,2.261888138,0.079595870,0,0,0.640528551,0,1.245943047,1.063027461,0,0.253871085,0,1.727560764,0.153924136,0,0,0.013101205,0.119026091,0,0.756799967,0.379767271,0,0,0,0.007523148,0,0.054835390,0.262152778,0.809280961,0,0,0,0,0,0,0.049054782,0,0,1.316268808,0.171978082,0,0.022783646,0,0,0,0,0,1.036381171,0.319721137,0,0,0.160905350,0,0,0,0,0.471486984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295768229,0,0,0,0,0.000140055,0,0,0,0,0,0,0,0,0,0,0.012721436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113932,0,0,0,0,0,0,0,0,0,0,0.747685990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,2.257812500,7.347698048,6.169753083,2.775090011,2.528468221,1.910288068,1.754023605,1.520798783,0,6.628060692,0.676420234,0.926900083,1.742934982,0.003767601,0.592320123,3.515825937,0,0,1.130254752,1.682267556,0.089935380,0,1.188400205,0,1.919397420,1.007571370,0,0.102276837,0.173784722,0.735514725,0,0,0,0.645787114,0,0,0.050883124,0.116503504,0,0,0,0.053092448,0,0,0.762008102,0,0,0,0,0,0,0,0,0,0,1.469929109,0.095281756,0,0.200779640,0,0,0,0,0,1.040625000,0.321402995,0,0,0,0,0,0,0,0.169156295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202629485,0,0.003761574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008895160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,1.325713736,3.390843628,6.644560185,3.473349098,3.119689593,6.162860089,3.085841865,3.087813861,0,8.051157407,1.523501799,0.930459106,1.666128147,0,0.932650942,1.258700647,0,0,1.200903008,0.642626347,0.228973764,0,0.578012474,0,1.950484660,1.501497993,0,0.237518681,0,1.461338171,0.567189910,0,0,1.368503649,0,0,0.009435285,0.214586548,0.088686343,0,0,0.154047309,0,1.345576131,0.015688296,0,0,0,0,0,0,0,0,0,0,2.012051505,0.031642433,0,0.338758681,0,0,0,0.005005186,0,1.013695991,0.130350197,0,0,0,0,0,0,0,0.276065375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163638116,0.256479673,0,0.044417919,0,0,0.004700358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000573880,0,0,0,0,0,0.005943771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014854800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,1.577604158,2.634143519,5.414432219,2.080542684,2.130612210,3.913580250,1.595935420,2.316878043,0,3.736291151,0.495655707,0.449165704,1.545572912,0,0.606494751,1.453370144,0,0,0.609537155,0.614981192,0.229205250,0.003544560,0.613289289,0,1.298074603,0.855245709,0,0.323389884,0,1.128022117,0.370470839,0,0,0.184542187,0,0,0,0.116398013,0.382539225,0,0,0.325473814,0,0.312139920,0.007848669,0.485166698,0.000275689,0,0,0,0,0,0,0,0,0,0.008816189,0,0.410046540,0,0,0,0,0,0,0.298753974,0,0,0,0.065377044,0,0,0,0.000300605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162613331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000338180,0.000157136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006129236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
