Day,[16] XSEDE Utilization (%),[256] XSEDE Utilization (%),[64] XSEDE Utilization (%),[32] XSEDE Utilization (%),[8] XSEDE Utilization (%),[1024] XSEDE Utilization (%),[128] XSEDE Utilization (%),[1] XSEDE Utilization (%),[4] XSEDE Utilization (%),[2] XSEDE Utilization (%),[40] XSEDE Utilization (%),[6] XSEDE Utilization (%),[24] XSEDE Utilization (%),[48] XSEDE Utilization (%),[96] XSEDE Utilization (%),[20] XSEDE Utilization (%),[10] XSEDE Utilization (%),[5] XSEDE Utilization (%),[30] XSEDE Utilization (%),[12] XSEDE Utilization (%),[224] XSEDE Utilization (%),[192] XSEDE Utilization (%),[36] XSEDE Utilization (%),[18] XSEDE Utilization (%),[179] XSEDE Utilization (%),[3] XSEDE Utilization (%),[9] XSEDE Utilization (%),[42] XSEDE Utilization (%),[80] XSEDE Utilization (%),[100] XSEDE Utilization (%),[217] XSEDE Utilization (%),[50] XSEDE Utilization (%),[56] XSEDE Utilization (%),[102] XSEDE Utilization (%),[28] XSEDE Utilization (%),[7] XSEDE Utilization (%),[38] XSEDE Utilization (%),[512] XSEDE Utilization (%),[648] XSEDE Utilization (%),[127] XSEDE Utilization (%),[144] XSEDE Utilization (%),[17] XSEDE Utilization (%),[15] XSEDE Utilization (%),[1728] XSEDE Utilization (%),[125] XSEDE Utilization (%),[864] XSEDE Utilization (%),[132] XSEDE Utilization (%),[240] XSEDE Utilization (%),[121] XSEDE Utilization (%),[34] XSEDE Utilization (%),[65] XSEDE Utilization (%),[60] XSEDE Utilization (%),[238] XSEDE Utilization (%),[160] XSEDE Utilization (%),[26] XSEDE Utilization (%),[244] XSEDE Utilization (%),[13] XSEDE Utilization (%),[66] XSEDE Utilization (%),[25] XSEDE Utilization (%),[39] XSEDE Utilization (%),[119] XSEDE Utilization (%),[188] XSEDE Utilization (%),[90] XSEDE Utilization (%),[252] XSEDE Utilization (%),[14] XSEDE Utilization (%),[120] XSEDE Utilization (%),[200] XSEDE Utilization (%),[68] XSEDE Utilization (%),[45] XSEDE Utilization (%),[70] XSEDE Utilization (%),[640] XSEDE Utilization (%),[242] XSEDE Utilization (%),[72] XSEDE Utilization (%),[22] XSEDE Utilization (%),[149] XSEDE Utilization (%),[152] XSEDE Utilization (%),[251] XSEDE Utilization (%),[400] XSEDE Utilization (%),[234] XSEDE Utilization (%),[116] XSEDE Utilization (%),[213] XSEDE Utilization (%),[126] XSEDE Utilization (%),[54] XSEDE Utilization (%),[142] XSEDE Utilization (%),[33] XSEDE Utilization (%),[216] XSEDE Utilization (%),[75] XSEDE Utilization (%),[450] XSEDE Utilization (%),[46] XSEDE Utilization (%),[813] XSEDE Utilization (%),[151] XSEDE Utilization (%),[130] XSEDE Utilization (%),[58] XSEDE Utilization (%),[150] XSEDE Utilization (%),[198] XSEDE Utilization (%),[52] XSEDE Utilization (%),[163] XSEDE Utilization (%),[222] XSEDE Utilization (%),[23] XSEDE Utilization (%),[19] XSEDE Utilization (%),[11] XSEDE Utilization (%),[88] XSEDE Utilization (%),[875] XSEDE Utilization (%),[63] XSEDE Utilization (%),[21] XSEDE Utilization (%),[225] XSEDE Utilization (%),[94] XSEDE Utilization (%),[168] XSEDE Utilization (%),[35] XSEDE Utilization (%),[76] XSEDE Utilization (%),[136] XSEDE Utilization (%),[250] XSEDE Utilization (%),[103] XSEDE Utilization (%),[61] XSEDE Utilization (%),[255] XSEDE Utilization (%),[27] XSEDE Utilization (%),[99] XSEDE Utilization (%),[123] XSEDE Utilization (%),[108] XSEDE Utilization (%),[1000] XSEDE Utilization (%),[800] XSEDE Utilization (%),[112] XSEDE Utilization (%),[44] XSEDE Utilization (%),[600] XSEDE Utilization (%),[57] XSEDE Utilization (%),[97] XSEDE Utilization (%),[135] XSEDE Utilization (%),[197] XSEDE Utilization (%),[500] XSEDE Utilization (%),[74] XSEDE Utilization (%),[181] XSEDE Utilization (%),[41] XSEDE Utilization (%),[98] XSEDE Utilization (%),[78] XSEDE Utilization (%),[158] XSEDE Utilization (%),[77] XSEDE Utilization (%),[2000] XSEDE Utilization (%),[129] XSEDE Utilization (%),[37] XSEDE Utilization (%),[165] XSEDE Utilization (%),[1856] XSEDE Utilization (%),[850] XSEDE Utilization (%),[203] XSEDE Utilization (%),[480] XSEDE Utilization (%),[211] XSEDE Utilization (%),[62] XSEDE Utilization (%),[185] XSEDE Utilization (%),[43] XSEDE Utilization (%),[31] XSEDE Utilization (%),[176] XSEDE Utilization (%),[124] XSEDE Utilization (%),[122] XSEDE Utilization (%),[4000] XSEDE Utilization (%),[963] XSEDE Utilization (%),[82] XSEDE Utilization (%),[49] XSEDE Utilization (%),[110] XSEDE Utilization (%),[960] XSEDE Utilization (%),[570] XSEDE Utilization (%),[175] XSEDE Utilization (%),[95] XSEDE Utilization (%),[3712] XSEDE Utilization (%),[140] XSEDE Utilization (%),[109] XSEDE Utilization (%),[520] XSEDE Utilization (%),[71] XSEDE Utilization (%),[55] XSEDE Utilization (%),[92] XSEDE Utilization (%),[153] XSEDE Utilization (%),[59] XSEDE Utilization (%),[210] XSEDE Utilization (%),[172] XSEDE Utilization (%),[300] XSEDE Utilization (%),[187] XSEDE Utilization (%),[29] XSEDE Utilization (%),[928] XSEDE Utilization (%),[900] XSEDE Utilization (%),[47] XSEDE Utilization (%),[118] XSEDE Utilization (%),[481] XSEDE Utilization (%),[2048] XSEDE Utilization (%),[157] XSEDE Utilization (%),[464] XSEDE Utilization (%),[53] XSEDE Utilization (%),[220] XSEDE Utilization (%),[67] XSEDE Utilization (%),[51] XSEDE Utilization (%),[133] XSEDE Utilization (%),[81] XSEDE Utilization (%),[230] XSEDE Utilization (%),[325] XSEDE Utilization (%),[84] XSEDE Utilization (%),[544] XSEDE Utilization (%),[204] XSEDE Utilization (%),[229] XSEDE Utilization (%),[138] XSEDE Utilization (%),[117] XSEDE Utilization (%),[69] XSEDE Utilization (%),[137] XSEDE Utilization (%),[768] XSEDE Utilization (%),[384] XSEDE Utilization (%),[232] XSEDE Utilization (%),[235] XSEDE Utilization (%),[547] XSEDE Utilization (%),[350] XSEDE Utilization (%),[576] XSEDE Utilization (%),[139] XSEDE Utilization (%),[219] XSEDE Utilization (%),[321] XSEDE Utilization (%),[550] XSEDE Utilization (%),[208] XSEDE Utilization (%),[475] XSEDE Utilization (%),[274] XSEDE Utilization (%),[827] XSEDE Utilization (%),[196] XSEDE Utilization (%),[183] XSEDE Utilization (%),[105] XSEDE Utilization (%),[79] XSEDE Utilization (%),[107] XSEDE Utilization (%),[73] XSEDE Utilization (%),[83] XSEDE Utilization (%),[226] XSEDE Utilization (%),[896] XSEDE Utilization (%),[177] XSEDE Utilization (%),[455] XSEDE Utilization (%),[154] XSEDE Utilization (%),[169] XSEDE Utilization (%),[148] XSEDE Utilization (%),[141] XSEDE Utilization (%),[85] XSEDE Utilization (%),[87] XSEDE Utilization (%)
2015-02-01,7.291496279,4.047530861,4.517502568,3.610159455,5.064075372,0.747736627,9.310185181,3.654586227,5.478098475,4.276547635,0.793145576,0.843311148,3.935561343,1.912779708,1.213792435,2.591575842,0.020953898,2.562994308,0.165135512,3.059594424,0,0,0,0.624638310,0,2.103593999,2.351358145,0,2.074154451,0,0,1.188673485,0,0.004816506,0.956232318,1.244106870,0,0.063888889,0,0,0,0,0.328676572,0,0,0,0,4.380690588,0,0.000307436,0,0.288134164,0,0,0,0,0.010083107,0,0.105869620,0,0,0,0,0,0.031194942,0.041859569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058537087,0,1.135672463,0,0,0,0,0,0,0.276036847,0,0,0,0,0,0.134854442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071422888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271568766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,8.171656381,0.499176957,1.510905350,5.571328446,5.989031969,0.987860085,7.206507202,3.047019671,4.868377866,3.915859687,2.854439941,0.705386764,3.721923222,3.149344139,2.136014662,1.196570376,0.063673485,2.794069897,0.087233552,1.479183549,0,0,0.390010127,0.139265046,0,2.299578636,0.308940972,0,0,0,0,2.699723108,0,1.930351802,0.807777136,0.053732435,0.000244340,0.353600821,0,0,0,0.090833776,0.314028139,0,0,0,0,5.930121528,0,0.055926089,0,1.105770160,0,0,0,0,0.076093510,0,0.459682635,0.120527104,0,0,0,0,0.049522569,0.602936921,0,0,0.000660084,0,0,0,0,0.004075842,0,0,0,0,0,0,0,0,0,0,0,0.156336806,0,0,0,0,0,0,0,0.007746189,0,0,0,0,0.000263432,0,0,0,0,0.000594980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238953993,0,0,0,0,0,0,0,0,0,0.099590888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057163068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,11.779629639,1.117695475,3.622260796,7.247440850,4.595896019,0.398353909,4.917232503,3.509264508,5.661280717,4.132863137,4.355299972,0.972251153,3.783130787,1.905574847,3.159008486,2.674997590,0.230036730,2.095759377,0.515468266,1.857342303,0,0.663078704,0.945934606,0.937500000,0,1.367686627,1.096596499,0,0,0,0,2.900280106,0,0.993142361,0,0.085048344,0.520531521,0.123765431,0,0,0,0.159873730,0.160379291,0,0,0,0,0.528886958,0,0.174145607,0,1.045560863,0,0,0,0,0.054156214,0.002493250,0.376870741,0.677083333,0,0,0,0,0.142820457,1.318962190,0,0,0.001021774,0,0,0,0,0.000592367,0,0,0,0,0,0,0,0.638375289,0.032552083,0,0,1.294661458,0,0,0,0,0,0,0,0.259211037,0,0,0,0,0,0.002241071,0.002632501,0,0,0,0,0.083188657,0,0,0,0,0,1.586863828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894066076,0,0,0,0,0,0,0,0,0,0.305923674,0,0.004976852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472579893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,14.599900341,2.406893003,5.003562238,5.722620895,2.090166848,0.756378603,6.961008233,4.196368422,5.057676672,4.283080557,4.929140951,0.734762013,4.098722032,0.782359181,0.648418208,1.988257134,0.169399437,3.520562070,1.537712194,1.124925248,0,3.333333333,0.013158275,0.299667245,0,1.210932075,0.306727431,0,0.086484054,0,0,1.600417150,0,0.540883007,0,0.068730713,0.148567306,0.241975310,0,0,0,0.047522823,0.001552251,0,0,0,0,4.825472607,0,0.157229777,0,1.208405671,0,0,0,0,0.136560814,0,0.434479890,0.556775657,0,0,0,0,0.098752577,0.078317903,0,0,0.001076027,0,0,0,0,0.069276060,0,0.004153809,0,0,0,0,0,0.844086372,0.000499132,0,0,3.466145833,0,0,0,0,0,0,0.120844989,0.096480758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133327709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,8.424077275,7.286985596,2.416885281,6.250334355,1.896820349,10.753086421,8.030349795,2.627753088,4.414164582,3.554859497,1.957280418,0.512112996,2.878438463,2.113155861,0.881134259,0.887184932,0.880853344,2.416350184,1.437403551,0.900701674,0,2.870370370,0.346932870,0.938794850,0,2.000124186,0.001600477,0,0.492316099,0,0,0.995661734,0,0.425942803,1.045735275,0.000474013,0,0.221090535,0,0,0,1.946707420,0.011878495,0,0,0,0,0,0,0.001345888,0,0.852731965,0,0.033982765,0,0,0.008999042,0,0.469860184,0,0,0,0,0,0.263740596,0,0,0,0.000705295,0,0,0,0,0,0.175028533,1.357256302,0,0,0,0,0,0.075119358,0,0,0,2.713498264,0.091537665,0,0,0,0,0,0,0.238142601,0,0.106974989,0,0,0,0,0.000528271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369184227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342050058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002537055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,7.377337321,3.822479420,2.065406377,4.778427219,2.462578776,9.387242798,3.175977363,2.929404971,4.437132672,2.725223041,2.401708781,0.584734280,2.019396218,0.819810963,3.378009259,1.606658307,2.745623544,1.592291187,0.137761624,0.664595391,0,3.333333333,0.628038194,0.262764034,0,1.314753314,0.431407335,0,0,0,0,0.659129449,0,0.433321275,1.458333333,0.003401087,0,0.150514404,0,0,0,3.862848832,0,0,0,8.142881944,0,0,0,0.010876415,0,0.462914741,0,0,0,0,0.128290573,0,0.197422359,0,0,0.033847738,0,0,0.034846399,0.011525847,0,0.000997459,0.033836082,0,0,0,0.008015046,0,2.586805556,2.638888889,0,0,0,0,0,0,0,0,0,0.138064236,0.089186682,0,0,0,0,0,0,0.760271991,0,0,0,0,0,0,0.000057468,0,0,0,0,0.009946470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097709902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005913628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026774089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,8.252301943,5.324382718,2.695370370,3.653639400,4.369386565,3.316049384,3.397865230,4.398862101,4.148682649,3.824469148,1.760320218,0.881200571,3.027970676,0.547337963,2.811458333,3.661217204,2.932349930,3.072416328,0.066502699,0.373796780,0,3.133719134,0.767324942,1.066554543,0,1.823122830,0.362490958,0,0,0.026443545,0,1.541331100,0,1.338044944,1.092349053,0.000037977,0.984795767,0.233127573,0,0,0,4.556841969,0.383355035,0,0,1.184895833,0,0,0,0.061330132,0,1.097909433,0,0.008584106,0,0,0.126396724,0.043233991,0.434027778,0.623410373,0,0.534008486,0,0,0.002036716,0,0.031989457,0.059779288,0.002016421,0,0,0,0,0.024198654,1.299630272,0.491798485,0,0,0,0,0,0,0,0,0,0.429730903,0,0,0,0,0,0,0,0.904043692,0,0,0,0,0.001233964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461314462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013346354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,6.221630642,1.340123454,3.155246917,2.769193671,4.008957045,3.445061727,6.452211932,3.231175451,4.342590997,3.161482033,1.501157407,0.806501989,3.800607639,0.304398148,0.858641972,1.130835268,0.628144694,2.134875140,0.128369746,1.052727137,0,2.982137347,0.335351563,0.340502025,0,1.478478249,0.148430266,0,0.094071502,0.460611979,0,1.259283375,0,0.671297499,1.461472801,0.000846757,0.207804864,0.109156377,0,0,0,0.261812785,0.433503328,0,0,15.000000000,0,0,0,0,0,1.082597896,0,0.004179525,0,0,0.126258278,0.001233362,0.329137731,0.677083333,0,3.263888889,0,3.079311343,0.004219713,0,0.016999421,0,0,0,0,0,0,0.001710793,2.481656702,2.638888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030803914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199805691,0,0.042746311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.070216051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,4.149765295,1.893724275,3.932664605,3.288142999,2.388440398,3.604526751,2.418184159,2.710925411,3.359983448,2.651792779,1.123826515,0.829547639,4.040388694,0.466917435,2.180343366,1.645363141,0.425451714,0.290710201,0.361912855,0.733041572,0,3.333333333,0.549074074,0,0,0.631240361,0.120826100,0,0.530767745,0.005827225,0,0.865162037,0,1.582190394,0.548742929,0.136707506,0,0.494444444,0,0,0,0.132388921,0.328981002,0,0,0.448437500,0,0,0,0.566079124,0,0.580837674,0,0,0.030897154,0,0.126093709,0.008156105,0.000010046,0.053759164,0,2.754321791,0.003725405,0,0.016226205,0.038556134,0,0,0.054660373,0,0,0,0.023943866,0.009774066,2.196389531,1.839891977,0,0,0,0,0,2.433745660,0.021875000,0,0.000338180,0,0,0,0.004556889,0,0,0,0,0,0,0,0,0,0.042966942,0.017054276,0.004732309,0,0,0,0,0,0,0,0.000225052,0,0,0,0,0.457612766,0,0,0,0,0,0,0,0,0,0,0.249194033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019371704,0.012433291,0,0,0.127745226,0,0,0.024781377,0,0,0,0,0,0,0,0,0,0,0.021071850,0,0.004917372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001813874,0,0.003043620,0,0,0,0,0,0,0,0,0,0,0,0.038657407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013992775,0,0,0,0,0,0,0,0,0.000580711,0
2015-02-10,1.382204852,0.315072021,1.756995886,0.583230451,0.388416278,5.282304525,0.634645060,0.679293258,0.429647298,0.695596214,0.358137216,0.099626252,0.916840273,0.115354935,0.313348768,0.049004951,0.067798756,0.317333582,0,0,0,0.482523148,0,0.128309462,0,0.264133644,0.067661314,0,0.048032407,0.000964505,0,0.108145255,0,0.189216819,0.102223990,0.001569734,0,0.096090535,0,0,0,0.019242097,0.048439308,0,0,2.049826389,0,0,0,0,0,0.007848669,0,0,0.012716209,0,0,0,0,0,0,0,0.297743056,0,0.004990515,0,0,0,0,0,0,0,0.022714120,0,0,0,0,0,0,0,0,0,0.001302083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002647569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075259612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
