Day,[1] XSEDE Utilization (%),[2] XSEDE Utilization (%),[8] XSEDE Utilization (%),[32] XSEDE Utilization (%),[4] XSEDE Utilization (%),[16] XSEDE Utilization (%),[3] XSEDE Utilization (%),[21] XSEDE Utilization (%),[9] XSEDE Utilization (%),[24] XSEDE Utilization (%),[12] XSEDE Utilization (%),[13] XSEDE Utilization (%),[7] XSEDE Utilization (%),[5] XSEDE Utilization (%),[10] XSEDE Utilization (%),[6] XSEDE Utilization (%),[20] XSEDE Utilization (%),[11] XSEDE Utilization (%),[14] XSEDE Utilization (%),[18] XSEDE Utilization (%),[17] XSEDE Utilization (%),[15] XSEDE Utilization (%),[19] XSEDE Utilization (%),[22] XSEDE Utilization (%),[28] XSEDE Utilization (%)
2014-02-01,31.288800533,15.568129845,40.754172523,0,5.880303234,12.432147737,2.645502646,0,0,0,0,0,0,2.203845566,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,26.401507730,7.296445737,34.086403334,0,6.131666919,20.688402273,2.526102924,0,0,0,0,0,0,2.204585538,0,0.385894327,0,0,0,0,0,0,0,0,0
2014-02-03,52.072517602,8.757818126,38.432988809,0,7.019630112,13.968335664,2.457483247,0,0,0,0,0,0.017716084,0.692607290,0,1.688111600,0,0.002733112,0,0,0,0,0,0,0
2014-02-04,40.367602295,13.742151446,38.894849422,0,12.027707105,9.661147050,1.718244782,0,0,0,0,0,0,2.204585538,0,0.553473428,0,0,0,0,0,0,0,0,0
2014-02-05,45.341340399,21.014588845,28.708031179,0,10.803408037,14.109347443,2.994192697,0,0,0,0,0,0,0.770864967,0,0,0,0.429940109,0,0,0,0,0,0,0
2014-02-06,46.268776696,19.344906374,28.572326710,0,2.312161160,10.287086009,3.173648256,0,0,0,0,0,0.378336502,0,0,0,9.436544680,2.713635534,0,0,0,0,0,0,0
2014-02-07,37.762148127,27.876371895,15.942786987,0,7.795516482,13.597393652,3.046105692,0,0,0,0,0,0,0,0,2.431229160,0,0.407935073,0,0,0,0,0,0,0
2014-02-08,34.446365477,6.868161709,29.075339644,0.034456868,9.609543387,12.319387263,1.483439199,0,0,0,0,0,0,0,0.051134156,0.510147236,0,3.284475240,0,0,0,0,0,0,0
2014-02-09,34.725360542,12.455943999,26.784244562,10.394375838,5.481967237,0.577764688,0.757914290,0,0,0,0,0,0.006251435,0,1.335018119,1.665300283,0,0.002161183,0,0,0,0,0,0,0
2014-02-10,38.103581361,12.482741023,30.891101684,1.302828414,4.419581600,0,1.547647753,0,0,0.743680188,0,0,0,0,0.780535576,1.748603762,0,0,0,0,0,0,0,0,0
2014-02-11,46.934317876,10.769890414,32.715355340,0.649944483,9.265281165,0,2.378079932,0,0,0,0,0,0,0,2.727511218,0,0,0,0,0,0,0,0,0,0
2014-02-12,35.978620458,13.718911210,9.998856888,0.372329983,7.511451559,1.535534646,2.428595943,0,0,0,0,0,0,0,2.489242426,0,0,0,0,0,0,0,0,0,0
2014-02-13,51.171643346,10.271057007,14.587007643,5.665131609,3.754613210,0.607485774,1.447947669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,50.014625358,11.297674162,15.830148970,3.487654321,5.491887986,0.839457201,1.766760993,0,0,0,0,0,0,0,1.382969175,0,0,0,0,0,0,0,0,0,0
2014-02-15,52.403337134,7.870339828,11.257716049,0,3.503494670,2.193930041,1.877587345,3.358946311,1.665151014,0,1.096965021,0,0,0.000331721,0.483477837,0,0,0,0,0,0,0,0,0,0
2014-02-16,62.938914092,13.484645923,5.492398256,0,6.437308132,0,10.701211316,9.259259259,3.968253968,0,2.653218637,0,0,0.127069842,0,0,0,0,0,0,0,0,0,0,0
