Day,[1] XSEDE Utilization (%),[2] XSEDE Utilization (%),[4] XSEDE Utilization (%),[8] XSEDE Utilization (%),[32] XSEDE Utilization (%),[16] XSEDE Utilization (%),[3] XSEDE Utilization (%),[12] XSEDE Utilization (%),[24] XSEDE Utilization (%),[31] XSEDE Utilization (%),[6] XSEDE Utilization (%),[5] XSEDE Utilization (%),[17] XSEDE Utilization (%),[10] XSEDE Utilization (%),[15] XSEDE Utilization (%),[7] XSEDE Utilization (%),[9] XSEDE Utilization (%),[22] XSEDE Utilization (%),[14] XSEDE Utilization (%),[20] XSEDE Utilization (%),[28] XSEDE Utilization (%),[18] XSEDE Utilization (%),[11] XSEDE Utilization (%),[25] XSEDE Utilization (%),[13] XSEDE Utilization (%),[30] XSEDE Utilization (%),[26] XSEDE Utilization (%)
2014-08-01,34.687451488,39.262086411,7.403896375,7.275662983,0.627572016,27.628519184,0,0,0,0,0,7.687879659,0,1.031868490,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,37.118147011,38.341467795,8.089012150,3.527336861,16.492096159,15.442958416,0,0,0,0,0,7.327720826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,52.004755704,30.735708946,7.091722987,3.601272115,15.284473173,13.979685146,0,0,0,0,0,1.088003782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,42.552918837,25.603954360,7.848875719,7.774593357,14.109347443,8.403308543,1.271280393,0,0,0,0,4.403838218,0,0.025516011,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,44.014734841,27.839179676,8.412616832,6.661440938,10.236135626,7.051734274,1.758662184,0,0,0,0,4.864479247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,48.342859439,28.682954133,4.013223437,6.808739919,0,6.417140308,2.314967930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,30.708071941,70.300456361,2.690063864,5.077568687,0.398621732,10.924701175,2.728832936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,25.065836043,36.730715790,3.683290907,9.319191319,14.109347443,23.002400587,4.349662595,0,0,0,0,0,0,0,0,0,0,0,0,0.155035411,0,0,0,0,0,0,0
2014-08-09,32.124049445,27.600033011,4.163114758,13.755388949,12.431249598,28.401838820,1.159765108,0,0,0,0.021647824,0.385751431,0,0,0,0,0,0,0,0.429281833,0,0,0,0,0,0,0
2014-08-10,28.376196217,22.729287115,3.763349914,4.492822811,0,28.854268744,4.021378337,0,0,0,1.677475279,0.194661860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,27.173221175,19.576198973,3.619051638,0,0,27.643134783,7.335191902,0,3.575225338,0,0,0.003954992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,22.065316702,17.073626957,3.363258573,3.373587458,0,32.888660278,5.734509686,0,1.760361552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,26.838776363,22.191204909,3.319166804,4.230232216,0.076425632,32.835831806,4.574377205,0,1.259063315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,31.797769063,25.708805023,7.912951538,6.457312737,6.100496434,8.203752733,5.325023251,0,0,0,0,0.029853762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-15,31.443620194,19.935658769,6.168195524,9.098773584,0,5.938581854,1.259782848,0,0.320889654,0,0,0,0,0,0,0,0,0,0,0.696791926,0,0,0,0,0,0,0
2014-08-16,34.294454434,17.014623751,10.157811581,12.938630883,0,7.016869156,0,0,2.333798765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,28.930146387,10.485549803,9.477656066,9.662208524,0,6.068080874,0,0,2.089579659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-18,29.276313967,15.460094935,8.635729040,16.133034451,2.852570409,9.249216167,0,0,6.886880247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-19,40.539230887,14.968829744,10.852194711,11.549211229,9.120941955,14.030390614,0.004485700,0,7.806437390,0,0,0,0,0,0,0,0,0,0,0.029700647,0,0,0,0,0,0,0
2014-08-20,34.809494989,13.293538555,7.826217402,7.867267646,27.383891828,14.152214345,0.059554410,0,4.948314698,0,0,0,0,0,0,0.465606399,3.483061434,0,0,0.142277463,0,0,0,0,0,0,0
2014-08-21,31.696307491,13.532834948,8.901828084,18.627482283,11.803350970,10.799203134,0.567833891,7.024911874,0,0,0,0.772268381,0,0,0,2.826681800,1.618854718,0,0,0,0,0,0,0,0,0,0
2014-08-22,29.007531932,12.201839508,6.948282088,20.168773251,17.724377836,7.434883088,0,15.597748854,0,0,0,2.204585538,0,0,0,3.086062541,1.863517784,0,0,0,0,0,0,0,0,0,0
2014-08-23,32.586402243,11.114275208,8.230615952,17.838444642,12.074596630,7.359069803,0,10.072873781,0,0,0,1.395982373,0,0,0,2.884194959,0.584077381,0,0,0,0,0,0,0,0,0,0
2014-08-24,51.021559641,5.360112847,4.357281677,5.662151343,40.198902587,3.903912737,0,0,0,0,0,2.076852254,0,0,6.426519958,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,32.290917108,5.620582562,4.123656753,4.389574779,64.184956574,1.368557673,0,3.028120694,5.083039389,0,0,1.389144024,0,0,2.979099323,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-26,31.805387686,10.023770714,7.705835262,15.373677249,26.368802703,7.049478650,3.925065563,11.642477483,4.041862611,0,0.001041035,0.185271991,0,0.005613483,6.612838036,0,0,0,0.001929012,0,0,0,0,0,0,0,0
2014-08-27,31.256624607,10.860225603,10.454552928,11.655357947,0.420504253,7.365846894,5.873827321,8.627155556,0,0,0,0,0,0,6.611766344,0,1.537560626,0,0,0,0,0,0,0,0,0,0
2014-08-28,25.626566461,9.267863573,15.825596903,13.568203332,38.624828513,7.491834881,2.953287244,5.291005291,0,0,0,0,0,0,3.834677499,0,1.712274030,0,0,0,0,0,0,0,0,0,0
2014-08-29,18.777185640,11.961995758,14.858597826,14.273548303,53.403880071,7.054673721,0.654930349,2.212179072,2.381074839,0,0,0.009287850,0,0.159679336,1.652903336,0,1.325507055,0,0,0,0,0,0,0,0,0,0
2014-08-30,35.041829944,14.806141608,13.470295679,9.562512229,25.477660200,5.956953401,0.357127586,5.291005291,1.971389360,0,0,0,0,0,6.582678101,0,0.395493460,0,0,0,0,0,0.143088854,0,0,0,0
2014-08-31,28.575259900,11.980166883,16.264949846,6.418854947,34.899568900,6.667401529,1.965219620,4.992161493,0,0,0,0,0,0,4.997137082,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,29.467554472,7.282603294,13.309182386,2.409530354,61.485400764,5.195309974,1.828856762,0,3.946085655,0,0,0,0,0,4.380006246,0,0,0,0,0.188512502,0.259916559,0,0,0,0,0,0
