Day,[1] XSEDE Utilization (%),[2] XSEDE Utilization (%),[32] XSEDE Utilization (%),[8] XSEDE Utilization (%),[3] XSEDE Utilization (%),[4] XSEDE Utilization (%),[5] XSEDE Utilization (%),[16] XSEDE Utilization (%),[10] XSEDE Utilization (%),[20] XSEDE Utilization (%),[24] XSEDE Utilization (%),[31] XSEDE Utilization (%),[6] XSEDE Utilization (%),[12] XSEDE Utilization (%),[28] XSEDE Utilization (%),[15] XSEDE Utilization (%),[14] XSEDE Utilization (%),[22] XSEDE Utilization (%),[11] XSEDE Utilization (%),[9] XSEDE Utilization (%),[18] XSEDE Utilization (%),[13] XSEDE Utilization (%),[25] XSEDE Utilization (%),[7] XSEDE Utilization (%)
2015-02-01,39.588598963,10.902522586,28.218694885,0.469576720,2.454300779,5.287800490,0,0.072098099,0,6.053730630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,44.095446612,8.239873259,20.807531530,8.601843642,2.197895252,3.141881384,0,4.006711757,0,6.095474859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,44.208447467,7.927107790,28.218694885,13.221062748,2.177074148,2.267824476,0,2.340861591,0,0,0.006246326,3.502535273,0.146023192,0,0,0,2.141632392,0,0,0,0,0,0,0
2015-02-04,55.172651140,8.018383775,20.413972192,7.947816657,3.005692079,2.319326063,0,3.574368019,0,0,4.278488125,0,0,0.698057496,0,0,4.054855370,0,0.707922040,0,0,0,0,0
2015-02-05,61.592938437,8.777883931,19.104611660,4.517644837,4.881136096,1.861323417,0,0,0,0,5.768420518,0,0.131264697,3.811054791,0,0,0,0,0,0,0,0,0,0
2015-02-06,37.747852424,13.316053861,44.929616540,7.893600214,5.914719283,2.681857869,1.004847045,0,0.600086117,0,0,0.160097806,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,35.436433015,9.698002381,39.298778522,15.387190554,6.525466006,3.085664510,1.201550157,0,0.562220351,1.078920086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,27.318133175,5.202260504,34.928473428,15.953809799,7.959089610,1.880368568,0,0,0,13.874191652,0,0,0.066535597,0,3.258744856,0,0,0,0.899287184,0,0,0,0,0
2015-02-09,30.769430092,11.309135998,22.433699157,21.943750459,7.622308626,1.979350382,0,0,0.562883736,0,0,1.393895135,0.332249412,0.001959612,10.491683833,0,0,0,0.004659254,0,0,0,0,0
2015-02-10,45.361079535,14.488505613,15.185838351,17.293013875,7.856652968,2.799354183,0.595391211,3.913465941,0,0,0,1.299450059,0.444132128,0.002204586,0,0,0,0,0,2.133212081,0,0,0,0
