title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[55] Wall Hours: Per Job","[3] Wall Hours: Per Job","[28] Wall Hours: Per Job","[67] Wall Hours: Per Job","[37] Wall Hours: Per Job","[5] Wall Hours: Per Job","[18] Wall Hours: Per Job","[11] Wall Hours: Per Job","[6] Wall Hours: Per Job","[22] Wall Hours: Per Job","[40] Wall Hours: Per Job","[9] Wall Hours: Per Job","[20] Wall Hours: Per Job","[16] Wall Hours: Per Job","[14] Wall Hours: Per Job","[15] Wall Hours: Per Job","[12] Wall Hours: Per Job","[42] Wall Hours: Per Job","[27] Wall Hours: Per Job","[8] Wall Hours: Per Job","[26] Wall Hours: Per Job","[24] Wall Hours: Per Job","[70] Wall Hours: Per Job","[17] Wall Hours: Per Job","[7] Wall Hours: Per Job","[30] Wall Hours: Per Job","[43] Wall Hours: Per Job","[51] Wall Hours: Per Job","[2] Wall Hours: Per Job","[49] Wall Hours: Per Job","[64] Wall Hours: Per Job","[72] Wall Hours: Per Job","[1] Wall Hours: Per Job","[13] Wall Hours: Per Job","[21] Wall Hours: Per Job","[19] Wall Hours: Per Job","[4] Wall Hours: Per Job","[10] Wall Hours: Per Job","[41] Wall Hours: Per Job","[71] Wall Hours: Per Job","[65] Wall Hours: Per Job","[60] Wall Hours: Per Job","[25] Wall Hours: Per Job","[36] Wall Hours: Per Job","[57] Wall Hours: Per Job","[48] Wall Hours: Per Job","[32] Wall Hours: Per Job","[33] Wall Hours: Per Job","[50] Wall Hours: Per Job","[39] Wall Hours: Per Job","[56] Wall Hours: Per Job","[29] Wall Hours: Per Job","[35] Wall Hours: Per Job","[58] Wall Hours: Per Job","[52] Wall Hours: Per Job","[45] Wall Hours: Per Job","[54] Wall Hours: Per Job","[46] Wall Hours: Per Job","[38] Wall Hours: Per Job","[23] Wall Hours: Per Job","[68] Wall Hours: Per Job","[66] Wall Hours: Per Job","[34] Wall Hours: Per Job","[31] Wall Hours: Per Job","[44] Wall Hours: Per Job","[63] Wall Hours: Per Job"
2015-08-01,0,13.58370000,24.00000000,0,0,0,0,24.00000000,16.52157813,0,12.07218889,2.39280000,1.69320000,5.75302222,0,0,9.40886429,0,0,7.87716538,0,0,0,0,0,1.76587143,11.99680000,0,6.15414608,0,0,13.93790000,14.55783846,0,0,0,8.01359208,9.50253448,0,0,0,0,0,0,0,0.03260000,10.90105000,0,0.04797500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,0,6.19350000,1.19555000,0,0,7.03040000,0,6.84860000,13.68940000,0,4.53339091,0,0.03890000,11.93290000,0,0,2.53698571,0,0,4.56797500,0,0,0,0,0,12.50440000,11.99780000,0,3.32726040,0,0,0.01690000,13.84062124,0,0,0,7.50104853,10.15010938,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,0,2.49707536,0.01110000,0,0,1.59340000,0,24.00000000,4.93358000,0,3.39293333,0.04740000,0.13775000,8.43140000,0,0,14.12239091,0,0,1.14990000,0,0.01265000,0,0,14.28470000,2.99360000,11.99790000,0,2.09326468,0,0.01035000,6.02474286,6.76191213,0,0,0,4.19949627,4.57429167,0,0,0,0.01416667,0,0.01055000,0,0.01140000,5.03958000,0,0,0,0.80562000,0,0,0,0.00991667,0,0,0,0,0,0.00833333,0,0,0,0.00985000,0
2015-08-04,0,4.38384259,0,0,0,2.54305833,0,10.80790000,21.90565000,8.47470000,0.50140000,0.35055000,0.08791667,9.93362000,0,0.00640000,6.51208696,0,0,5.30629556,0,0,0,0,8.80556667,15.13920000,11.99555000,0,2.45411181,0,0,5.14906250,7.22041714,0,0,0,5.77300105,2.70082673,0,0,0,0,0,0,0,1.62055000,11.99985000,0,0,0,4.49134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,0,5.85021860,0,0,0,2.71702500,0.00580000,24.00000000,8.37059048,24.00000000,0.21752000,0,6.38095000,2.68609556,0,0.08055000,7.57423750,0,0,3.53733148,0,0,0,0,9.72310000,11.08780000,11.99905000,0,2.30064232,0,0,24.00000000,5.67130168,0,0,0,6.56761250,2.46220440,0,0,0,0,0,0,0,0,11.99985000,0,0,0,0.44363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,0,9.53947143,0,0,0,0,0,11.71305000,10.43676053,11.39905000,0.52651667,0,8.87938000,6.90725455,0,0,10.37733529,0,0,5.11223056,0,0,0,0,0,4.39600000,11.99750000,0,2.61162500,0,0,5.36036667,6.47806005,0,0,0,4.98950519,7.13259298,0,0,0,0,0,0,0,0.03595000,24.00000000,0,0,0,3.70170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,0,2.57783023,0,0,0,0,0,24.00000000,9.06905122,3.38870000,0.99823333,2.32860000,21.90260000,9.88884412,0,0,6.02089000,0,0,5.18858056,0,0,0,0,0,23.75310000,11.99805000,0,4.18810708,0,0,1.91375000,6.44601280,0,0,0,6.47326909,3.52932462,0,0,0,0,0,0,0,0,7.25585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,0,10.90602558,0,0,0,0.32330000,0,6.70500000,10.24621600,1.38093333,10.17240000,0,12.18873636,12.68613913,0,0,7.12906429,0,0,8.36639032,0,0,0,0,0,11.28913333,7.22690000,0,5.54858500,0,0,19.91555000,7.32705678,0,0,0,6.58607273,12.16852727,0,0,0,0,0,0,0,0,14.33326667,0,0,0,6.22640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,0,7.04054583,14.42570000,0,0,8.37655000,0,0,3.88628696,1.42880000,13.19533333,0,15.14855455,12.45013077,0,0,6.37074118,0,0,8.57522308,0,0.01190000,0,0,0,11.62555000,0,0,4.05880373,0,0,6.63696667,5.08246698,0,0,0,6.85010241,8.73018333,0,0,0,0,0,0,0,0,4.92464000,0,0,0,8.66470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,0,7.43220000,14.90250000,0,0,4.79056667,0.00732143,0,8.66730556,3.69265000,4.80934545,0.05510000,8.71698571,8.88292667,0,0,10.90176923,0,0,3.77827632,0,0,0,0,0,3.87415000,0.05970000,0,1.97599340,0,0,3.03425000,3.19076929,0,0,0,3.99848080,11.12901429,0,0,0,0,0,0,0,0,18.22671667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
