title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2016-02-01,2016-07-31
---------
Day,"[123] Wall Hours: Per Job","[118] Wall Hours: Per Job","[62] Wall Hours: Per Job","[43] Wall Hours: Per Job","[236] Wall Hours: Per Job","[52] Wall Hours: Per Job","[252] Wall Hours: Per Job","[126] Wall Hours: Per Job","[94] Wall Hours: Per Job","[155] Wall Hours: Per Job","[21] Wall Hours: Per Job","[39] Wall Hours: Per Job","[76] Wall Hours: Per Job","[67] Wall Hours: Per Job","[35] Wall Hours: Per Job","[69] Wall Hours: Per Job","[205] Wall Hours: Per Job","[30] Wall Hours: Per Job","[23] Wall Hours: Per Job","[100] Wall Hours: Per Job","[224] Wall Hours: Per Job","[15] Wall Hours: Per Job","[75] Wall Hours: Per Job","[18] Wall Hours: Per Job","[960] Wall Hours: Per Job","[25] Wall Hours: Per Job","[186] Wall Hours: Per Job","[1728] Wall Hours: Per Job","[116] Wall Hours: Per Job","[55] Wall Hours: Per Job","[20] Wall Hours: Per Job","[70] Wall Hours: Per Job","[120] Wall Hours: Per Job","[200] Wall Hours: Per Job","[50] Wall Hours: Per Job","[56] Wall Hours: Per Job","[44] Wall Hours: Per Job","[19] Wall Hours: Per Job","[28] Wall Hours: Per Job","[40] Wall Hours: Per Job","[7] Wall Hours: Per Job","[384] Wall Hours: Per Job","[138] Wall Hours: Per Job","[90] Wall Hours: Per Job","[648] Wall Hours: Per Job","[196] Wall Hours: Per Job","[60] Wall Hours: Per Job","[175] Wall Hours: Per Job","[255] Wall Hours: Per Job","[896] Wall Hours: Per Job","[108] Wall Hours: Per Job","[58] Wall Hours: Per Job","[46] Wall Hours: Per Job","[48] Wall Hours: Per Job","[156] Wall Hours: Per Job","[32] Wall Hours: Per Job","[81] Wall Hours: Per Job","[10] Wall Hours: Per Job","[42] Wall Hours: Per Job","[127] Wall Hours: Per Job","[80] Wall Hours: Per Job","[130] Wall Hours: Per Job","[63] Wall Hours: Per Job","[24] Wall Hours: Per Job","[3] Wall Hours: Per Job","[29] Wall Hours: Per Job","[34] Wall Hours: Per Job","[641] Wall Hours: Per Job","[168] Wall Hours: Per Job","[64] Wall Hours: Per Job","[12] Wall Hours: Per Job","[45] Wall Hours: Per Job","[17] Wall Hours: Per Job","[128] Wall Hours: Per Job","[133] Wall Hours: Per Job","[65] Wall Hours: Per Job","[96] Wall Hours: Per Job","[119] Wall Hours: Per Job","[98] Wall Hours: Per Job","[250] Wall Hours: Per Job","[13] Wall Hours: Per Job","[11] Wall Hours: Per Job","[769] Wall Hours: Per Job","[2] Wall Hours: Per Job","[640] Wall Hours: Per Job","[16] Wall Hours: Per Job","[8] Wall Hours: Per Job","[4] Wall Hours: Per Job","[82] Wall Hours: Per Job","[188] Wall Hours: Per Job","[106] Wall Hours: Per Job","[47] Wall Hours: Per Job","[9] Wall Hours: Per Job","[144] Wall Hours: Per Job","[36] Wall Hours: Per Job","[38] Wall Hours: Per Job","[84] Wall Hours: Per Job","[86] Wall Hours: Per Job","[37] Wall Hours: Per Job","[88] Wall Hours: Per Job","[140] Wall Hours: Per Job","[160] Wall Hours: Per Job","[1] Wall Hours: Per Job","[26] Wall Hours: Per Job","[93] Wall Hours: Per Job","[161] Wall Hours: Per Job","[53] Wall Hours: Per Job","[125] Wall Hours: Per Job","[68] Wall Hours: Per Job","[22] Wall Hours: Per Job","[107] Wall Hours: Per Job","[5] Wall Hours: Per Job","[256] Wall Hours: Per Job","[27] Wall Hours: Per Job","[14] Wall Hours: Per Job","[192] Wall Hours: Per Job","[240] Wall Hours: Per Job","[176] Wall Hours: Per Job","[73] Wall Hours: Per Job","[33] Wall Hours: Per Job","[227] Wall Hours: Per Job","[95] Wall Hours: Per Job","[109] Wall Hours: Per Job","[1018] Wall Hours: Per Job","[136] Wall Hours: Per Job","[72] Wall Hours: Per Job","[85] Wall Hours: Per Job","[57] Wall Hours: Per Job","[113] Wall Hours: Per Job","[1024] Wall Hours: Per Job","[91] Wall Hours: Per Job","[83] Wall Hours: Per Job","[189] Wall Hours: Per Job","[112] Wall Hours: Per Job","[163] Wall Hours: Per Job","[576] Wall Hours: Per Job","[145] Wall Hours: Per Job","[78] Wall Hours: Per Job","[6] Wall Hours: Per Job","[225] Wall Hours: Per Job","[59] Wall Hours: Per Job","[41] Wall Hours: Per Job","[207] Wall Hours: Per Job","[221] Wall Hours: Per Job","[195] Wall Hours: Per Job","[150] Wall Hours: Per Job","[217] Wall Hours: Per Job","[124] Wall Hours: Per Job","[129] Wall Hours: Per Job","[51] Wall Hours: Per Job","[181] Wall Hours: Per Job","[253] Wall Hours: Per Job","[79] Wall Hours: Per Job","[87] Wall Hours: Per Job","[54] Wall Hours: Per Job","[167] Wall Hours: Per Job","[251] Wall Hours: Per Job","[89] Wall Hours: Per Job","[216] Wall Hours: Per Job","[162] Wall Hours: Per Job","[134] Wall Hours: Per Job","[135] Wall Hours: Per Job","[49] Wall Hours: Per Job","[148] Wall Hours: Per Job","[74] Wall Hours: Per Job","[512] Wall Hours: Per Job","[245] Wall Hours: Per Job","[165] Wall Hours: Per Job","[185] Wall Hours: Per Job","[215] Wall Hours: Per Job","[235] Wall Hours: Per Job","[220] Wall Hours: Per Job","[157] Wall Hours: Per Job","[1501] Wall Hours: Per Job","[179] Wall Hours: Per Job","[115] Wall Hours: Per Job","[193] Wall Hours: Per Job","[110] Wall Hours: Per Job","[248] Wall Hours: Per Job","[152] Wall Hours: Per Job","[99] Wall Hours: Per Job","[102] Wall Hours: Per Job","[180] Wall Hours: Per Job","[172] Wall Hours: Per Job","[170] Wall Hours: Per Job","[213] Wall Hours: Per Job","[142] Wall Hours: Per Job","[143] Wall Hours: Per Job","[1000] Wall Hours: Per Job","[210] Wall Hours: Per Job","[513] Wall Hours: Per Job","[190] Wall Hours: Per Job","[230] Wall Hours: Per Job","[600] Wall Hours: Per Job","[257] Wall Hours: Per Job","[1009] Wall Hours: Per Job","[254] Wall Hours: Per Job","[238] Wall Hours: Per Job","[114] Wall Hours: Per Job","[432] Wall Hours: Per Job","[66] Wall Hours: Per Job","[288] Wall Hours: Per Job","[132] Wall Hours: Per Job","[212] Wall Hours: Per Job","[508] Wall Hours: Per Job","[31] Wall Hours: Per Job","[2048] Wall Hours: Per Job","[71] Wall Hours: Per Job","[208] Wall Hours: Per Job","[247] Wall Hours: Per Job","[77] Wall Hours: Per Job","[222] Wall Hours: Per Job","[105] Wall Hours: Per Job","[211] Wall Hours: Per Job","[241] Wall Hours: Per Job","[249] Wall Hours: Per Job","[939] Wall Hours: Per Job","[183] Wall Hours: Per Job","[166] Wall Hours: Per Job","[204] Wall Hours: Per Job","[320] Wall Hours: Per Job","[103] Wall Hours: Per Job","[2000] Wall Hours: Per Job","[104] Wall Hours: Per Job","[61] Wall Hours: Per Job","[400] Wall Hours: Per Job","[111] Wall Hours: Per Job","[92] Wall Hours: Per Job","[233] Wall Hours: Per Job","[390] Wall Hours: Per Job","[149] Wall Hours: Per Job"
2016-02-01,0,0,24.00000000,0,0,0.00610000,0,0,0,0,6.32234286,0,0,0,0,0,23.54280000,4.27192500,3.54310000,0,0,9.15562222,3.06650000,13.49555556,0,0.02250000,0,0,1.50445000,0.21765000,11.19980000,0,0,0,5.58806000,6.80015000,0,0,15.99686667,7.63476154,2.18070625,0,0,0,0,0,0,0,0,0,0,0,3.05080000,3.11274286,0,3.32454111,0,5.78988846,7.11000000,0,1.29425000,0,0.20520000,12.41886923,4.69545441,0,0,0,0,3.48838333,8.24718800,0,0,1.81834000,0,0.00810000,4.72790000,0,0,0.59390000,0.04820000,0.77299500,0,2.86752358,0,4.11300303,4.67641721,2.77401240,7.06000000,0,0,0,6.41360000,0,0.73155000,0,0,0,0,0,0,0,2.61980594,0,0,0.40060000,0,0,0.00955000,0.30390000,0,4.83176957,0.69706818,0,2.42347727,0,0,0,0,0.00610000,0,0,0,0,0,0,0,0,0,0,0.07829250,0,0,0,1.51500000,0,0,0,4.54205166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,0,0,9.65110000,0,0,3.11330000,0,0,0,0,7.31041667,0,0,0,0,0,0.23290000,9.64715000,5.47975000,0,0,4.30028000,7.00445000,11.22289000,0,14.54280000,0,0,9.49080000,0.19546667,3.61048261,0,0,0,0.09975000,11.21085000,0,0,14.20813333,8.32740000,6.77395385,0,0,0,0,0,0,0,0,0,0,0,0,7.73287000,0,5.01780667,0,3.43712530,6.29227500,0,0.98642000,0,0.37193333,10.15536000,6.24825636,0,0,0,0,4.40723333,6.64565000,0,2.96122727,4.71601667,0,0.01945000,5.46078333,0,0,3.79360000,0.01190000,0.44538462,0,2.89502208,0,5.58732759,4.77635512,4.86586243,10.20000000,0,0,0,3.37682281,0,1.72620000,0,0,0,0,0,0,0.02930000,3.91464523,0,0,0,14.78170000,0,0,0,0,6.22871053,0.14758125,0,1.97604118,0,0,0,2.21305000,0.00920000,0,0,0,0,0,0,0,0,0,0,1.18983000,0,0,0,1.31694000,0,0,0,4.04737280,0,0,0,0,0,0,0,0.40994500,0,0.03651429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02500000,0,0,0,0,0,0,0,0,0,0
2016-02-03,0,0,24.00000000,0,0,6.19250000,0,0,0,0,8.04740000,0,0,0,0,0,2.70960000,6.08486250,8.80970000,0,0,15.24370000,10.84690000,0.71878750,0,0.02521250,0,0,0,23.65690000,6.61150299,0,2.06530000,0.33440000,3.07580000,0,0,0,4.19716000,4.53873333,6.62111852,0,0,0,0,0,4.76170000,0,0,0,0,0,0,8.54333333,0,8.39747407,1.43110000,3.64824000,3.91981667,0,3.01684000,0,8.67390000,9.10182222,4.59112055,0,0.00777500,0,0,4.12274412,5.95910476,0,4.40572000,3.17462222,0,0,14.77390000,0,0,0.33560000,2.25050000,0,0,4.23104478,0,3.02273035,5.61710714,6.08863936,8.22655000,0,0,0,3.24920385,0,0,0,0,0,0,0,0,0,2.94394368,0,0,0,0,0,0,0,0,2.11935475,0.07281250,0,4.99777500,0,0.34060000,0,0,0,0,0,0,0,0.01337143,0,0,0,0,0.04140000,0,0,0,0,1.68970000,0,0,0,5.56845306,0.33670000,0,0,0,0,0.23220000,0,1.11335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06625000,0.33780000,0,0,0.33580000,0.33580000,0.34060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34030000,0,0.33860000,0.33690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02220000,0,0,0,0,0,0,0,0,0,0
2016-02-04,0,0,8.23905000,0,0,24.00000000,0,0,0,0.33670000,8.24187500,1.76640000,0,0,0,0,21.12080000,2.35716000,18.32915000,0,0,7.58464444,12.38553333,10.00220000,0,0,0,0,0,0.06250000,9.01275303,0,12.16695000,0,0.17190000,0,0,17.49720000,0,3.07362500,8.96221667,0,0,0,0,0,4.64470000,0.33330000,0,0,0,0,0,4.52367500,0,5.80900896,0.03310000,4.92319157,6.85170000,0,4.24468571,0.33810000,4.52585000,9.93378000,5.15745769,0,6.24230000,0,0,9.37677059,7.25871250,0,7.90090000,1.95743333,0,0,2.23597500,0,0,0,3.85024286,0,0,3.25672733,0,3.14839048,4.38513232,6.03600890,3.93556667,0,0,0,2.71671500,0,0.77850000,0,0,0,0,0,0.33330000,0.18415000,2.11983564,0,0,0,0,0.33390000,0,0,0,4.49048072,0.40778500,0,3.21805000,0.00610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43180000,0,0,0,0,1.67555000,0,0.34140000,0,9.98264643,0,0,2.53395000,0,0,0.10500000,0.33810000,1.54955833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34060000,0,0,0,0.27750000,0,0.33670000,0.33640000,0,0,0,0,0,0,0.31940000,0,0.10280000,0,0,0,0,0.33470000,0,0.33750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,0,0,17.36140000,0,0,23.30110000,0,0,0,0,10.87875000,20.51220000,0,0.11390000,0,0,20.29920000,1.87760000,14.02235000,0,0,5.99061538,10.56053333,22.50322000,0,17.48610000,0,0,0,11.87140000,8.76791481,0,21.93530000,0,13.79915000,1.37780000,0,20.97470000,0,10.76937500,7.68382500,0,0,0,0,0,3.59830000,0,0,0,0,0,0,8.26892500,0,8.63430408,0,6.57387111,0,0,3.13258571,0,1.84000000,7.83504545,3.05461958,0,4.67440000,0,0,6.47940000,8.61962000,0,7.28667500,7.58129000,0,0,24.00000000,0,0,0,5.17270000,0,0,5.07863945,0,4.82380729,9.20684717,6.19359626,0,0,0,0,4.36914773,0,3.56225000,0,0,0,15.30330000,0,0,0.04170000,2.10057514,0,0,0,0,0,0,0,0,6.48336571,0.27970000,0,2.32288182,0,0,0,2.69500000,0,0,0,0,0,0,0,0,0,0,0.10890000,0.25141500,0,0,0,1.72190000,0,0,0,5.45394857,0,0,0.00555000,0,0,0,0,0,0,0,0,0.33555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,0,0,18.36060000,0,0,0,0,0,0,0,14.23500000,0,0,0,0,0,10.29440000,9.22250000,6.63500000,0,0,23.05421429,5.78398333,0,0,0,0,0,0,12.12940000,12.13870526,0,0,0,14.62220000,1.08835000,0,0,0,7.72436250,16.04240667,0,0,0,0,0,1.91280000,0,0,0,0,0,0.17360000,18.87940000,0,5.46157077,0,9.56213617,0,0,5.29622857,0,9.88810000,16.23480000,6.90347416,0,0,0,0,5.75387879,10.37076667,0,10.24060000,13.73601111,0,0,19.31970000,0,0,0,0.72916667,0.01165000,0,8.81628769,0,4.44571006,5.44414317,4.90897570,0,0,0,0,4.26319403,0,3.93112000,0,0,0,0,0,0,0.00860000,2.62638264,0,0,0,0,0,0,0,0,10.15236875,0.25156667,0,3.44695000,0,0,0,0,0,0,0,0,0,0,0.09470000,0,0.13654286,0,0,0,0,0,0,1.68030000,0,0,0,4.77053784,0,0,3.26765000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,0,0,6.31595000,0,0,0,0,0,0,0,6.09012000,0,0,0,0,0,0,10.58685000,0,0,0,5.08984444,11.70203333,11.15716000,0,0,0,0,0,19.84640000,3.13467586,0,2.17290000,0,0,3.09060000,0,0,0,8.09116667,15.72777692,0,0,0,0,0,1.33555000,0,0,0,0,0,24.00000000,7.17547500,0,6.23196545,0,7.12783235,0,0,3.54930833,0,8.30070000,13.20971429,6.46719231,0,0,0,0,10.98962927,6.24325294,0,2.61190000,5.97536000,0,0,0,0,0,0,0.01360000,0,0,6.56932161,0,4.11151522,6.77907259,3.71777981,0,2.52400000,0,0,3.28997769,0,0,0,0,0,0,0,0,2.24860000,2.97351273,0,0,0,0,0,0,0,0,6.17854138,4.10895000,0,1.07820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93888000,0,0,1.74140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,0,0,24.00000000,0,0,0,0,0,0,0,17.83943333,0,0,0,0.50705000,0,0,3.17765714,0,0,0,4.55321667,8.83230000,7.36441176,0,0,0,0,0,24.00000000,5.84335556,0,24.00000000,0,0,3.48030000,0,0,5.01470000,13.05206000,4.20410909,0,0,0,0,0,0,0,0,0,0,0,23.82920000,10.44676667,0,5.66743261,0,6.37288235,7.47026667,0,4.08106667,0,14.39110000,9.93911111,3.47282908,0,1.43226667,0,0,2.69165000,5.53865862,0,4.30993333,9.66504000,0,0,1.32833333,0,0,0,0,0,0,4.55234081,0,4.34107581,4.63128907,3.62360475,0,8.51180000,0,0,1.98221203,0,3.27694545,0,0,0,0,0,0,0,1.60741018,0.88485000,0,0,0,0,0,0,0,6.06059259,2.31540000,0,3.59472857,0,0,0,0.01390000,0,0,0,0,0,0,0,0,1.00890000,0,0,0,0,0,0.00610000,0,0,0,0,0.42068935,0,0,0,0,0,0,0,0,0,0,0,0.34805000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,0,0,15.51560000,0,0,0.17420000,0,0,0,0,7.97582500,2.10290000,0,0,5.99420000,0,12.95500000,7.74260000,0,14.52280000,0,14.31400000,2.27030000,11.40272000,0,2.84440000,0,0,0,1.34030000,12.77427931,0,1.71810000,0.02360000,0,0,0,0.01530000,11.84535000,10.00234286,7.72862500,0,0,0,0,0,0,0,0,0,0,0,2.39420000,0,0,8.62959048,0,5.15425867,18.45780000,0,6.97346000,0,14.82515000,10.68786667,5.61760617,0,20.89165000,0,0,3.99709677,5.45450588,0,0.10333333,6.59553333,0,0.16920000,4.77185556,0,0,0,0.00865000,0.12523333,0,2.88644649,0,4.47857707,3.55489965,4.68170895,0,3.92470000,0,0,4.15474474,0,3.40112667,0,0,0,0,0,0,0,2.31911829,0,0,0,0,0,0,0,0,3.42310857,6.83225000,0,5.45616000,0,14.72860000,0,0,0,0,0,0,0,0,0,0,0.93430000,0,0,0,0,0,1.43560000,0,0,0,0,0.55105779,0,0,0,0,0,0,0,0,0,0.04176667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,0,0,21.92720000,0,0,0,0,0,0,0,6.30180000,11.03665000,0,0,7.98830000,0,24.00000000,14.12390769,0,2.20390000,0,7.48383333,0,0,0,7.74670000,0,0,0,0,4.84080769,0,2.08810000,0,4.21500000,4.00080000,4.70206667,0.01560000,12.64055000,8.24856667,6.32154444,0,0,0,0,0,0,0,0,0,0,0,24.00000000,4.60963333,0,3.94198750,0,4.05203971,1.34420000,0,3.81406000,0,21.78920000,11.33175714,10.39347439,0,22.33500000,0,0,7.84677500,2.70692045,0,0,12.59528571,0,0.04985000,9.28310000,0,0,0.10445000,0.01420000,14.32170000,0,3.53924902,0,3.40201167,6.18252477,3.98207092,0,11.06030000,0,0,2.62431515,0,0.21085000,0,0,0,0,0,0,0,2.64469629,0,0,0,0,0,0.01460000,0,0,6.66734545,1.95425000,0,4.72420000,0,0.76830000,0,1.99360000,0.16750000,0,0,0,0,0,0,0,1.29680000,0,0.66530000,5.73330000,0,0,0.77085000,0,0,0,0,5.51085814,0,0,2.90220000,0,0,0,0,0,0,0.02853333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40250000,0,0,0,0,0,0,0,0,0,0,0,0,0.15330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04000000,0.03765000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
