title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2016-02-01,2016-07-31
---------
Day,"[67] Wall Hours: Per Job","[55] Wall Hours: Per Job","[35] Wall Hours: Per Job","[46] Wall Hours: Per Job","[28] Wall Hours: Per Job","[41] Wall Hours: Per Job","[65] Wall Hours: Per Job","[38] Wall Hours: Per Job","[45] Wall Hours: Per Job","[21] Wall Hours: Per Job","[40] Wall Hours: Per Job","[19] Wall Hours: Per Job","[58] Wall Hours: Per Job","[57] Wall Hours: Per Job","[7] Wall Hours: Per Job","[26] Wall Hours: Per Job","[5] Wall Hours: Per Job","[30] Wall Hours: Per Job","[23] Wall Hours: Per Job","[52] Wall Hours: Per Job","[43] Wall Hours: Per Job","[50] Wall Hours: Per Job","[53] Wall Hours: Per Job","[11] Wall Hours: Per Job","[27] Wall Hours: Per Job","[60] Wall Hours: Per Job","[63] Wall Hours: Per Job","[3] Wall Hours: Per Job","[20] Wall Hours: Per Job","[56] Wall Hours: Per Job","[14] Wall Hours: Per Job","[54] Wall Hours: Per Job","[15] Wall Hours: Per Job","[12] Wall Hours: Per Job","[70] Wall Hours: Per Job","[17] Wall Hours: Per Job","[16] Wall Hours: Per Job","[22] Wall Hours: Per Job","[24] Wall Hours: Per Job","[32] Wall Hours: Per Job","[25] Wall Hours: Per Job","[42] Wall Hours: Per Job","[39] Wall Hours: Per Job","[44] Wall Hours: Per Job","[6] Wall Hours: Per Job","[72] Wall Hours: Per Job","[49] Wall Hours: Per Job","[36] Wall Hours: Per Job","[33] Wall Hours: Per Job","[18] Wall Hours: Per Job","[4] Wall Hours: Per Job","[48] Wall Hours: Per Job","[62] Wall Hours: Per Job","[1] Wall Hours: Per Job","[8] Wall Hours: Per Job","[9] Wall Hours: Per Job","[31] Wall Hours: Per Job","[2] Wall Hours: Per Job","[13] Wall Hours: Per Job","[61] Wall Hours: Per Job","[64] Wall Hours: Per Job","[34] Wall Hours: Per Job","[37] Wall Hours: Per Job","[68] Wall Hours: Per Job","[59] Wall Hours: Per Job","[10] Wall Hours: Per Job","[66] Wall Hours: Per Job","[47] Wall Hours: Per Job","[29] Wall Hours: Per Job"
2016-02-01,0,24.00000000,0,0,0,0,0,0,0,0,8.53002500,0,0,0,0,0,11.45555000,0,0,0,0,0,0,6.99243333,0,0,0,7.18058261,5.21413158,0,2.57646667,0,22.06015000,3.99595161,2.58338333,1.29190000,4.49024375,24.00000000,0.19547500,0,0.22853750,10.88600000,0,0,3.73797083,2.06987273,0,0,0,8.15470000,2.33422314,0,0,5.18056503,3.61715385,0.66660000,0,2.97814482,0,0,0,0,0,0,0,11.03062143,0,0,0
2016-02-02,21.39110000,0.51945000,0,0,0.00580000,0,0,0,0,0,14.45803000,0,0,0,0,0,7.31750000,0,0,0,0,6.22940000,0,24.00000000,0,0,0,10.19923333,10.14056667,0,20.36165000,0,4.78140000,4.20303939,3.97871111,0,7.99022308,17.85162000,0.02555000,0.01970000,2.38229000,9.41265000,0,0,11.46910400,1.06026667,0,0,0,0,4.87331224,0,0,3.55776017,4.80193220,6.96970000,0,3.86069200,0,0,0.01470000,0,0,0,0,5.36955833,0,0,0
2016-02-03,0,24.00000000,0,0,6.83720000,0,0,0,0,0,15.98113750,0,0,0,13.11920714,0,6.45111111,0.00970000,0,0,0,2.29270000,0,16.59610000,0,0,0,6.67791628,9.06551429,0,20.46030000,0,2.69671667,19.91672143,2.21390000,0,6.34837273,8.42932000,2.94800000,0,2.18755000,11.97500000,0,0,15.75286571,1.04080000,0,2.25670000,0,0.14000000,2.51748706,0,0,4.66305765,2.09889630,1.54236250,0.36000000,1.68363268,0,0,0,0,0,0,0,2.94494930,0,0,0
2016-02-04,0,17.29390000,0,0,24.00000000,0,0,0,0,0,6.11690769,21.64690000,0,0,21.95042727,0,14.26000938,0,0,0,0,10.43363333,0,23.51280000,0,0,0,10.94465185,1.59820000,0,0,0,1.97068182,1.82635844,0,0,1.76532941,24.00000000,10.72990000,0,0,3.15470000,0,0,14.06217059,1.24280000,0,0,0,0,5.95003827,0,0,0.97653850,1.48508246,1.14522432,2.00390000,1.61376526,0,0,0.14595000,0,0,0,0,3.03036795,0,0,0
2016-02-05,0,0,0,0,10.33640000,0,0,0,0,0,6.61271538,11.61110000,0,0,8.66567500,0,8.18278947,0,0,0,0.71040000,5.94690000,0,10.84595000,0,0,0,8.75264231,1.49900000,0,0.00280000,0,1.90571613,5.80186296,0,19.18580000,3.44657500,6.94921818,14.07270000,2.38610000,0,0,0,0,6.91055000,0.80155000,0,0,0,4.82235000,8.89870741,0,0,4.35610282,1.22674706,3.93975556,6.00360000,1.24891452,0,0,0,0,0,0,0,1.39259125,0,0,0
2016-02-06,0,0,0,0,0,0,0,0,0,0,24.00000000,11.17150000,0,0,5.00258889,0,7.77678000,0,0,0,0.86973889,8.79345000,0,24.00000000,0,0,0,4.37968889,12.28477500,0,0,0,3.33272000,13.34475000,4.64750000,5.82080000,11.81256000,3.93486429,24.00000000,0,0,6.19805000,0,0,6.63539615,1.64260000,0,0,0,3.40560000,8.43393269,0,0,8.66273776,2.89758846,3.42296667,3.98170000,10.38780860,0,0,0,0,0,0,0,4.57782963,0,0,0
2016-02-07,0,0,0,0,0,0,0,0,0,0,13.10632500,0,0,0,4.49471667,0,16.75415000,0,0,0,1.56385000,6.26640000,0,11.84710000,0,0,0,4.68131667,0.19924583,0,0,0,2.63846364,4.69072857,0.38720000,5.00690000,4.95972000,13.65280000,0.19885000,0,0,6.87610000,0,0,11.75220000,1.99898750,0,0,0,0,7.43007250,0.17140000,0,7.31709444,1.61690000,7.83510000,20.02390000,6.49220065,0,0,0,0,0,0,0,8.95178889,0,0,0
2016-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78330000,0,0,0,0,0,0,9.07500000,0,0,0,2.35010000,0.33686667,0,0,0,0,0.00470000,0,0,2.83530000,0,0,0,0,0,0,0,4.96667000,1.45200000,0,0,0,0,3.92116104,0,0,3.84586250,2.53049231,3.84310000,0,0.65152313,0,0,0,0,0,0,0,3.14965000,0,0,0
2016-02-09,0,0,0,0,0.04420000,0,0,0,0,0,0.27750000,0,0,0,0.77140000,0,0.77140000,0,0,0,0.04470000,0,0,0.05250000,0,0,0,0.84927500,0.41180000,0,0,0,0,0.43369333,0,0,0,0.05835000,0,0,0,0.04440000,0,0,0.51416667,0.04430000,0,0,0,0,0.20612500,0,0,0.41659903,0.28713333,0,0,0.85078132,0,0,0,0,0,0,0,0.30203333,0,0,0
2016-02-10,0,0,0,0,0.00312500,0,0,0,0,0,3.93963125,0,0,0,6.13895000,0,8.52159000,0.07652500,0,0,0.21872000,8.65546667,0,1.38600909,0,0,0,7.96153030,4.27241429,0,0.00875000,0,10.60815000,11.66121111,0,3.48000000,3.61293333,0.01433750,6.20450000,1.87396667,2.32099231,5.13915000,0,0,8.40343077,0.38000769,0,0.28335000,0,0.05430000,7.14267903,7.28000000,0,4.93244202,4.82652041,1.54435000,0,2.71139614,7.31433333,0,0,0,0,0,0,6.13906000,0,0,0
