title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2015-08-01,2016-01-31
---------
Day,"[10] Wall Hours: Per Job","[34] Wall Hours: Per Job","[15] Wall Hours: Per Job","[38] Wall Hours: Per Job","[9] Wall Hours: Per Job","[120] Wall Hours: Per Job","[26] Wall Hours: Per Job","[33] Wall Hours: Per Job","[24] Wall Hours: Per Job","[36] Wall Hours: Per Job","[7] Wall Hours: Per Job","[30] Wall Hours: Per Job","[6] Wall Hours: Per Job","[48] Wall Hours: Per Job","[25] Wall Hours: Per Job","[64] Wall Hours: Per Job","[11] Wall Hours: Per Job","[32] Wall Hours: Per Job","[20] Wall Hours: Per Job","[12] Wall Hours: Per Job","[2] Wall Hours: Per Job","[40] Wall Hours: Per Job","[4] Wall Hours: Per Job","[60] Wall Hours: Per Job","[5] Wall Hours: Per Job","[96] Wall Hours: Per Job","[16] Wall Hours: Per Job","[8] Wall Hours: Per Job","[28] Wall Hours: Per Job","[17] Wall Hours: Per Job","[1] Wall Hours: Per Job","[63] Wall Hours: Per Job","[14] Wall Hours: Per Job","[45] Wall Hours: Per Job","[19] Wall Hours: Per Job","[3] Wall Hours: Per Job","[59] Wall Hours: Per Job","[57] Wall Hours: Per Job","[100] Wall Hours: Per Job","[18] Wall Hours: Per Job","[29] Wall Hours: Per Job","[99] Wall Hours: Per Job","[43] Wall Hours: Per Job","[13] Wall Hours: Per Job","[50] Wall Hours: Per Job","[21] Wall Hours: Per Job","[47] Wall Hours: Per Job","[27] Wall Hours: Per Job","[22] Wall Hours: Per Job","[114] Wall Hours: Per Job","[55] Wall Hours: Per Job","[128] Wall Hours: Per Job","[35] Wall Hours: Per Job","[52] Wall Hours: Per Job","[23] Wall Hours: Per Job","[126] Wall Hours: Per Job","[56] Wall Hours: Per Job","[65] Wall Hours: Per Job","[62] Wall Hours: Per Job"
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,11.76121111,0,0,14.94794000,0,8.11324000,0,2.77500000,7.43470000,0,10.38763600,0,0,0,24.00000000,24.00000000,0,0,3.93940745,0,0,0,3.02405000,3.02260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,7.40030000,0,5.95975000,0,0,0,0,0,0,0,0,0,1.03220000,0,0,11.51936364,0,6.34905000,0,24.00000000,9.95740588,0,15.20691429,0,18.33507500,0,6.06430000,9.44473333,0,0,5.34677819,0,0,0,6.24875000,0.19653000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,0,0,24.00000000,0,0,0,0,0,0,0,0,0,3.16860000,0,0,12.92665833,0,5.02526667,0,21.26280000,6.21672273,0,9.94812444,0,16.10535714,0,4.67814667,0.09170455,0,0,3.37459461,0,0,0,1.17598571,0.71385789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,0,0,9.22030000,0,0,0,0,0,0,0,0,0,8.22095000,0,0,11.85722857,0,12.29666667,0,0,4.17224328,0,5.81880822,0,10.78598571,0,6.74292857,0.46077222,0,0,3.42473454,0,0,0,6.16080000,0.53375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,0,0,0,0,0,0,0,0,0,0,0,0,10.27040000,0,0,12.97930833,0,11.85484286,0,0,7.50115625,0,7.48892500,0,2.16600000,0,8.10130000,2.76756667,0,0,3.21871732,0,0,0.00970000,5.87500000,0.04893333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,0,0,0,0,0,0,0,0,0,0,0,0,22.64344000,0,0,11.31815000,0,4.84209545,0,10.27890000,8.57322353,0,7.76231176,0,1.80000000,0,7.91230000,1.91439000,0,0,4.49258114,0,0,0,4.42000000,1.05113333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830000,0,0,0,0,0,0,0
2015-08-07,0,0,0,0,0,0,0,0.00940000,0,0,0,0,13.88140000,0,0,13.76944444,0,10.77763333,0,24.00000000,11.51392143,0,11.50215238,0,3.90430000,0,9.65437500,0,0,0,5.31318284,0,0,2.02213333,2.92786667,1.40818667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988000,0,0,0,0,0,0.01000000,0
2015-08-08,0.42445000,0,0,0,0,0,17.03440000,0,0,0,0,0,22.71940000,0,0,11.58800000,0,9.69568571,0,1.16530000,3.71708776,0,5.72408025,0,0,0,4.09750000,0.15171176,0,0,6.95633349,0,0,17.98830000,2.69183333,1.31747179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,15.45390000,0,0,0,0,0,0.21360000,0,0,0,0,0,0,0,0,11.33908000,0,9.93145000,0,0,4.94984250,0,7.84175116,0,8.09676667,0,5.89187500,1.41535000,0,0,8.29771282,0,0,0,1.59622000,1.24507059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,0,0,0,0,0,0,0,0.00940000,0,0,0,0,0,0,0,19.69944000,0,4.02745714,0,0.49080000,2.52503409,0,7.97535794,0,5.57555000,0.16000000,7.89883333,1.74813077,0,0,5.75532727,0,0,0,4.07667500,1.51672907,0,2.48485000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
