title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2015-08-01,2016-01-31
---------
Day,"[18] Wall Hours: Per Job","[127] Wall Hours: Per Job","[132] Wall Hours: Per Job","[39] Wall Hours: Per Job","[65] Wall Hours: Per Job","[56] Wall Hours: Per Job","[38] Wall Hours: Per Job","[45] Wall Hours: Per Job","[90] Wall Hours: Per Job","[116] Wall Hours: Per Job","[179] Wall Hours: Per Job","[19] Wall Hours: Per Job","[240] Wall Hours: Per Job","[126] Wall Hours: Per Job","[28] Wall Hours: Per Job","[85] Wall Hours: Per Job","[208] Wall Hours: Per Job","[24] Wall Hours: Per Job","[252] Wall Hours: Per Job","[94] Wall Hours: Per Job","[138] Wall Hours: Per Job","[15] Wall Hours: Per Job","[12] Wall Hours: Per Job","[21] Wall Hours: Per Job","[29] Wall Hours: Per Job","[152] Wall Hours: Per Job","[35] Wall Hours: Per Job","[66] Wall Hours: Per Job","[112] Wall Hours: Per Job","[50] Wall Hours: Per Job","[25] Wall Hours: Per Job","[10] Wall Hours: Per Job","[98] Wall Hours: Per Job","[52] Wall Hours: Per Job","[3] Wall Hours: Per Job","[82] Wall Hours: Per Job","[40] Wall Hours: Per Job","[48] Wall Hours: Per Job","[5] Wall Hours: Per Job","[168] Wall Hours: Per Job","[61] Wall Hours: Per Job","[233] Wall Hours: Per Job","[225] Wall Hours: Per Job","[47] Wall Hours: Per Job","[30] Wall Hours: Per Job","[96] Wall Hours: Per Job","[7] Wall Hours: Per Job","[97] Wall Hours: Per Job","[6] Wall Hours: Per Job","[67] Wall Hours: Per Job","[17] Wall Hours: Per Job","[4] Wall Hours: Per Job","[16] Wall Hours: Per Job","[34] Wall Hours: Per Job","[86] Wall Hours: Per Job","[27] Wall Hours: Per Job","[224] Wall Hours: Per Job","[46] Wall Hours: Per Job","[20] Wall Hours: Per Job","[188] Wall Hours: Per Job","[32] Wall Hours: Per Job","[64] Wall Hours: Per Job","[118] Wall Hours: Per Job","[51] Wall Hours: Per Job","[62] Wall Hours: Per Job","[115] Wall Hours: Per Job","[9] Wall Hours: Per Job","[84] Wall Hours: Per Job","[14] Wall Hours: Per Job","[125] Wall Hours: Per Job","[73] Wall Hours: Per Job","[13] Wall Hours: Per Job","[88] Wall Hours: Per Job","[100] Wall Hours: Per Job","[95] Wall Hours: Per Job","[165] Wall Hours: Per Job","[54] Wall Hours: Per Job","[2] Wall Hours: Per Job","[60] Wall Hours: Per Job","[23] Wall Hours: Per Job","[160] Wall Hours: Per Job","[192] Wall Hours: Per Job","[250] Wall Hours: Per Job","[124] Wall Hours: Per Job","[128] Wall Hours: Per Job","[75] Wall Hours: Per Job","[1] Wall Hours: Per Job","[226] Wall Hours: Per Job","[106] Wall Hours: Per Job","[44] Wall Hours: Per Job","[172] Wall Hours: Per Job","[22] Wall Hours: Per Job","[26] Wall Hours: Per Job","[8] Wall Hours: Per Job","[109] Wall Hours: Per Job","[144] Wall Hours: Per Job","[43] Wall Hours: Per Job","[72] Wall Hours: Per Job","[150] Wall Hours: Per Job","[80] Wall Hours: Per Job","[180] Wall Hours: Per Job","[70] Wall Hours: Per Job","[203] Wall Hours: Per Job","[185] Wall Hours: Per Job","[78] Wall Hours: Per Job","[76] Wall Hours: Per Job","[55] Wall Hours: Per Job","[182] Wall Hours: Per Job","[120] Wall Hours: Per Job","[63] Wall Hours: Per Job","[256] Wall Hours: Per Job","[200] Wall Hours: Per Job","[130] Wall Hours: Per Job","[57] Wall Hours: Per Job","[122] Wall Hours: Per Job","[151] Wall Hours: Per Job","[53] Wall Hours: Per Job","[113] Wall Hours: Per Job","[140] Wall Hours: Per Job","[156] Wall Hours: Per Job","[199] Wall Hours: Per Job","[102] Wall Hours: Per Job","[42] Wall Hours: Per Job","[201] Wall Hours: Per Job","[217] Wall Hours: Per Job","[11] Wall Hours: Per Job","[105] Wall Hours: Per Job","[33] Wall Hours: Per Job","[68] Wall Hours: Per Job","[163] Wall Hours: Per Job","[108] Wall Hours: Per Job","[216] Wall Hours: Per Job","[110] Wall Hours: Per Job","[99] Wall Hours: Per Job","[131] Wall Hours: Per Job","[135] Wall Hours: Per Job","[71] Wall Hours: Per Job","[195] Wall Hours: Per Job","[134] Wall Hours: Per Job","[81] Wall Hours: Per Job","[92] Wall Hours: Per Job","[190] Wall Hours: Per Job","[119] Wall Hours: Per Job","[141] Wall Hours: Per Job","[87] Wall Hours: Per Job","[37] Wall Hours: Per Job","[243] Wall Hours: Per Job","[79] Wall Hours: Per Job","[175] Wall Hours: Per Job","[232] Wall Hours: Per Job","[158] Wall Hours: Per Job","[91] Wall Hours: Per Job","[238] Wall Hours: Per Job","[49] Wall Hours: Per Job","[74] Wall Hours: Per Job","[36] Wall Hours: Per Job","[205] Wall Hours: Per Job","[248] Wall Hours: Per Job","[206] Wall Hours: Per Job","[244] Wall Hours: Per Job","[186] Wall Hours: Per Job","[218] Wall Hours: Per Job","[239] Wall Hours: Per Job","[178] Wall Hours: Per Job","[136] Wall Hours: Per Job","[83] Wall Hours: Per Job","[31] Wall Hours: Per Job","[253] Wall Hours: Per Job","[181] Wall Hours: Per Job","[235] Wall Hours: Per Job","[161] Wall Hours: Per Job","[41] Wall Hours: Per Job","[101] Wall Hours: Per Job","[220] Wall Hours: Per Job","[59] Wall Hours: Per Job","[114] Wall Hours: Per Job","[255] Wall Hours: Per Job","[213] Wall Hours: Per Job","[133] Wall Hours: Per Job","[104] Wall Hours: Per Job","[251] Wall Hours: Per Job","[103] Wall Hours: Per Job","[162] Wall Hours: Per Job","[214] Wall Hours: Per Job","[153] Wall Hours: Per Job","[93] Wall Hours: Per Job","[58] Wall Hours: Per Job","[77] Wall Hours: Per Job","[209] Wall Hours: Per Job","[173] Wall Hours: Per Job","[249] Wall Hours: Per Job","[123] Wall Hours: Per Job","[137] Wall Hours: Per Job","[129] Wall Hours: Per Job","[196] Wall Hours: Per Job","[166] Wall Hours: Per Job","[211] Wall Hours: Per Job","[223] Wall Hours: Per Job","[219] Wall Hours: Per Job","[236] Wall Hours: Per Job"
2015-08-01,12.84888889,21.69780000,17.81580000,0,0,24.00000000,12.00390000,17.93000000,0.75720000,0,0,7.62170000,0,0,9.20345000,0,0,7.85125000,0,0,0,6.22041667,7.92575714,0,0,0,0,0,0,4.45370000,4.62655000,8.26785175,0,0,4.95629636,0,5.39553333,2.60602727,14.81458919,0,0,0,3.25310000,0,12.27024444,0,0,0,4.60018955,0,6.47769219,5.53807861,7.79603800,9.98470000,0,0,0,0,6.79428889,0,9.77544651,11.44771364,0,0,0,0,4.32020833,0,14.82470000,0,0,3.83576667,6.19080000,8.13360000,0,0,0,10.97099081,0,0,0,0,0,0,4.46576923,3.24320000,5.35190472,0,0,0,0,1.53670000,16.08405000,7.34972246,0,0,1.82250000,5.29560000,0,0.89213333,0,0,0,0,0,1.77750000,0,0,0,0,0.05715000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45046667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0.81717273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,16.28197500,14.14190000,24.00000000,0,0,11.84280000,11.22483333,0,8.68420000,0,0,16.37940000,0,0,18.23000000,0,0,1.17190000,0,0,0,9.50250000,6.44952222,0,0,0,0,0,0,3.72750000,6.08610000,11.03445672,0,0,5.08965758,0,12.33963333,4.47390000,20.99965128,2.79585000,0,0,24.00000000,0,15.83054000,0,9.07635000,0,7.59297794,0,1.54618095,4.73297302,10.43244455,13.78860000,0,0,0,0,10.63542222,0,8.25487750,7.95641053,0,0,0,0,2.41356667,0,0,0,0,5.59728333,0,0,0,0.75830000,0,4.99483743,0,0,0,0,0,0,4.72216957,2.42420000,4.53658595,0,0,0,0,0,14.96670000,8.49905000,0,0,0,24.00000000,0,2.46394000,0,0,0,0,0,1.85260000,0,0,0,0,2.29912000,0,0,0.39723333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52594000,0,0,0,0,0,0.79610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04338000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,17.53190000,23.53940000,7.64460000,0,0,3.80280000,7.41358571,3.03470000,6.32330000,0,0,0,0,0,0,0,0,0.09678000,0,0,0,6.52222857,14.74135625,0,0,0,0,0,0,0,0,4.57665816,0,0,5.19527909,0,2.95784286,9.89628889,9.07516944,0,0,0,20.75140000,0,12.94992500,7.53360000,2.07557143,0,8.21207447,0,0.37030000,9.71823493,5.65172222,2.05220000,0,0,0,0,12.38013684,1.68830000,10.14802619,7.20913000,0,0,0,0,1.32615385,0,2.82440000,0,0,3.59034286,0,0,0,0,0,4.90163067,0.02940000,0,0,0.74915000,0,0,5.36546667,2.56735000,2.86561091,0,0,0,0,0,0.94655000,4.94749172,0,0,0,18.70690000,0,4.14687500,0,0,0,0,0,3.88330000,0,0,0,2.00440000,1.26762222,0,0,1.53202857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38952500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43656667,0,0,0,0,0,0,0,0,0,21.21000000,0,0,0,0,0,0,0,0,0.97190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,13.72647143,0.92970000,24.00000000,0,0,24.00000000,12.03703333,20.97110000,0,0,0,21.62310000,0,0.33500000,0,0,0,0.14660000,0,0,0,9.83062500,9.56194500,0,0,0,0,0,0,0,18.97110000,1.79553673,0,0,7.18351053,0,16.18916667,6.18472727,19.56859474,0,0,0,0,0,9.66050000,0,2.35740000,0,8.49526774,0,3.89110000,8.54098083,10.68822941,13.72572000,0,0,0,0,12.43325714,0.31420000,8.56569778,11.29108400,4.95470000,0,0,0,3.51376667,0,7.24015000,0,0,20.00220000,0,0,0,1.90110000,0,5.62007606,0.16780000,1.50280000,0,0,0,0,8.49937500,1.69830000,4.75906512,0,0,0,0,0,24.00000000,5.80097222,0,0,17.09750000,0,0,2.58030000,0,0,0,1.37560000,0,5.00860000,0,0,0,0.07860000,4.31625000,0,0,0,0,0,0,0,0,0,0,0,4.68305000,0,0,0,0,0,0,0.96937500,0,0.00146667,0,0,0,1.83530000,0,0,0,0,0,0,0,0,0,1.80940000,0,0,0,0,0,0,0,0,0,19.96640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,12.74778333,24.00000000,14.90060000,0,0,11.94305000,7.33166667,0,0,0,0,2.38360000,0,0,12.77940000,0,0,3.00245000,0,0,0,4.36124000,7.03965769,4.00030000,0,0,0,0,0,0,2.27795000,7.60251379,0,0,3.36296489,0,4.93421364,4.06695000,15.73890185,2.79580000,0,0,0,0,9.50100000,0,0,0,3.97999231,0,3.01848750,4.23705904,7.26531930,3.53220000,0,0,0,0,10.83115000,1.00390000,2.96196818,5.12838333,6.03460000,0,0,0,3.25383056,0,4.38547500,0,0,3.62256000,20.75420000,0,0,0,0,4.79263899,1.13940000,0,0,0,0,0,6.12807500,2.17440000,5.42460722,0,0,0,0,0,23.05655000,5.15947094,0,0,0,0,0,4.84826667,0,5.47530000,0,0,0,5.00420000,0,0,0,3.02463333,3.77596667,0,0,12.79610000,0,0,0,0,0,0,0,0,17.57515000,0,0,2.90940000,0,0,0,1.25117500,0,0.79935000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29360000,0.45000000,0,0,0,1.84610000,0,0,0,0,3.29882500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,11.04661667,11.41330000,2.29470000,0,0,0,24.00000000,0,0,0,0,20.42360000,0,0,24.00000000,0,0,12.34696667,0,0,0,6.83765556,13.82304167,1.30030000,0,0,0,0,0,0.00190000,0.00485000,10.63251304,0,0,3.07657188,0,7.38663333,9.52018333,4.21338222,0,0,0,0,0,0.27345714,0,0,0,3.65132500,0,8.14204375,6.42791340,7.82745455,10.24330000,0,0,0,0,12.43415294,0,7.25237419,6.73442500,0,0,0,0,2.64671000,0,11.77526667,0,0,4.28214286,4.24610000,0,0,1.50710000,0,7.94014473,0,3.00515000,0,0,0,0,5.86210833,0,5.10689221,0,0,0,0,0,0,5.02835563,0,0,0,0,0,3.45908571,0,0,0,0,1.13750000,3.59305000,0,0,0,2.79640000,2.20612778,0,0,11.20530000,0,0,0,0,0,0,0,0,9.09720000,0,0,17.59750000,0,0,0,1.17943333,0,0.36265000,0,0,0,0.78220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,20.36472000,1.22830000,19.62030000,0,0,0.88940000,15.13780000,0,0,0,0,3.58310000,0,0,11.22470000,0,0,2.01700000,0,0,0,6.96212000,2.42171111,0,0,0,0,0,0,0.00250000,0.02440000,4.32930175,0,0,2.05814685,0,7.48565000,6.45823750,2.23180417,0,0,0,0,0,0.93994444,0,9.17190000,0,4.67305606,0,3.75024368,11.33062705,6.69824659,0,0,0,0,0,13.75488333,2.32015000,6.42094054,5.81678824,0,0,0,0,2.20722245,0,14.97400000,0,0,0.88940000,0,0,0,1.85470000,0,4.40479283,0,0,0,0,1.36310000,0,2.94913056,0,3.59084934,0,0,0,0,0,0,4.97312222,0,0,0,0,0,3.16870000,0,0,0,0,0,0,0,0,0,0.58810000,13.17735000,4.43860000,0,0,0,0,0,0,0,0,0,0,5.23582500,0,0,0.48330000,0,0,0,0,4.00690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23235000,0,0,0,0,0,0,0,0,0,21.75640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,16.94494000,24.00000000,24.00000000,0,0,23.08875000,1.64650000,0,0,0,0,1.34890000,0,0,17.49720000,0,0,0,0,6.56500000,0,11.02140000,8.69410000,0,0,0,0,0,0,0.94310000,1.02400000,4.44980380,0,0,2.98881638,0,1.34816250,7.02182500,12.68026667,0,0,0,0,0,0.55055000,0.11780000,0,0,5.65061974,0,3.04797419,8.96898631,7.40669722,0,0,0,0,0,8.02958182,2.00610000,9.29215769,18.37473333,0,0,0,0,2.52338772,0,0.77920000,0,0,23.11890000,0,0,0,0,0,5.64749140,0,2.09640000,0,0,3.58060000,0,2.63460000,0,5.43726955,0,0,0,0,0,22.28500000,4.37538333,0,0,0,0,0,0,0,0,0,0,0,0.00931667,0,0,0,0,9.82024286,0,0,0,0,0,0,0,0,0,0,0,11.78625000,0,0,7.32240000,0,0,0,0,0,0,0,0,0,1.69060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,14.21574000,11.43390000,4.38190000,0,0,23.12415000,24.00000000,0,0,0,0,22.65220000,0,0,10.02243333,0,0,3.70320000,0,18.44280000,15.28920000,2.46778333,9.48772593,0,0,0,0,0,0,0,0,6.36521149,0,0,4.89599259,0,4.36349231,15.52979474,9.26808667,0,0,0,0,0,6.94264167,1.98170000,4.09610000,0,11.49713617,0,4.77758529,5.33022188,9.29091165,0,0,0,0,0,11.01718333,0,3.38021714,6.13903529,0,0,0,0,5.02568824,0,13.45220000,0,0,23.26420000,0,0,0,0.91830000,0,5.23942991,7.46500000,2.65750000,0,0,0,0,13.00036667,0,6.37471223,0,0,0,0,0,7.19170000,1.59974335,0,0,0,0,0,2.61570000,0,0,0,0,0,3.66448333,0,0,0.35330000,4.59345000,3.21083636,0,0,0,0,0,0,0,0,0,0,0,0.43340000,0,0,14.70220000,0,0,0,0,9.86170000,0,0,0,0,0.88190000,0,0,0,0,0,0,0,0,0,0.42420000,0,0,0,0,0,0,0,0,0,6.73545000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,14.90104444,20.21080000,0,0,0,7.12165000,10.36570000,0,0,0,0,0,0,0,4.61353333,0,0,5.48002000,0,0,5.33580000,8.85040000,9.11173667,0,0,0.96310000,0,0,0,0,0,7.67153649,0,0,4.09421190,0,2.50871333,9.73449375,3.32135517,0,0,0,0,0,24.00000000,2.98390000,0,0,4.60220098,0,6.35511750,6.23615480,6.05709178,0,0,0.70470000,0,0,12.32464000,0,3.79376216,9.75310000,0,0,0.03080000,0,3.58087692,0,11.56066667,0,0,24.00000000,0,0.05345000,0,1.23220000,0.59190000,1.85548526,5.25888000,0.78515000,0,8.71530000,0,0,19.85186667,0,4.77741782,0,0,0,0,0,0,3.55304157,0,0,0,0,0,2.64676667,0,0,0,0,0,1.87372000,0,0,0.30440000,0,5.34064444,0,0,0,0,0,0,0,0,0,0,0,0.12722500,0,6.34795000,0.70830000,0,1.00000000,0,0,0,0,0,0,0,0.72940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29045000,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63445000,0,0,0,0,0,0,0,0.21810000,0,0.66170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
