Day,[123] Wall Hours: Per Job,[118] Wall Hours: Per Job,[62] Wall Hours: Per Job,[43] Wall Hours: Per Job,[236] Wall Hours: Per Job,[52] Wall Hours: Per Job,[252] Wall Hours: Per Job,[126] Wall Hours: Per Job,[15] Wall Hours: Per Job,[94] Wall Hours: Per Job,[155] Wall Hours: Per Job,[21] Wall Hours: Per Job,[39] Wall Hours: Per Job,[76] Wall Hours: Per Job,[67] Wall Hours: Per Job,[35] Wall Hours: Per Job,[69] Wall Hours: Per Job,[205] Wall Hours: Per Job,[23] Wall Hours: Per Job,[100] Wall Hours: Per Job,[30] Wall Hours: Per Job,[224] Wall Hours: Per Job,[18] Wall Hours: Per Job,[75] Wall Hours: Per Job,[25] Wall Hours: Per Job,[186] Wall Hours: Per Job,[200] Wall Hours: Per Job,[7] Wall Hours: Per Job,[116] Wall Hours: Per Job,[55] Wall Hours: Per Job,[70] Wall Hours: Per Job,[120] Wall Hours: Per Job,[20] Wall Hours: Per Job,[50] Wall Hours: Per Job,[56] Wall Hours: Per Job,[19] Wall Hours: Per Job,[10] Wall Hours: Per Job,[44] Wall Hours: Per Job,[40] Wall Hours: Per Job,[28] Wall Hours: Per Job,[138] Wall Hours: Per Job,[90] Wall Hours: Per Job,[196] Wall Hours: Per Job,[60] Wall Hours: Per Job,[175] Wall Hours: Per Job,[255] Wall Hours: Per Job,[108] Wall Hours: Per Job,[58] Wall Hours: Per Job,[46] Wall Hours: Per Job,[48] Wall Hours: Per Job,[32] Wall Hours: Per Job,[156] Wall Hours: Per Job,[81] Wall Hours: Per Job,[65] Wall Hours: Per Job,[42] Wall Hours: Per Job,[127] Wall Hours: Per Job,[80] Wall Hours: Per Job,[5] Wall Hours: Per Job,[3] Wall Hours: Per Job,[130] Wall Hours: Per Job,[12] Wall Hours: Per Job,[63] Wall Hours: Per Job,[16] Wall Hours: Per Job,[24] Wall Hours: Per Job,[13] Wall Hours: Per Job,[29] Wall Hours: Per Job,[64] Wall Hours: Per Job,[14] Wall Hours: Per Job,[34] Wall Hours: Per Job,[11] Wall Hours: Per Job,[168] Wall Hours: Per Job,[128] Wall Hours: Per Job,[45] Wall Hours: Per Job,[17] Wall Hours: Per Job,[133] Wall Hours: Per Job,[96] Wall Hours: Per Job,[119] Wall Hours: Per Job,[2] Wall Hours: Per Job,[9] Wall Hours: Per Job,[8] Wall Hours: Per Job,[4] Wall Hours: Per Job,[98] Wall Hours: Per Job,[1] Wall Hours: Per Job,[250] Wall Hours: Per Job,[82] Wall Hours: Per Job,[188] Wall Hours: Per Job,[106] Wall Hours: Per Job,[47] Wall Hours: Per Job,[144] Wall Hours: Per Job,[36] Wall Hours: Per Job,[38] Wall Hours: Per Job,[84] Wall Hours: Per Job,[86] Wall Hours: Per Job,[37] Wall Hours: Per Job,[88] Wall Hours: Per Job,[160] Wall Hours: Per Job,[140] Wall Hours: Per Job,[26] Wall Hours: Per Job,[93] Wall Hours: Per Job,[161] Wall Hours: Per Job,[256] Wall Hours: Per Job,[53] Wall Hours: Per Job,[125] Wall Hours: Per Job,[68] Wall Hours: Per Job,[22] Wall Hours: Per Job,[107] Wall Hours: Per Job,[33] Wall Hours: Per Job,[192] Wall Hours: Per Job,[27] Wall Hours: Per Job,[240] Wall Hours: Per Job,[176] Wall Hours: Per Job,[73] Wall Hours: Per Job,[227] Wall Hours: Per Job,[95] Wall Hours: Per Job,[109] Wall Hours: Per Job,[136] Wall Hours: Per Job,[72] Wall Hours: Per Job,[85] Wall Hours: Per Job,[57] Wall Hours: Per Job,[113] Wall Hours: Per Job,[91] Wall Hours: Per Job,[83] Wall Hours: Per Job,[189] Wall Hours: Per Job,[112] Wall Hours: Per Job,[163] Wall Hours: Per Job,[145] Wall Hours: Per Job,[78] Wall Hours: Per Job,[129] Wall Hours: Per Job,[225] Wall Hours: Per Job,[59] Wall Hours: Per Job,[41] Wall Hours: Per Job,[207] Wall Hours: Per Job,[6] Wall Hours: Per Job,[221] Wall Hours: Per Job,[195] Wall Hours: Per Job,[150] Wall Hours: Per Job,[217] Wall Hours: Per Job,[124] Wall Hours: Per Job,[51] Wall Hours: Per Job,[181] Wall Hours: Per Job,[253] Wall Hours: Per Job,[79] Wall Hours: Per Job,[87] Wall Hours: Per Job,[54] Wall Hours: Per Job,[167] Wall Hours: Per Job,[251] Wall Hours: Per Job,[89] Wall Hours: Per Job,[216] Wall Hours: Per Job,[162] Wall Hours: Per Job,[134] Wall Hours: Per Job,[135] Wall Hours: Per Job,[49] Wall Hours: Per Job,[148] Wall Hours: Per Job,[74] Wall Hours: Per Job,[245] Wall Hours: Per Job,[165] Wall Hours: Per Job,[185] Wall Hours: Per Job,[215] Wall Hours: Per Job,[235] Wall Hours: Per Job,[220] Wall Hours: Per Job,[157] Wall Hours: Per Job,[179] Wall Hours: Per Job,[115] Wall Hours: Per Job,[193] Wall Hours: Per Job,[110] Wall Hours: Per Job,[248] Wall Hours: Per Job,[152] Wall Hours: Per Job,[99] Wall Hours: Per Job,[102] Wall Hours: Per Job,[180] Wall Hours: Per Job,[172] Wall Hours: Per Job,[170] Wall Hours: Per Job,[213] Wall Hours: Per Job,[142] Wall Hours: Per Job,[143] Wall Hours: Per Job,[210] Wall Hours: Per Job,[190] Wall Hours: Per Job,[230] Wall Hours: Per Job,[254] Wall Hours: Per Job,[238] Wall Hours: Per Job,[114] Wall Hours: Per Job,[66] Wall Hours: Per Job,[288] Wall Hours: Per Job,[132] Wall Hours: Per Job,[212] Wall Hours: Per Job,[31] Wall Hours: Per Job,[71] Wall Hours: Per Job,[208] Wall Hours: Per Job,[247] Wall Hours: Per Job,[77] Wall Hours: Per Job,[222] Wall Hours: Per Job,[105] Wall Hours: Per Job,[211] Wall Hours: Per Job,[241] Wall Hours: Per Job,[249] Wall Hours: Per Job,[183] Wall Hours: Per Job,[166] Wall Hours: Per Job,[204] Wall Hours: Per Job,[103] Wall Hours: Per Job,[104] Wall Hours: Per Job,[61] Wall Hours: Per Job,[111] Wall Hours: Per Job,[92] Wall Hours: Per Job,[233] Wall Hours: Per Job,[390] Wall Hours: Per Job,[149] Wall Hours: Per Job
2016-02-01,0,0,24.00000000,0,0,0.00610000,0,0,13.69810000,0,0,6.32234286,0,0,0,0,0,23.54280000,3.54310000,0,4.27192500,0,13.49555556,3.06650000,0.02250000,0,0,4.61071429,1.50445000,0.21765000,0,0,11.19980000,5.58806000,6.80015000,0,6.77773409,0,7.63476154,15.99686667,0,0,0,0,0,0,0,0,3.05080000,3.11274286,3.32454111,0,0,0.00810000,7.11000000,0,1.29425000,3.70135714,4.69545441,0,9.43076667,0.20520000,5.73404516,12.41886923,0.04820000,0,3.48838333,9.20446000,0,0.77299500,0,1.81834000,0,0,0,4.72790000,0,3.26888669,6.41360000,6.19388387,4.05988405,0,2.92579939,0.59390000,7.06000000,0,0,0,0,0.73155000,0,0,0,0,0,0,0,0,0,0.40060000,0.69706818,0,0,0.00955000,0.30390000,0,0.00610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07829250,0,0,0,1.51500000,0,0,0,0,0,0,0,4.29275401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,0,0,9.65110000,0,0,3.11330000,0,0,4.47545714,0,0,7.31041667,0,0,0,0,0,0.23290000,5.47975000,0,9.64715000,0,11.22289000,7.00445000,14.54280000,0,0,6.77395385,9.49080000,0.19546667,0,0,3.77142727,0.09975000,11.21085000,0,4.07986000,0,9.50897143,14.20813333,0,0,0,0,0,0,0,0,0,7.73287000,5.01780667,0,0,0.01945000,6.29227500,0,1.08737778,5.92232895,6.48378868,0,6.72083810,0.37193333,8.31058353,10.15536000,0.01190000,0,4.40723333,4.14535714,0,0.44538462,0,4.71601667,0,2.96122727,0,5.46078333,0,3.36462984,3.37682281,5.75219074,7.32528376,0,5.20782500,3.79360000,10.20000000,0,0,0,0,1.72620000,0,0,0,0,0,0.02420000,0,0,0,0,0.14758125,14.78170000,0,0,0,0,0.00920000,0,0,0,0,2.21305000,0,0,0,0,0,0,0,0,1.18983000,0,0,0,1.31694000,0,0,0.03651429,0,0,0,0,3.75101204,0,0,0,0.40994500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,0,0,24.00000000,0,0,6.19250000,0,0,15.24370000,0,0,8.04740000,0,0,0,0,0,2.70960000,8.80970000,0,6.08486250,0,0.71878750,10.84690000,0.02521250,0,0.33440000,7.13899600,0,23.65690000,0,2.06530000,6.61150299,3.07580000,0,0,3.51417576,0,4.53873333,4.19716000,0,0,0,4.76170000,0,0,0,0,0,8.54333333,8.39747407,0,1.43110000,0,3.91981667,0,3.01684000,2.07718655,5.73131379,0,6.53727500,8.67390000,4.58209352,9.10182222,2.25050000,0,4.12274412,12.88396667,0.00777500,0,0,3.17462222,0,4.40572000,0,14.77390000,0,5.22925512,3.24920385,7.18773545,7.89851761,0,3.85916264,0.33560000,8.22655000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07281250,0,0,0,0,0,0,0,0,0.34060000,0,0,0,0,0,0.01337143,0,0,0,0,0,0,0,0,1.68970000,0,0,0,0.33670000,0,0,0,7.23233824,0,0.23220000,0,1.11335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33780000,0,0,0.33580000,0.33580000,0.34060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34030000,0.33860000,0.33690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,0,0,8.23905000,0,0,24.00000000,0,0,7.58464444,0,0.33670000,8.24187500,1.76640000,0,0,0,0,21.12080000,18.32915000,0,2.35716000,0,10.00220000,12.38553333,0,0,0,9.48877059,0,0.06250000,0,12.16695000,9.15054769,0.17190000,0,17.49720000,4.92319157,0,3.50370000,0,0,0,0,4.64470000,0.33330000,0,0,0,0,4.92969091,5.88253333,0,0.03310000,0,6.85170000,0,4.94325000,3.54740962,5.28871584,0.33810000,9.16072000,4.52585000,5.85275052,10.63922857,3.85024286,0,9.37677059,8.01593333,6.24230000,0,0,1.95743333,0,7.90090000,0,2.95776667,0,4.70662275,2.71671500,6.90514556,7.69690164,0,2.52701617,0,3.93556667,0,0,0,0,0.77850000,0,0,0,0,0,0.33860000,0.33330000,0,0,0,0.40778500,0,0.33390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67555000,0.34140000,0,0,0,0,2.53395000,0,10.64774500,0,0.10500000,0.33810000,1.54955833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34060000,0,0,0,0,0.33670000,0.33640000,0,0,0,0,0,0.31940000,0,0.10280000,0,0,0,0,0.33470000,0,0.33750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,0,0,17.36140000,0,0,23.30110000,0,0,5.99061538,0,0,10.87875000,20.51220000,0,0.11390000,0,0,20.29920000,14.02235000,0,1.87760000,0,22.50322000,10.56053333,17.48610000,0,0,7.68382500,0,11.87140000,0,21.93530000,8.76791481,13.79915000,1.37780000,20.97470000,6.72135227,0,10.76937500,0,0,0,0,3.59830000,0,0,0,0,0,8.26892500,8.54689149,0,0,0,0,0,3.64611667,5.85073065,3.60917417,0,8.61962000,1.84000000,8.94606437,7.83504545,13.47810000,0,6.47940000,4.92862000,4.67440000,0,0,7.58129000,0,7.28667500,0,24.00000000,0,6.50618177,4.36914773,11.77718291,8.22410900,0,2.46690162,0,0,0,0,0,0,3.56225000,0,0,0,15.30330000,0,0,0,0,0,0,0.27970000,0,0,0,0,0,0,0,0,0,0,2.69500000,0,0,0,0,0,0,0,0,0.25141500,0,0,0,1.72190000,0,0,0,0,0,0.00555000,0,5.24696897,0,0,0,0,0,0,0.33555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,0,0,18.36060000,0,0,0,0,0,23.05421429,0,0,14.23500000,0,0,0,0,0,10.29440000,6.63500000,0,9.22250000,0,0,5.78398333,0,0,0,16.04240667,0,12.12940000,0,0,12.13870526,14.62220000,1.08835000,0,9.76189783,0,7.72436250,0,0,0,0,1.91280000,0,0,0,0,0.17360000,18.87940000,5.49303968,0,0,0,0,0,5.29622857,11.23337826,6.90347416,0,11.29788182,9.88810000,6.36292323,16.23480000,0.72916667,0,5.75387879,8.68176667,0,0.01165000,0,13.73601111,0,10.24060000,0,19.31970000,0,9.16630205,4.26319403,5.52019900,5.64576877,0,2.95568060,0,0,0,0,0,0,3.93112000,0,0,0,0,0,0.00860000,0,0,0,0,0.25156667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09470000,0,0.13654286,0,0,0,0,0,1.68030000,0,0,0,0,0,3.26765000,0,5.54741250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,0,0,6.31595000,0,0,0,0,0,5.72478750,0,0,6.09012000,0,0,0,0,0,0,0,0,10.58685000,0,11.15716000,11.70203333,0,0,0,15.72777692,0,19.84640000,0,2.17290000,3.13467586,0,3.09060000,0,7.12783235,0,8.09116667,0,0,0,0,1.33555000,0,0,0,0,24.00000000,7.17547500,6.38040377,0,0,0,0,0,3.54930833,5.86274211,6.63642368,0,6.80679333,8.30070000,6.05017467,13.20971429,0.01360000,0,10.98962927,2.03888000,0,0,0,5.97536000,0,2.61190000,0,0,0,7.59655171,3.28997769,6.71695847,4.86515375,0,3.31432851,0,0,2.52400000,0,0,0,0,0,0,0,0,0,2.24860000,0,0,0,0,4.10895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74140000,0,2.32618611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,0,0,24.00000000,0,0,0,0,0,5.28161667,0,0,17.83943333,0,0,0,0.50705000,0,0,0,0,4.65160000,0,7.36441176,8.83230000,0,0,0,4.20410909,0,24.00000000,0,24.00000000,5.84335556,0,3.48030000,0,8.16484651,0,13.05206000,5.01470000,0,0,0,0,0,0,0,0,23.82920000,10.44676667,5.70848000,0,0,0,7.47026667,0,4.08106667,5.83212000,3.64133459,0,10.82972500,14.39110000,9.89200875,9.93911111,0,0,2.69165000,24.00000000,1.43226667,0,0,9.66504000,0,4.30993333,0,1.32833333,0,5.27302082,1.98221203,5.59000749,4.05604023,0,1.89808509,0,0,8.51180000,0,0,0,3.27694545,0,0,0,0,0,0,0,0.88485000,0,0,2.31540000,0,0,0,0,0,0,0,0,0,0,0.01390000,0,0,0,0,0,0,1.00890000,0,0,0,0,0.00610000,0,0,0,0,0,0,0,0,0.42248124,0,0,0,0,0,0,0.34805000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,0,0,15.51560000,0,0,0.17420000,0,0,13.37317778,0,0,7.97582500,2.10290000,0,0,5.99420000,0,12.95500000,0,14.52280000,6.78277333,0,11.40272000,2.27030000,2.84440000,0,0.02360000,11.94044000,0,1.34030000,0,1.71810000,12.77427931,0,0,0.01530000,8.42038333,0,10.00234286,11.84535000,0,0,0,0,0,0,0,0,2.39420000,0,8.62959048,0,0,0.16920000,18.45780000,0,6.97346000,3.19140000,7.79645517,0,7.67842500,14.82515000,7.72692338,10.68786667,0.00865000,0,3.99709677,8.98453333,20.89165000,0,0,6.59553333,0,0.10333333,0,4.77185556,0,3.76877468,4.15474474,3.94901164,5.72411114,0,2.97702488,0,0,3.92470000,0,0,0,3.40112667,0,0,0,0,0,0,0,0,0,0,6.83225000,0,0,0,0,0,0,0,0,14.72860000,0,0,0,0,0,0,0,0,0.93430000,0,0,0,0,1.43560000,0,0,0,0.04176667,0,0,0,0,0.55040639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,0,0,21.92720000,0,0,0,0,0,10.75180000,0,0,6.30180000,11.03665000,0,0,7.98830000,0,24.00000000,0,2.20390000,13.67643333,0,0,0,7.74670000,0,0,10.88506000,0,0,0,2.08810000,4.84080769,4.21500000,4.00080000,0.01560000,8.59821667,4.70206667,8.24856667,12.64055000,0,0,0,0,0,0,0,0,24.00000000,4.60963333,4.20421333,0,0,0.04985000,1.34420000,0,3.81406000,6.06251333,11.35100667,0,2.96475750,21.78920000,6.40115584,11.33175714,0.01420000,0,7.84677500,12.32860000,22.33500000,14.32170000,0,12.59528571,0,0,0,9.28310000,0,5.27543555,2.70595313,8.32154013,5.93475261,0,3.65504927,0.10445000,0,11.06030000,0,0,0,0.21085000,0,0,0,0,0,0,0,0,0,0,1.95425000,0,0,0.01460000,0,0,0.16750000,0,0,0.76830000,0,1.99360000,0,0,0,0,0,0,1.29680000,0,5.73330000,0,0,0.77085000,0,0,0,0.02853333,0,0,2.90220000,0,7.27957143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04000000,0.03765000,0,0,0,0,0,0,0,0,0,0,0
