title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Per Job","[NCAR FROST] CPU Hours: Per Job","[TACC RANGER] CPU Hours: Per Job","[NICS ATHENA] CPU Hours: Per Job","[TACC LONGHORN] CPU Hours: Per Job","[PSC BIGBEN] CPU Hours: Per Job","[SDSC DASH] CPU Hours: Per Job","[TACC LONESTAR] CPU Hours: Per Job","[PSC POPLE] CPU Hours: Per Job","[NCSA LINCOLN] CPU Hours: Per Job","[LONI QUEENBEE] CPU Hours: Per Job","[NCSA ABE] CPU Hours: Per Job","[NCSA DTF] CPU Hours: Per Job","[TACC SPUR] CPU Hours: Per Job","[IU BIGRED*] CPU Hours: Per Job","[PURDUE STEELE] CPU Hours: Per Job","[NCSA COBALT] CPU Hours: Per Job","[ORNL NSTG] CPU Hours: Per Job","[PURDUE CONDOR] CPU Hours: Per Job"
2010-02-01,2278.15294547,3452.32527037,1486.89107097,0,20.95555000,235.20280531,0,110.55056214,170.75690476,247.39326944,0,50.99981667,123.42490103,40.82220000,29.59812955,20.38270935,5.89227970,0.91218750,5.80516641
2010-02-02,1646.50280169,2900.67808571,1031.97435426,0,11.82444000,1085.96874000,0,162.03943602,139.68899238,352.49470882,136.67333243,60.73065419,55.47540465,39.91644000,16.36815319,8.29680592,3.39196214,1.34201159,14.30564217
2010-02-03,32476.64744894,976.33555375,780.03423902,0,0,1500.41434194,0,155.93124228,161.67740213,62.32663611,261.40154014,81.72022585,43.01693668,47.68602143,28.47661594,19.20296280,4.40700128,1.28767069,5.52781274
2010-02-04,2546.93765167,1635.09054510,1004.68049569,0,1.46885000,540.74172182,0,121.01363296,151.25175135,26.71129458,93.26574975,68.03642831,55.81577496,32.25587143,49.18260000,28.83757737,6.24235588,0.88573621,6.67812909
2010-02-05,1994.58854007,2209.12655263,1302.48589979,0,29.90666667,470.06815752,0,240.54477857,127.34906515,125.06764110,213.63910032,72.81093140,104.28456557,51.79110000,42.66609074,10.93899995,6.46770615,0.75001833,7.01063790
2010-02-06,2598.10103462,1375.60579565,1547.54028261,0,0,636.59103214,0,367.60099324,399.38489000,34.91773106,196.16129216,54.68520744,102.42682527,11.87110000,34.82849825,64.91767741,10.67317424,0.00500000,22.98071272
2010-02-07,1701.85581312,2017.77777647,1592.38317485,0,0,772.66097600,0,174.99427386,340.47961522,71.99025784,236.90790042,63.69134588,142.18287353,0,36.11995686,66.18451381,8.17933429,0.00690625,15.84011613
2010-02-08,1230.27816155,2457.72069474,1434.85927820,0,13.95207143,948.33553187,0,22.42660033,328.28970408,299.95784242,120.54093882,40.76912700,53.23997454,2.98555000,42.92734219,62.11066250,7.07053415,3.09651364,15.65558458
2010-02-09,825.41436236,1543.99210741,1399.16704722,0,4.55073333,381.83004027,0,86.36395423,91.05367273,94.39545495,194.22974506,37.02739887,45.84965939,38.10332500,25.70653723,33.98086679,6.78114977,2.08277391,23.01809948
2010-02-10,47399.22937568,242.63349205,1492.86814089,0,3.46824286,1238.74812000,0,189.73401644,138.62574679,249.49399091,145.18070136,27.62104779,52.44305094,50.40890000,25.56753148,8.73339830,5.79098651,1.74780000,21.62406577
2010-02-11,1783.12891951,236.92801338,1561.76600108,0,8.96603333,479.05535984,0,230.00068511,109.43923378,25.70674605,232.63809677,43.21731069,70.66265319,21.56890000,12.40003739,6.45204873,5.65294231,2.28585313,20.97406224
2010-02-12,1413.17707189,1475.10065882,2081.36372797,0,19.16667778,2033.89200000,0,128.81870387,154.61523619,460.64213462,244.58238105,63.91576007,66.73853880,15.05926667,26.78127097,8.32908480,8.31180184,1.21893077,3.60661262
2010-02-13,1397.19253605,1075.74869091,1943.07146526,0,0,773.73606909,0,280.58010919,132.73690315,589.64000000,329.22398132,129.55983254,70.08767658,55.06963333,35.84444359,7.97832813,8.35222931,0.00434364,23.30486207
2010-02-14,1546.20233817,613.49688000,1925.92957913,0,0,849.19307551,0,288.22374416,145.10639052,466.03409688,180.25066395,88.83022726,96.07434015,35.14844000,38.39763636,29.40012683,13.28214218,0.00456852,23.16056134
2010-02-15,1026.00240274,1250.87204474,1418.59157001,0,7.06665000,209.70120643,0,98.36604220,119.46114255,207.73653014,249.24891130,60.70153048,67.09730612,36.28000000,39.30851216,7.88217206,4.85984844,0.81452321,22.59914162
