title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[NCAR FROST] CPU Hours: Per Job","[NICS KRAKEN] CPU Hours: Per Job","[TACC RANGER] CPU Hours: Per Job","[LONI QUEENBEE] CPU Hours: Per Job","[TACC LONESTAR4] CPU Hours: Per Job","[SDSC TRESTLES] CPU Hours: Per Job","[TACC LONGHORN] CPU Hours: Per Job","[PSC BLACKLIGHT] CPU Hours: Per Job","[PSC POPLE] CPU Hours: Per Job","[NCSA LINCOLN] CPU Hours: Per Job","[SDSC DASH] CPU Hours: Per Job","[IU BIGRED*] CPU Hours: Per Job","[NICS NAUTILUS] CPU Hours: Per Job","[NCSA FORGE] CPU Hours: Per Job","[TACC SPUR] CPU Hours: Per Job","[PURDUE STEELE] CPU Hours: Per Job","[PURDUE CONDOR] CPU Hours: Per Job","[NCSA EMBER*] CPU Hours: Per Job"
2011-08-01,49155.41335000,1162.66268589,1206.57396786,309.31949962,261.23350310,211.61944381,65.54854543,216.40755776,44.71030517,50.92330297,22.51504231,14.76002500,61.73562279,0,38.57688000,7.29022029,0.56643555,2.50122857
2011-08-02,32764.58666667,909.49394436,1283.50637702,323.95568906,680.68625618,229.93580289,111.13270181,158.56982995,69.71280123,90.99922925,29.24100909,17.13656957,45.15498884,0,41.45538462,1.95887831,0.75584729,0
2011-08-03,48214.47110000,860.46880814,1146.19359369,211.52221333,357.47737486,46.46665706,274.56368288,232.98010476,71.60945673,68.12531243,68.12727931,79.74139487,137.19590000,0,16.74220000,1.57351752,1.54121385,0
2011-08-04,89761.56440000,1073.67556942,951.07899891,250.09229400,460.57331109,37.38786310,207.50611795,81.34206374,96.75743214,57.60103089,15.23703333,77.73378000,27.92661440,0,79.34000000,4.30056764,1.39134044,0
2011-08-05,327.68000000,1050.02692975,1162.75021376,232.01561120,482.75609160,35.03842467,344.43192063,384.62255938,76.95275179,56.51777292,283.84712000,79.35076250,49.67107409,0,0,1.90783024,0.74849210,0
2011-08-06,0,1008.98023047,1377.86786051,196.80464089,604.43951345,9.61408244,436.88025000,379.59867925,71.80883664,61.57291266,0.04220000,71.92367000,246.18192000,0,0,0.78517850,1.88543481,0
2011-08-07,0,1684.19227081,1083.06260629,356.77704566,282.06404163,50.89215415,389.63359762,333.39856250,102.79948545,41.09939245,0,81.94703333,69.28889063,0,3.80670000,0.13588030,1.69142228,0
2011-08-08,0,2061.67911062,901.33462908,414.60535422,127.86694203,122.25462974,358.68024107,192.70157401,104.06106693,78.18877414,0,35.17307500,43.13514047,0,29.30412857,33.54494444,7.56276873,0
2011-08-09,0,1510.18682416,926.92110874,246.53775042,332.05669810,133.83509383,270.32282429,121.57575174,58.47458407,69.27292909,0,66.89330000,32.17545000,0,31.30398000,1.11749730,2.48153168,0.05122857
2011-08-10,0,1243.65480069,888.29295618,358.06988944,319.25539633,85.09415204,177.83315789,50.35307474,99.75612521,81.10422623,37.11390000,0,30.10247191,0,71.74665000,0.73046434,1.66574300,0.13622000
2011-08-11,0,3223.01171402,975.16484840,453.83539798,333.67341864,226.67656260,252.26652295,97.89507547,79.40740273,76.41800870,77.84769231,0,46.81582296,0,109.24223333,3.36284205,1.26136005,0
2011-08-12,0,2326.07384019,1132.44447727,311.15723871,226.83801673,298.25928687,106.28422541,59.34612574,146.88899355,87.94032396,185.65428571,0,82.91702462,0,172.34110000,0.86213587,1.90242200,0
2011-08-13,0,3927.50678788,1035.50124197,305.03222217,561.25526970,359.92170847,363.58492857,138.03390091,224.57278689,56.59958305,71.55556154,0,18.14437630,0,35.48890000,0.71716927,1.52966717,0
2011-08-14,0,1547.35828715,1166.71689019,236.38332595,305.31122929,261.76490692,57.70667000,61.87875686,282.37123333,41.39090615,86.38346111,0,0,0,20.77110000,7.50782604,1.66528374,0
2011-08-15,0,1000.11328341,854.13467941,403.24597668,0,248.95258136,282.80348000,99.47273898,210.65134138,91.91760684,59.13289000,0,13.73611667,0,29.79628333,3.48020895,1.80300530,0.03890000
2011-08-16,0,1711.24382511,785.05655887,366.76601622,520.43381429,261.06508780,29.54718077,36.20686119,79.05674189,117.33046180,59.58500625,0,16.22122321,0,28.12890000,6.94162722,1.71414341,0.47670000
2011-08-17,0,849.49395012,945.69687791,336.32031697,580.79138022,148.60659690,213.86058000,35.90003689,299.56294615,119.63040000,80.43688857,0,37.65607126,0,40.40446000,6.23476804,1.99087256,1.96700645
2011-08-18,0,699.18664432,745.31409582,153.59745490,328.59551772,236.20771387,316.10524000,66.75933354,158.54690241,97.17179200,170.45526000,0,14.58934473,0.01110000,33.18350000,12.01529863,1.81906209,1.57368148
2011-08-19,0,1723.79102649,777.16305315,211.33688557,630.88089506,332.55750454,243.31685833,143.72608498,185.53740667,86.62313309,251.81027500,0,86.64526327,0,43.01333333,14.07213519,1.90815501,4.75263333
2011-08-20,520.81780000,858.78918370,1041.07294394,435.04544972,532.24266092,280.22238538,725.48308077,156.04492204,235.43705455,153.77662636,178.80075000,0,103.02830000,0,0,23.71956683,2.87034172,7.88205455
2011-08-21,809.42220000,1102.64512246,794.69544535,382.92027466,570.31361889,352.36558487,368.17427556,163.62530640,209.22436316,179.56932500,89.09086111,0,73.32814583,0,1.83335000,19.72485262,2.10743185,16.34468333
2011-08-22,61.55850000,1223.87601432,556.51454267,168.21743125,518.78677770,263.36714805,189.77877753,87.45156596,129.42711875,97.48109018,127.64011500,0,181.14673710,0,47.05408333,16.66408661,4.96648977,12.00368750
2011-08-23,2038.46221875,497.20674908,338.65148576,263.37362045,321.51298400,240.21787823,328.45050847,69.55046864,198.25648630,95.72274414,62.83841429,0,1.91229063,0.50813333,14.95110000,9.52665768,4.80576972,9.44500000
2011-08-24,1655.34024444,305.85868891,664.59114724,559.84889000,346.52269891,261.68793713,444.10748947,93.56454614,141.62972872,171.64884286,45.25282727,0,19.69636441,0.85444375,125.79703333,8.80604230,10.61861806,16.04200000
2011-08-25,517.15137059,452.74886855,892.42469872,328.01883810,341.40592666,215.76117712,562.08837714,69.96607672,149.38844699,60.30059082,60.05571071,0,262.51807333,0,25.72666667,10.72959491,4.15508726,4.70611000
2011-08-26,336.13576364,572.23138954,1185.97025635,834.37651373,436.06497281,174.51825864,301.85333462,84.64982202,214.06507170,35.63375595,53.74029545,0,39.73267099,0,19.30220000,17.79875034,4.30256765,7.01060000
2011-08-27,1116.33777500,1182.34600119,845.49748956,2403.76337826,642.53454535,266.80504162,421.81973600,99.87751769,371.88777353,47.06715556,217.83015714,0,21.30255876,0,28.32440000,22.30691448,4.64845210,5.57376667
2011-08-28,0,1181.52979598,942.24859476,824.88238028,434.13128933,229.61418154,865.40889000,285.12940429,687.15789474,44.23138750,232.13036667,0,18.56704112,0,0,13.52367492,4.06471433,6.67461250
2011-08-29,173.86666667,1555.98864280,545.94657587,573.14328487,166.24518726,143.72433697,436.34221429,91.65971658,170.91766000,38.09198214,27.06590000,0,101.90888944,0,11.72518333,14.06456258,5.46561943,2.03675000
2011-08-30,221.61776667,810.37423633,580.61532350,561.42226970,646.99936824,116.55535262,179.04901923,129.58709507,260.53490870,34.34863205,16.58668000,0,89.18177034,0,1.66373333,9.71592042,3.65772645,0.51349167
2011-08-31,0,679.05336880,473.87750614,453.85284277,224.12797320,197.23394980,301.60909091,229.39573760,416.99323636,118.99165303,326.76000000,0,72.96763412,0,16.50665000,13.86206547,5.27052484,0.01190000
