title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2012-08-01,2013-01-31
---------
Day,"[NICS KRAKEN] CPU Hours: Per Job","[TACC RANGER] CPU Hours: Per Job","[GATECH KEENELAND] CPU Hours: Per Job","[PSC BLACKLIGHT] CPU Hours: Per Job","[TACC LONESTAR4] CPU Hours: Per Job","[TACC LONGHORN] CPU Hours: Per Job","[TACC STAMPEDE] CPU Hours: Per Job","[NICS NAUTILUS] CPU Hours: Per Job","[SDSC GORDON] CPU Hours: Per Job","[SDSC TRESTLES] CPU Hours: Per Job","[NCSA FORGE] CPU Hours: Per Job","[TACC SPUR] CPU Hours: Per Job","[PURDUE STEELE] CPU Hours: Per Job","[PURDUE CONDOR] CPU Hours: Per Job"
2012-08-01,696.28445138,732.92929111,226.82944167,140.08081667,243.53387143,95.38225926,0,114.44482414,105.56652372,86.79544258,30.51036832,12.35370417,17.47902097,11.27380994
2012-08-02,845.84432012,755.77665534,407.72169048,162.82877753,372.42260696,131.12957333,0,62.51519516,183.26817494,261.23775108,34.00192045,18.28635714,15.02015534,11.88862583
2012-08-03,1083.31430831,640.12603756,425.19074167,325.23891370,292.20593286,113.72458061,0,112.82102203,229.04382211,178.94429612,16.50839853,44.10813333,13.99022344,13.05054266
2012-08-04,1227.78153293,1161.90554095,614.94181818,1469.68033148,350.25478175,266.81878545,0,311.90475714,252.13092910,206.13200779,16.89551858,3.19556000,14.92355765,13.12718223
2012-08-05,1441.78933377,1253.25029343,623.71194375,1555.01102600,407.03157464,402.65821176,0,540.46328235,215.90719022,129.62569288,39.67473697,10.68440000,25.38816320,1.05981895
2012-08-06,1158.28961216,1072.71199181,187.31851667,485.06828280,277.25988191,190.39621702,0,409.78883333,251.98290310,234.61640323,28.65603958,3.54665556,23.88145066,1.47187296
2012-08-07,932.92048555,721.60248584,0,662.52862560,371.63515365,186.92447045,0,315.52146591,202.75563498,414.33421969,65.09130120,1.21780000,23.69001133,1.43683894
2012-08-08,971.47528293,938.41014427,131.47690000,572.90937391,265.86014573,171.35047327,0,297.91967541,77.85662849,427.94272998,31.10377264,1.44305000,20.61602332,6.45422451
2012-08-09,1076.04966966,1387.75889335,308.38933500,440.19510674,318.24148284,158.74551358,0,142.72734286,95.98841395,246.75974331,42.21442212,5.55555714,6.97362440,17.16369807
2012-08-10,1045.11303558,1131.39372000,187.53481667,231.23229054,380.26715493,204.95772308,0,236.90085769,101.99492874,249.61729417,91.23369286,11.08691111,10.19245027,5.78743802
2012-08-11,1391.68500432,1185.88003404,186.49598077,623.36050847,502.72076126,210.13796338,0,1131.77693750,121.25402694,320.16322005,100.30813030,1.10459333,15.06713654,3.67972449
2012-08-12,1887.59496547,897.84943781,126.92101571,343.78022329,651.71869880,304.55647805,0,388.19594118,337.76050595,301.62724631,148.75725397,1.95274737,25.06362744,16.43625000
2012-08-13,927.36930595,659.90397323,158.36920536,453.71750321,648.09693446,250.76497288,0,181.66925714,446.80727529,215.41528217,64.75736962,1.75822000,15.81658254,11.77297786
2012-08-14,777.62920024,764.38672548,0,523.74490333,465.62620635,184.86976860,0,173.23752692,131.53029481,261.12485455,42.81055874,1.18046000,25.22400429,5.53611203
2012-08-15,453.32670113,606.46750438,0,915.79170811,536.96834289,191.10033605,0,86.35303243,58.97529778,269.66806229,46.99224504,1.04593333,12.85029968,13.89542483
