title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[CCT LSU SUPERMIC] CPU Hours: Per Job","[NICS DARTER] CPU Hours: Per Job","[PSC BLACKLIGHT] CPU Hours: Per Job","[TACC STAMPEDE] CPU Hours: Per Job","[TACC LONESTAR4] CPU Hours: Per Job","[NICS NAUTILUS] CPU Hours: Per Job","[GATECH KEENELAND] CPU Hours: Per Job","[SDSC GORDON] CPU Hours: Per Job","[SDSC TRESTLES] CPU Hours: Per Job","[TACC MAVERICK2] CPU Hours: Per Job","[GATECH KIDS] CPU Hours: Per Job","[OSG] CPU Hours: Per Job"
2014-08-01,0,226.47152800,1048.85238947,310.97323229,551.90519369,189.70744000,140.86653703,148.43547928,204.66014322,7.70715492,10.66865439,0
2014-08-02,0,228.50304449,2496.00000000,212.75112056,284.99349186,401.94795263,44.93782053,318.98862267,202.63337762,8.30142093,1.14269903,0
2014-08-03,0,112.63337180,1070.04526364,227.36758015,133.37114407,438.28605000,47.52602424,254.90900742,237.19776348,67.98355939,10.32922692,0
2014-08-04,0,69.82086092,55.50205974,142.41729336,192.86599412,166.53148000,46.67226255,201.06056997,84.04704765,5.09171299,36.58096923,0
2014-08-05,0,123.17918974,237.56595909,90.77259132,160.49819148,19.43330000,455.99851481,168.15884979,62.17777836,18.39635668,12.71333333,0
2014-08-06,0,335.75712326,717.26976429,389.36925227,173.32974975,128.37066000,94.94898387,151.73753467,48.56384581,2.96023393,27.87306667,0
2014-08-07,0,204.28614508,491.97909865,440.77772249,281.37013665,58.84969200,114.95166519,131.04077533,161.46815842,11.80063755,34.59233200,0
2014-08-08,0,111.51653810,357.29291321,303.27773081,259.39693272,466.57727778,115.07539239,196.00977649,137.56803066,112.47091513,18.09812152,0
2014-08-09,0,188.21394148,1070.41934054,199.19888787,232.87534231,745.64622000,143.43020434,280.05582323,190.24590326,213.86599655,30.75488571,0
2014-08-10,0,214.28130348,66.48118032,170.05901783,240.03887907,414.25828462,44.30380789,324.25866516,207.75929240,21.48200692,27.20941538,0
2014-08-11,0,132.81986031,67.35404159,208.44787465,214.17574917,249.92467000,125.04765846,263.39817039,135.51478924,12.65743675,47.93582500,0
2014-08-12,0,83.45029783,223.34712169,158.04224316,205.23451340,355.73543684,201.27385321,222.39573940,201.40557091,12.89430649,9.49616316,0
2014-08-13,0,222.04850776,118.71072708,235.81242093,112.52498156,70.92246667,130.90680903,185.35746020,193.51924138,110.49605503,1.70513802,0
2014-08-14,0,2487.84491942,72.90994498,282.02724782,332.34664444,24.82813333,183.76542835,193.12545146,197.57068141,138.98112029,3.91721154,0
2014-08-15,0,738.34884450,181.50944880,346.92757611,261.14735886,0.04293333,178.05311205,155.07917168,158.63374818,136.15565322,2.65244205,0
2014-08-16,0,581.24444630,70.29875900,277.13786009,375.73958952,18.05207143,206.50572664,191.25592114,239.16154000,204.59566301,35.99708333,0
