Day,[NICS KRAKEN] CPU Hours: Per Job,[TACC RANGER] CPU Hours: Per Job,[NCAR FROST] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job,[NICS ATHENA] CPU Hours: Per Job,[TACC LONGHORN] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[LONI QUEENBEE] CPU Hours: Per Job,[SDSC DASH] CPU Hours: Per Job,[NCSA LINCOLN] CPU Hours: Per Job,[PSC POPLE] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[NCSA ABE] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[IU BIGRED*] CPU Hours: Per Job,[TACC SPUR] CPU Hours: Per Job,[PURDUE STEELE] CPU Hours: Per Job,[NCSA EMBER*] CPU Hours: Per Job,[PURDUE CONDOR] CPU Hours: Per Job,[ORNL NSTG] CPU Hours: Per Job
2011-02-01,413.49581672,951.39970593,10128.28148333,0,462.41345877,128.08559474,27.98276561,358.29986000,44.78150000,186.29827320,47.13027398,449.41008730,59.04606308,24.84826667,16.52459888,33.91353636,1.21676654,5.38111949,2.94266642,0
2011-02-02,563.13528517,896.94035768,1285.77445733,338.90046207,547.03590596,437.12709851,12.71542590,254.85566341,36.94000000,405.23707302,24.91738703,421.77229533,100.15579159,38.15250645,54.64356690,37.47555000,1.15981841,4.75173943,1.21568540,0
2011-02-03,2051.72532562,878.00422535,574.73947222,123.97113798,780.21842431,265.24066198,23.11138282,259.08324680,107.12335000,180.64714481,22.65174192,425.30603882,42.62960628,52.91213600,64.05857869,40.95110000,1.11923636,4.75394083,0.83578706,0
2011-02-04,752.32026966,927.67610332,714.23116928,93.01802721,566.21009957,322.17555487,172.91393864,199.16727020,21.66740000,153.65292308,78.02577941,696.83677931,76.24359996,11.62641316,61.44489512,81.69555000,1.78471605,5.26543333,3.53344875,0
2011-02-05,1047.36965858,789.79946933,155.07805693,255.99318676,759.03485773,326.34198584,116.57057867,185.78584475,23.66440000,121.54058155,61.73890103,1365.88543333,79.10533132,25.66325882,56.69987619,2.76445000,1.89178237,8.81203478,22.58025024,0
2011-02-06,910.33716591,758.69958847,265.43210705,376.30756622,1754.84164410,210.18674412,166.17052515,117.48686689,4.63110000,186.82940985,92.16560897,1401.61096333,177.76549623,3.45954286,52.05210667,19.95851667,3.06241847,6.96746111,19.91350959,0
2011-02-07,991.19493081,650.27323114,845.08444444,127.54132222,1180.68968489,287.63824831,611.59313091,245.71665894,82.71780000,146.87540342,77.10129561,1000.66360172,46.09408983,42.76945526,55.70862721,4.81220000,3.78467181,3.67004464,0.65055245,0
2011-02-08,988.25896746,771.64435956,529.58327712,90.16951667,1686.37758374,296.10213594,178.44552591,222.35720185,52.70165000,186.24077530,82.09746578,478.27647241,51.60530260,51.03762143,55.74403740,56.96777500,2.77544355,3.90702615,2.93631301,0
2011-02-09,0,644.99281443,223.43761525,139.90342931,528.08586988,283.60066378,143.35536413,88.69224881,33.48875000,238.24747739,80.85937056,426.80659247,79.96065534,8.30146818,32.62961845,45.80890000,2.25418741,3.50153746,1.11037739,0
2011-02-10,0,822.46820973,100.30105802,207.12566803,1225.51460848,273.13066765,283.61615556,106.28366569,101.59820000,176.31153352,112.26510233,349.97312616,43.38853554,292.40597500,47.58463655,31.78031429,2.48778960,4.29076239,5.04738896,0
2011-02-11,0,920.16201589,201.03046146,152.35153992,1541.82715127,300.79821278,102.48521739,102.10270607,101.68619286,225.52267676,86.79490852,378.14394194,101.33240078,30.54017685,53.58326045,15.38445000,4.64842936,5.58655000,2.75381212,0
2011-02-12,38.25113333,696.68998676,1907.58857302,362.28247419,378.42819911,296.19138462,567.64288500,127.07997796,97.02505455,274.53195431,62.37013836,411.11635282,52.75089211,23.93899746,62.05726696,0,7.12280817,4.94544112,1.83618509,0
2011-02-13,178.90670000,697.53293653,2752.21209535,345.10085271,151.91437324,271.41569271,286.00176531,174.05666570,0,416.77886154,79.99624279,497.26619412,83.95539761,108.24578947,75.53693093,5.89422000,6.59621907,5.08358204,1.92753040,0
2011-02-14,147.84000000,973.97482297,820.70691250,254.90527717,1371.27791206,295.85785664,227.98051917,241.75274396,30.46213200,317.61532500,67.68523764,249.21854615,48.36809589,1.41688023,76.92222105,6.38223333,7.43834920,5.99369772,1.76935458,0
2011-02-15,168.03663805,921.17845874,459.87238498,253.59427642,1426.10311386,296.31488571,51.46163317,216.48837745,113.78762143,367.69071778,66.05332544,235.84037881,64.81426219,0,69.83760099,16.95110000,7.83933774,3.33576552,1.61927461,0
2011-02-16,1330.23437644,808.75590193,109.34158627,184.47520822,1553.27718986,303.22991513,15.99581991,272.23675720,120.38118667,186.45721942,32.55563220,359.01253243,85.34644220,0.34140000,68.47434040,10.08622000,3.33063625,4.80181712,13.67707706,0
2011-02-17,843.18733517,868.20989524,41.29179850,179.94494435,1541.44000758,293.49512188,59.94332830,209.66081805,86.80116842,163.02806731,63.07426574,1077.97938000,88.48441276,22.62670000,46.28192362,2.69776667,8.18052510,1.17033713,7.66340047,0
2011-02-18,1010.35958456,914.48326171,2271.03372647,347.29927885,1872.09048899,331.51226273,91.35388889,230.31960739,109.72063571,200.45153030,93.63099144,593.16120161,69.68952764,98.65467857,9.29917788,7.30578000,8.91242200,3.59665691,1.93647448,0
2011-02-19,1184.53948078,796.08858368,2135.73770615,495.72962075,1351.33407125,358.14043431,136.24598317,459.26419226,164.62534000,328.18602174,128.40982160,1073.27578947,38.42867043,21.26153846,54.79261083,6.88333333,8.64535012,3.73917613,5.58943502,0
2011-02-20,1008.35881651,625.29265769,2201.72444444,553.55606176,1890.67914753,405.96230119,257.32190408,326.45386214,53.24178000,197.41301667,59.74079349,1645.17450000,95.71088021,104.01634706,61.44998785,6.47931538,9.56136874,4.37943172,3.00832159,0
2011-02-21,1073.06552201,963.22558560,2134.49284074,183.84825865,1818.99966552,379.98517439,392.59336418,390.83230455,38.57411765,213.82554330,75.81845021,999.55696176,131.28928716,40.05715600,54.42205169,6.57902857,8.91224338,3.02628172,11.59219162,0
2011-02-22,715.74459265,744.97352067,2278.87157895,146.01704621,1003.97120930,352.41589744,250.55111316,311.95673779,197.79148333,144.01236505,72.95938924,1009.27637037,68.65680785,10.47110000,47.05621765,9.46973846,5.63839612,0.87460348,15.12786869,0
2011-02-23,2774.61419262,859.30748325,1902.09917255,297.05898946,455.12634677,403.79757848,231.71125152,92.29759365,105.19408333,158.83528675,82.92690435,414.96898750,42.71574245,18.47353333,20.63991250,0,4.92103101,6.25695861,5.60994919,0
2011-02-24,2055.36446123,756.49366046,1021.62760263,105.20372363,101.08445793,490.49948689,231.43173023,135.37912291,145.24295000,49.38400000,114.05505833,357.93676867,78.17715970,16.84410755,31.64701507,35.49555000,11.94603289,5.43287048,7.54249541,0
2011-02-25,1036.92502583,892.64309413,1319.56292683,211.36910971,151.00936445,390.31523857,510.19976842,216.30567093,145.12500000,92.89128077,95.05975052,482.86720916,85.58589954,39.62757647,72.76166724,0,18.82474223,3.44591140,3.01566513,0
2011-02-26,745.51303535,1005.48999608,2929.84711000,402.26635707,356.40354039,444.88835172,663.87377857,209.83963755,85.65555000,239.97042353,87.85459019,899.66902469,76.89237522,106.72706471,73.86883636,0,31.31100033,5.24618750,4.79475240,0
2011-02-27,875.04882721,685.29377005,2773.57538462,469.81280484,1506.75243257,711.24935526,335.53413534,634.28047848,258.69997500,218.74363409,99.42498192,402.09145000,89.87569028,67.58837692,70.71612903,11.19703333,39.62153426,5.27919795,8.01388886,0
2011-02-28,886.14457754,985.49623421,1363.63914211,214.47213422,3015.70892500,615.00319756,135.70696205,208.41385369,153.66277500,119.25772571,58.48601051,194.90271008,88.84607456,15.59296389,10.23727419,10.40665000,39.04163517,1.55076864,5.58870140,0
2011-03-01,321.39118250,1035.16107627,1811.80784681,190.59215375,3128.62534420,370.69259231,197.33719254,112.25875037,0.66067000,240.51691781,78.21407937,314.49844682,83.94556866,59.67106981,17.53476136,7.38780000,5.39345409,3.26094136,5.07605677,0
2011-03-02,459.55847238,965.14525619,878.31229667,208.60653539,1821.75253087,589.73226800,941.74256410,100.29932464,26.12514737,163.76806053,86.69997692,518.29061630,41.87269594,37.68453913,79.44984406,1.66424545,2.50880837,3.30976754,6.94849268,0
2011-03-03,537.06892267,1318.00666974,476.49445970,138.08279439,2048.01225952,467.62437500,476.66573284,223.79705095,13.43222500,214.15788710,105.11871377,376.09565055,118.48589526,43.57281765,51.71906928,12.43110000,1.38938585,2.02206189,9.58270169,0
2011-03-04,970.87433623,1166.17201359,512.86148726,210.49945558,1731.71753305,385.53640588,412.03777717,440.47187793,266.17335000,196.86361250,81.97864630,329.85324119,43.64010286,32.91464314,67.07534845,27.22000000,1.71579610,3.66805535,6.55783359,0
2011-03-05,1029.87582089,1443.85687118,596.87361718,216.87935174,2738.22240637,558.39697949,546.91873649,146.67234903,77.62332500,298.67022286,117.22224565,826.30813235,29.14024728,154.23069375,56.01992414,19.78670000,2.10123774,3.58301881,14.07957348,0
2011-03-06,459.98003177,763.09322310,599.89789188,241.81118019,2362.57091444,518.09376964,476.89838904,35.72819088,287.60442500,373.28673667,127.78934545,1196.36858372,36.84076548,149.60946316,73.18460204,6.11780000,0.54738988,1.82898637,8.04115096,0
