Day,[TACC LONESTAR4] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job,[CCT LSU SUPERMIC] CPU Hours: Per Job,[NICS DARTER] CPU Hours: Per Job,[SDSC COMET] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[TACC MAVERICK2] CPU Hours: Per Job,[OSG] CPU Hours: Per Job
2015-02-01,282.39000000,380.55193821,118.28170326,1023.93003000,0,1514.97776667,142.03541323,602.99575909,88.75797404,167.16829167,3.01847910
2015-02-02,288.00000000,363.42496767,92.87961391,2390.38522250,0,0.82335000,131.67932759,258.71101990,89.90018794,85.20239608,3.18732140
2015-02-03,67.06000000,336.93951593,97.04858491,876.35841634,0,0.00890000,227.45066244,427.10863359,164.80187094,26.62375098,3.74767856
2015-02-04,27.84848182,406.13245214,78.89345496,1559.82487018,0,0.05066000,231.85035894,692.63318295,129.42296473,56.50206410,2.26368648
2015-02-05,34.86582500,422.41955997,152.76464378,3030.83509569,0,95.73000000,188.57200170,631.99097396,138.60084899,102.25903516,2.89046800
2015-02-06,6033.05835000,477.51567659,146.12961193,1287.11727423,0,143.28000000,194.33407060,575.23136977,242.98068608,137.58090250,2.84377056
2015-02-07,36864.00000000,559.08296436,126.76310283,2587.79365000,0,532.56666667,152.30358025,1398.18186800,371.08527647,122.53787576,2.70963076
2015-02-08,24948.05330000,448.24170467,113.67634952,777.84273462,0,672.60851667,200.60947894,461.45347742,444.80789450,71.84387971,2.71476874
2015-02-09,1510.65466000,273.04731587,130.11808686,560.67043625,0,591.30969545,107.46163567,373.84605487,155.40069115,123.26583000,2.04742023
2015-02-10,6283.00000000,261.95654675,123.79201704,259.12149671,0,989.27222143,83.12435466,348.40380171,54.43068070,124.24394732,2.54699188
2015-02-11,22023.25330000,759.73164918,281.04327248,396.59193213,0,1176.25365714,121.25449564,408.94649412,51.96975606,114.83251983,1.04878360
2015-02-12,6434.02934000,591.76455922,564.08185607,412.21129880,0,923.52666842,143.90618588,291.06464359,77.76833019,89.31333294,2.19681091
2015-02-13,36864.00000000,548.18456027,520.40068436,250.67238392,0,299.86858919,156.84888507,243.83293388,101.05658818,103.60460078,2.97233685
2015-02-14,7222.61335000,855.89011861,219.72870045,1949.36762143,0,117.09852222,264.61880981,390.55458713,125.04433864,132.89690492,2.78540333
2015-02-15,36864.00000000,790.03552531,131.00209327,1139.84987222,0,688.49620588,173.97796249,720.66764600,89.50983127,176.25327123,2.91679659
2015-02-16,27910.40000000,592.23166052,280.86673921,641.24421429,0,1004.72188500,119.75351659,333.04249752,51.22721686,118.73600660,3.14136789
2015-02-17,6190.08000000,647.07415732,350.39071200,598.44177857,0,388.49554615,142.64809646,328.97368733,95.89530674,134.86961633,2.84237965
2015-02-18,36864.00000000,564.76751710,164.64557360,1401.13894474,0,939.53388750,112.86627225,844.03739811,66.71980413,160.09682857,3.08114159
2015-02-19,30674.34670000,545.86071460,93.86257481,625.01114912,0,971.00403125,108.51934461,88.96980724,41.80518660,76.13519781,2.92021451
2015-02-20,0,561.10288790,457.23753140,695.32444255,0,700.97634286,160.44296669,114.41829444,43.58074309,51.55831401,2.59202799
2015-02-21,0,668.85532657,326.24585656,479.03234308,0,545.58592500,213.31284258,152.95572264,233.32152768,71.89468571,2.85235630
2015-02-22,0,724.61035759,322.52591370,758.72036575,0,524.50643590,161.34277818,60.22346246,34.12967489,46.34377800,3.11886566
2015-02-23,0,537.44785176,130.24778446,926.08157903,0,478.23777879,165.31602387,86.28781872,28.66526927,37.03934426,3.09949979
2015-02-24,0,435.75179530,246.90394913,752.17322407,0,312.08138750,166.56775439,88.78479401,45.91601984,26.57620583,2.95611159
2015-02-25,31072.85330000,562.58495697,267.22460325,1344.95459907,0,303.06409688,146.76541960,42.60944493,56.60270091,21.46727237,3.03019915
2015-02-26,9705.68835000,534.52873130,282.41907417,223.90812281,0,110.37639655,98.92427210,60.44009434,28.02442066,105.17394366,2.73698074
2015-02-27,0,850.71612015,153.37322756,469.73918205,0,123.20644333,119.02294083,39.18292148,64.87726811,67.40890534,1.99903056
2015-02-28,0,1003.78149213,370.32231667,849.37916867,0,128.98918333,173.94048660,78.44682182,98.00969139,90.62932532,1.09513854
2015-03-01,0,713.76131717,209.19845904,789.90575000,0,100.08548000,139.21213646,85.39260191,111.64354387,102.73578846,1.29148838
