Day,[NICS DARTER] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[CCT LSU SUPERMIC] CPU Hours: Per Job,[SDSC COMET] CPU Hours: Per Job,[TACC MAVERICK2] CPU Hours: Per Job,[PSC GREENFIELD] CPU Hours: Per Job,[OSG] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job
2015-08-01,1081.43082975,1661.13915000,811.55611312,398.03844525,1017.78824419,236.37821137,67.22247887,0,4.57495216,0
2015-08-02,1255.03226235,424.41075270,714.71425073,412.35170532,522.68520316,190.61639899,55.38241818,0,2.30834446,0
2015-08-03,651.21356765,447.11282903,641.73718861,293.18813187,315.41954229,274.19468577,53.68997847,0,2.99223319,0
2015-08-04,1001.09292981,537.89589492,745.02069296,288.67886010,336.51037192,372.32081643,88.93251618,0,3.50407322,0
2015-08-05,871.54984113,256.02371469,576.98193148,301.06455665,532.97834860,309.91789281,104.04855388,0,2.86025868,0
2015-08-06,842.33893722,428.06449063,640.25041851,357.82166378,271.22633073,410.62923070,111.32608144,0,0.80851777,0
2015-08-07,647.49405137,314.47457879,669.68262506,467.21595251,178.58418974,359.54802397,85.97547893,0,3.89819279,0
2015-08-08,1435.23772889,811.27015294,779.26445890,462.37987167,178.00620941,487.24190799,101.91265739,0,3.71604082,0
2015-08-09,3042.19910903,2010.83350385,723.69765761,354.08719929,1057.38323423,339.00728836,90.12523039,0,4.38281170,0
2015-08-10,1386.31715692,550.71528061,497.85283433,247.05141049,176.05981264,226.98256748,105.63281982,0,4.99433184,0
2015-08-11,1004.11710421,580.47690202,559.23658455,146.19195416,256.99025814,289.67790647,150.34695737,0,0.92734599,0
2015-08-12,924.43793910,512.67169000,551.02306112,160.59097220,140.00840336,25.56443187,97.08753731,0,0.55927702,0
2015-08-13,1937.15455282,279.49900615,646.06372902,196.36008137,460.22379283,65.53069678,116.99560000,0,1.10992894,0
2015-08-14,1034.92923762,48.42119808,613.61346117,170.43589865,637.88329012,263.16378714,69.23814152,0,2.97561178,0
2015-08-15,1427.93034831,107.22626364,578.37055765,369.80565059,994.98130359,394.16424889,74.63679610,0,5.69222092,0
2015-08-16,839.23034688,0,1350.36165656,243.60096331,444.09643165,465.18402707,21.82246522,0,4.47646148,0
2015-08-17,951.44373182,0,381.66330959,124.20511554,406.40679234,280.30822376,67.64365849,0,4.81534340,0
2015-08-18,1018.64761054,0,185.91308530,134.73473194,401.10663243,158.71857793,83.96459661,0,4.17172290,0
2015-08-19,879.16064944,0,485.99509401,102.80081529,516.43057285,78.24481035,64.71633400,0,4.97684488,0
2015-08-20,615.72434955,0,537.00387767,131.97391814,399.64920519,207.12392024,84.38993585,0,4.18219198,0
2015-08-21,766.29035512,0,574.18282407,153.04228853,483.01900714,257.80091702,100.20089032,0,3.12763895,0
2015-08-22,460.58782353,0,702.37372818,152.55516709,596.40973121,304.73224861,79.97194250,0,3.28938338,0
2015-08-23,274.46880000,0,834.26149768,262.50147960,791.67487794,278.38746860,4.84073333,0,2.30496014,0
2015-08-24,610.54908601,0,565.85450005,167.45291977,495.28308734,184.25726851,16.63153310,0,3.50297532,0
2015-08-25,399.91242523,0,505.02808314,153.93833137,1277.19806330,192.57737752,97.03588378,0,4.97012047,0
2015-08-26,351.25475664,0,473.18479732,188.94443796,408.06639296,131.22450479,38.07566479,0,4.04138844,0
2015-08-27,799.71121967,0,531.13652569,291.69939647,1018.95441275,36.80062064,89.71582174,0,3.08120413,0
2015-08-28,890.29219112,0,493.04171960,329.02525861,607.46602989,128.61359455,215.81138293,0,5.70211091,1.77330000
2015-08-29,435.91836552,0,653.24475795,291.33200046,1287.80061333,16.90353040,147.24769655,0,5.86353597,0
2015-08-30,432.91219802,0,439.23224123,238.42021932,485.03881600,69.44037814,134.33787879,0,8.33584197,0
2015-08-31,1275.20431511,0,336.69482715,191.06442553,1196.57222000,79.43203466,129.11457246,0,3.02785580,0
2015-09-01,638.61947964,0,440.65560882,157.64607796,111.96643380,63.54961307,46.18071132,0,3.09367494,0
2015-09-02,1301.26287592,0,369.09283388,136.04670258,175.27000000,44.61355421,84.30702529,0,3.36883973,0
2015-09-03,2154.92820107,0,1183.85228511,183.14303309,52.87301905,76.70905018,1349.16495385,0,2.93114082,0
2015-09-04,2497.06635141,0,546.80492808,282.78230497,125.25623293,81.18598100,311.69388714,0,2.57735655,0
2015-09-05,4678.97398824,0,610.23514799,404.56902942,157.68065517,58.98865703,108.01932174,0,2.19545579,0
2015-09-06,2419.95523929,0,462.06938178,179.00610083,172.54641613,43.76316773,137.66736250,0,2.32248831,0
2015-09-07,3830.40378519,0,581.69681956,104.58544042,144.85967266,30.75385223,362.77714545,0,2.21628729,0
2015-09-08,3495.53444643,0,481.09071642,97.94438313,195.65972132,21.80809539,365.02172941,0,2.00727647,6.00000000
2015-09-09,1101.57800210,0,566.75506705,143.84505649,299.67963089,197.15910106,491.96434054,0,2.85931097,0
2015-09-10,638.15171963,0,467.60338868,113.17570953,371.88067739,246.41534828,611.14692308,675.35830000,3.39015538,0
2015-09-11,857.57996254,0,361.41840000,194.75368697,273.15861837,87.30622180,279.83947368,720.00000000,2.61422585,0
2015-09-12,873.64522236,0,704.62994595,206.57698829,211.88722500,169.74489100,103.66725000,720.00000000,1.51954381,0
2015-09-13,1106.57135294,0,475.69395683,269.42217748,31.73460738,38.38271137,94.97553881,720.00000000,1.72733015,0
2015-09-14,1505.50887331,0,474.08479725,130.18428769,147.72938667,60.19109164,285.43471500,188.75105000,1.80288026,0
2015-09-15,796.38687383,0,664.97558513,181.04916254,75.58333232,80.93920331,185.16183377,78.81937059,1.60993146,0
2015-09-16,951.85704252,0,420.75496788,216.33293445,104.19754186,72.54097049,122.21380867,41.04097083,1.77027230,0
2015-09-17,1002.47378107,0,389.68027104,272.06642600,74.95383571,78.04089058,38.18744938,46.86666857,1.55395315,0
