Day,[NICS DARTER] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job,[PSC BRIDGES LARGE] CPU Hours: Per Job,[CCT LSU SUPERMIC] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[PSC BRIDGES] CPU Hours: Per Job,[TACC MAVERICK2] CPU Hours: Per Job,[PSC GREENFIELD] CPU Hours: Per Job,[SDSC COMET] CPU Hours: Per Job,[Stanford XSTREAM] CPU Hours: Per Job,[OSG] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job
2016-02-01,2419.59389631,405.83884348,0,119.42573964,286.29386813,0,60.13472915,44.45770303,341.57020694,0,1.35654067,0.00835000
2016-02-02,2939.41995057,475.80018051,0,122.58593039,318.91758208,0,100.88891848,61.57150484,252.22361302,0,1.37740481,0.01096774
2016-02-03,1356.45909034,475.78285280,0,293.51872680,249.02661908,0,133.40330774,73.71579123,215.78766585,0,1.24000661,0
2016-02-04,0,403.85732935,0,145.43227021,224.27460843,0,125.43504926,76.69791667,91.91671911,0,1.24377335,0.00888333
2016-02-05,0,662.65171207,0,146.68686354,232.44317647,0,80.21092159,185.30930333,153.09307399,0,1.16285065,0
2016-02-06,0,572.81784716,0,223.21420301,385.00084793,0,98.74166875,287.66359474,305.56940451,0,0.91605716,0
2016-02-07,0,609.91025116,0,206.81991829,295.41072981,0,108.33194444,200.27198889,477.27942734,0,0.83220267,0
2016-02-08,0,330.64959482,0,329.99539531,105.29786600,0,89.34048070,100.92662439,188.15156129,0,0.67009327,0.01000000
2016-02-09,694.40538026,447.39884755,0,438.76002174,53.03223994,0,128.59056535,351.59166471,19.64617033,0,0.56381776,0.01556667
2016-02-10,3405.31525917,555.45693409,0,376.35025538,368.25722824,0,236.88352797,203.75858788,239.35323090,0,0.39257345,0.07068000
2016-02-11,2766.77509219,629.87649588,0,218.93482113,441.51754552,0,2329.19640588,217.47753043,249.13916848,0,0.34443186,0
2016-02-12,1138.40722199,494.15813232,0,213.99300690,225.04523517,0,257.64850538,96.78322632,160.91923184,0,0.64125432,0
2016-02-13,1623.04107451,680.28482875,0,793.09713030,232.94330461,0,104.97422899,190.84615385,157.52680140,0,0.60060656,0
2016-02-14,3126.56639695,451.05535804,0,704.13154516,388.31088532,0,96.71476894,234.88021250,279.56016131,0,0.51979734,0
2016-02-15,1132.98893457,408.36697007,0,322.88238511,370.20704290,0,70.73138032,58.81033333,251.19984402,0,0.27705367,0
