title
"CPU Hours: Total: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[LONI QUEENBEE] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[NCSA LINCOLN] CPU Hours: Total","[NCSA FORGE] CPU Hours: Total","[NCAR FROST] CPU Hours: Total","[PSC POPLE] CPU Hours: Total","[SDSC DASH] CPU Hours: Total","[TACC SPUR] CPU Hours: Total","[IU BIGRED*] CPU Hours: Total","[NCSA EMBER*] CPU Hours: Total"
2011-08-01,2431127.6762,1283794.7018,92737.8936,88880.1664,59944.8935,28060.0579,81041.7089,1485.1940,8396.0447,20778.8889,5143.2536,0,98310.8267,2593.1977,1170.7822,192.8844,590.4010,17.5086
2011-08-02,1523402.3568,1256552.7431,121162.1536,135432.1879,34409.6531,34956.1835,85848.2576,16197.8074,10114.7175,18448.0285,13376.8867,0,98293.7600,5646.7369,643.3022,538.9200,1182.4233,0
2011-08-03,1891310.4403,1290613.9865,255953.8004,129641.9732,4892.5822,45661.9048,53938.1644,6833.7422,1783.5467,30476.5688,11513.1778,0,96428.9422,7447.3835,1975.6911,16.7422,3109.9144,0
2011-08-04,2194592.8639,1308684.7025,216008.8829,140653.1410,13909.4929,32611.2044,62523.0735,4468.9855,7177.1399,24278.2158,7084.9268,0,89761.5644,8127.6243,137.1333,317.3600,1943.3445,0
2011-08-05,2551565.4393,1267397.7330,338894.7763,104519.6208,86155.4533,25542.0313,55915.7623,11801.4749,12268.7553,21699.2110,2712.8531,0,327.6800,8618.7082,1419.2356,0,1269.6122,0
2011-08-06,2420543.5729,1200122.9065,319144.0631,27592.4166,80474.9200,19415.8940,39951.3421,20406.0610,3692.7288,15727.6890,4864.2601,0,0,9406.9576,0.0422,0,719.2367,0
2011-08-07,2492604.5608,1204365.6182,131441.8434,62597.3496,77348.4665,8360.3074,61722.4289,19559.6072,2217.2445,16364.6111,4356.5356,0,0,11307.9434,0,7.6134,491.6822,0
2011-08-08,2581222.2465,1214999.0800,66618.6768,65772.9908,77851.4359,301.9045,68824.4888,1958.7571,11085.7311,20086.0935,4534.9489,0,0,13215.7555,0,205.1289,140.6923,0
2011-08-09,2644337.1291,1144747.5693,70063.9633,99707.1449,76835.8751,5884.7408,59169.0601,3642.8885,5405.4756,18922.5977,3810.0111,0,0,15788.1377,0,156.5199,66.8933,0.3586
2011-08-10,1968705.5495,1171658.4092,217732.1803,96156.3918,47634.0087,26587.4410,50845.9243,11846.7642,8037.3600,13515.3200,9894.7156,0,0,11870.9789,148.4556,430.4799,0,1.3622
2011-08-11,1724311.2670,1158495.8399,259597.9197,195168.5204,36710.6533,21401.1268,44929.7044,13786.6654,12031.6665,15388.2579,8788.0710,0,0,8734.8143,1012.0200,655.4534,0,0
2011-08-12,2679637.0639,1195861.3680,112511.6563,199833.7222,76081.7332,26289.1091,57875.2464,12004.2828,16168.8198,12966.6755,8442.2711,0,0,13660.6764,1299.5800,689.3644,0,0
2011-08-13,2690342.1497,1263311.5152,111128.5434,127412.2848,75642.5777,25235.7524,70157.4111,24520.5648,9416.9313,5090.1890,3339.3754,0,0,13698.9400,930.2223,106.4667,0,0
2011-08-14,2673835.1202,1142215.8355,120903.2468,75650.0581,34280.8313,23559.5581,74697.1310,19670.3315,0,1154.1334,2690.4089,0,0,12706.7055,1554.9023,41.5422,0,0
2011-08-15,1597180.9136,1128311.9115,0,146882.0230,29344.4580,27907.7956,77826.4735,32481.1405,5109.8354,8484.1044,10754.3600,0,0,12217.7778,591.3289,178.7777,0,0.0389
2011-08-16,2643871.7098,1261585.8901,3643.0367,192666.0348,50472.3645,27773.4505,81422.0556,29747.2448,5450.3310,1536.4534,10442.4111,0,0,5850.1989,953.3601,84.3867,0,0.9534
2011-08-17,2415111.3002,1219948.9725,155652.0899,201064.7256,62860.9646,32246.2203,73317.8291,37729.0258,9564.6421,3207.9087,9331.1712,0,0,7788.6366,2815.2911,202.0223,0,60.9772
2011-08-18,1760551.9704,1123188.3424,307894.0001,195816.1948,54742.6535,26325.5193,51762.3423,22741.9143,5120.8600,7902.6310,7287.8844,0.0444,0,13159.3929,2556.8289,232.2845,0,42.4894
2011-08-19,2570172.4205,1109788.8399,319225.7329,227136.7756,66976.3556,22233.9736,61499.0337,28130.0212,4245.6179,5839.6046,12040.6155,0,0,11132.2444,2014.4822,129.0400,0,28.5158
2011-08-20,2391727.8766,1004635.3909,348618.9429,224177.9083,85668.6622,24241.3973,77003.0446,48396.8318,3502.9622,18862.5601,16915.4289,0,2083.2712,12949.0380,1072.8045,0,0,86.7026
2011-08-21,2494183.2670,879727.8580,359297.5799,183934.8353,81812.6532,28601.0363,55906.3601,31373.3380,3519.7510,16567.8424,10055.8822,0,3237.6888,11925.7887,1603.6355,3.6667,0,98.0681
2011-08-22,2452647.5327,500863.0884,360556.8105,222545.2401,82466.8267,35711.1376,10765.9156,77566.6372,11231.0977,16890.3112,10917.8821,0,184.6755,12425.0034,2552.8023,282.3245,0,96.0295
2011-08-23,2451726.4797,204545.4974,313475.1594,206347.1574,79843.9380,42955.6995,34765.3179,76363.6809,61.1933,19378.5800,13879.7979,1.5244,32615.3955,14472.7235,1759.4756,29.9022,0,94.4500
2011-08-24,2577777.0301,988911.6271,317068.2695,202284.7754,81307.5906,31146.9716,22393.9556,151421.4935,2324.1710,16876.0846,8410.7933,13.6711,14898.0622,13313.1945,995.5622,377.3911,0,80.2100
2011-08-25,2544901.3901,1044136.8975,283025.5132,198068.7606,75423.4307,36051.4389,6888.3956,57464.8568,3937.7711,19673.0932,5909.4579,0,8791.5733,12399.2411,1681.5599,154.3600,0,47.0611
2011-08-26,2522968.1965,1176482.4943,293471.7267,164570.7179,74576.4932,46703.9209,42553.2022,65321.5821,5204.9799,15696.3734,2993.2355,0,3697.4934,11345.4488,1182.2865,19.3022,0,35.0530
2011-08-27,2286657.1663,963867.1381,228099.7636,191032.4098,68316.2221,45126.8880,55286.5577,69480.4136,6199.0446,10545.4934,2541.6264,0,4465.3511,12644.1843,3049.6222,28.3244,0,50.1639
2011-08-28,1528899.5560,881944.6847,207514.7563,134324.2962,66435.1512,44533.4615,58566.6490,59044.0403,3973.3468,8654.0889,2123.1066,0,0,13056.0000,2089.1733,0,0,53.3969
2011-08-29,2453794.0897,936844.3242,78301.4832,121303.3404,55270.8091,49465.0666,68204.0509,57695.0787,14471.0623,6108.7910,2133.1510,0,521.6000,12818.8245,81.1977,70.3511,0,12.2205
2011-08-30,1953812.2838,993432.8185,191511.8130,128910.2200,63108.9153,46723.8613,74107.7396,29122.8180,10523.4489,9310.5490,2679.1933,0,1329.7066,11984.6058,82.9334,4.9912,0,6.1619
2011-08-31,2237480.8502,903684.4042,130442.4804,151278.4395,55513.7685,46645.8503,72162.6020,25019.1814,18606.7467,13270.8000,7853.4491,0,0,9173.8512,1307.0400,33.0133,0,0.0119
2011-09-01,2473651.6538,891850.1777,166800.3097,113916.0143,59649.0444,37415.7098,61516.8737,28448.8191,17116.7223,19348.5598,7389.3609,0,0,70.0833,695.3156,47.8933,0,0
2011-09-02,2296479.5509,998063.6396,109505.5300,118993.6786,73308.7819,46625.9963,35442.4468,32791.6988,3756.3222,9275.7578,5905.7337,0,0,0,1162.1467,179.4312,0,0
2011-09-03,1943788.2397,795550.6621,153682.8766,134339.1188,79232.5338,45947.1906,28902.2845,42518.0711,1890.3089,27233.3268,6331.2445,0,0,0,318.8933,37.8978,0,0.0439
2011-09-04,1938134.2065,687536.8146,200597.5365,77853.7944,71389.4889,39219.1112,28216.2801,26923.5303,7232.9333,27781.8734,13566.6957,0,0,0,2446.4268,5.1556,0,0
2011-09-05,2298341.1771,917547.9820,247899.7899,80189.5467,58262.3065,37784.6868,37966.3823,29340.8862,13175.5400,24621.7044,14532.1176,0,0,28.7756,2401.6844,0,0,0
2011-09-06,2298973.7272,1056567.3365,293261.0200,92813.1485,48613.8173,34598.9458,58049.5046,14867.7011,4620.5822,27646.9177,12886.5024,0,0,32.5189,2741.9556,187.2133,0,0.4044
2011-09-07,1978730.7337,1156228.7735,298903.6165,58878.7326,53794.1338,52361.7065,57563.8490,23418.3420,9985.6735,21488.4157,10593.6309,0,0,103.8211,59.2022,146.4088,1.0388,1.5875
2011-09-08,1582104.1530,1066760.1555,125994.4465,2736.6219,62547.4128,42497.9893,91833.6690,13023.4199,16297.0177,19543.9467,8459.5522,0,0,123.9590,0,128.8443,0,4.6381
2011-09-09,2624351.8289,1023552.1114,201159.3667,1759.9467,68949.6491,36183.8769,94828.2464,26968.5835,16241.3176,26645.2423,13655.4958,0,0,232.7600,302.1710,400.2312,0,0.5642
2011-09-10,2477522.7595,818356.5296,212564.0598,22760.3691,66032.4707,48646.6607,104080.9732,42127.0633,15062.0423,30809.8333,25471.7533,0,0,112.6578,2290.3178,180.7734,0,0
2011-09-11,2656269.4868,834817.8308,180320.2366,117340.0081,65865.6711,45642.1549,92771.1378,21935.4505,12038.1690,26256.9154,27063.6333,0,0,0,0,12.0800,0.0456,0
2011-09-12,2640005.1067,1064986.2135,278490.2769,134838.8732,70669.7777,44878.8322,91728.2421,18391.5428,2833.6422,32673.4757,18815.5315,0,0,61.1566,0,68.9955,0,0.0103
2011-09-13,2497863.1968,1230103.6759,226725.6131,167208.8173,91400.4932,49505.5092,108389.6755,11519.6497,9781.9156,32589.3800,13982.0765,0,0,91.2745,0,78.0489,0,0
2011-09-14,2642168.5235,1289335.8403,222287.2468,160074.1085,82972.9291,28007.2381,104564.5422,27428.6842,13207.6443,33605.0869,13967.6313,0,0,57.6400,0,6.0711,0,0
2011-09-15,2506795.9232,1231568.7073,265961.2333,114796.7653,88321.7420,25878.9141,63136.4556,31237.8568,12100.5223,27301.8555,16041.6775,0,0,55.9400,0,21.2844,0,0.0058
2011-09-16,2611067.6629,1290973.7012,245501.6337,129550.2473,87865.7200,39532.2619,76017.6555,37096.1200,262.6755,37431.6112,15045.1288,0,0,0,0,0,0,0.0586
2011-09-17,2665254.5172,1260751.9067,105756.4465,95020.2845,89284.4399,53497.9124,69083.4911,37334.5070,10568.2755,36577.8111,7442.5244,0,0,0,0,3.2534,0,0
2011-09-18,2497354.8836,1144888.1556,1932.0166,46067.8831,82731.4092,49028.7751,21597.5177,32651.3589,10623.8356,31647.0154,13341.3912,0,0,0,0,7.1111,0,0
2011-09-19,2642270.6537,1289579.5786,87660.1166,15481.3188,89159.5911,53788.5196,60526.3268,38023.1221,9333.5000,24023.3734,7095.9688,0,0,0,0,264.6444,0,0
2011-09-20,2541413.7133,1270070.7947,1969.4033,163038.4313,91441.9686,55571.6940,69451.3177,56712.5488,18270.0112,23207.6133,9422.2220,10.6400,0,0,1.4200,379.8533,0,0.5377
2011-09-21,2506593.6730,1354654.3864,0,142336.3237,87553.6758,41363.4531,69848.7158,161484.2774,17061.8533,26491.8135,7303.2999,32.1422,0,0,0,130.5511,0,0.0278
2011-09-22,2599604.9797,1302396.7732,189320.3004,190389.8437,77824.7597,30820.7626,66906.2669,89778.0450,10207.6466,21859.2824,7127.2509,194.7600,0,0,0,182.3601,0,1.0753
2011-09-23,2591506.7068,1298097.2711,317205.4269,167520.2341,81572.5379,24205.1049,66203.6665,77540.2395,12325.1421,23759.4843,13847.5844,277.9777,0,0,0,6.4534,0,2.1722
2011-09-24,2561620.6626,1234003.0662,155917.3870,66503.0694,84582.1289,28475.1097,86779.3110,171671.3992,5179.2021,26372.6312,10965.4798,77.1644,0,0,0,70.9556,0,0
2011-09-25,2578864.7101,925276.1150,150184.9200,78893.4365,70910.7244,26357.0449,22696.2400,102743.6220,3793.3843,27866.3021,9372.4711,0,0,0,0,12.8267,0,0
2011-09-26,2519930.8233,1093272.3059,242908.7132,123630.6625,86312.8492,36244.9569,53767.5288,67626.3228,16168.3111,26984.3889,9497.9088,1046.0170,0,172.7767,0,41.0711,0,0
2011-09-27,2496860.1268,1188254.3160,294147.8933,146995.6938,88562.2580,17516.2363,74477.9046,121082.9890,12610.2243,29241.3156,7393.4845,267.9543,0,66.4545,0,94.1645,0,0
2011-09-28,2496688.3727,1146673.5373,287142.1873,193794.1530,83941.2172,23921.7092,62683.7111,87009.2881,6967.7401,26593.3199,7248.9866,119.7690,0,45.5422,0,59.6756,0,0
2011-09-29,1673290.0200,1208011.6163,294919.8534,175330.1795,81106.8396,44732.2652,33344.8977,59278.6792,6280.0755,23692.3867,5429.3367,495.3133,0,153.8955,0,198.5290,0,0
2011-09-30,2635739.8466,1217671.7116,347433.2136,173102.8679,81493.8622,81074.0836,11537.9179,68458.0655,5342.0423,27468.3844,4975.7666,151.0889,0,396.1200,0,68.5777,0,0
2011-10-01,2353663.8165,1085988.7516,343250.1302,136020.7878,88225.3335,78629.5289,2612.7111,73768.9186,3513.0645,5476.4711,5872.4979,109.5866,0,959.9889,0,0.5156,0,0
2011-10-02,2568517.4166,777866.1465,397110.5163,139965.0840,66113.9822,92355.4055,2871.7177,65572.5507,2249.9734,762.7111,7679.1356,469.5178,0,750.4556,0,91.7511,0,0
2011-10-03,2569568.4141,338474.4357,185916.6534,168110.3690,50273.6356,75794.2296,3785.6244,103017.4926,9198.1310,121.9001,7280.3310,605.5302,0,1034.6133,40.8689,131.3867,0,0
2011-10-04,2537781.9496,599005.9200,4297.8500,169459.9238,46264.1821,82472.4830,6403.1199,63692.9390,4725.2621,1446.8022,6011.2289,556.6434,0,1151.9800,0,0,0,0
2011-10-05,2585159.6399,1135965.0040,172955.8633,154303.3163,80713.9471,79246.0504,6267.5289,162073.7893,3669.3201,1978.3423,2760.8178,175.6531,0,1154.9645,0,173.0979,0,0
2011-10-06,2402905.5934,1109403.6983,305432.4603,113848.6439,78002.4976,66660.8471,5716.6532,114652.0631,5538.3578,1940.2532,621.2223,87.0126,0,880.5922,53.6622,150.3333,0,0
2011-10-07,2565235.6031,1182621.3157,323056.3065,96397.6317,89037.0309,76679.1542,5815.1023,19456.9908,2156.9556,1286.5777,16.3844,108.0875,0,0,138.4111,58.2845,0,0
2011-10-08,2656233.5568,1107664.4625,125039.1966,173745.4015,81132.8621,72088.9026,6662.0044,116207.2940,154.8912,770.6623,13.7089,3.5867,0,0,0,10.7511,0,0
2011-10-09,2686404.9297,1168629.3824,131106.0435,162099.8055,32536.3355,53473.4316,1142.1156,109894.1729,180.8267,752.1956,12.4911,0,0,0,0,31.6978,0,0
2011-10-10,2656357.5429,1128383.3421,160645.1331,99947.7844,5793.8223,35211.8295,2715.1200,133409.9787,4580.5865,778.0911,103.1200,0.5289,0,7.0711,0,263.3912,0,0
2011-10-11,2555045.6032,1020147.4176,0,140088.3437,0,20118.9696,2299.5733,197959.5981,790.6399,841.0890,360.7490,0.4978,0,0,0,178.9158,0,0
2011-10-12,2615612.3665,1131320.0491,4654.5600,150115.9025,62360.0509,34723.4827,4645.2756,76003.2816,806.4489,935.8221,37.6356,971.4488,0,0,0.1644,30.5245,0,0
2011-10-13,2461051.2105,1244424.5684,148708.0902,176452.5648,76618.3196,67719.2103,11725.7286,134787.8685,1276.3911,3807.5556,27.6267,5796.0889,0,0,0,66.7822,0,0
2011-10-14,2693946.9466,966785.3912,232055.6771,172485.7318,58414.6441,69085.2749,4939.6934,86264.5524,2969.2356,1864.6532,830.1867,6455.6533,0,0,0,112.9334,0,0
2011-10-15,2698159.7132,1086905.5957,283090.6529,117280.5867,40788.7200,53293.6154,7333.0889,130918.6347,88.7889,801.7599,49.8244,6577.7200,0,0,0,67.2445,0,0
2011-10-16,2629550.1701,934700.2447,135235.7632,109964.0632,43969.6087,66725.7342,890.6489,233706.1780,3100.6445,861.4223,12.6489,6106.0267,0,0,0,64.0578,0,0
2011-10-17,2559818.7232,769036.6705,3484.4466,122439.9697,62157.4934,84270.3691,7189.0045,150840.6643,77.6554,1535.2866,9.3221,7162.7067,0,0,0,231.7911,0,0
2011-10-18,2620995.8867,365391.4308,135877.4467,139470.1730,60587.7776,91320.0647,7984.2844,20903.7812,1680.3667,1593.3156,0,4572.7305,0,0,0,16.8667,0,0
2011-10-19,2538113.4164,1187483.3694,124296.9133,180260.6484,68771.3997,58132.9237,6380.3023,18958.7387,977.5088,2017.8422,0,6038.7647,0,2.4133,0,212.9601,0,0
2011-10-20,2600379.5037,1121562.8139,142112.8897,175502.6165,76582.0619,27481.4610,0,18450.2891,583.5422,2652.0177,0,6125.2125,0,0,0,188.0044,0,0
2011-10-21,2620198.2999,1021081.5550,259829.8336,192847.8868,82082.8220,23057.0926,12203.1245,50846.5820,1449.6334,4674.6178,0,6547.7356,0,0,0,0.9067,0,0
2011-10-22,2558346.9102,1088548.9285,140977.9764,139812.8235,69390.0802,29858.2423,7054.6489,52955.5000,942.7311,4107.7602,0,6284.0455,0,0,0,0,0,0
2011-10-23,2577314.5467,1109090.8758,148247.9067,180020.3646,69679.6178,35893.2803,0.0044,23017.4166,1157.5021,9874.4578,0,6644.8256,0,0,0,6.1333,0,0
2011-10-24,2527148.7997,1178673.7958,261119.9298,179685.2809,47851.0047,38753.8029,66979.7600,67291.9778,2705.2243,3770.7622,0,4870.1703,0,10.2978,0.3911,93.2533,0,0
2011-10-25,2453347.5566,1202150.4314,104862.7669,161409.6875,48102.4220,39564.1879,59936.1555,45106.8400,4406.6601,3657.9067,0,5543.6753,0,95.9600,0,77.1511,0,0
2011-10-26,2565580.5157,1224239.0275,2439.9166,200995.6816,73033.1111,53642.5090,62810.9867,61709.1982,1743.0201,5016.0667,0,4544.8397,0,4.9822,0.6489,72.8221,0,0
2011-10-27,2408872.6843,1123869.5025,132550.2700,188614.6241,83773.6889,42195.4941,86309.3646,75904.3156,172.2133,4295.0266,0,3987.5720,0,0,12.9711,9.3689,0,0
2011-10-28,2554393.7933,1248271.6485,258591.3802,156631.8425,58348.9640,47429.2617,83752.1023,39037.7333,401.9001,2830.8488,0,5005.9987,0,0,372.8911,64.0134,0,0
