title
"CPU Hours: Total: by Resource"
parameters

start,end
2012-02-01,2012-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[NCSA FORGE] CPU Hours: Total","[LONI QUEENBEE] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[TACC SPUR] CPU Hours: Total","[SDSC DASH] CPU Hours: Total"
2012-02-01,2193326.7266,1344735.6133,93287.3650,139036.7306,0,59067.7558,36768.6489,20173.9802,15535.2133,17296.0931,3614.2472,8.2711,0,14.4044,5.7822
2012-02-02,1068504.6533,1288294.2094,133246.2860,140819.6035,0,72881.5276,70582.5064,27935.4844,6738.0733,13837.7622,5195.0169,2017.1912,0,94.8000,256.4622
2012-02-03,2443062.0800,1355903.0842,145682.2215,71955.9668,0,64497.4132,53874.4802,37910.9463,6157.3800,10881.0821,3620.3919,6144.0000,0,34.2178,259.8044
2012-02-04,2482022.3661,1381609.9654,147927.9557,101443.1468,0,50190.3618,34100.5955,26899.0705,4404.2111,11586.9178,4243.8365,4173.0133,0,0,0
2012-02-05,2558002.5666,1205617.6971,94600.4261,187135.9664,0,45982.3394,58151.2887,53579.2067,13035.1645,1852.3333,3904.1845,4985.8288,0,10.3644,0
2012-02-06,2575534.1307,1244461.4094,33938.3193,228653.5833,0,50041.7066,67971.0843,4097.3500,17422.7199,11715.8289,5760.0882,6339.6957,0,81.7378,0
2012-02-07,2264889.3301,1366030.7167,77679.5335,91220.0299,0,52549.2005,63320.6884,638.7897,16392.9354,12410.6756,5312.6410,5714.6511,0,98.6578,280.9956
2012-02-08,2003075.3035,1352647.3508,154923.9366,152860.3601,0,58060.0343,38688.7959,274.5578,5472.9287,12632.9534,7093.3553,6866.9267,0,83.6178,34.3311
2012-02-09,2427298.9431,1309128.9954,148446.7836,203551.5303,0,57398.7134,57896.4975,439.9275,8160.9643,16075.6512,6041.4239,6841.1444,0,19.0534,28.2533
2012-02-10,2533991.6736,1355075.1730,215956.2915,161446.9794,0,59752.4687,81641.2627,253.3974,11490.3087,19063.6244,7259.7269,6659.3733,0,113.4845,0
2012-02-11,2621068.3962,1392951.5431,223433.5421,148256.8303,0,61238.0726,66182.6130,2.2556,15708.2977,13980.6265,7608.7296,6543.4400,0,124.4177,0
2012-02-12,2460135.3264,1323615.5698,192448.2435,196624.3767,0,55237.1915,68107.3859,0.0944,11607.4154,20327.2310,4686.1650,8448.0000,0,146.9201,451.3067
2012-02-13,2383944.0331,952907.3909,231299.2240,177909.5070,0,48370.9974,68141.6709,163.6389,10938.1934,18802.8958,4873.4706,7654.2711,0,314.6844,743.7000
2012-02-14,2531536.2200,558832.9025,234927.3993,190412.8269,0,54694.0830,76789.8084,377.7500,7068.6444,18844.8820,5565.3515,6144.0000,0,187.1423,1068.2489
2012-02-15,2566793.3900,1179890.5554,233824.0032,89193.1567,0,58614.0179,82869.7556,403.6167,6435.2178,21612.2180,4169.4033,22526.6557,0,44.6400,32.6689
2012-02-16,2581266.7767,1169070.5549,233256.7370,112145.1602,0,51612.0588,84887.9422,1155.0455,12453.0202,12595.5042,4464.3242,37347.0133,0,108.4933,0
2012-02-17,2580378.5431,667166.7558,226046.7542,82069.2568,0,45783.5020,85878.5064,2304.9756,11011.7177,14644.5910,3854.3384,19663.3333,0,94.6000,0
2012-02-18,2624649.5996,464010.5420,198897.9538,90435.7098,0,40749.5393,80174.1358,34027.5445,6154.3022,12613.8977,4353.5899,36864.0000,0,0,0
2012-02-19,2524907.4836,708113.0222,150089.3482,185221.6802,0,37076.7977,88310.5893,72.6834,14529.8133,3456.0333,3503.4134,35099.2177,0,157.1021,4.3733
2012-02-20,2546560.0304,1167684.7956,212673.8050,177810.7800,0,37109.6288,87954.9688,558.6031,4020.4910,10101.0087,3624.7812,30426.6000,0,335.7510,0
2012-02-21,2566660.6803,1166037.2260,212950.7237,223393.7264,0,40389.0074,91844.7572,943.6219,4222.1799,15233.2866,2681.6590,36864.2489,0,45.4222,0
2012-02-22,2420648.3769,1344637.1238,216811.3213,213325.9802,0,34621.0756,89032.6488,676.9125,5737.9444,14105.1733,4560.5720,6611.4978,0,172.6311,0
2012-02-23,1588363.4468,1294136.0184,217744.7892,276317.1736,0,34939.1050,87593.3529,57.0366,17502.0533,12121.7443,5829.5700,8980.6356,0,251.3778,0
2012-02-24,2696293.1902,1244670.7733,188142.4584,164909.2733,0,34649.8114,84220.9914,503.3033,21845.6845,2502.6377,3366.1166,16053.8489,0,271.2089,0
2012-02-25,2703715.7538,1134691.1512,197339.6059,239901.2344,0,36229.8676,86008.2974,107.1611,24751.7644,0,1444.4539,18113.4223,0,0,0
2012-02-26,2589168.5642,849067.1336,209836.1462,225049.3997,0,46665.9808,60367.5891,2.9234,9149.4776,0,2158.8803,36864.0000,0,0,0
2012-02-27,2615074.1035,1262984.9113,213882.5332,222152.1734,0,37866.9752,75925.0247,0.2733,11071.0865,19864.6866,3776.4443,29550.3334,0,35.2178,0
2012-02-28,2599959.5361,1082514.3686,209029.0129,58403.7599,0,58365.6656,87810.5870,630.8075,10144.5665,20419.7977,5275.0950,3456.2933,0,182.9245,0
2012-02-29,2346216.7903,1011411.5328,217885.3786,145621.3532,0,84920.1244,87699.2266,459.4211,8868.4155,16148.8596,6516.3686,3388.5689,0,194.9777,0
2012-03-01,2485866.6071,1116264.2012,200973.0569,189314.0201,0,73156.9151,88885.8800,303.8520,4227.1846,14072.9822,5714.3465,3456.0000,0,173.6488,0
2012-03-02,2515146.3770,1194900.7999,212230.3490,75256.2803,0,77182.9734,72968.9682,376.5300,4135.9779,16463.9066,7119.4644,23660.7733,0,205.3333,0
2012-03-03,2532373.0799,788308.7113,222735.7984,19590.6733,0,76617.6382,72675.6065,385.7222,3885.4511,14376.1622,6805.5445,51126.1022,0,162.9599,0
2012-03-04,2489014.5660,932624.9054,177207.4757,163154.0667,0,52555.7637,66525.2396,12.9475,3734.5088,11096.9423,6579.2768,36962.5244,0,205.6711,0
2012-03-05,2554588.3400,1160728.8387,165166.1073,233744.1233,25065.0403,61671.9146,78900.9044,533.3097,4264.9689,12924.9934,10659.1022,30336.0000,0,7.5200,0
2012-03-06,2600207.9298,1278461.6038,205621.3812,187751.7435,20238.9913,74630.9793,88011.8283,841.8295,8641.5777,9499.3845,11800.3425,18212.7289,0,0,0
2012-03-07,1319838.6364,1253524.7248,196625.6257,111694.8334,25437.2043,95952.6352,83415.5862,663.3777,15327.7600,9458.0823,11328.2778,14051.2399,0,38.2622,0
2012-03-08,477355.3965,1334645.5690,209430.0038,2350.0366,61986.7513,88699.3715,85325.4312,574.0455,17587.0579,9465.4886,11287.5356,26162.9888,0,101.9644,0
2012-03-09,2214619.8041,1341068.3517,186449.3100,123292.2366,68353.6401,96070.0304,85415.1067,167.8547,17822.5245,5532.0133,11930.1906,30177.9644,0,0,0
2012-03-10,2421358.4232,1143928.4134,169899.0857,159059.3799,28850.3956,76707.8651,65934.8642,361.1677,17758.7156,3686.3288,12174.5969,16345.7466,0,16.6400,0
2012-03-11,2116232.7697,1152652.9466,130730.5766,166312.0566,42949.5509,66422.6103,79200.8932,599.1228,16618.3444,4468.0802,9859.8106,10601.6045,0,12.6489,0
2012-03-12,2548312.7862,1299994.8182,219270.6577,134954.7799,74678.8580,54882.1796,82822.0133,6131.3656,9342.5955,10337.9974,8880.5327,23099.2111,0,81.3644,0
2012-03-13,2608386.4135,1274856.4621,223215.9554,207701.8529,55225.2580,32037.4435,85896.4270,12238.9648,15981.2222,9741.7131,8159.8841,10161.6356,0,95.1334,0
2012-03-14,2245118.3872,1245353.2322,217007.2961,107072.6931,24920.3066,59087.2017,84134.2069,1705.1333,16768.2420,11853.0820,7449.1637,3204.7866,0,67.8889,0
2012-03-15,2527585.7133,1271316.6007,229556.0232,0,38893.8978,56877.9670,85176.1000,10057.9611,15860.0821,6306.7445,8655.8927,7537.1156,0,48.9290,0
2012-03-16,2618122.3134,1282510.1104,215882.0072,816.4700,48435.4266,56799.6208,85295.6469,782.9782,16502.0399,3415.4671,7450.7989,32066.0733,0,79.7467,0
2012-03-17,2571854.5472,1301774.7467,228079.6492,65619.1565,50020.6220,77260.1321,82753.0869,581.5622,13713.0177,2329.5287,8353.2906,29283.7645,0,89.2267,0
2012-03-18,2553346.6097,1337444.7027,222399.3960,54012.4798,57329.8801,64123.2784,47564.7492,419.7623,12294.5555,2304.5223,6318.8008,8924.1177,0,5.0312,0
2012-03-19,2536332.3099,1293120.1323,196060.5072,191.4133,49764.9954,103802.8186,67043.5047,105.2667,9243.5642,3564.8579,9264.6924,3944.2133,0,161.7690,0
2012-03-20,2496492.5968,1292003.4445,199083.2554,82662.0302,44398.3151,116313.4503,34185.4729,1761.4607,7613.5468,1604.3556,10635.1152,8153.4380,0,111.8445,0
2012-03-21,2258967.3566,1277844.6792,217385.1269,203115.1202,20116.1823,118549.7677,27975.8001,241.1550,7592.7289,2659.6178,7562.4417,9984.4554,0,287.8266,0
2012-03-22,2390423.3636,1257412.6175,224896.5408,88269.1734,17962.1912,99787.7795,88906.6888,1120.0689,6422.1934,1559.0999,6539.6357,16292.3468,0,335.6267,0
2012-03-23,1604379.2042,1190862.5511,231501.1271,3727.6734,44938.0750,127382.8746,88861.9554,425.1936,5083.4754,958.1466,4798.9541,19685.7933,0,65.2889,0
2012-03-24,2283479.1469,1204679.0709,238958.2286,143065.2202,57828.7954,134482.3379,89248.1198,376.3444,3974.9488,336.3756,5633.2501,18488.5511,0,3.4444,0
2012-03-25,2589387.7075,1240358.8748,233572.7139,177850.3426,64638.4045,134082.3940,88493.5642,1.8189,3158.6267,557.9668,6528.7044,13247.7643,0,0,0
2012-03-26,2534424.4262,1062676.9820,221836.3688,78877.8196,60817.6712,111950.6414,77866.1065,108.5048,4351.0176,6647.4023,8143.6360,10011.6667,0,94.2533,0
2012-03-27,2486548.5435,1168759.3875,146666.8679,100937.1101,73912.2353,104936.8347,76487.8755,816.3355,3902.2379,14343.3953,7270.5748,21764.2267,0,860.8399,0
2012-03-28,2527209.6532,1258249.0362,224142.3834,179427.1592,88574.3910,103846.9412,69528.7823,1669.0881,3285.5999,16860.5845,6633.7008,35615.0045,0,1606.9601,0
2012-03-29,2556058.7705,1224991.1247,182860.2304,181781.7302,80067.0712,117487.0313,83219.1415,3695.4891,1677.8134,20929.2623,4820.3170,23095.6800,0,1593.5022,0
2012-03-30,2136290.1957,1242665.0709,160184.2304,48121.7634,93115.4622,113827.4137,81522.6129,2802.7945,2825.4755,9982.7688,5629.2938,8146.5422,0,648.1379,0
2012-03-31,180453.7999,1198044.3963,203839.5706,669.6967,63464.5557,120018.8567,67419.6489,470.6339,2872.4089,0,6306.3800,2089.2622,0,19.9200,0
2012-04-01,1304980.5097,1178687.0896,184474.9929,90645.3966,14083.7602,120952.4609,72717.2000,674.2144,5216.0778,0,2381.9811,0,0,2.0889,0
2012-04-02,2551534.1624,1182527.1028,215025.2025,250388.5133,126034.4891,121001.9515,77852.8177,238.7188,17252.4111,0,1414.7988,0,0,0,0
2012-04-03,2599068.1699,1279002.1429,244921.2886,250048.0539,43689.8669,121371.3574,76505.2711,2301.0814,14061.3642,12865.8066,1030.2747,0,0,29.4400,0
2012-04-04,2459335.7701,1277703.3910,233835.2052,233935.4061,57867.2977,121268.4793,75109.8886,11.3169,17013.6623,2313.8111,288.5621,0,0,73.9466,0
2012-04-05,2607765.2367,1226982.9597,221938.2437,91668.9434,50023.9378,119826.2212,69901.9646,2322.8050,14127.8378,1429.9556,6882.9559,0,0,69.5290,0
2012-04-06,2668510.2196,1195102.1638,213575.7178,74950.0699,62895.3601,122237.3080,85424.4089,2575.2694,7815.4246,1890.9288,7505.8451,0,0,2.3867,0
2012-04-07,2649682.8067,1261824.0882,214519.0986,90663.7298,59947.3954,115782.7838,83620.8308,2079.6379,14974.6133,1131.2488,4878.6871,0,0,6.6756,0
2012-04-08,2506218.5190,858559.2668,192283.2680,257985.2837,38711.7466,100708.3312,78512.7870,290.8474,12729.9911,2866.8067,2437.5445,0,0,36.7289,0
2012-04-09,2283638.6430,1061249.8043,182435.0564,199783.6863,63225.1600,119456.2200,86537.8624,15546.4022,12654.2491,5426.4978,5952.0003,0,0,14.1911,0
2012-04-10,2387490.4728,1232908.4340,217019.0504,190587.2895,132633.9649,123145.4901,88408.2978,41564.6013,12804.8910,14583.8512,5415.7356,0,0,73.6667,0
2012-04-11,2458413.5365,1214763.7477,209543.6969,217874.8292,128791.7955,118339.2802,78425.3552,22869.4983,2129.0221,18792.6422,4625.4264,0,0,113.8177,0
2012-04-12,2341077.8564,1210352.2176,215425.9648,155646.3664,81256.2221,109494.5706,85754.4579,37029.4647,13222.9110,12070.3091,3436.7120,0,0,138.3600,0
2012-04-13,2297725.7563,1191240.0354,218793.2835,512.9700,76170.9062,94946.5528,72318.0934,38341.2033,14228.6933,5358.6912,2580.1754,0,0,28.8978,0
2012-04-14,2129698.0261,1258490.9296,202276.5534,132379.0130,76227.4887,94623.0631,61842.4134,38307.4341,16120.1110,1843.6357,6098.5389,0,0,0,0
