title
"CPU Hours: Total: by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC STAMPEDE] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total"
2013-02-01,2598809.9159,1269725.4796,228572.5755,145548.4381,144668.3935,97213.4375,68682.2779,72273.7110,1232884.0801,4882.0155,4295.7055,2341.9356,0
2013-02-02,2664889.2764,1159776.5298,187257.9198,94269.9363,122769.1733,95985.7046,63667.1646,54988.9912,1188065.5202,6277.1955,12476.7112,0.4244,0
2013-02-03,2629006.6034,786663.2579,260095.6596,89572.4185,97902.4065,85202.0338,79351.3244,77011.3644,1033643.0439,5991.3912,288.2388,10.4000,0
2013-02-04,2645980.7265,951888.1645,211785.6736,103879.6049,175737.3334,63713.0133,72496.3423,34904.7245,741539.0487,2213.4176,1064.6711,1092.6244,0
2013-02-05,2563709.8997,1002061.7695,264004.4714,135528.9320,182658.8497,63587.4248,75817.0309,18935.2265,342192.0001,9878.2442,3424.5364,1017.0334,0
2013-02-06,2525465.1340,1258726.2978,247262.0356,143649.3878,148173.6839,44957.2462,70953.5998,40628.9469,236833.1869,20863.4845,6297.9355,977.4131,0
2013-02-07,2599740.9169,1321364.2659,263167.6734,156054.5185,162279.0429,86845.5567,69102.3957,37754.3511,203505.7201,13914.3379,4907.7211,3196.2624,0
2013-02-08,2623988.9694,1339229.8670,242848.3978,171015.8095,175193.4932,105203.5790,71713.4578,37211.0446,197878.4267,6670.2690,1399.7867,3062.9333,0
2013-02-09,2617767.8232,1069431.5368,230075.3042,159699.5723,181571.7500,105052.7343,65839.1869,9794.7467,196380.4444,2668.3534,286.8889,6558.2132,0
2013-02-10,2585805.5594,1021773.0174,131758.3221,65492.0409,169945.8896,101959.0639,59457.0933,33.8311,196328.1067,3971.2910,288.4211,15774.9445,0
2013-02-11,2611732.3204,513967.5204,111336.7404,79853.3321,160292.7063,103665.7974,67238.5957,36636.5734,56572.5867,8021.9484,735.7522,8868.8691,0
2013-02-12,2592788.3492,303683.3072,284893.7711,216775.6337,124304.2598,91581.7276,71481.1154,42203.0714,0,12607.0111,274.2112,8069.8620,0
2013-02-13,2322989.6003,1259171.0661,249545.1222,193986.1478,146404.6196,103012.7610,67468.3194,63691.3242,0,15598.9378,1520.3430,13849.7491,0
