title
"CPU Hours: Total: by Resource"
parameters

start,end
2013-08-01,2014-01-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC STAMPEDE] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total"
2013-08-01,2650718.0227,1241994.6398,272981.7902,134099.2301,197908.9770,72912.2711,42957.7512,953.7800,16463.5378,69135.0345,0,235.6156
2013-08-02,2570321.4865,1507258.5951,278974.7092,151981.2830,199111.2568,90615.8443,53146.9601,1421.4667,8301.7778,43360.4992,0,465.1166
2013-08-03,2509803.7970,1365924.4979,260359.3896,147675.6603,132066.0871,86008.7068,31227.5291,2424.2534,867.1822,14242.9380,0,63.7031
2013-08-04,2482764.9670,1168350.0742,249805.8557,164848.2801,107495.2236,83504.2937,27660.0267,2021.1577,2070.3266,8456.4656,0,61.9778
2013-08-05,2519475.9528,783340.6934,243008.8355,153798.1897,143943.9334,80752.9735,57375.2850,1059.5733,2937.3333,8242.8783,0,497.4082
2013-08-06,2513071.9401,129735.4355,249944.7428,213028.1433,202989.7348,76500.7864,55939.1692,2582.9155,1566.0867,5597.5339,0,467.5375
2013-08-07,1653878.8270,1369930.6397,273110.4438,193630.9400,202103.9198,92858.3779,54999.2935,4733.8911,2295.0044,3803.5480,0,339.9611
2013-08-08,575026.5929,1183783.4089,252820.0712,176801.9501,179301.6332,90147.8224,63909.7423,5354.2622,10922.5645,2944.8808,0,463.4466
2013-08-09,2424650.9701,1338528.5198,251868.6220,156714.8898,203507.3823,90173.6975,65615.9551,2217.9000,19726.9578,3649.3105,0,944.8449
2013-08-10,2414762.4931,857374.5642,252987.1534,190842.1337,185446.9443,92939.8401,60747.6800,4669.3022,5207.2999,4315.1081,0,1994.6375
2013-08-11,1740755.2232,1067670.5426,239369.9067,140891.6666,143067.6320,87764.1331,55745.2356,5819.8002,16.7556,2846.0511,0,611.2791
2013-08-12,2091825.1497,1006392.0752,247925.5591,97276.0236,173323.8015,91902.9556,59306.2621,8249.1510,3069.4044,1870.3192,0.0133,407.4375
2013-08-13,2527134.4567,90028.9913,242631.4147,37750.0830,187157.6149,93863.1913,64310.6890,5567.6955,4246.9512,1391.9289,49.0826,335.1167
2013-08-14,2491171.9661,1603840.6491,266469.5689,155584.4562,175811.4998,96164.5070,47591.4130,4371.1356,4028.3511,998.2453,104.7124,254.7905
2013-08-15,2473256.8166,1703377.3840,257216.5860,169483.7768,209180.3198,89430.0666,43510.0890,2624.8311,1980.0065,960.0000,143.9892,204.6775
2013-08-16,2420839.0098,1543130.2709,265377.8560,177520.2268,184554.6079,95656.1156,66896.5068,3127.6489,1779.7087,960.0000,143.9883,1.2939
2013-08-17,2542656.1699,1496581.9505,254198.1620,133253.0666,197522.9103,92929.1336,48231.3243,2436.3311,256.9155,853.6422,71.1316,0
2013-08-18,2460845.2096,1225197.4497,162214.7020,259023.5499,144292.3706,80464.0398,40675.1330,3561.4978,1128.4400,768.0000,0,30.8694
2013-08-19,2517234.4005,1551084.2268,12065.7601,251189.3302,172690.8131,84096.0843,68462.8490,3225.8800,3539.2778,793.5692,103.9875,173.4055
2013-08-20,2590248.9868,1775942.3853,0.0800,262008.9300,216319.4765,97763.6047,67572.7067,1978.1133,3270.5068,768.0000,150.3084,15.9833
2013-08-21,2227037.5738,1875691.7099,4270.4112,240144.3164,219456.5113,97778.7108,66165.1785,10801.8067,2606.5689,712.5622,160.5625,619.2056
2013-08-22,2121348.8467,2118860.1512,139172.1225,319715.1001,215293.1746,85857.5734,65029.8931,5369.1511,3073.1109,65.9556,98.1558,407.1055
2013-08-23,2537835.7430,1788022.2717,223323.9719,223396.0199,217343.9972,93855.5467,65749.0138,9710.0932,4934.5980,0,82.6050,600.0313
2013-08-24,2630342.0304,1687125.6510,220362.1787,168549.3498,210398.4829,86636.3020,68035.3025,11494.7220,3709.5934,0,5.6883,55.3944
2013-08-25,2645552.3005,1616054.8673,173923.3401,78725.5334,176886.3551,81072.7331,40801.7735,13918.7846,777.7177,0,0,499.2167
2013-08-26,1803469.6196,1649572.5682,136823.3429,129447.3131,176364.8069,51905.4887,20762.4933,7294.9222,246.1578,0,159.7292,281.6134
2013-08-27,2528254.5270,1552688.6358,215681.8310,143058.8405,215516.6823,74664.9641,33691.1649,3216.4020,4491.7688,0,108.3417,277.4834
2013-08-28,2679281.5131,1807111.8484,203015.0126,158916.3832,210383.1953,91240.6933,55123.9513,2117.8000,338.7178,0,88.7458,220.1944
