title
"CPU Hours: Total: by Resource"
parameters

start,end
2014-02-01,2014-07-31
---------
Day,"[TACC STAMPEDE] CPU Hours: Total","[NICS KRAKEN] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[NICS DARTER] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[TACC MAVERICK2] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total"
2014-02-01,1684590.0402,2646875.1736,220543.4977,192946.8994,0,81495.6269,98383.4489,60328.8667,0,926.9178,1277.7950,0
2014-02-02,1710100.0446,2611045.5166,228341.2822,173696.4464,0,94270.5935,77976.2712,56286.4756,0,2941.0956,1807.6841,0
2014-02-03,2139430.4531,2371423.3801,243293.4579,217919.4990,0,135127.5736,90590.4312,60522.4978,0,1292.9778,1807.1825,0
2014-02-04,2109644.4176,2595242.4270,256076.6047,207572.7499,0,85972.1533,98439.2929,66913.7557,0,4326.6777,1179.0258,0
2014-02-05,1928114.4086,2587779.5508,236709.2954,216285.2710,0,98621.7829,98465.5155,68246.7153,0,8249.2755,1134.2285,0
2014-02-06,1882267.1301,2628855.9502,230250.5819,213351.5312,0,126576.3304,98558.9069,70317.1240,0,7653.6755,839.7966,0
2014-02-07,2069369.2129,2595313.2102,258205.8444,189614.0672,0,169414.0270,93253.5778,65270.1599,0,8304.5955,971.9026,0
2014-02-08,1929116.8765,2551020.3232,259877.2482,170145.6361,0,191596.5200,95750.3818,51761.5643,0,9326.2467,1143.7091,0
2014-02-09,1772591.3596,2406995.7500,246599.3174,164055.9616,0,86357.4063,58398.8757,50389.7690,0,4051.8444,1037.9508,0
2014-02-10,1739773.6487,2447307.4267,268300.4333,160283.1694,0,98596.8899,6787.3378,56811.6845,0,4413.0023,605.3434,0
2014-02-11,1790756.3774,2613903.8828,262118.7955,183658.5852,0,150289.2300,326.8756,56079.9867,0,3060.8310,0,0
2014-02-12,2046692.8174,2514501.1568,271012.3286,128953.4022,0,128700.5400,47201.1024,53939.5685,0,5129.7889,247.9659,4.0267
2014-02-13,2076771.0928,2591758.1799,272032.3285,152418.1110,0,165096.1301,51613.8490,61989.8801,0,980.5221,473.6468,81.2333
2014-02-14,2059717.2625,2567324.4102,267223.5643,156957.8128,0,123540.6932,55226.0133,53644.3112,0,1661.5222,947.8041,21.3888
2014-02-15,2081753.0988,2575936.3375,270418.6977,149293.9593,0,93177.0362,21472.3245,81788.6442,0,5136.4912,765.8893,4.9355
2014-02-16,2079886.3606,2632447.3332,263298.1586,200418.2398,0,70206.9035,25204.3910,70643.3778,0,2248.3156,712.7201,2.2822
2014-02-17,1897298.1785,2602110.2367,244964.6091,186386.2446,0,67415.6564,36232.8977,72434.2313,0,878.5601,1252.2684,46.9690
2014-02-18,1867741.0482,2633549.0068,260338.3199,162489.5142,0,20730.8668,75259.1466,78386.0668,0,2833.0378,1147.0884,15.3866
