title
"CPU Hours: Total: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[TACC STAMPEDE] CPU Hours: Total","[SDSC COMET] CPU Hours: Total","[NICS DARTER] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[OSG] CPU Hours: Total","[CCT LSU SUPERMIC] CPU Hours: Total","[TACC MAVERICK2] CPU Hours: Total","[PSC GREENFIELD] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total"
2015-08-01,2096249.4402,856398.2598,341732.1422,306091.5644,14946.3687,43764.8945,13041.1609,0,43189.6179,0
2015-08-02,2159866.4657,584048.6465,416670.7111,302253.8000,11740.2399,49655.0943,9747.3056,0,31406.3957,0
2015-08-03,2162654.3256,678357.6526,308024.0175,293481.3200,17824.7331,79801.1442,11221.2055,0,27720.9954,0
2015-08-04,2168010.2165,661614.0908,463506.0265,295895.8316,16066.1757,68311.6055,18142.2333,0,31735.8578,0
2015-08-05,2074827.0256,577686.9522,353849.2355,303473.0731,18697.5110,57028.6833,22786.6333,0,36611.3912,0
2015-08-06,2030234.0771,707514.1645,484344.8889,297349.8026,15931.0341,52075.4555,18591.4556,0,41094.1911,0
2015-08-07,2118875.8257,678107.5732,400798.8178,298083.7777,13417.5796,20894.3502,22439.6000,0,41510.6444,0
2015-08-08,2053361.8492,798589.4872,322928.4890,305170.7153,16759.3441,30261.0556,17936.6277,0,41374.7778,0
2015-08-09,2164579.6939,789547.9746,471540.8619,301328.2066,8726.1781,117369.5390,16312.6667,0,52281.6711,0
2015-08-10,2123342.3384,718853.7912,450553.0760,282626.8136,2007.7214,45951.6111,22922.3219,0,53970.0975,0
2015-08-11,2157534.7432,626862.9896,357465.6891,283173.8152,5269.1799,55252.9055,28565.9219,0,57467.2133,0
2015-08-12,2079010.0096,563925.8027,368850.7377,300947.4819,62107.1538,66644.0000,18737.8947,0,51267.1690,0
2015-08-13,2157206.7912,524638.7584,480414.3291,295129.2023,17604.5829,115516.1720,17432.3444,0,18167.4354,0
2015-08-14,2153783.2487,724489.9060,330142.4268,291104.5149,8236.4934,161384.4724,11839.7222,0,2517.9023,0
2015-08-15,1550033.0945,658648.4599,295581.5821,249988.6198,5196.9977,166161.8777,11494.0666,0,1179.4889,0
2015-08-16,988464.7326,639162.8532,336531.3691,234344.1267,2847.0295,96813.0221,501.9167,0,0,0
2015-08-17,1233917.4799,737490.9367,355839.9557,267786.2291,2773.6378,111355.4611,7170.2278,0,0,0
2015-08-18,380564.0856,652968.2296,318836.7021,283481.8760,2878.4888,89045.6724,4953.9112,0,0,0
2015-08-19,1994523.8658,870160.5359,391226.4890,299869.9782,17120.3464,77981.0165,6471.6334,0,0,0
2015-08-20,2142645.4719,872820.1999,345421.3601,312910.1599,8079.9949,61545.9776,4472.6666,0,0,0
2015-08-21,2090025.4796,833212.5638,276630.8182,324296.6094,5251.3058,67622.6610,3106.2276,0,0,0
2015-08-22,2018622.0948,764877.9440,109619.9020,298550.4620,5424.1932,93636.3278,3198.8777,0,0,0
2015-08-23,2118189.9426,699587.7086,40072.4448,288226.6246,4683.6790,107667.7834,14.5222,0,0,0
2015-08-24,2161564.1902,674750.1173,117835.9736,288019.0220,6771.2513,78254.7278,2361.6777,0,0,0
2015-08-25,2097381.6293,727364.7549,129971.5382,302796.6978,13936.2178,139214.5889,3590.3277,0,0,0
2015-08-26,2031855.5197,712155.3875,179842.4354,320071.8779,10980.4524,57945.4278,2703.3722,0,0,0
2015-08-27,2026285.8455,802989.5423,390259.0752,314451.9494,5142.5297,103933.3501,4126.9278,0,0,0
2015-08-28,1986958.1300,802420.2164,381045.0578,317180.3493,4493.2634,52849.5446,8848.2667,0,0,1.7733
2015-08-29,2103448.1206,582428.0433,227549.3868,313764.5645,3113.5376,57951.0276,4270.1832,0,0,0
2015-08-30,1860148.5416,601561.9958,240699.1821,315906.7906,3217.6350,36377.9112,4433.1500,0,0,0
2015-08-31,1942055.7630,617822.3656,396588.5420,314300.9800,4466.0873,41880.0277,8908.9055,0,0,0
2015-09-01,1859126.0136,467153.2057,213298.9062,324750.9206,5370.6197,7949.6168,2447.5777,0,0,0
2015-09-02,1388896.3339,474063.6270,318809.4046,253591.0536,7216.0547,7887.1500,7334.7112,0,0,0
2015-09-03,898543.8844,525303.5756,402971.5736,254019.3869,5478.3022,5551.6670,17539.1444,0,0,0
2015-09-04,1968497.7411,486791.1421,354583.4219,295790.2910,3149.5297,10271.0111,21818.5721,0,0,0
2015-09-05,2075409.7383,512316.4863,318170.2312,313540.9978,3356.8519,9145.4780,2484.4444,0,0,0
2015-09-06,1987822.4804,314175.7811,135517.4934,323464.0242,3913.3928,16046.8167,3304.0167,0,0,0
2015-09-07,1760214.5760,230715.3994,206841.8044,320868.1312,3173.7234,20135.4945,15962.1944,0,0,0
2015-09-08,1889243.2434,66710.9638,195749.9290,312442.5822,3309.9989,26609.7221,24821.4776,0,0,6.0000
2015-09-09,2038051.2211,500981.2758,262175.5645,278340.1843,2970.8241,36860.5946,36405.3612,0,0,0
2015-09-10,2086913.9237,558870.0099,344601.9286,308743.3356,2712.1243,42766.2779,39724.5500,675.3583,0,0
2015-09-11,2104539.3432,417672.9651,263277.0485,324264.8888,2538.4133,26769.5446,21267.8000,720.0000,0,0
2015-09-12,2053291.6625,581036.7619,289176.5686,317508.8310,2355.2929,8475.4890,3939.3555,720.0000,0,0
2015-09-13,2048338.1781,519356.4676,395045.9730,320612.3912,2005.4303,3871.6221,6363.3611,720.0000,0,0
2015-09-14,2116788.6197,444029.6830,400465.3603,317259.1091,2210.3312,6647.8224,5708.6943,755.0042,0,0
2015-09-15,2047459.8266,582681.3246,255640.1865,308326.7238,2118.6698,7482.7499,14257.4612,1339.9293,0,0
2015-09-16,2026776.6803,612971.2006,241771.6888,317144.0819,3342.2741,4480.4943,21142.9889,1969.9666,0,0
2015-09-17,2018154.1237,665298.5922,243601.1288,326479.7112,1950.2112,6296.1222,3093.1834,1640.3334,0,0
2015-09-18,2043231.9555,774161.5636,325292.2930,327783.3732,1856.4407,17471.9500,10593.2166,1935.2708,0,0
2015-09-19,1941719.7511,605568.4133,242728.2492,325527.9690,1569.9143,21239.0280,9492.5113,1323.6375,0,0
2015-09-20,1951390.9770,495211.3285,301172.1601,302183.4843,1276.7728,15110.9224,1167.5499,116.2500,0,0
2015-09-21,2058856.1738,570709.3968,233002.5333,310709.9760,1250.5640,31958.3054,20298.7444,102.9208,0,0
2015-09-22,2100609.6932,586781.4322,163946.4892,326406.9290,1695.8104,43837.7389,26810.3220,152.8417,0,0
2015-09-23,2081226.7240,601384.7200,273244.9068,323716.7938,8242.5448,39078.4390,42103.2999,357.5501,0,0
2015-09-24,2099945.3069,573754.1841,252103.3507,325094.6307,7930.3780,25861.1557,29594.6443,2428.9500,0,0
2015-09-25,2176439.4981,563087.4307,221412.6842,315392.8647,1828.5966,16415.6944,26143.2835,2844.8957,0,0
2015-09-26,2233168.1811,461032.2270,111009.1822,310260.2290,1998.4462,39207.1388,10630.5055,2417.2125,0,0
2015-09-27,2174474.6502,342234.0192,128067.8490,310639.1982,4005.3934,5079.3500,3460.9444,2859.4416,0,0
2015-09-28,1987229.4638,456040.2006,160506.7912,301913.4573,1964.6169,4674.0557,22440.5944,3320.2750,0,0
2015-09-29,589592.7862,589457.8759,225907.4222,258779.4984,55407.3376,21998.4111,28123.2110,2658.1000,0,0
2015-09-30,2096297.7557,543372.4080,213264.7559,272937.2358,57270.5827,27381.8499,47722.2944,2739.3376,0,0
2015-10-01,1784038.7475,617479.2830,310262.1862,304915.8468,1547.8327,20018.0793,19763.7170,2441.9622,0,0
2015-10-02,2020693.1564,737152.6289,269383.6980,288721.0329,1304.4795,32450.4946,18650.4887,2679.0126,0,0
2015-10-03,1969316.1684,724045.1601,193010.9512,270834.6712,1053.5775,11084.2777,13477.2667,2500.9541,0,0
2015-10-04,1764822.0135,648542.7215,135858.5690,246990.9731,1384.8725,11662.4555,6308.1777,3478.6000,0,0
2015-10-05,1937580.2164,586933.9490,290806.8802,235781.7911,3397.2251,15373.8666,8435.4666,2815.5999,0,0
2015-10-06,2051632.6663,756854.2536,379853.0399,276805.8867,2897.3647,33176.8613,13040.6721,1463.2335,0,0
2015-10-07,2068461.0137,770995.1016,330599.6799,319264.0890,13739.5680,23042.5777,13377.7943,1607.3332,0,0
2015-10-08,1969828.2232,902634.9792,445040.8176,324020.8113,23286.7522,35641.6335,31355.3334,2474.8792,0,0
2015-10-09,1849098.1160,879213.5329,372561.4312,287125.6932,39050.4922,44804.4169,25490.2945,2767.0209,0,0
2015-10-10,1517144.7742,723525.9345,485059.9733,293209.7690,69561.1006,33574.8057,9650.4778,1725.2167,0,0
2015-10-11,1184925.8134,676985.9922,484874.5509,269913.3779,81814.6464,17618.3000,3975.7891,1006.9125,0,0
2015-10-12,1928476.6312,803037.0984,482308.5686,235021.2575,53758.7477,41157.3275,7549.9278,1347.6625,0,0
2015-10-13,2118426.0973,971396.4789,480798.9778,323344.6472,68503.4243,61743.2390,18303.3222,1270.1916,0,0
2015-10-14,1998917.9332,912339.9232,364923.6974,326057.3910,108970.9914,69086.4832,25598.1445,3114.8584,0,0
2015-10-15,2085570.5468,859665.0876,301666.4708,316285.4284,95487.3415,46552.9832,18544.0890,2440.7333,0,0
2015-10-16,2085695.0825,964735.4166,335879.9557,308646.6439,39756.1454,78521.2332,13690.2721,3388.8333,0,0
2015-10-17,2005118.2312,641616.4532,291659.9999,314545.9507,37723.8076,95645.7333,6018.3888,4662.1792,0,0
2015-10-18,2138978.0225,636485.9706,454407.5555,311189.1733,143731.5700,92597.1112,2906.0278,1442.8418,0,0
2015-10-19,2208850.1019,688024.8686,183881.7334,318710.4930,69651.7041,63919.6504,6097.5056,3996.9499,0,0
2015-10-20,2144674.4497,837979.9193,107369.6445,310595.3268,79193.2886,69531.6111,8612.3000,7014.3084,0,0
2015-10-21,2110892.1561,938739.0400,306543.3869,303025.7416,56284.3790,96917.4058,9563.1943,5038.0709,0,0
2015-10-22,2151933.2310,888305.4818,308369.9021,313994.5251,32327.3227,98634.2055,8481.0389,4404.0791,0,0
2015-10-23,2152332.5511,949318.8156,479851.9558,311792.7443,87928.2746,108192.6388,6282.7000,2843.0167,0,0
2015-10-24,2179595.6797,888374.4142,495220.4001,312347.4444,125690.0780,95989.2946,6163.6223,3092.0083,0,0
2015-10-25,2087367.9331,713168.2832,505527.9200,315707.3241,231423.7727,73781.9555,5278.6112,1440.0000,0,0
2015-10-26,2144682.3772,703815.1428,472102.1334,320675.0291,331690.7902,65894.1778,6386.5445,1426.1417,0,0
2015-10-27,2027079.6935,914309.5605,361379.5200,320455.3285,142546.0729,60964.7444,9553.9497,1382.1250,0,0
2015-10-28,2040814.3561,886818.2885,415738.7908,272914.4245,175605.2025,43029.4002,7921.2055,2826.3958,0,0
2015-10-29,2043737.2626,883835.0930,477604.2929,204124.4294,167790.8476,59418.9832,10444.3557,5307.1208,0,0
2015-10-30,1962789.0518,938423.1487,474205.7155,183701.9600,195045.4335,68262.8554,10745.5610,4531.5249,0,0
2015-10-31,2064353.7858,821844.0568,376262.5954,184536.1735,188951.5611,56174.3498,5736.8834,5813.5666,0,0
2015-11-01,2160050.7950,727408.2885,313579.9289,221736.8065,164904.8293,64756.7666,6700.0835,4916.2291,0,0
2015-11-02,1806468.1743,746062.0005,374218.2044,262400.4504,96211.7800,71308.2166,11399.4889,3379.9835,0,0
2015-11-03,463252.3199,867406.9926,482999.9559,326887.1105,66211.9661,87412.9385,12324.4777,4272.7083,0,0
2015-11-04,2055598.3689,885338.7302,381514.4087,319631.1290,46107.0739,95364.4833,20283.9444,4878.5749,0,0
2015-11-05,2074336.7785,972492.6097,326944.6936,296779.4382,31380.6795,85342.7890,15850.9666,5041.8415,0,0
2015-11-06,2041173.0953,945620.4438,313079.2090,316712.7026,39660.0124,57021.2890,15689.4057,6108.6832,0,0
2015-11-07,2042062.5417,926809.4668,233426.4267,306828.4086,57947.7707,47007.0055,9733.1667,6480.0000,0,0
2015-11-08,2083561.2268,935227.0825,179310.7822,264236.2579,63898.7758,41745.2224,10216.3946,6316.6710,0,0
2015-11-09,2177371.4718,967354.3962,232088.3823,279910.0020,68509.2292,56874.6667,13568.4497,3818.5956,0,0
2015-11-10,2146048.4320,979156.5622,286200.4619,322344.9834,46685.6783,38918.6052,7865.1609,2479.2670,0,0
2015-11-11,2135507.1034,988696.4484,355618.8440,268095.7375,36963.8129,36849.4389,13799.3778,3698.5039,0,0
2015-11-12,2137563.7334,971769.7201,361861.0402,278481.3798,42521.1983,48041.7389,12674.2999,5918.3961,0,0
2015-11-13,2085917.2853,1002130.7666,430392.8444,300516.8534,52049.4178,73690.7999,12032.8445,4479.2417,0,0
2015-11-14,2108298.3607,991452.8183,283637.3333,293420.0439,38564.3445,84695.6445,7744.4778,3405.1666,0,0
2015-11-15,2092200.2611,924605.4878,483772.5953,228586.1444,27527.0616,55678.1887,8550.5999,3207.9291,0,0
2015-11-16,2112253.7284,918736.2998,378457.0579,260523.3849,48317.3848,79776.6057,11540.4556,3389.1792,0,0
2015-11-17,2115191.3636,999925.9620,327667.4577,322147.8353,40279.3971,95803.7994,16152.9558,2459.9247,0,0
2015-11-18,2161004.6573,1001371.6245,368968.7380,314904.3597,53157.7280,72199.3553,19475.0612,1379.4585,0,0
2015-11-19,2139661.7996,1004601.7627,432896.8446,322367.4575,39566.2667,58847.7835,11178.6554,2304.5252,0,0
2015-11-20,2108552.6851,989028.9233,496489.1731,315878.9003,48928.0496,45519.7832,8582.7332,2882.7957,0,0
2015-11-21,2094825.6525,956648.3085,359561.1553,313759.0599,42907.9816,63537.7056,11060.7335,2617.4625,0,0
2015-11-22,2087946.0180,657493.8775,376440.8799,305291.8670,58019.4541,66064.1112,3365.8446,1642.3208,0,0
2015-11-23,2026888.9465,773535.0011,398522.8176,234819.6559,46412.7311,92126.8666,4830.9890,1304.1749,0,0
