Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[NICS ATHENA] CPU Hours: Total,[NCSA ABE] CPU Hours: Total,[NCAR FROST] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[LONI QUEENBEE] CPU Hours: Total,[TACC LONESTAR] CPU Hours: Total,[PSC POPLE] CPU Hours: Total,[NCSA LINCOLN] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[IU BIGRED*] CPU Hours: Total,[SDSC DASH] CPU Hours: Total,[NCSA COBALT] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[NCSA EMBER*] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[TACC SPUR] CPU Hours: Total,[ORNL NSTG] CPU Hours: Total
2010-08-01,2168314.3301,1211090.0718,413336.4602,146759.2931,85693.6711,91560.2713,59743.2533,72951.3599,17010.1745,3643.7467,9.3644,2272.0666,0,1406.5089,0,1341.0721,0,0,0,172.3288,0.2128
2010-08-02,2293959.7240,1214106.6360,402837.8158,168361.3552,59145.0491,73108.6455,66472.1976,77398.0444,18083.1233,3481.1444,352.3090,1855.9128,0,681.4267,0,1525.1130,0,0,0,77.9867,0.2305
2010-08-03,2091201.3303,1233318.3565,368940.5067,200906.9013,38285.3512,81863.7728,62701.8266,82629.6375,17478.7015,5749.3510,259.8134,2140.7018,0,2564.4122,0,1557.1039,0,0,0,143.3067,0.1861
2010-08-04,2235487.4565,1229805.3327,428369.5423,182861.6000,80258.7734,81090.6301,62253.4669,74199.2308,17114.2769,6208.9345,221.4200,36759.5144,0,6148.8078,0,1549.1020,0,0,0,64.2000,0.1172
2010-08-05,2289588.7701,1286360.7774,430096.5643,191617.3738,65881.5999,86593.7562,59280.2136,63487.9707,17097.0796,7328.9600,496.1511,8779.8737,0,5540.9702,36.2756,1770.8587,0,0,0,197.6044,0.1216
2010-08-06,2174099.2603,1320411.3156,426134.9566,197438.2778,64148.8353,87392.6240,61650.3800,78114.5549,17857.5149,7388.8703,258.8266,26130.9889,0,4175.1689,1271.1377,1650.2939,0,0,0,95.3777,0.1227
2010-08-07,2318883.6803,1304460.3427,412882.2211,152683.1113,73283.2532,49024.1570,73574.1713,85896.8891,19143.6899,5282.4843,0,41534.4945,0,3197.7823,1616.4222,1608.0537,0,0,0,2.4089,0.1250
2010-08-08,2301957.6865,1197115.4925,401183.1111,149132.5174,24912.7645,39659.4977,90330.8489,79633.1996,12956.1155,3731.2643,24.0711,5783.6849,0,3322.3145,1094.1533,1382.6531,0,0,0,64.1333,0.1127
2010-08-09,2226733.8798,1305397.0225,405815.2401,187942.3596,37073.1376,69436.5503,85864.1021,89646.5467,15173.9800,5666.3037,357.1046,1506.8556,0,3966.2845,0,1574.6091,0,0,0,3.8845,0.0783
2010-08-10,2223856.8531,1296197.7645,413241.1722,199383.7124,93255.5911,58563.5423,73542.4886,92542.7984,17486.9755,12009.0667,267.5066,21181.9861,0,3078.5488,0,1702.9301,0,0,0,0,0.1183
2010-08-11,2011184.9468,1242870.7412,418902.9631,195513.7010,49385.6712,70393.9457,71201.2599,79568.2522,17122.3529,11494.6542,225.6244,12734.5978,0,3748.9432,0,1511.8528,0,0,0,225.8667,41.2544
2010-08-12,1798750.4568,1320615.7069,417467.9136,214488.3134,56450.5955,67648.3653,69427.5915,75752.4708,17638.5696,8904.1859,0,15437.5035,0,2850.6257,0,1525.0835,0,0,0,51.2667,0.2067
2010-08-13,2239745.2703,1331504.9201,421992.4173,212349.8514,31218.1334,73136.8878,64847.1246,89719.8509,17685.1412,4445.0310,244.3555,30810.3223,0,3464.5381,74.2000,1272.5585,0,0,0,71.3155,40.9494
2010-08-14,2213929.7336,1319510.2307,402319.9203,196642.8690,25569.8490,63671.4401,77798.6444,77474.4290,17570.2044,4096.5733,30.1156,16148.7555,0,3648.7812,218.9111,1237.2858,0,0,0,68.4133,0.1956
