Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[NICS ATHENA] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[NCAR FROST] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[LONI QUEENBEE] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[NCSA ABE] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[NCSA LINCOLN] CPU Hours: Total,[PSC POPLE] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[IU BIGRED*] CPU Hours: Total,[NCSA EMBER*] CPU Hours: Total,[SDSC DASH] CPU Hours: Total,[TACC SPUR] CPU Hours: Total,[ORNL NSTG] CPU Hours: Total
2011-02-01,1144969.9165,1284389.6030,382415.9304,0,56625.6710,121539.3778,43303.5044,68076.9734,12368.3824,125531.9301,14601.7578,28503.6358,19559.0637,779.8066,298.1792,2957.9032,2512.9828,134.3445,373.0489,0
2011-02-02,1165690.0403,1220735.8268,394412.8882,9828.1134,45129.6356,96433.0843,39910.5113,62694.4932,10897.1200,163153.7845,29287.5156,25529.9356,18438.8664,5153.2904,1182.7277,7759.3865,2651.4706,147.7600,149.9022,0
2011-02-03,1729604.4495,1267838.1014,423658.6044,15992.2768,36151.0133,72417.1735,34522.8454,76947.7243,9822.3377,105849.3124,32094.1201,27819.6603,11348.5227,7538.7993,1322.8034,7815.1466,1839.7751,214.2467,40.9511,0
2011-02-04,2298338.4238,1370177.6046,392949.8091,13673.6500,60624.7998,109277.3689,25407.2177,90222.7734,7608.2133,174521.6003,36405.8377,21972.3680,5305.7530,13264.5666,441.8037,7557.7221,1563.8337,65.0022,163.3911,0
2011-02-05,2167007.8236,1197335.9955,422023.3809,17407.5367,73757.8134,143292.1246,26274.9653,74314.3379,17485.5868,148243.3909,36876.6444,20418.8177,18027.7591,9574.0261,1745.1016,7144.1844,1013.3840,23.6644,5.5289,0
2011-02-06,2219402.0105,1138049.3827,401858.7365,27846.7599,42048.3289,127938.2756,30789.5553,52164.1689,27085.7956,136701.6666,35731.7465,24661.4821,14377.8350,9140.3009,242.1680,7027.0344,627.0715,4.6311,119.7511,0
2011-02-07,2148910.6100,1127573.7828,390808.2857,16070.2066,58038.4889,152115.2000,34879.5354,74206.4310,33637.6222,98318.6936,33941.3133,17184.4222,17579.0954,5037.8782,1625.2393,7576.3733,616.5675,165.4356,19.2488,0
2011-02-08,124520.6299,1202221.9122,414848.8856,4328.1368,41610.0531,124981.6534,36560.9179,72043.7334,34439.9865,157034.9358,37901.0734,30915.9687,18471.9298,10558.9816,714.5267,7302.4689,1105.6884,210.8066,227.8711,0
2011-02-09,0,1238386.2037,410322.7209,24343.1967,39693.0131,158193.8316,37236.9219,55787.4245,13188.6935,160241.1533,36017.2843,27398.4599,18678.5146,8384.4597,1095.7938,7602.7011,1130.9966,535.8200,274.8534,0
2011-02-10,0,1250974.1470,419125.9961,30447.4732,60195.3777,119458.5601,37809.4263,72485.4600,17867.8178,127215.1862,37145.7708,31559.7645,19309.5976,8272.6705,2339.2478,6899.7723,969.7123,2133.5622,222.4622,0
