Day,[TACC STAMPEDE] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[GATECH KEENELAND] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[OSG] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[CCT LSU SUPERMIC] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[GATECH KIDS] CPU Hours: Total
2014-08-01,1916217.0574,315276.9580,468343.1199,218781.6931,48317.2222,19928.1954,61261.4765,0,16223.5611,0,3794.1488,608.1133
2014-08-02,1684350.6215,303996.1574,512532.3288,220059.8481,42016.8622,19968.0000,24509.4403,0,18404.2502,0,7637.0111,473.0774
2014-08-03,1362841.2754,233751.5598,227632.0444,215612.7670,26471.9955,11770.4979,31475.5900,0,13392.7612,0,7889.1489,268.5599
2014-08-04,900362.1286,271833.8906,184187.4311,195073.1976,11714.7379,37907.9068,45902.1066,0,7642.6612,0,4995.9444,475.5526
2014-08-05,298006.4173,324882.8978,110491.7332,193062.0018,12311.9599,41811.6088,56495.3634,0,4543.9001,0,19.4333,228.8400
2014-08-06,1680517.6928,313338.0091,173250.6756,168225.1619,35321.0220,40167.1068,34839.2797,0,6787.8164,0,1283.7066,167.2384
2014-08-07,1740190.4484,311746.0045,371596.4979,213945.3099,44256.3911,36406.4533,62182.8002,0,13983.7555,0,1471.2423,864.8083
2014-08-08,1790248.4450,315967.7597,196715.1732,202775.2772,40851.7643,37873.0488,42022.3031,0,13384.0389,0,4199.1955,1429.7516
2014-08-09,1880238.3026,304980.7915,346690.0802,209841.2313,56224.6401,39605.5156,18164.2767,0,12404.2278,0,3728.2311,645.8526
2014-08-10,1352479.3688,287617.4360,338993.0221,163922.0817,40981.0223,50326.2535,20643.3436,0,18624.9000,0,5385.3577,353.7224
2014-08-11,1584829.1910,301590.9051,226192.2221,154893.4041,73152.8802,65266.0663,25701.0899,0,19251.9613,0,7497.7401,191.7433
2014-08-12,1798678.7694,303125.3928,103728.7202,150248.5559,87755.4000,74151.2444,42894.0133,0,16104.9888,0,6758.9733,360.8542
2014-08-13,1841223.3826,300835.1579,54401.8844,166039.5091,94252.9025,71463.8577,40283.9434,0,18673.8333,0,638.3022,206.3217
2014-08-14,1788052.7512,305138.2133,256248.0267,159439.5399,94639.1956,66129.3201,50849.0366,0,19179.3946,0,223.4532,101.8475
2014-08-15,1799513.3373,320858.8062,147669.7689,130396.9410,93121.7776,60624.1559,78083.0603,0,23282.6167,0,0.1288,233.4149
2014-08-16,1735991.5556,318441.1087,31387.2001,145888.5394,97677.2087,60175.7377,39452.6569,0,14935.4834,0,126.3645,215.9825
2014-08-17,1223069.7024,294180.4042,39286.9245,116202.6900,97384.4046,46926.6180,22648.9235,0,13605.6112,0,191.5711,215.9925
2014-08-18,1494242.4309,283764.5534,184578.4270,154140.6930,83894.6622,50427.0179,34263.1130,0,24836.3502,0,247.2778,161.8742
2014-08-19,1644127.9409,295717.4715,199908.2754,189687.1120,33563.3289,44212.7598,50569.2502,0,30063.1332,0,430.4268,98.1975
2014-08-20,1949032.2756,294107.9138,170959.3599,199319.4271,66486.1645,47411.9070,79603.0565,0,25958.0055,0,431.8778,0
2014-08-21,1760522.6258,292473.1304,139637.6446,188415.8151,94697.9734,57356.3331,118582.0932,0,23254.9946,0,2183.9377,45.0008
2014-08-22,1697352.7323,313643.0329,145968.7292,202465.4456,95538.9066,67657.7508,43150.2232,0,31778.6501,0,1943.8778,72.0000
2014-08-23,1688646.3346,300056.8110,105495.2977,181394.4797,96990.3023,69112.0004,50944.1465,0,26674.0053,0,1619.2889,149.4758
2014-08-24,1377204.9242,224937.7223,122801.7779,207289.7592,95807.7691,55895.7867,45266.6899,0,20642.6112,0,2043.2800,141.5300
2014-08-25,1510959.7436,284248.8161,65473.6531,216783.3198,95602.0088,53435.0666,36792.7436,0,20314.0555,0,26.3556,252.4967
2014-08-26,1800725.3780,311504.0134,29646.3026,217280.4409,93909.6042,53081.6355,30276.5699,0,18658.1387,0,0.2578,280.6142
2014-08-27,1965821.6359,314465.9757,150653.0579,164887.0205,81617.3644,61376.5250,49675.2731,0,26498.0500,0,0.1511,213.1850
2014-08-28,1939221.2139,322849.7590,62321.9914,216327.8134,95594.8933,53939.3955,65012.9467,0,27295.8500,0,0.1956,10.5750
2014-08-29,1926528.0315,316907.6096,301228.4181,224217.0663,93819.7776,49342.2622,70799.3767,0,31278.0778,0,1666.6400,0
2014-08-30,1443827.2445,314447.8737,215287.9909,207374.9042,70097.0310,41477.3423,40126.5234,0,32529.6668,0,5381.7422,0
2014-08-31,1350313.8399,308727.7667,248676.9689,203376.6247,12559.2222,45350.6711,25627.5331,0,28116.2389,0,4304.3823,0
2014-09-01,1538535.4114,310622.8621,227062.3911,226006.8180,23546.0756,57410.6446,37030.3133,0,28341.1776,0,143.0310,0
2014-09-02,1709804.7873,299593.2109,157349.2980,201431.6841,8183.2400,23990.5423,24422.5432,0,15470.5056,0,2.8089,0
2014-09-03,1901876.8991,311799.6465,127263.2889,223804.6908,67177.2134,67656.8669,14613.3664,0,17630.9889,0,2.2133,0
