Day,[TACC STAMPEDE] CPU Hours: Total,[SDSC COMET] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[OSG] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[CCT LSU SUPERMIC] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total
2015-02-01,1832357.5825,0,285633.2160,71675.1021,629838.8679,162072.0606,10881.9167,53063.6268,4012.0390,282.3900,4544.9333
2015-02-02,1732083.3959,0,290221.2380,191230.8178,559888.0637,169282.0539,10681.1556,49413.8048,4345.3222,288.0000,1.6467
2015-02-03,1954923.0714,0,301599.5784,177024.4001,363026.3791,184907.6992,10287.1500,55951.2310,1357.8113,134.1200,0.0089
2015-02-04,2007106.5785,0,302101.0177,177820.0352,109813.6948,191934.2567,31005.1278,60951.7201,4407.1610,306.3333,0.2533
2015-02-05,1966785.4712,0,288326.5906,351576.8711,202546.6547,192377.9784,33149.9277,60671.1335,9305.5722,139.4633,765.8400
2015-02-06,1925820.7237,0,286837.0882,209800.1157,208684.4151,199001.1819,15928.1277,49469.8978,11006.4722,12066.1167,859.6800
2015-02-07,1938899.7204,0,275364.8731,72458.2222,155646.6102,195561.9407,13436.8889,34954.5467,8087.4998,36864.0000,6390.8000
2015-02-08,2007674.5952,0,234311.8714,40447.8222,216247.6184,193936.2420,11936.0167,28610.1156,4957.2277,24948.0533,8071.3022
2015-02-09,1415750.3328,0,254898.9998,173247.1648,341839.3286,189588.8432,17826.1779,42244.6042,7395.9498,15106.5466,13008.8133
2015-02-10,407342.4302,0,278134.0907,102352.9912,214102.6848,193990.9460,16711.9223,40763.2448,13915.3221,37698.0000,13849.8111
2015-02-11,1982139.8727,0,236203.7575,165378.8357,190159.1500,163340.9433,61267.4334,41712.5424,13320.5723,22023.2533,8233.7756
2015-02-12,1967617.1594,0,279321.9068,68427.0756,138651.7208,180344.7577,97586.1611,45406.0844,7591.6333,32170.1467,17547.0067
2015-02-13,1767347.0223,0,276210.8866,49883.8044,289984.1558,183013.4812,109804.5444,44621.4269,13261.3889,36864.0000,11095.1378
2015-02-14,1728898.0396,0,293991.4977,27291.1467,279687.9189,187066.3306,48999.5002,39446.0133,8106.7112,14445.2267,2107.7734
2015-02-15,1960078.1383,0,295414.5803,20517.2977,462869.3671,154583.4786,29213.4668,36033.3823,12866.4888,36864.0000,11704.4355
2015-02-16,2031354.5956,0,245494.7090,49375.8045,494919.3694,172533.2664,63756.7498,40298.1422,12586.0167,27910.4000,20094.4377
2015-02-17,2145050.8315,0,269604.9023,41890.9245,463498.3217,196201.7976,43798.8390,49346.0531,13217.2224,6190.0800,5050.4421
