Day,[TACC STAMPEDE] CPU Hours: Total,[SDSC COMET] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[OSG] CPU Hours: Total,[PSC BRIDGES] CPU Hours: Total,[CCT LSU SUPERMIC] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[PSC GREENFIELD] CPU Hours: Total,[PSC BRIDGES LARGE] CPU Hours: Total,[Stanford XSTREAM] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total
2016-02-01,1877816.3288,870662.4575,525051.8755,274842.1134,77581.9177,0,40365.9000,11966.8111,2934.2084,0,0,0.0167
2016-02-02,1994078.5565,928182.8959,517337.9113,304247.3733,76524.4790,0,37511.2947,18563.5610,3817.4333,0,0,0.6800
2016-02-03,1977829.3191,911702.8882,238736.7999,281898.1328,68178.0437,0,28471.3165,22411.7557,4201.8001,0,0,0
2016-02-04,2049172.0891,926152.8618,0,282137.4574,59100.3782,0,13670.6334,17059.1667,3681.5000,0,0,0.0533
2016-02-05,1997894.9119,790572.6341,0,281488.6867,74813.1591,0,28163.8778,14117.1222,5559.2791,0,0,0
2016-02-06,2063862.7033,759339.9702,0,232925.5130,85450.7279,0,29687.4890,7899.3335,5465.6083,0,0,0
2016-02-07,2095651.6230,474893.0302,0,125844.9709,114301.3729,0,16959.2333,7799.9000,3604.8958,0,0,0
2016-02-08,2044075.7952,87490.4760,0,26324.4665,88585.6605,0,21119.7053,15277.2222,4137.9916,0,0,0.0300
2016-02-09,2096510.9996,13771.9654,52774.8089,17129.4135,51526.7416,0,20182.9610,25975.2942,5977.0583,0,0,0.0467
2016-02-10,2074076.1919,646732.4299,408637.8311,303812.2133,52736.7474,0,24462.7666,33874.3445,6724.0334,0,0,0.3534
2016-02-11,2187561.0702,747666.6446,531220.8177,290960.0625,63541.8237,0,15544.3723,39596.3389,5001.9832,0,0,0
2016-02-12,2041367.2446,530228.8689,491791.9199,171484.4692,77919.4540,0,24823.1888,23961.3110,3677.7626,0,0,0
2016-02-13,2132012.6533,336634.7746,496650.5688,121363.4617,105988.4392,0,26172.2053,17740.6447,4962.0000,0,0,0
2016-02-14,2121764.4042,885926.1512,512756.8891,224832.0026,62430.2594,0,21828.0779,15571.0778,3758.0834,0,0,0
2016-02-15,2038567.9146,873170.6578,488318.2308,242485.6131,34674.9293,0,15175.4721,21926.7279,2822.8960,0,0,0
2016-02-16,2090614.7217,882439.5243,424371.9201,274600.4003,95548.3223,0,21851.8333,22190.4889,4152.9542,0,0,0
2016-02-17,1973863.7109,885844.7360,449087.3332,307116.9022,75810.2997,0,23450.5612,17546.7447,4195.8459,0,0,0
2016-02-18,2073975.2084,855394.5521,465645.5908,313797.2738,38518.1439,0,21495.4056,19790.0836,3800.5542,0,0,0
2016-02-19,2087483.0942,871897.8126,506287.6443,289591.7221,77623.8909,0,39641.1499,16498.2886,4247.9043,0,0,0
2016-02-20,2100049.4502,842458.7935,480786.2575,245626.7637,61922.4117,0,48040.8889,20904.4391,5093.3293,0,0,0
2016-02-21,2029465.4270,835691.1670,482528.1157,224972.8360,75605.4429,0,39539.3277,16580.9778,2873.9208,0,0,0
2016-02-22,2101477.6412,815715.5837,470271.5825,196404.4248,72456.2640,0,9019.7720,16356.5724,2062.1375,0,0,0
2016-02-23,2010484.8582,834240.3179,293377.1379,268946.6354,58516.3315,0,20400.2279,20797.3890,3691.4083,0,0,0
2016-02-24,1974207.2834,879192.7901,335601.5553,233898.2514,36723.2306,0,19900.4777,16591.2776,4181.6375,0,0,0
2016-02-25,1936993.6531,926416.3335,459913.8758,316311.8531,23593.1118,0,46531.2111,10273.1112,5836.7333,0,0,0
2016-02-26,1936204.9064,934751.4243,334715.0312,263686.1422,15269.5965,0,27902.3385,14151.7111,6591.6957,0,0,0
2016-02-27,1888156.9249,914785.1004,364036.7732,271474.3468,14751.1245,0,21538.6777,7024.3666,5106.7875,0,0,0
2016-02-28,1904581.0419,764094.6869,229801.5199,178618.2331,70822.4799,0,12391.5609,9602.8555,3355.3749,0,0,0
2016-02-29,1884844.7911,634138.6026,200328.3026,205284.2782,110467.5270,0,15521.9832,14284.9168,4148.6626,0,0,0
2016-03-01,1948544.6289,810732.8077,274370.2579,264698.7623,51275.1411,0,12538.2053,9387.6724,2934.8876,0,0,0
2016-03-02,1979991.1324,832766.7375,389692.0000,292624.8779,69660.9895,0,34811.3002,15547.0222,2631.6040,0,0,0
2016-03-03,1955230.9696,838458.5904,438820.3645,327624.1239,118383.9181,0,24472.7499,13666.8611,3729.4956,0,0,0
2016-03-04,1897274.7956,853891.2086,513741.9201,308457.4309,69953.4903,0,20676.6445,5790.4834,3420.9208,0,0,0
2016-03-05,2089084.4985,822791.3116,475294.7290,307290.1156,23824.8263,0,18747.0056,1829.1055,3455.8292,0,0,0
2016-03-06,2099171.4001,797626.6235,505043.7242,218122.0417,26149.3754,0,45810.9167,3557.5610,3340.0084,0,0,0
2016-03-07,2052590.8491,877615.5781,502878.0448,206405.1402,59787.3175,0,47483.7833,8407.2168,3272.0917,0,0,0
2016-03-08,2051107.9164,872911.5409,474411.1559,240279.1228,127261.2105,0,28939.3501,11804.7891,3487.3876,0,0,0
2016-03-09,2057668.5554,871187.1074,457873.1198,277607.0248,19939.2357,0,37307.7110,7939.8110,3609.0541,0,0,0
2016-03-10,2104973.9722,861629.6955,507278.5423,288339.7417,30919.6465,0,42257.4947,17249.0334,3597.1877,0,0,0
2016-03-11,2111515.3909,841270.4280,471256.0174,257153.6265,75646.3444,0,66327.9222,24812.4557,3195.7583,0,0,0
2016-03-12,2033134.3284,379448.7349,264877.4666,152553.7162,58635.5549,0,97652.9166,16028.4831,3367.1374,0,0,0
2016-03-13,1960269.8894,167368.7620,165744.2221,72060.8843,74898.4246,0,111562.0223,8889.4723,2614.0875,0,0,0
2016-03-14,2057322.3772,605031.7875,409173.0577,206043.7579,62909.4133,0,51449.5607,27393.5722,3399.0500,0,0,0
2016-03-15,1891037.3914,774208.4109,421239.4664,288000.1395,50181.3407,0,27399.0387,26192.7832,4704.0501,0,0,0
2016-03-16,1914097.5292,888012.4846,499892.2489,247360.7224,50850.9078,0,27513.7500,16403.7779,4753.6582,0,0,0
2016-03-17,2104153.0934,898156.9682,457581.8934,289712.3205,38826.3043,0,69640.8001,14384.0166,3646.8417,0,0,0
2016-03-18,2011523.4136,858940.6505,452915.1913,273411.0910,51614.7027,0,111982.2000,13613.5778,3384.3334,0,0,0
2016-03-19,1747860.5777,693350.8234,441456.9955,289291.7577,59094.4599,0,110165.0113,16703.4888,3368.8958,0,0,0
2016-03-20,1855707.0489,659887.3783,470207.6532,292709.1160,55913.8253,0,107317.3832,15503.0555,3055.0333,0,0,0
2016-03-21,1972302.9654,725564.1186,501544.2131,308182.5827,58732.0307,0,117029.4498,14141.6610,3202.6501,0,0,0
2016-03-22,1945056.4909,800989.5936,469916.7199,323823.0310,48719.1641,0,112493.0777,21497.2278,3839.8958,0,0,0
2016-03-23,1803411.9946,899277.1967,403498.6935,301492.7291,29996.8666,0,83306.5115,14403.7834,4145.3125,0,0,0
2016-03-24,1863545.6144,911927.9312,495341.7775,287623.5333,40682.2086,0,57063.0222,20262.0168,3476.8958,0,0,0
2016-03-25,1750180.1464,799478.0993,508310.4001,305185.9224,73206.7956,0,84662.1833,18345.4889,3448.9333,0,0,0
2016-03-26,1785069.7776,720872.9404,495974.7913,245744.7711,77381.3813,0,92346.3223,27658.4612,3933.0917,0,0,0
2016-03-27,1787175.3825,784366.2527,532274.6575,247374.0866,73485.7183,0,33190.0888,2917.9278,4775.3624,0,0,0
2016-03-28,1775911.8318,853489.8393,487577.5555,280682.4372,65449.7164,0,18358.6276,26209.2002,5536.3208,0,0,0
2016-03-29,1753957.1031,793872.2768,503627.0576,258400.8974,60056.7994,0,31239.7554,32836.4388,4455.1501,0,0,0
2016-03-30,1545786.4440,761761.7629,510724.2040,232918.1019,13679.2771,0,37334.6278,25055.8887,4383.2250,0,0,0
2016-03-31,1858317.3560,741010.0456,487929.1111,281579.7507,4675.7443,0,33809.8833,32236.0167,4394.9334,0,0,0
2016-04-01,1957671.9369,804907.9584,525081.9823,320871.3249,15587.0176,0,44553.9111,4780.6111,5240.6917,0,0,0
2016-04-02,1852537.4841,760935.7396,505480.7200,312611.1156,10338.9220,0,65540.8000,1774.0778,5476.0917,0,0,0
2016-04-03,1876924.0265,618009.2930,269925.8313,225127.5665,74599.7334,0,41904.6220,1003.3500,4591.1584,0,0,0
2016-04-04,1800468.5109,595446.3484,492299.3242,280514.9618,113147.9952,0,57842.1945,4807.6555,3354.0376,0,0,0
2016-04-05,1703407.5326,771966.8331,513995.3333,163681.4580,53188.2072,0,91534.4942,3234.7279,4673.4293,0,0,0
2016-04-06,1783881.5823,870761.5867,450879.7334,258910.5384,27757.0775,0,56511.0667,3371.4612,6161.8542,0,0,0
2016-04-07,1513101.0092,858547.1609,231747.0310,268924.2964,13879.5926,0,49081.2058,6245.0777,4394.9458,0,0,0
2016-04-08,1492453.1119,901042.4566,212269.0312,199306.4092,34364.1125,0,74633.0389,2461.4945,1688.8458,0,0,0
2016-04-09,1475932.6537,897290.2566,221666.5780,147321.3908,20192.5995,0,39459.0667,4035.1166,675.7624,0,0,0
2016-04-10,1614086.4533,752793.6631,403279.7420,117957.7287,45423.2734,0,43794.4552,2960.6000,449.6041,0,0,0
2016-04-11,1625059.7974,782768.6661,431990.8624,202821.0106,47111.5440,0,68019.3442,4784.7665,3108.7125,0,0,0.0000
2016-04-12,1871112.4396,962620.9243,481079.8930,251080.5351,18101.8859,0,49572.4444,5324.6169,4506.5003,0,0,0
2016-04-13,1731586.1858,927802.3349,431022.9600,192457.5845,49056.1543,0,36431.7389,8043.9334,3203.5082,0,0,0
2016-04-14,1795417.0979,967738.0452,440265.4311,234807.0332,41631.6936,0,50119.8944,7053.2224,4400.0375,0,0,0
2016-04-15,1841624.6669,940706.5167,381283.9289,315416.4176,40023.1113,0,60057.7946,5525.1053,3452.8542,0,0,0
2016-04-16,1971708.4026,887685.8259,472964.5688,315089.2045,79110.7706,0,34592.6999,3118.2501,2662.2333,0,0,0
2016-04-17,1737903.3649,897079.8101,446010.7200,275900.8641,120639.7833,0,15535.3112,2657.6221,1565.6626,0,0,0
2016-04-18,1714680.2087,901468.9553,414367.5024,227456.5430,83789.2123,0,0,6353.8890,2029.5456,0,0,0
2016-04-19,1778481.7959,947588.4715,245086.5513,188244.1890,54299.1415,0,17959.1781,7155.9776,3620.8249,0,0,0
2016-04-20,1750926.2332,900970.3854,323496.0714,203841.2509,82399.9884,0,27654.7055,8256.6778,3430.0917,0,0,0
2016-04-21,1606154.4138,930179.9518,346028.0800,253029.2887,34511.3291,0,28309.9667,9226.5443,2008.5335,0,0,0
2016-04-22,1105297.3459,953841.3814,62035.4488,327199.9736,31087.1619,0,30208.2720,8559.2387,1653.4542,0,0,0
2016-04-23,1358732.5730,890608.3173,0,329825.8996,77926.6268,0,18811.3167,4932.9502,914.8333,0,0,0
2016-04-24,1607760.4720,844333.8825,0,322544.0866,83998.8655,0,13508.3388,3456.8945,350.3291,0,0,0
2016-04-25,1701321.3651,883366.6370,200913.3423,320239.7229,94644.6282,0,21262.0834,5478.2833,323.9750,0,0,0
2016-04-26,1818311.8796,916877.0815,315218.7997,324294.4883,49480.6553,0,27594.2776,7074.8998,0,0,0,0
2016-04-27,1868205.4096,958572.7418,374071.2088,328392.2685,53051.8545,0,29357.2834,5754.3611,1500.0585,0,0,0
2016-04-28,1679969.6716,967294.0932,430838.4887,329896.3085,54243.9864,0,27190.1109,5486.2723,1890.4624,0,0,0
2016-04-29,1804908.8077,965115.0884,389114.0445,326866.0711,78962.5638,0,27553.6723,3236.3667,1465.2833,0,0,0
2016-04-30,1899639.2716,957537.2368,470363.8667,313489.4152,165562.3348,0,37884.8780,7137.5778,590.0833,0,0,0
2016-05-01,1876257.2054,921798.9645,391524.1422,310537.3939,256203.4236,0,40539.2501,6163.0610,0,0,0,0
2016-05-02,1568177.4100,936262.0011,465258.9867,321030.4096,286087.0768,0,48871.5775,3699.8722,109.3084,0,0,0.0000
2016-05-03,331430.0763,950050.2222,444568.9068,319987.5977,250138.9353,0,46053.9999,6880.2056,408.3292,0,0,0
2016-05-04,1875555.5738,951392.4120,401341.6444,322214.5063,83821.5232,0,46268.0887,9635.0501,1677.8456,0,0,0
2016-05-05,1626677.0721,928139.2439,371976.3109,323142.8409,59456.4328,0,64258.7667,8970.8500,3387.4625,0,0,0
2016-05-06,1707015.4586,883450.0418,482679.9383,322984.6803,87475.4977,0,39580.5610,9457.8113,6283.2917,0,0,0
2016-05-07,1764891.8585,864117.7869,508547.1731,315627.7288,100685.7055,0,47458.1720,5008.6722,3626.0667,0,0,0
2016-05-08,1650684.7903,866389.8499,365269.4936,316868.6747,183529.4474,0,26671.7556,7387.3890,1080.0000,0,0,0
2016-05-09,1730544.7025,904320.7737,382218.6136,320318.2686,136728.0435,0,43625.3556,7605.3110,747.2250,0,0,0
2016-05-10,1756207.1826,895877.1508,337205.7869,320992.4152,178403.5305,0,47532.5278,7745.0832,2432.1958,0,0,0
2016-05-11,1836482.3776,827993.6571,365660.5247,324085.4577,175452.3134,0,39138.7836,4283.4555,2506.1499,0,0,0
2016-05-12,1735726.3564,860076.5627,399216.4446,318673.7313,73501.6047,0,20111.0556,2513.5445,2070.7208,0,0,0
2016-05-13,1721150.7229,886875.0804,496631.5733,308466.7801,64947.4436,0,30609.0612,3203.8833,2336.4957,0,0,0
