title
"Number of Jobs Ended: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Ended","[PURDUE CONDOR] Number of Jobs Ended","[NICS KRAKEN] Number of Jobs Ended","[TACC RANGER] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended","[NCSA FORGE] Number of Jobs Ended","[TACC LONGHORN] Number of Jobs Ended","[LONI QUEENBEE] Number of Jobs Ended","[NCSA LINCOLN] Number of Jobs Ended","[PSC POPLE] Number of Jobs Ended","[TACC SPUR] Number of Jobs Ended","[SDSC DASH] Number of Jobs Ended","[NCSA EMBER*] Number of Jobs Ended","[IU BIGRED*] Number of Jobs Ended","[NCAR FROST] Number of Jobs Ended"
2011-08-01,3444,2562,1722,824,284,349,229,134,0,299,125,82,48,5,51,7,38,1
2011-08-02,17295,21370,1656,801,446,27,207,224,0,144,146,119,65,13,17,0,31,2
2011-08-03,28566,3964,1911,875,2423,638,21,13,0,87,161,146,88,1,29,0,14,1
2011-08-04,7362,3120,1866,1043,3587,399,90,253,0,99,118,112,71,4,4,0,9,1
2011-08-05,12890,15018,2003,834,2983,590,142,242,0,45,154,39,69,0,5,0,6,1
2011-08-06,24603,10408,2146,604,2289,358,154,12,0,27,84,69,84,0,1,0,4,0
2011-08-07,61522,11314,1249,770,1206,370,150,25,0,24,106,101,77,2,0,0,2,0
2011-08-08,9,199,987,999,448,521,326,239,0,35,96,50,67,7,0,0,3,0
2011-08-09,4991,1080,1358,960,659,48,564,165,0,51,160,39,240,5,0,7,1,0
2011-08-10,36249,5853,1511,910,971,531,932,258,0,63,85,101,104,3,1,10,0,0
2011-08-11,6209,10665,377,929,674,712,326,235,0,49,44,91,84,5,8,0,0,0
2011-08-12,30144,5996,960,616,465,470,1226,184,0,116,96,74,72,3,6,0,0,0
