title
"Number of Jobs Ended: by Resource"
parameters

start,end
2013-08-01,2014-01-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Ended","[NICS KRAKEN] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[GATECH KEENELAND] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[TACC LONGHORN] Number of Jobs Ended","[GATECH KIDS] Number of Jobs Ended","[PURDUE CONDOR] Number of Jobs Ended","[PURDUE STEELE] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended"
2013-08-01,17698,1590,1880,255,1306,147,172,20,0,84,2133,61
2013-08-02,14597,1920,1889,392,659,187,478,0,0,60,1265,17
2013-08-03,15813,1539,2007,313,379,165,230,19,0,60,28,9
2013-08-04,13706,1428,1102,262,377,158,107,4,0,40,30,11
2013-08-05,8073,1981,1255,308,674,689,286,3,0,253,98,19
2013-08-06,1293,2110,2272,454,957,248,212,16,0,127,4,13
2013-08-07,4353,2750,1824,558,2986,158,164,133,0,185,4,12
2013-08-08,3254,369,1344,460,1141,92,365,360,0,140,15,23
2013-08-09,3821,1636,1839,516,1015,77,439,69,0,963,6,23
2013-08-10,2775,2739,2045,356,231,56,374,171,0,445,1,18
2013-08-11,3523,3146,1547,276,275,62,352,242,0,160,16,1
2013-08-12,4928,2140,2118,466,1122,437,189,451,1,75,3,35
2013-08-13,1106,1980,936,95,1582,263,220,35,515,55,1,20
2013-08-14,11786,1586,519,349,948,196,129,261,144,382,4,20
2013-08-15,14318,2396,816,538,1259,67,174,125,12,0,0,11
2013-08-16,11830,2953,1388,642,1622,110,192,126,16,22,0,19
2013-08-17,18008,2476,1206,471,2203,238,25,134,10,0,1,4
2013-08-18,22831,2833,2144,558,1156,335,108,311,0,38,0,7
2013-08-19,18330,3880,112,642,1381,276,715,256,12,319,49,33
2013-08-20,19534,5321,1,662,1259,163,446,16,26,72,0,24
2013-08-21,13214,7948,157,845,1085,158,558,249,34,332,1,28
2013-08-22,2603,2062,981,887,1659,282,515,12,21,220,3,33
2013-08-23,8243,4541,1812,545,842,156,229,185,18,538,0,42
2013-08-24,9273,2871,1277,465,453,55,455,273,1,121,0,14
2013-08-25,9466,2195,1571,413,535,90,384,299,0,40,0,35
2013-08-26,8943,2576,586,524,728,254,13,42,8,336,0,24
2013-08-27,5804,3556,1401,558,740,247,110,198,5,50,0,22
2013-08-28,4432,3088,3170,403,884,371,134,135,8,73,0,60
2013-08-29,3211,2238,2520,445,671,352,243,29,1,0,0,91
2013-08-30,3125,3491,1794,522,977,367,136,182,1,48,0,125
2013-08-31,2949,1019,1097,737,437,65,13,29,0,0,0,108
2013-09-01,3342,1220,1534,358,326,213,8,101,0,9,0,179
2013-09-02,3840,2522,1805,453,420,81,72,16,0,33,0,144
2013-09-03,5040,2842,1572,654,2238,68,134,15,6,24,0,125
2013-09-04,4338,1710,992,953,850,132,173,21,21,1,0,28
2013-09-05,3727,2263,276,5220,100,408,203,14,0,11,0,89
2013-09-06,3261,2628,825,2739,1330,131,394,2,0,47,0,131
2013-09-07,2245,2316,1145,1297,645,98,156,11,0,14,0,170
2013-09-08,3744,2483,997,1248,574,113,166,11,0,0,0,15
2013-09-09,4379,2800,2021,2331,718,106,139,2,0,32,0,20
2013-09-10,846,2172,1304,1722,873,45,115,20,23,4,0,6
2013-09-11,1842,1948,1442,1783,1249,188,134,77,14,1,0,16
2013-09-12,3097,2636,971,2420,1312,232,114,161,6,111,0,62
2013-09-13,3257,2603,1233,2414,1204,185,137,152,10,12,0,38
2013-09-14,3607,3664,844,954,1180,134,133,405,0,4,0,30
2013-09-15,3630,3444,870,7233,2394,68,59,281,0,1,0,12
2013-09-16,5425,6176,1122,604,1080,119,92,56,12,7,0,10
2013-09-17,4080,3091,1021,403,1493,303,109,21,6,5,0,14
2013-09-18,4482,1943,836,422,1689,115,119,22,16,0,0,24
2013-09-19,5025,2031,861,513,1047,177,163,17,16,0,0,2
2013-09-20,3883,1958,512,671,964,175,144,24,2,89,0,19
2013-09-21,4837,2529,403,877,1436,217,131,14,9,12,0,4
2013-09-22,3284,1867,584,593,2221,79,91,15,5,2,0,2
2013-09-23,4892,2979,1009,735,2447,255,173,9,11,0,0,8
2013-09-24,4558,1210,473,387,920,66,92,19,3,10,0,6
2013-09-25,3827,615,779,591,873,180,103,37,4,0,0,24
2013-09-26,4925,1074,808,477,1157,222,80,27,2,0,0,21
