title
"Number of Jobs Ended: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[OSG] Number of Jobs Ended","[TACC STAMPEDE] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[NICS DARTER] Number of Jobs Ended","[GATECH KEENELAND] Number of Jobs Ended","[TACC MAVERICK2] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[CCT LSU SUPERMIC] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended","[GATECH KIDS] Number of Jobs Ended"
2014-08-01,0,5666,1791,907,2060,136,2078,11,97,0,18,47
2014-08-02,0,7329,566,930,2207,857,2202,0,79,0,18,410
2014-08-03,0,5549,551,555,2017,517,194,10,172,0,17,23
2014-08-04,0,6095,865,1974,2594,242,1485,656,183,0,29,5
2014-08-05,0,2620,1442,2725,896,27,240,150,327,0,1,18
2014-08-06,0,3738,1578,3099,480,269,2261,38,184,0,9,1
2014-08-07,0,3434,1922,1098,1795,364,1169,51,211,0,25,12
2014-08-08,0,5323,1223,1268,1746,137,99,83,152,0,8,75
2014-08-09,0,8904,772,718,1811,231,49,18,71,0,4,9
2014-08-10,0,7579,561,401,1575,690,831,706,78,0,12,11
2014-08-11,0,7038,777,981,1696,372,1488,916,103,0,27,2
2014-08-12,0,10681,875,591,1201,209,1227,287,184,0,19,30
2014-08-13,0,7316,1223,673,242,529,141,552,352,0,7,121
2014-08-14,0,5796,1126,629,83,338,114,861,112,0,9,23
2014-08-15,0,4599,1632,619,191,268,158,284,277,0,3,85
2014-08-16,0,5696,1261,464,37,242,61,807,101,0,6,3
2014-08-17,0,6019,882,621,65,174,57,247,68,0,8,2
2014-08-18,0,6183,810,605,1061,209,221,117,243,0,11,2
2014-08-19,0,5600,855,773,1591,216,187,103,408,0,11,19
2014-08-20,0,4163,1372,944,1526,314,116,74,459,0,14,0
2014-08-21,0,4059,744,655,2099,250,132,54,245,0,9,12
2014-08-22,0,3124,948,737,1959,223,252,70,232,0,15,0
2014-08-23,0,7247,927,398,1946,220,216,76,205,0,5,7
2014-08-24,0,6619,669,310,1546,178,306,50,177,0,5,4
2014-08-25,0,5986,882,498,1080,225,138,100,193,0,5,4
2014-08-26,0,7379,1319,667,58,677,94,106,141,0,5,4
2014-08-27,0,7018,1092,740,1081,171,106,148,210,0,3,1
2014-08-28,0,5306,1653,621,1035,197,1406,108,167,0,4,2
2014-08-29,0,4015,1166,461,995,388,2985,92,125,0,13,0
2014-08-30,0,5475,736,744,1714,211,4134,60,156,0,24,0
2014-08-31,0,7180,617,284,101,14,2213,64,141,0,32,0
2014-09-01,0,6898,972,508,1260,28,94,95,149,0,6,0
2014-09-02,0,4157,935,725,1875,22,69,90,117,0,5,0
2014-09-03,0,6573,1173,849,41,12,112,121,148,0,5,0
2014-09-04,0,6055,912,826,1307,364,100,121,198,0,9,0
2014-09-05,0,5461,695,612,643,251,97,136,193,0,4,0
2014-09-06,0,4095,632,464,45,101,96,61,165,0,6,0
2014-09-07,0,5665,749,644,74,13,79,100,71,0,4,0
2014-09-08,0,3878,649,802,1143,24,84,77,240,0,3,0
2014-09-09,0,1295,556,708,1229,33,1042,130,309,0,5,0
2014-09-10,0,4596,635,723,1021,29,1228,160,246,0,6,0
2014-09-11,0,4889,480,835,1463,63,849,162,326,0,4,0
2014-09-12,0,5732,407,957,564,669,465,78,397,0,6,0
2014-09-13,0,4570,405,724,54,82,206,93,346,0,5,0
2014-09-14,0,3151,533,406,90,22,70,75,354,0,5,0
2014-09-15,0,4584,842,331,961,44,462,149,387,0,4,0
2014-09-16,0,3195,543,638,1483,240,528,118,780,0,6,0
2014-09-17,0,3131,699,1918,620,282,5,90,1026,0,4,0
2014-09-18,0,3901,738,597,861,357,60,101,562,0,5,0
2014-09-19,0,4919,602,803,1327,261,127,223,348,0,9,0
2014-09-20,0,4245,728,343,126,163,75,121,95,0,7,0
2014-09-21,0,4909,523,646,63,157,20,118,119,0,4,0
2014-09-22,0,5055,825,783,466,189,46,147,523,0,5,0
2014-09-23,0,4913,710,683,1148,128,23,122,247,0,3,0
2014-09-24,0,2958,713,520,255,231,11,117,258,0,1,0
2014-09-25,0,4261,624,743,582,160,142,117,333,0,4,0
2014-09-26,0,4187,745,811,639,102,20,108,145,0,4,0
2014-09-27,0,4340,497,343,681,53,21,47,39,0,3,0
2014-09-28,0,4477,579,666,1269,52,29,342,133,0,4,0
2014-09-29,0,7496,672,777,767,133,182,126,544,0,5,0
2014-09-30,0,2987,709,1314,789,115,100,70,224,0,4,0
2014-10-01,0,14614,761,1101,107,223,69,52,164,0,5,0
2014-10-02,0,4206,2062,1602,106,121,281,53,252,0,6,0
2014-10-03,0,3545,1826,1175,223,210,83,36,300,17,11,0
2014-10-04,0,2773,1521,1027,246,102,114,84,325,0,21,0
2014-10-05,0,3247,908,603,103,102,140,51,17,0,29,0
2014-10-06,0,8818,824,661,444,261,279,91,20,10,12,0
2014-10-07,0,6578,808,658,655,236,169,60,27,0,35,0
2014-10-08,0,3049,1096,812,299,326,162,78,9,1,0,0
2014-10-09,0,3165,1323,471,1154,381,170,95,27,4,0,0
2014-10-10,0,4379,1107,457,327,443,82,63,55,7,0,0
2014-10-11,0,2637,1407,308,19,150,85,49,34,1,0,0
2014-10-12,0,3299,1860,350,181,334,202,43,22,0,0,0
2014-10-13,0,4833,1576,788,783,571,86,44,222,3,0,0
2014-10-14,0,8884,1637,1476,1400,322,173,103,213,4,14,0
2014-10-15,0,7088,1501,1046,1170,272,180,75,23,10,8,0
2014-10-16,0,3894,1410,2797,3232,407,178,79,24,6,43,0
2014-10-17,0,3939,1952,902,595,319,144,85,44,32,4,0
2014-10-18,0,3738,1803,607,348,333,85,43,58,0,4,0
2014-10-19,0,1843,2200,368,1204,413,36,50,19,0,6,0
2014-10-20,0,3917,1884,878,643,306,100,96,29,5,5,0
2014-10-21,0,1283,1413,656,1958,513,34,73,31,6,6,0
2014-10-22,0,3409,813,661,355,377,126,51,44,3,2,0
2014-10-23,0,2854,1067,938,2571,489,76,49,90,0,3,0
2014-10-24,0,7737,2751,783,2772,321,65,78,41,0,4,0
2014-10-25,0,4729,2536,372,1080,283,38,48,28,0,3,0
2014-10-26,0,4315,1909,350,712,343,135,76,32,0,2,0
2014-10-27,0,4199,1087,811,1202,572,166,49,126,0,5,0
2014-10-28,0,952,928,1712,1018,605,115,55,118,0,5,0
2014-10-29,0,3009,2227,738,572,1006,56,71,123,0,2,0
2014-10-30,0,3618,1877,1140,579,317,52,102,94,0,5,0
2014-10-31,0,5033,826,970,1155,348,61,53,72,5,2,0
2014-11-01,0,3405,481,276,109,883,34,40,24,3,1,0
2014-11-02,0,3500,602,1760,1676,381,23,28,20,4,1,0
2014-11-03,0,3873,1102,811,813,1036,25,105,48,5,5,0
2014-11-04,0,4467,785,2574,345,478,34,152,60,6,5,0
2014-11-05,0,5668,1374,1439,382,657,38,148,54,7,1,0
2014-11-06,0,3311,969,891,1744,1803,24,130,44,14,0,0
2014-11-07,0,3612,902,660,490,432,36,433,152,10,6,0
2014-11-08,0,5317,746,388,242,803,31,440,33,2,3,0
2014-11-09,0,4879,907,424,296,449,19,48,10,6,3,0
2014-11-10,0,3551,1358,636,325,1460,24,821,51,3,4,0
2014-11-11,0,2808,1441,648,494,1079,18,739,48,5,2,0
2014-11-12,0,3254,1846,813,511,1869,13,207,37,14,8,0
2014-11-13,0,4142,1267,1666,568,2425,26,347,63,3,42,0
2014-11-14,0,3328,1181,550,289,1268,61,205,81,14,26,0
2014-11-15,0,2392,886,344,97,1707,5,111,38,4,6,0
2014-11-16,0,4768,1478,312,121,510,46,255,86,6,9,0
2014-11-17,0,3571,1888,913,253,465,76,513,217,4,6,0
2014-11-18,0,3728,1548,926,348,339,49,352,148,6,7,0
2014-11-19,0,3311,1830,1253,104,374,86,71,176,5,12,0
2014-11-20,0,3485,1115,1678,164,302,62,64,167,11,6,0
2014-11-21,0,3405,1146,1513,201,439,77,117,56,7,2,0
2014-11-22,0,2874,935,1101,41,636,126,79,26,6,1,0
2014-11-23,0,3056,1157,541,21,380,317,57,36,8,1,0
2014-11-24,0,3570,729,1516,573,543,181,85,51,7,2,0
2014-11-25,0,873,863,2526,116,377,166,66,68,16,1,0
2014-11-26,0,3086,717,1019,99,427,114,53,47,11,1,0
2014-11-27,0,1990,690,740,66,204,77,74,59,5,1,0
2014-11-28,0,2283,627,892,77,433,103,56,35,6,1,0
2014-11-29,0,2470,859,564,24,604,138,27,104,5,1,0
2014-11-30,0,2329,1122,354,47,347,194,49,87,6,4,0
