title
"Number of Jobs Ended: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[OSG] Number of Jobs Ended","[SDSC COMET] Number of Jobs Ended","[TACC STAMPEDE] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[NICS DARTER] Number of Jobs Ended","[CCT LSU SUPERMIC] Number of Jobs Ended","[TACC MAVERICK2] Number of Jobs Ended","[PSC GREENFIELD] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended"
2015-08-01,3092,1474,1820,488,233,24,190,0,10,0
2015-08-02,4318,2352,2388,442,224,82,155,0,58,0
2015-08-03,5309,1887,2768,775,352,222,191,0,51,0
2015-08-04,3975,1481,2287,785,347,188,186,0,35,0
2015-08-05,5807,1476,2887,751,344,85,185,0,116,0
2015-08-06,19074,1246,2722,620,439,183,143,0,69,0
2015-08-07,3054,1350,2511,435,542,111,252,0,109,0
2015-08-08,3501,1094,2133,441,181,125,139,0,33,0
2015-08-09,1920,1799,2386,597,120,78,172,0,12,0
2015-08-10,342,2824,3472,914,244,243,188,0,80,0
2015-08-11,3607,1759,3142,1295,214,196,161,0,78,0
2015-08-12,106589,21779,3059,1185,316,419,188,0,100,0
2015-08-13,15778,7636,2599,1051,167,180,137,0,58,0
2015-08-14,1958,2204,2950,1285,283,213,146,0,47,0
2015-08-15,393,1279,2440,316,117,125,147,0,11,0
2015-08-16,565,980,170,518,308,208,8,0,0,0
2015-08-17,466,1842,3008,1511,253,210,105,0,0,0
2015-08-18,253,3160,1341,1470,200,194,46,0,0,0
2015-08-19,3029,9788,3322,2305,302,101,74,0,0,0
2015-08-20,1631,2815,3354,1786,446,121,52,0,0,0
2015-08-21,1502,2307,2810,1486,286,92,31,0,0,0
2015-08-22,1406,1183,2274,1484,225,117,40,0,0,0
2015-08-23,1786,1265,1933,713,141,98,3,0,0,0
2015-08-24,1359,2283,3238,1173,165,118,130,0,0,0
2015-08-25,2003,2498,3478,1415,252,64,23,0,0,0
2015-08-26,2255,2599,3520,1313,464,125,67,0,0,0
2015-08-27,1489,18894,3086,724,448,85,35,0,0,0
2015-08-28,647,4145,3408,642,402,79,33,0,0,1
2015-08-29,378,32287,2679,750,458,34,27,0,0,0
2015-08-30,260,7466,3675,1037,512,68,23,0,0,0
2015-08-31,1250,7219,5060,1229,227,32,61,0,0,0
2015-09-01,1566,6675,3665,1620,241,62,42,0,0,0
2015-09-02,1843,9777,3548,1554,217,40,87,0,0,0
2015-09-03,1750,6307,218,1031,152,98,0,0,0,0
2015-09-04,1097,5650,3023,764,116,66,59,0,0,0
2015-09-05,1376,7974,2896,487,64,41,23,0,0,0
2015-09-06,1593,6584,3577,1265,47,57,19,0,0,0
2015-09-07,1258,7404,2411,2490,22,100,36,0,0,0
2015-09-08,1554,2565,3479,2742,55,98,59,0,0,1
2015-09-09,764,1733,2966,1398,160,76,68,0,0,0
2015-09-10,747,1646,3823,2223,491,99,55,0,0,0
2015-09-11,788,4393,5211,1089,258,85,69,0,0,0
2015-09-12,1466,1408,2472,1047,278,38,32,0,0,0
2015-09-13,1081,13148,3794,700,304,118,65,0,0,0
2015-09-14,1110,6973,3784,2015,230,37,10,2,0,0
2015-09-15,1232,6700,2625,1344,282,94,58,15,0,0
2015-09-16,1799,7873,4165,1037,230,39,167,46,0,0
2015-09-17,1175,7730,4666,752,192,64,72,34,0,0
2015-09-18,1246,4623,3571,686,404,44,40,28,0,0
2015-09-19,883,1318,1597,1026,219,58,59,11,0,0
2015-09-20,250,1243,1639,460,101,38,16,1,0,0
2015-09-21,138,2346,3944,985,301,112,91,11,0,0
2015-09-22,581,1932,4036,1278,308,77,128,16,0,0
2015-09-23,2111,1445,3176,1642,201,213,96,19,0,0
2015-09-24,2985,1501,3514,1331,262,111,128,28,0,0
2015-09-25,1497,1748,2922,1153,228,92,96,32,0,0
2015-09-26,1476,551,1979,1100,119,45,41,1,0,0
2015-09-27,2511,717,2569,1164,164,14,12,7,0,0
2015-09-28,1559,1446,4472,3293,170,64,67,59,0,0
2015-09-29,38244,1382,1614,887,310,51,48,21,0,0
2015-09-30,41890,1212,2193,597,312,69,56,49,0,0
2015-10-01,720,2299,2699,538,551,156,121,69,0,0
2015-10-02,116,9193,3752,647,513,177,39,36,0,0
2015-10-03,20,4103,3540,477,153,185,68,18,0,0
2015-10-04,75,8786,2463,463,160,42,73,5,0,0
2015-10-05,1085,2624,3779,627,531,73,73,54,0,0
2015-10-06,1203,2561,3479,1371,274,129,76,25,0,0
2015-10-07,57144,2733,3392,1560,303,157,134,48,0,0
2015-10-08,48536,7509,2957,1412,626,229,73,26,0,0
2015-10-09,17051,3477,2602,1011,385,101,110,8,0,0
2015-10-10,31485,3140,2244,573,577,51,98,16,0,0
2015-10-11,32634,5228,1197,451,409,54,23,27,0,0
2015-10-12,178546,2482,3670,493,308,103,84,31,0,0
2015-10-13,96397,3553,3446,2052,556,210,63,29,0,0
2015-10-14,142838,5595,3624,599,526,59,81,24,0,0
2015-10-15,82495,5675,3111,933,619,192,62,25,0,0
2015-10-16,119543,2858,3539,1347,361,58,87,18,0,0
2015-10-17,60955,2572,2516,1429,199,66,32,5,0,0
2015-10-18,110680,1956,2473,2312,347,130,15,10,0,0
2015-10-19,58979,6795,2518,2672,234,92,38,25,0,0
2015-10-20,96826,7965,2869,1647,65,78,28,28,0,0
2015-10-21,131876,3404,3815,2313,301,176,88,14,0,0
2015-10-22,40647,3628,4848,2948,220,38,72,6,0,0
2015-10-23,190697,3034,3677,2550,529,101,58,24,0,0
2015-10-24,199087,3592,2156,2450,424,46,48,12,0,0
2015-10-25,133889,3374,2577,2358,286,95,24,0,0,0
2015-10-26,298658,2072,3336,1998,345,182,40,34,0,0
2015-10-27,173823,1809,3227,2469,423,187,67,7,0,0
2015-10-28,146353,3198,3996,1874,305,276,84,7,0,0
2015-10-29,152760,2085,3399,591,277,169,103,27,0,0
2015-10-30,202518,1865,3322,462,288,288,108,36,0,0
2015-10-31,197450,2327,2415,291,402,164,36,23,0,0
2015-11-01,210508,3107,2779,272,230,136,61,26,0,0
2015-11-02,175644,3588,3853,444,271,358,112,24,0,0
2015-11-03,77320,4769,1144,451,460,225,166,29,0,0
2015-11-04,80427,2690,3781,703,433,172,126,38,0,0
2015-11-05,31629,2203,4343,581,296,343,146,26,0,0
2015-11-06,39999,1684,4140,469,251,312,131,22,0,0
2015-11-07,81051,1074,2629,454,317,293,85,0,0,0
2015-11-08,60554,1493,3215,460,187,256,59,368,0,0
2015-11-09,54864,5976,3664,563,253,400,115,955,0,0
2015-11-10,32534,5758,3423,1089,248,308,66,853,0,0
2015-11-11,38411,2397,3581,978,380,141,100,540,0,0
2015-11-12,62703,2184,3177,850,431,310,124,939,0,0
2015-11-13,66601,1814,3377,982,543,111,113,612,0,0
2015-11-14,60704,2516,3281,473,507,54,33,22,0,0
2015-11-15,38174,1975,3419,586,499,113,42,5,0,0
2015-11-16,38828,1934,3775,2190,521,205,45,194,0,0
2015-11-17,29877,5384,4055,952,264,117,98,38,0,0
2015-11-18,64352,8126,3634,1339,704,142,141,36,0,0
2015-11-19,33012,2966,3987,1569,379,61,163,44,0,0
2015-11-20,37923,2967,3537,1447,222,92,54,86,0,0
2015-11-21,41772,1594,3083,911,402,27,75,24,0,0
2015-11-22,51508,1941,3481,978,322,99,36,15,0,0
2015-11-23,38742,2571,5493,843,453,121,51,108,0,0
2015-11-24,22626,1869,3898,696,486,121,49,112,0,0
2015-11-25,29867,3199,4561,587,460,59,27,31,0,0
2015-11-26,54718,2195,4120,556,250,145,32,25,0,0
2015-11-27,131287,1518,4809,430,158,29,36,16,0,0
2015-11-28,141506,1358,2856,318,308,151,32,24,0,0
2015-11-29,91678,953,3179,328,319,184,37,26,0,0
2015-11-30,80180,1806,4002,738,468,217,46,20,0,0
2015-12-01,112259,2970,4961,657,660,184,115,5,0,0
2015-12-02,104746,8326,4623,581,580,109,95,10,0,0
2015-12-03,73442,5344,4272,711,346,129,119,27,0,0
2015-12-04,115163,557,4074,899,249,97,118,24,0,0
2015-12-05,46952,320,3865,505,147,19,59,10,0,0
2015-12-06,66348,1386,4071,526,122,155,25,48,0,0
2015-12-07,57704,1780,5154,1244,434,71,58,48,0,0
2015-12-08,71987,2206,2395,746,255,280,138,93,0,0
2015-12-09,113752,3593,4413,886,308,99,86,27,0,0
2015-12-10,102093,4166,4263,966,405,251,130,84,0,0
2015-12-11,136951,2423,4811,654,193,113,158,35,0,0
2015-12-12,91889,2392,2862,1023,193,54,67,47,0,0
2015-12-13,62590,1417,3015,461,179,16,36,110,0,0
2015-12-14,67597,2123,3504,459,239,175,236,242,0,0
2015-12-15,12332,2669,3065,822,315,43,251,186,0,0
2015-12-16,16040,2503,2880,752,196,67,189,197,0,0
2015-12-17,18976,2916,2790,732,193,78,245,911,0,0
2015-12-18,25922,2006,2040,958,117,106,129,37,0,0
