title
"Number of Jobs Ended: by Resource"
parameters

start,end
2016-02-01,2016-07-31
---------
Day,"[OSG] Number of Jobs Ended","[SDSC COMET] Number of Jobs Ended","[TACC STAMPEDE] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[NICS DARTER] Number of Jobs Ended","[PSC BRIDGES] Number of Jobs Ended","[CCT LSU SUPERMIC] Number of Jobs Ended","[TACC MAVERICK2] Number of Jobs Ended","[PSC GREENFIELD] Number of Jobs Ended","[PSC BRIDGES LARGE] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[Stanford XSTREAM] Number of Jobs Ended"
2016-02-01,56104,1919,3893,619,200,0,290,176,56,0,2,0
2016-02-02,52172,2654,3461,650,160,0,261,149,50,0,62,0
2016-02-03,51538,3420,3510,775,176,0,75,137,48,0,0,0
2016-02-04,44947,7832,4524,873,0,0,88,123,36,0,6,0
2016-02-05,61354,3467,2440,854,0,0,145,132,16,0,0,0
2016-02-06,90489,2157,2939,373,0,0,105,77,13,0,0,0
2016-02-07,133086,857,2705,334,0,0,64,61,12,0,0,0
2016-02-08,130184,463,5451,173,0,0,62,125,32,0,3,0
2016-02-09,89381,363,4127,105,74,0,25,156,8,0,3,0
2016-02-10,133262,1843,3236,552,103,0,41,141,27,0,5,0
2016-02-11,182720,2376,2987,467,168,0,66,14,17,0,0,0
2016-02-12,115743,3078,3576,646,373,0,99,41,32,0,0,0
2016-02-13,172673,1255,2625,266,293,0,28,133,20,0,0,0
2016-02-14,118526,2314,4110,375,132,0,25,116,13,0,0,0
2016-02-15,123504,2662,4412,418,376,0,36,257,44,0,0,0
2016-02-16,121453,2125,3368,650,328,0,45,447,20,0,0,0
2016-02-17,61818,2265,3314,769,95,0,32,144,11,0,0,0
2016-02-18,49827,2769,2914,1051,206,0,66,252,16,0,0,0
2016-02-19,81875,3589,3758,1075,196,0,94,134,10,0,0,0
2016-02-20,43740,1659,3978,795,117,0,167,158,8,0,0,0
2016-02-21,93865,3356,4424,909,97,0,43,95,16,0,0,0
2016-02-22,129014,3183,3868,926,117,0,54,83,60,0,0,0
2016-02-23,62534,5863,2956,1002,195,0,87,173,62,0,0,0
2016-02-24,42929,7546,4342,817,102,0,87,153,27,0,0,0
2016-02-25,33056,3945,4055,774,201,0,218,44,31,0,0,0
2016-02-26,26270,2493,4503,1775,317,0,116,91,20,0,0,0
2016-02-27,31159,1540,4696,1021,66,0,83,54,5,0,0,0
2016-02-28,133138,1906,5798,447,55,0,90,66,12,0,0,0
2016-02-29,152329,3356,4541,574,125,0,77,47,35,0,0,0
2016-03-01,62232,2657,4836,859,144,0,79,90,14,0,0,0
2016-03-02,74466,2752,3839,1927,355,0,140,97,25,0,0,0
2016-03-03,94200,3859,3988,492,389,0,138,82,47,0,0,0
2016-03-04,114764,3123,5076,726,158,0,62,33,15,0,0,0
2016-03-05,15213,1934,4254,1272,211,0,86,10,16,0,0,0
