Day,[PURDUE STEELE] Number of Jobs Ended,[NCSA ABE] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[NICS ATHENA] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[TACC LONESTAR] Number of Jobs Ended,[PSC POPLE] Number of Jobs Ended,[NCSA EMBER*] Number of Jobs Ended,[NCSA COBALT] Number of Jobs Ended,[IU BIGRED*] Number of Jobs Ended,[NCAR FROST] Number of Jobs Ended,[NCSA LINCOLN] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[ORNL NSTG] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended
2010-08-01,4214,2063,65,889,1087,147,162,157,95,0,157,82,9,7,33,51,0,0,0,0,10
2010-08-02,7502,3635,89,1125,977,86,18861,155,58,0,226,83,57,32,13,30,0,0,0,0,8
2010-08-03,6226,2527,461,1195,1161,165,533,176,114,0,183,3,43,14,18,17,0,0,0,0,10
2010-08-04,4207,1821,552,232,854,170,10288,259,78,0,181,57,9,103,17,15,0,0,0,0,1
2010-08-05,2947,1590,675,542,1018,113,594,218,153,0,175,73,36,57,10,13,10,0,0,0,6
2010-08-06,3076,2166,620,934,1326,90,159,218,64,0,211,53,17,55,7,15,38,0,0,0,3
2010-08-07,1824,1395,760,496,1898,42,62,275,82,0,309,49,19,48,0,17,40,0,0,0,1
2010-08-08,604,854,1162,654,3226,75,123,244,55,0,207,175,6,16,3,13,29,0,0,0,1
2010-08-09,2017,1433,120,942,1008,60,209,194,97,0,343,140,32,55,11,13,0,0,0,0,8
2010-08-10,1483,1528,1134,965,1231,100,196,188,110,0,159,58,27,90,21,15,0,0,0,0,0
2010-08-11,2039,1940,702,218,1573,149,202,287,121,0,181,191,36,57,24,23,0,0,0,0,12
2010-08-12,3557,1398,620,37,1712,96,210,375,114,0,240,80,61,83,0,48,0,0,0,0,6
2010-08-13,3633,1488,420,374,1306,74,277,232,124,0,199,59,15,56,44,50,5,0,0,0,5
2010-08-14,4916,647,500,219,964,138,192,320,83,0,95,77,10,60,1,48,7,0,0,0,4
2010-08-15,4815,955,1622,729,2375,534,190,291,30,0,93,55,5,21,1,51,5,0,0,0,6
2010-08-16,3901,1505,880,993,1624,1185,317,343,134,0,244,87,50,17,26,50,11,0,0,0,3
2010-08-17,3500,1652,139,1070,1427,687,234,355,88,0,208,104,48,15,10,60,1,0,0,0,10
2010-08-18,2609,3114,1401,54,1501,460,233,517,86,0,206,72,20,28,17,59,31,0,0,0,3
2010-08-19,2827,1594,1665,72,1521,149,154,366,145,0,241,257,23,67,11,49,10,0,0,0,7
2010-08-20,1928,2455,1549,201,1910,126,169,334,88,0,196,199,10,71,24,50,6,0,0,0,2
2010-08-21,1814,3607,2222,555,1805,65,114,290,54,0,123,46,5,20,7,54,12,0,0,0,3
2010-08-22,1636,3107,2270,1215,1100,86,189,319,79,0,40,116,4,38,0,55,3,0,0,0,2
2010-08-23,1480,3481,1002,738,1401,91,421,356,100,0,86,329,23,20,16,50,0,0,0,0,5
2010-08-24,1958,3125,596,1751,1452,72,674,114,123,0,149,83,46,21,41,52,0,0,0,0,1
2010-08-25,546,3745,823,70,1987,129,486,199,180,0,246,94,84,77,11,54,9,0,0,0,4
2010-08-26,5622,1578,1573,4053,2454,141,419,171,93,0,231,140,50,23,16,48,20,0,0,0,7
2010-08-27,7735,2737,2651,916,2731,91,315,1953,77,0,194,72,23,21,13,50,4,0,0,0,0
2010-08-28,2649,1578,1571,486,1630,133,177,1802,48,0,151,65,13,22,3,48,0,0,0,0,2
2010-08-29,3286,2741,1794,791,2205,58,161,2282,115,0,125,54,5,22,2,47,0,0,0,0,0
2010-08-30,4114,3204,1619,1402,1540,50,153,518,72,0,127,48,11,22,10,54,1,0,0,0,2
2010-08-31,1378,3031,1427,980,1890,125,313,272,139,0,203,35,21,22,11,49,11,0,0,0,6
2010-09-01,1782,2065,3003,542,2109,206,608,253,33,0,184,155,21,19,68,56,9,0,0,0,0
2010-09-02,1552,3448,913,2400,1583,786,426,202,41,0,138,114,7,19,53,57,14,0,0,0,0
2010-09-03,2003,2581,800,1662,1688,152,435,286,77,0,178,91,22,39,10,50,0,0,0,0,2
