Day,[PURDUE STEELE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[TACC STAMPEDE] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[NCSA FORGE] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended
2012-08-01,4958,3227,2175,1843,1338,1250,628,0,305,47,19,27,185,22
2012-08-02,4866,2460,970,601,1270,816,454,0,133,38,12,61,201,14
2012-08-03,4690,2108,1318,701,1632,523,652,0,185,72,10,59,464,3
2012-08-04,5218,1873,498,517,718,335,442,0,24,49,3,17,286,5
2012-08-05,2569,1476,16372,633,861,308,445,0,27,35,9,11,103,1
2012-08-06,1464,1903,4907,641,938,312,439,0,115,66,12,36,175,9
2012-08-07,2445,2298,1180,429,1423,607,543,0,81,52,0,35,70,2
2012-08-08,1891,2515,332,347,1154,1819,837,0,94,63,3,54,96,16
2012-08-09,5597,2172,404,728,721,1745,582,0,145,61,14,53,80,21
2012-08-10,5832,2297,183,713,871,1353,618,0,234,45,16,23,77,9
2012-08-11,4222,1685,92,238,701,905,286,0,84,54,39,5,51,30
2012-08-12,2653,1181,26,249,948,451,214,0,206,36,53,16,43,19
2012-08-13,4195,2259,15,584,1536,420,260,0,142,29,56,40,65,5
2012-08-14,2947,2906,140,573,1078,1529,384,0,114,56,0,25,117,5
2012-08-15,5116,4789,2120,640,1369,2939,325,0,52,62,0,64,101,3
2012-08-16,6230,3316,155,970,1455,5725,348,0,71,74,3,51,88,6
2012-08-17,2863,2243,189,1143,1105,5681,288,0,52,74,63,79,139,8
2012-08-18,4944,1675,47,958,1094,4065,285,0,46,47,22,13,126,0
2012-08-19,2743,2341,100,516,1044,6795,270,0,100,55,16,186,81,29
2012-08-20,1546,2817,7794,587,1438,6441,282,0,139,53,49,184,156,61
2012-08-21,748,2299,12369,602,1568,3302,347,0,177,71,10,25,278,22
2012-08-22,2174,2108,6137,479,1449,2478,335,0,152,62,7,50,87,6
2012-08-23,1387,2326,5440,723,1833,747,330,0,212,50,44,34,36,1
2012-08-24,2611,1940,2063,528,2071,728,320,0,149,38,9,11,42,2
2012-08-25,957,1211,34,1888,2089,1613,196,0,357,54,8,18,27,2
2012-08-26,1152,2864,33,454,3405,1787,209,0,195,35,4,2,65,4
2012-08-27,1263,2855,6389,598,2458,4546,316,0,233,40,19,40,99,11
2012-08-28,4379,2024,3405,694,3059,2443,277,0,223,48,0,28,108,2
2012-08-29,6685,2701,2789,1054,1939,1973,378,0,226,44,8,64,33,2
2012-08-30,7812,2587,3807,600,1238,1350,353,0,162,34,8,37,63,0
2012-08-31,5606,2577,7051,1391,1783,2733,423,0,158,43,6,9,53,4
2012-09-01,9587,2897,3573,1443,2063,1098,214,0,152,52,7,5,215,1
2012-09-02,4578,3121,1697,749,1276,531,150,0,169,33,3,13,245,1
2012-09-03,8553,5958,28,642,684,1389,385,0,156,24,2,5,87,2
2012-09-04,8763,3416,224,800,993,751,374,0,237,47,3,32,223,12
2012-09-05,10481,3553,1066,1505,965,705,315,0,77,59,8,20,136,2
2012-09-06,8591,2615,1494,2919,1753,2626,450,0,120,71,7,19,163,8
2012-09-07,1561,3386,3868,4167,1159,2469,456,0,168,74,9,38,63,0
2012-09-08,2734,1970,5607,482,1239,352,235,0,94,43,34,15,48,0
