Day,[TACC STAMPEDE] Number of Jobs Ended,[PURDUE STEELE] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[GATECH KIDS] Number of Jobs Ended
2013-02-01,6093,5389,2156,3371,459,886,493,126,73,14,30,939,0
2013-02-02,7408,4544,7960,2074,348,2655,302,81,73,4,26,883,0
2013-02-03,8787,2275,40,2103,315,419,419,60,43,8,39,724,0
2013-02-04,10363,6371,10394,2537,750,1602,544,167,101,25,22,416,0
2013-02-05,8708,4119,14167,2617,1045,888,506,135,73,23,34,88,0
2013-02-06,9115,5297,10494,3074,1058,1146,459,162,55,30,43,83,0
2013-02-07,9695,6793,7780,2761,656,1187,563,106,95,47,47,126,0
2013-02-08,9743,6893,736,2086,574,1144,517,148,80,36,58,7,0
2013-02-09,6249,7072,20,2685,415,1334,321,93,28,19,9,1,0
2013-02-10,5239,10927,24,2405,258,451,320,150,2,35,25,1,0
2013-02-11,4409,7430,574,3088,397,684,580,164,56,41,40,1,0
2013-02-12,669,10351,30,1600,333,1632,586,177,73,36,24,0,0
2013-02-13,2837,12133,1090,2674,1058,1573,374,152,51,68,44,0,0
2013-02-14,4914,6934,38382,629,1351,1288,510,121,85,38,74,0,0
2013-02-15,10184,6246,77,1345,438,1240,446,187,80,23,93,0,0
2013-02-16,8994,20504,32,1447,353,1084,371,20,50,19,25,0,0
2013-02-17,14605,21533,73,1553,551,689,274,132,43,37,30,0,0
2013-02-18,12635,13168,501,1518,555,737,332,194,47,27,33,0,0
2013-02-19,13903,2530,293,1517,559,1149,653,246,47,26,74,0,0
2013-02-20,6071,6176,470,2113,862,685,637,322,46,38,53,0,0
2013-02-21,11831,9134,12098,131,611,1300,405,326,44,34,64,0,0
2013-02-22,4617,7272,18575,1201,633,909,362,256,67,40,43,0,0
2013-02-23,3684,4615,5500,1551,329,1057,307,158,37,30,37,0,0
2013-02-24,7929,9202,20,1072,489,848,453,265,33,18,24,0,0
2013-02-25,6379,7252,6145,1937,447,699,585,279,63,11,11,0,0
2013-02-26,828,10736,14010,2165,1172,500,121,295,33,10,101,0,0
2013-02-27,2853,10268,154,2134,455,938,399,537,59,23,64,0,0
2013-02-28,3548,16091,32,3022,636,1160,477,766,57,18,72,0,0
2013-03-01,1774,10929,183,2457,785,1273,404,361,69,14,38,0,0
2013-03-02,1390,3788,25,1474,553,934,404,276,41,15,51,0,0
2013-03-03,2066,10781,28,1420,562,896,254,12,33,14,31,0,0
2013-03-04,3630,8501,24,2927,829,762,553,191,60,18,57,0,0
2013-03-05,2715,5238,24,4046,767,627,603,417,63,16,39,0,0
2013-03-06,3101,8709,29,3555,1061,489,653,456,87,8,23,0,0
2013-03-07,5703,5876,40,4020,881,651,792,538,56,24,37,0,0
2013-03-08,6567,3328,1011,2140,1118,795,627,182,65,15,48,0,0
2013-03-09,8361,2140,26,1283,551,512,777,80,74,15,11,0,0
2013-03-10,7653,4968,25,703,102,31,981,116,5,27,3,0,0
2013-03-11,6363,9271,739,760,710,982,902,152,40,34,25,0,0
2013-03-12,4670,4289,2609,2363,748,605,1292,78,69,48,47,0,0
2013-03-13,3439,7472,212,2007,359,1094,785,105,83,44,31,0,0
2013-03-14,2533,6587,1008,565,581,1803,651,232,66,36,38,0,0
2013-03-15,2359,5390,1023,1935,423,1694,493,145,23,25,21,0,0
2013-03-16,1596,7991,60,1142,941,820,307,118,25,21,30,0,0
2013-03-17,1950,9178,10800,952,668,2681,305,137,65,23,81,0,0
2013-03-18,1696,6154,10021,1384,418,3243,486,160,39,25,49,0,0
2013-03-19,891,7157,690,2945,1275,1175,531,182,2,17,0,0,0
2013-03-20,3004,10433,2780,1104,358,1388,763,198,0,15,0,0,0
2013-03-21,2455,7709,6302,1592,655,1127,570,235,0,18,0,0,0
2013-03-22,4059,7864,925,1444,835,3415,355,146,0,20,0,0,0
2013-03-23,2868,6216,429,881,1010,2530,375,148,59,63,25,0,0
2013-03-24,2504,7704,4433,1036,1550,2074,391,140,58,68,39,0,0
2013-03-25,6736,7371,41,1830,906,1961,985,185,25,58,31,0,0
2013-03-26,2633,8005,1499,1612,996,1152,391,271,24,33,42,0,0
2013-03-27,2578,6902,670,994,560,1094,466,166,98,64,20,0,0
2013-03-28,3402,6832,1670,1091,810,611,454,174,123,30,15,0,0
2013-03-29,2345,5993,5320,1630,1308,563,1471,153,48,29,34,0,0
2013-03-30,1740,7340,5566,1833,1545,1382,737,108,308,14,39,0,0
2013-03-31,6118,7681,192,1703,426,482,507,91,146,27,18,0,0
2013-04-01,5502,7132,1080,1786,1069,825,439,124,182,25,3,0,0
2013-04-02,1670,4741,9481,2064,1108,972,650,456,90,54,24,0,0
2013-04-03,5641,5261,6416,2365,1046,1062,682,391,151,25,23,0,0
2013-04-04,6098,8499,3325,2537,1610,664,814,216,158,33,32,0,0
2013-04-05,11247,5783,36,1616,2066,1718,920,154,137,64,9,0,0
2013-04-06,4325,8819,6371,1566,1732,566,403,135,111,37,23,0,0
2013-04-07,4218,4670,23,1634,945,653,462,68,115,48,17,0,0
2013-04-08,4874,4704,3207,2362,1093,855,962,109,124,28,66,0,0
2013-04-09,4339,3336,10129,1878,1274,1135,336,95,38,52,52,0,0
2013-04-10,5375,9210,7324,2447,1282,939,775,250,60,72,50,0,0
2013-04-11,7757,6857,4782,2348,1006,2299,1104,274,80,55,50,0,0
2013-04-12,5926,5658,6591,2615,2532,2720,1247,95,50,47,31,0,0
2013-04-13,4375,4644,10526,2465,1234,2474,426,139,138,29,12,0,0
2013-04-14,2965,4509,7813,2685,651,4325,755,246,167,12,15,0,0
2013-04-15,3746,4400,7256,2752,1526,640,799,293,168,12,50,0,0
2013-04-16,1392,4922,949,2725,2006,758,649,440,88,19,60,0,0
2013-04-17,5268,5221,7218,3055,1141,2523,748,464,153,30,57,0,0
2013-04-18,5626,6484,9845,2100,1383,1579,977,487,34,28,104,0,0
2013-04-19,4621,4639,9609,2390,860,779,1082,199,90,1,69,0,0
2013-04-20,4055,5404,9257,2080,1008,1608,1338,178,57,22,18,0,0
2013-04-21,4186,8696,261,1745,761,511,1139,73,40,26,33,0,0
2013-04-22,4705,4083,3448,2777,1091,1310,966,220,162,23,26,0,0
2013-04-23,2978,4708,2100,3608,616,1187,1120,389,39,20,46,0,0
2013-04-24,2726,2712,9583,4106,785,1058,731,352,182,19,39,0,0
2013-04-25,2680,4692,10139,3573,842,1091,858,357,269,12,54,0,0
2013-04-26,2581,4459,6452,2594,1196,831,843,842,122,12,43,0,0
2013-04-27,7171,4563,6491,1317,493,1532,804,483,596,44,33,0,0
2013-04-28,5793,3693,138,2968,323,1730,889,423,136,77,10,0,0
2013-04-29,4267,3666,197,4160,376,1139,925,401,179,113,16,0,0
2013-04-30,966,4799,95,4337,242,723,1000,447,192,58,8,0,0
2013-05-01,2359,3031,4742,3739,620,595,859,276,321,136,28,0,0
2013-05-02,10028,3626,45,8556,818,515,813,5,113,105,25,0,0
2013-05-03,8917,2657,445,3170,1376,609,868,159,149,69,47,0,0
2013-05-04,4504,4045,9787,2990,1107,729,501,176,114,79,13,0,0
2013-05-05,6321,2601,143,3010,756,570,414,148,130,84,22,0,0
2013-05-06,5829,2809,7077,12909,1275,454,546,187,137,68,58,0,0
2013-05-07,1507,1722,2963,10432,1049,1227,444,117,143,60,46,0,0
2013-05-08,5229,1135,1516,3308,468,826,966,177,125,81,74,0,0
2013-05-09,5839,2488,1173,2390,1249,1147,871,181,151,68,41,0,0
2013-05-10,956,3917,7549,1917,2088,733,1180,68,162,63,46,0,0
2013-05-11,6098,4313,1536,2606,1190,769,821,133,85,81,21,0,0
2013-05-12,5737,5506,3246,3376,2061,298,449,146,123,120,35,0,0
2013-05-13,6679,3814,238,1880,3001,785,464,151,70,62,92,0,0
2013-05-14,1447,1613,216,3362,2652,764,552,169,77,65,100,0,0
2013-05-15,6008,2861,115,8116,2022,1477,824,187,190,61,56,0,0
2013-05-16,6256,2485,302,5943,1532,2995,901,164,119,63,55,0,0
2013-05-17,5054,3135,191,2824,962,835,637,85,98,24,23,0,0
2013-05-18,2075,2063,382,3128,725,289,539,60,126,4,22,0,0
2013-05-19,5402,3009,986,4267,684,242,590,30,187,2,28,0,0
2013-05-20,6700,1788,195,4193,1707,854,748,202,137,0,23,0,0
2013-05-21,4360,1625,71,6741,1806,545,612,145,109,2,93,0,0
2013-05-22,5937,3720,64,5104,2149,836,637,116,45,2,67,0,0
2013-05-23,9786,19477,94,4311,4869,573,580,26,167,3,29,0,0
2013-05-24,6905,2092,60,3617,3067,576,672,165,207,6,15,0,0
2013-05-25,2169,225,32,2189,2089,380,456,83,123,2,8,0,0
2013-05-26,2390,1045,146,3089,1821,571,935,98,109,0,16,0,0
2013-05-27,4669,575,210,4232,1221,544,519,103,79,0,19,0,0
2013-05-28,6658,863,74,2936,1906,764,473,93,2,19,71,0,0
2013-05-29,8285,3337,4126,5430,2614,761,741,111,60,7,55,0,0
2013-05-30,6559,3401,4020,4950,2596,1331,779,224,160,4,44,0,0
2013-05-31,2983,4419,47,3352,2328,1063,497,211,102,6,65,0,0
