Day,[TACC STAMPEDE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[NICS DARTER] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[TACC MAVERICK2] Number of Jobs Ended,[GATECH KIDS] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended
2014-02-01,10227,2216,680,485,0,236,107,641,0,7,3,0
2014-02-02,10670,3743,2392,597,0,246,110,702,0,22,19,0
2014-02-03,5108,4197,2685,871,0,538,156,646,0,97,10,0
2014-02-04,4198,4093,1355,1182,0,336,152,222,0,30,40,0
2014-02-05,6610,3198,1201,1924,0,350,209,420,0,61,26,0
2014-02-06,6583,3144,836,2199,0,551,216,807,0,29,26,0
2014-02-07,4724,2070,1034,2698,0,466,222,460,0,63,30,0
2014-02-08,9271,1631,595,630,0,309,168,221,0,114,19,0
2014-02-09,12522,1740,551,777,0,358,174,320,0,70,1,0
2014-02-10,6658,1852,884,646,0,573,209,33,0,207,57,0
2014-02-11,4516,2482,1001,1531,0,643,150,7,0,0,64,0
2014-02-12,5167,3049,1796,908,0,484,164,514,0,273,59,5
2014-02-13,6658,3015,1901,749,0,367,239,541,0,476,37,28
2014-02-14,3737,2403,960,772,0,418,56,301,0,438,22,6
2014-02-15,17687,2095,809,893,0,287,162,59,0,36,32,3
2014-02-16,8004,1708,1091,2446,0,266,181,149,0,26,38,7
2014-02-17,3639,1910,1259,938,0,349,232,90,0,19,26,16
2014-02-18,4466,2185,1467,832,0,156,249,125,0,17,81,14
2014-02-19,4777,1881,1705,680,0,494,256,232,0,16,102,9
2014-02-20,3823,3142,1739,672,0,767,314,281,0,9,21,8
2014-02-21,4872,2583,1321,662,0,787,0,319,0,2,31,32
2014-02-22,4995,3101,650,551,0,630,59,119,0,12,15,7
2014-02-23,5318,3248,2301,975,0,344,192,138,0,4,13,11
2014-02-24,5399,3174,4421,957,0,672,243,304,0,7,24,12
2014-02-25,1241,4371,1437,843,0,697,508,227,0,22,11,4
2014-02-26,4037,5851,1851,724,0,814,729,544,0,17,12,0
2014-02-27,5751,7077,1437,402,0,661,435,315,0,27,23,0
2014-02-28,5240,4675,1042,369,0,643,310,479,0,46,36,0
2014-03-01,4876,4311,969,402,0,345,1069,110,0,26,19,0
2014-03-02,5607,7988,1870,426,0,12,1066,514,0,9,28,0
2014-03-03,4588,5137,1545,1437,0,0,723,127,0,5,11,12
2014-03-04,4784,6993,1376,1076,0,64,992,266,0,16,13,21
2014-03-05,4044,8860,711,635,0,323,1377,329,0,5,19,0
2014-03-06,4176,3159,676,665,0,409,1100,227,0,7,17,0
2014-03-07,7532,10614,1134,688,0,463,777,196,0,18,45,0
2014-03-08,5696,5111,374,946,0,297,213,56,0,8,4,0
2014-03-09,3098,2376,29,172,0,83,84,17,0,3,15,0
2014-03-10,7105,7348,0,0,0,543,156,53,0,29,25,0
2014-03-11,7315,6669,236,66,0,527,233,196,0,3,7,0
2014-03-12,6435,8478,880,220,0,578,165,286,0,14,8,0
2014-03-13,4174,4007,1438,474,0,604,131,235,0,19,12,0
2014-03-14,5165,7600,1529,562,0,397,76,289,0,16,9,0
2014-03-15,3750,8809,591,470,0,541,111,222,0,9,5,0
2014-03-16,3878,4256,811,468,0,645,76,222,0,6,8,0
2014-03-17,5178,4850,765,676,0,395,350,916,0,8,2,0
2014-03-18,10592,6457,1426,471,0,677,264,200,0,9,0,6
2014-03-19,5230,2809,1591,643,0,1070,173,529,0,7,0,0
2014-03-20,4391,2339,1540,826,0,611,141,410,0,6,0,0
2014-03-21,4148,2189,1520,679,0,405,62,116,0,9,0,0
2014-03-22,187,3731,1696,654,0,7,33,175,0,12,0,0
2014-03-23,3800,5243,968,579,0,146,91,171,0,18,0,0
2014-03-24,5513,5203,1646,1476,0,446,96,540,0,11,0,0
2014-03-25,2936,5726,1609,1209,0,914,279,149,0,17,0,0
2014-03-26,3303,6606,3926,826,0,1125,144,269,0,25,0,0
2014-03-27,3497,5728,2686,653,0,900,174,237,0,32,0,0
2014-03-28,4194,8919,1364,848,0,588,162,238,0,20,0,4
2014-03-29,2995,6803,2864,2479,0,356,56,255,0,18,0,0
2014-03-30,2859,3792,654,800,0,301,1848,152,0,20,0,0
2014-03-31,3969,3131,1066,1967,0,1372,1596,417,0,23,0,0
2014-04-01,4218,3571,1924,2691,0,437,206,15,0,10,0,0
2014-04-02,4254,8083,1668,1448,0,475,141,339,0,5,0,0
2014-04-03,3348,8059,1879,2008,0,572,147,273,0,23,0,0
2014-04-04,3918,10434,1412,1304,0,521,94,328,0,6,0,0
2014-04-05,4011,5792,97,232,0,753,114,132,0,11,0,0
2014-04-06,2395,5191,1074,321,0,422,57,91,0,5,0,0
2014-04-07,2843,8917,2428,911,0,276,201,214,0,12,0,0
2014-04-08,4883,6188,2108,1573,0,517,475,291,0,8,0,0
2014-04-09,4065,4767,1246,1969,0,1031,191,198,0,32,0,0
2014-04-10,3752,8358,679,2211,0,408,189,493,0,13,0,0
2014-04-11,4471,6821,929,2416,0,1436,97,280,0,14,0,0
2014-04-12,3499,7444,909,2529,0,1192,9,241,0,8,0,0
2014-04-13,4174,8120,551,1879,0,663,59,422,0,20,0,0
2014-04-14,5167,9476,992,1178,0,634,140,400,0,22,0,0
2014-04-15,141,10729,682,1018,1,11,56,348,0,32,0,0
2014-04-16,2920,9212,521,865,0,222,202,723,0,60,0,1
2014-04-17,2860,6939,693,605,24,482,242,412,0,14,0,0
2014-04-18,3267,11460,493,473,7,364,40,211,0,2,0,1
2014-04-19,3133,7775,276,479,0,695,67,247,0,8,0,0
2014-04-20,5566,10131,342,507,0,437,139,119,0,8,0,0
2014-04-21,3308,6887,689,842,61,751,119,162,0,126,0,7
2014-04-22,3256,8629,827,1103,1292,162,72,371,0,45,0,0
2014-04-23,3068,7529,872,881,1521,773,143,398,0,52,0,11
2014-04-24,3494,10702,1102,873,1579,546,104,298,0,32,0,0
2014-04-25,3864,8572,640,1703,1570,618,117,355,0,36,0,0
2014-04-26,2512,9005,321,398,1795,721,212,149,0,23,0,0
2014-04-27,3867,8230,312,700,1903,558,142,158,0,394,0,0
2014-04-28,2596,6646,1266,987,914,285,142,256,0,53,0,0
2014-04-29,4016,8940,992,1979,1640,352,194,255,0,151,0,0
2014-04-30,3604,1862,1546,1319,1450,296,126,216,0,51,0,0
2014-05-01,3306,0,3244,1933,2189,287,67,141,0,35,0,0
2014-05-02,3998,0,3700,893,690,291,99,201,0,9,0,0
2014-05-03,4520,0,815,603,0,166,106,188,0,7,0,0
2014-05-04,6546,0,293,65,0,177,45,154,0,6,0,0
2014-05-05,5627,0,1091,600,898,269,103,225,0,21,0,0
2014-05-06,6401,0,745,779,1066,236,125,58,0,23,0,0
2014-05-07,7175,0,2713,824,1663,216,166,137,0,21,0,0
2014-05-08,7141,0,4295,856,2138,265,81,199,0,8,0,0
2014-05-09,3377,0,841,775,473,151,79,137,0,7,0,0
2014-05-10,4528,0,508,477,8,240,269,142,0,16,0,0
2014-05-11,5731,0,781,488,60,162,209,140,0,40,0,0
2014-05-12,8988,0,1257,999,1294,163,89,222,0,29,0,0
2014-05-13,3050,0,899,3326,2099,288,75,13,0,0,0,0
