Day,[OSG] Number of Jobs Ended,[TACC STAMPEDE] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[SDSC COMET] Number of Jobs Ended,[NICS DARTER] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[TACC MAVERICK2] Number of Jobs Ended,[CCT LSU SUPERMIC] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended
2015-02-01,181314,4173,1792,0,50,1550,63,17,77,3,0
2015-02-02,163430,4095,1923,0,66,1685,158,48,96,2,0
2015-02-03,88521,5057,1040,0,181,933,93,48,87,1,2
2015-02-04,39683,4323,1001,0,86,1085,50,69,358,5,11
2015-02-05,62951,4254,1235,0,86,1230,60,78,197,8,3
2015-02-06,65742,3392,1128,0,154,650,63,63,91,5,1
2015-02-07,51404,2812,1417,0,19,415,9,60,101,12,0
2015-02-08,66955,3907,921,0,47,335,37,43,78,11,1
2015-02-09,156551,5008,1748,0,296,846,89,51,119,19,9
2015-02-10,75238,1139,2812,0,383,2683,96,100,111,13,5
2015-02-11,174675,2246,1520,0,404,2438,72,102,201,6,1
2015-02-12,57056,2873,1559,0,156,2055,130,65,110,16,4
2015-02-13,86609,2868,1267,0,192,1452,156,105,168,36,0
2015-02-14,89615,1698,717,0,13,1322,78,53,203,17,1
2015-02-15,130335,2029,1175,0,16,1102,23,67,214,14,0
2015-02-16,135048,2847,1583,0,68,2976,91,97,207,16,1
2015-02-17,143170,2857,1468,0,61,1821,112,81,79,13,0
2015-02-18,106404,3005,2122,0,29,2154,28,56,146,8,0
2015-02-19,56353,2818,2109,0,52,2846,361,126,251,12,1
2015-02-20,63137,2890,1265,0,46,2692,363,151,72,25,0
2015-02-21,96820,2637,876,0,60,264,339,70,91,34,0
2015-02-22,126490,2431,1246,0,63,2079,832,45,107,37,0
2015-02-23,59233,3239,1288,0,110,3602,636,57,148,33,0
2015-02-24,13429,4174,1386,0,148,3357,588,102,126,30,0
2015-02-25,18643,3066,1376,0,104,1245,1303,240,137,32,0
2015-02-26,46134,2925,1839,0,335,3843,870,71,85,29,2
2015-02-27,76173,2213,1691,0,104,2065,1390,110,111,29,0
