title
"Number of Jobs Running: by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PURDUE CONDOR] Number of Jobs Running","[PURDUE STEELE] Number of Jobs Running","[NCSA ABE] Number of Jobs Running","[TACC RANGER] Number of Jobs Running","[NICS KRAKEN] Number of Jobs Running","[LONI QUEENBEE] Number of Jobs Running","[NICS ATHENA] Number of Jobs Running","[TACC LONESTAR] Number of Jobs Running","[NCSA COBALT] Number of Jobs Running","[NCSA DTF] Number of Jobs Running","[IU BIGRED*] Number of Jobs Running","[PSC POPLE] Number of Jobs Running","[PSC BIGBEN] Number of Jobs Running","[NCSA LINCOLN] Number of Jobs Running","[ORNL NSTG] Number of Jobs Running","[TACC LONGHORN] Number of Jobs Running","[NCAR FROST] Number of Jobs Running","[TACC SPUR] Number of Jobs Running","[SDSC DASH] Number of Jobs Running"
2010-02-01,4686,3517,2598,813,1005,0,0,206,202,292,44,84,113,36,64,2,27,4,0
2010-02-02,4297,7167,2578,1163,1361,74,0,236,346,666,47,105,30,34,69,5,28,5,0
2010-02-03,6670,2954,1594,1435,47,294,0,298,235,807,69,94,62,144,58,0,80,14,0
2010-02-04,7366,2117,2017,1183,900,798,0,270,170,631,38,111,165,424,58,2,51,7,0
2010-02-05,5554,5678,1981,944,1153,311,0,196,195,334,54,132,153,73,60,3,19,4,0
2010-02-06,1313,518,2581,788,780,306,0,148,132,364,57,40,28,425,29,0,46,2,0
2010-02-07,1668,391,2234,672,1265,236,0,176,175,272,51,46,100,185,16,0,17,0,0
2010-02-08,1375,504,3193,812,1719,492,0,611,246,711,64,49,91,33,22,7,19,4,0
2010-02-09,769,1114,3268,773,1966,324,0,260,217,815,94,187,221,111,23,6,27,4,0
2010-02-10,777,7052,4880,768,37,513,0,292,252,689,54,109,75,44,25,7,239,3,0
2010-02-11,776,11161,3406,742,1148,341,0,188,260,502,115,148,127,645,32,21,269,3,0
2010-02-12,4209,10175,2131,615,1537,306,0,284,163,549,62,105,48,26,39,9,34,3,0
2010-02-13,493,11324,1343,616,1301,182,0,185,232,521,39,127,110,21,55,0,22,3,0
2010-02-14,476,2788,1574,618,1323,258,0,154,147,401,55,116,49,32,54,0,5,5,0
2010-02-15,507,9090,2438,697,1931,292,0,346,289,556,74,141,140,73,56,2,38,2,0
2010-02-16,613,7800,1118,614,970,266,0,360,272,814,65,133,178,142,59,13,46,2,0
2010-02-17,4628,5649,2077,719,1030,14,0,346,229,745,36,156,569,95,76,48,77,2,0
2010-02-18,5090,4991,3049,812,1563,0,0,330,316,647,43,153,784,87,63,24,343,1,0
2010-02-19,6238,8531,1204,752,1549,0,0,566,299,449,49,165,783,105,58,3,150,2,0
2010-02-20,9031,3910,1113,731,1255,0,0,255,233,553,27,139,539,90,56,0,56,0,0
2010-02-21,4953,4785,1702,639,1466,1,0,233,181,960,23,108,819,94,58,0,35,1,0
2010-02-22,3733,1374,3108,844,1841,44,0,425,172,756,34,209,594,140,70,7,82,4,0
2010-02-23,3286,1359,1575,755,1534,301,0,309,289,827,97,153,783,92,70,7,69,5,0
2010-02-24,3371,1187,1238,682,359,279,0,289,302,1219,92,148,107,489,60,6,45,3,0
2010-02-25,3086,2774,1247,759,188,282,0,542,380,1460,149,189,137,311,73,41,43,1,0
2010-02-26,1808,3818,1028,1127,1754,482,0,330,222,2053,171,138,408,37,62,27,94,0,0
2010-02-27,2123,1300,377,888,1354,653,0,291,178,1426,123,145,1046,32,59,3,25,4,0
2010-02-28,2720,3247,525,935,798,171,0,293,154,1003,133,266,539,34,56,13,62,4,0
2010-03-01,4206,3945,1062,920,1197,103,0,229,176,872,321,201,117,84,59,49,37,4,0
2010-03-02,9030,1579,1342,918,945,190,0,2718,294,420,35,431,271,70,58,54,79,5,0
2010-03-03,8142,2026,2032,913,20,212,0,2047,280,431,39,181,830,69,57,59,139,5,0
2010-03-04,7908,1817,1501,1087,7,386,0,1414,426,434,41,143,282,74,60,80,129,5,0
2010-03-05,4331,1470,1443,942,9,463,0,220,352,519,91,262,104,69,60,12,23,9,0
2010-03-06,6647,3559,1786,1045,769,148,0,288,333,371,173,70,536,41,54,8,32,0,0
2010-03-07,6070,6311,3413,955,900,787,0,241,390,399,77,79,279,61,52,6,54,2,0
2010-03-08,9845,11202,1400,973,1911,595,0,262,270,423,67,190,97,18,63,17,46,3,0
2010-03-09,11494,11416,1827,1000,1611,459,0,299,280,379,61,299,96,56,68,50,53,3,0
2010-03-10,6786,4827,1384,1059,33,419,0,258,332,409,34,152,65,58,69,82,29,3,0
2010-03-11,4917,5134,2718,814,62,262,0,195,339,569,27,125,156,35,63,117,27,9,0
2010-03-12,6505,3332,4440,857,1478,670,0,151,235,398,21,174,269,30,61,49,20,3,0
2010-03-13,7335,628,1302,448,874,171,0,80,181,414,16,189,1454,7,55,28,15,0,0
2010-03-14,19734,1554,1174,452,840,254,0,74,267,389,38,55,605,47,51,70,14,0,0
2010-03-15,26162,3818,1668,955,1266,258,0,194,221,355,24,53,351,113,63,40,16,1,0
2010-03-16,14882,2689,1306,418,1787,342,0,183,355,652,91,151,611,52,53,28,80,4,0
2010-03-17,5643,2978,382,1182,101,236,0,285,327,545,79,171,601,3,41,2,120,6,0
2010-03-18,20887,6234,1546,1212,791,276,0,229,329,1904,63,146,119,85,63,6,30,8,0
2010-03-19,16121,7380,1161,1034,2133,436,0,275,303,784,72,103,75,74,59,7,18,7,0
