title
"Number of Jobs Running: by Resource"
parameters

start,end
2013-08-01,2014-01-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Running","[NICS KRAKEN] Number of Jobs Running","[SDSC GORDON] Number of Jobs Running","[TACC LONESTAR4] Number of Jobs Running","[SDSC TRESTLES] Number of Jobs Running","[GATECH KEENELAND] Number of Jobs Running","[PSC BLACKLIGHT] Number of Jobs Running","[TACC LONGHORN] Number of Jobs Running","[GATECH KIDS] Number of Jobs Running","[PURDUE CONDOR] Number of Jobs Running","[PURDUE STEELE] Number of Jobs Running","[NICS NAUTILUS] Number of Jobs Running"
2013-08-01,18076,1861,2251,286,1578,175,221,20,0,84,2477,65
2013-08-02,15080,2209,2282,452,847,218,503,12,0,80,1366,19
2013-08-03,16274,1876,2323,393,544,189,257,23,0,60,101,10
2013-08-04,14084,1662,1290,299,539,177,147,7,0,40,77,12
2013-08-05,8165,2187,1498,379,887,693,330,3,0,253,136,21
2013-08-06,1293,2418,2499,544,1503,282,266,31,0,127,39,13
2013-08-07,4875,2850,2113,629,3212,220,195,145,0,185,36,15
2013-08-08,3586,394,1664,556,1374,130,427,363,0,196,44,30
2013-08-09,4251,1874,2249,621,1214,105,506,85,0,983,36,29
2013-08-10,3177,2987,2407,422,392,87,447,179,0,465,30,19
2013-08-11,4039,3389,1865,341,394,79,415,245,0,175,29,1
2013-08-12,5052,2509,2412,486,1323,461,213,465,1,90,13,37
2013-08-13,1106,2246,1171,127,1780,301,243,48,515,75,10,22
2013-08-14,12553,1866,712,426,1179,223,152,267,146,382,9,21
2013-08-15,15119,2687,1072,610,1522,88,213,137,14,9,5,14
2013-08-16,12284,3216,1714,737,1893,155,237,138,18,22,5,20
2013-08-17,18496,2607,1483,512,2491,268,47,140,10,0,5,4
2013-08-18,23220,3070,2205,600,1304,376,165,314,0,38,4,8
2013-08-19,18935,4252,112,791,1629,317,783,270,14,319,53,34
2013-08-20,20179,5664,1,720,1511,198,508,28,28,72,4,28
2013-08-21,13815,8103,170,936,1332,235,620,261,36,332,4,32
2013-08-22,3221,2228,1198,988,1862,316,581,28,21,240,3,33
2013-08-23,8854,4730,2037,622,1013,195,291,194,18,558,0,45
2013-08-24,9864,2986,1516,509,611,96,551,282,1,121,0,17
2013-08-25,10024,2283,1640,524,686,127,405,317,0,120,0,35
2013-08-26,9579,2710,970,714,1067,279,21,45,9,336,0,24
2013-08-27,6132,3726,1599,660,1133,309,162,214,6,50,0,25
2013-08-28,4920,3290,3424,512,1118,437,185,141,9,73,0,60
2013-08-29,3694,2483,2802,570,908,425,282,41,2,0,0,91
2013-08-30,3656,3734,2271,601,1161,403,165,193,1,48,0,134
2013-08-31,3316,1217,1445,777,562,141,29,29,0,0,0,151
2013-09-01,3626,1394,1761,421,508,269,16,114,0,9,0,278
2013-09-02,4106,2795,2096,513,636,83,123,16,0,33,0,215
2013-09-03,5515,3068,1828,752,2489,120,178,26,6,24,0,141
2013-09-04,4820,1945,1143,1060,1004,171,215,33,21,1,0,28
2013-09-05,4249,2443,620,5474,390,460,239,14,0,11,0,135
2013-09-06,3685,2678,1420,2847,1651,179,441,13,0,47,0,151
2013-09-07,2577,2632,1657,1372,811,147,190,22,0,14,0,171
2013-09-08,4143,2756,1475,1349,854,147,194,11,0,0,0,15
2013-09-09,4513,3039,2421,2436,916,107,174,13,0,32,0,22
2013-09-10,1367,2534,1650,1814,1207,110,156,31,23,4,0,8
2013-09-11,2172,2288,1776,1838,1552,239,177,77,14,1,0,18
2013-09-12,3659,2969,1340,2487,1580,289,148,172,6,111,0,64
2013-09-13,3907,2964,1552,2489,1435,236,174,153,10,12,0,44
2013-09-14,4045,3941,1290,1042,1356,184,166,415,0,4,0,35
2013-09-15,4067,3455,1255,7306,2680,72,93,281,0,1,0,16
2013-09-16,6059,6572,1449,693,1351,176,128,63,12,7,0,11
2013-09-17,4542,3296,1305,499,1618,339,145,21,6,5,0,20
2013-09-18,5013,2162,1106,515,2062,184,157,35,18,0,0,25
2013-09-19,5538,2284,1087,638,1369,216,218,17,16,0,0,2
2013-09-20,4458,2218,736,761,1339,260,191,33,2,89,0,20
2013-09-21,5282,2810,593,1001,1867,266,177,14,9,12,0,4
2013-09-22,3658,2199,899,745,2946,151,138,23,5,2,0,3
2013-09-23,5411,3332,1219,814,2829,309,212,26,11,10,0,9
2013-09-24,5133,1272,695,480,1262,115,149,39,3,10,0,7
2013-09-25,4283,778,1083,728,1310,269,164,49,4,0,0,28
2013-09-26,5408,1357,1335,606,1517,263,128,47,2,18,0,24
2013-09-27,4263,1998,1430,624,1366,127,173,47,0,47,0,15
2013-09-28,4246,2233,1255,478,1251,187,177,50,0,7,0,15
2013-09-29,3917,2229,1512,471,770,183,137,24,0,0,0,20
2013-09-30,3569,2334,1361,577,864,128,208,68,111,68,0,32
2013-10-01,4047,3282,2433,650,995,19,197,137,6,0,0,8
2013-10-02,3702,4366,1364,1384,1235,63,391,116,8,0,0,5
2013-10-03,4440,4487,1144,1907,1479,169,244,30,76,2,0,5
2013-10-04,3661,4796,862,1432,1742,423,228,58,92,2,0,9
2013-10-05,2759,6462,965,547,876,147,122,24,54,2,0,5
2013-10-06,2939,6664,1280,441,548,150,122,27,107,10,0,1
2013-10-07,4049,5103,1388,2290,1189,368,220,19,123,10,0,14
2013-10-08,3065,3755,1099,1117,1525,203,332,17,88,0,0,1
2013-10-09,4315,2972,1412,2731,1107,220,423,27,131,0,0,0
2013-10-10,4610,2704,1917,618,1414,403,264,16,172,0,0,0
2013-10-11,4821,3050,1444,671,1174,632,180,7,96,0,0,0
2013-10-12,5042,23,1855,617,576,33,102,21,0,0,0,0
2013-10-13,5139,1135,1179,477,671,132,66,5,3,0,0,0
2013-10-14,5051,3210,1442,584,1388,210,151,93,30,0,0,0
2013-10-15,2944,3836,1363,319,1335,267,307,12,24,0,0,0
2013-10-16,5499,3540,1109,669,1159,187,486,54,26,4,0,0
2013-10-17,4240,3956,1052,953,1132,128,247,60,43,2,0,0
2013-10-18,3435,5302,1241,779,922,101,305,27,75,0,0,0
2013-10-19,3959,3514,1185,744,644,93,267,32,34,0,0,0
2013-10-20,2564,3354,988,526,566,179,140,137,19,0,0,0
2013-10-21,4227,2737,1486,694,1139,196,99,119,6,0,0,0
2013-10-22,4000,2411,2129,1136,1457,68,102,33,20,0,0,4
2013-10-23,4927,3889,885,964,1164,310,177,12,23,1,0,0
2013-10-24,4189,4271,1008,1249,972,216,186,17,1,0,0,0
2013-10-25,4096,2170,2664,1145,1119,184,568,65,0,0,0,0
2013-10-26,2512,1115,1738,859,793,61,153,235,3,0,0,0
2013-10-27,2141,2443,630,2179,633,90,142,200,19,0,0,0
2013-10-28,4982,2263,796,2586,1345,196,457,120,29,0,0,0
2013-10-29,1194,1503,849,1069,1077,210,481,301,9,0,0,0
2013-10-30,4829,1562,769,1070,1310,304,488,584,13,0,0,0
2013-10-31,5224,3282,923,1739,1246,207,189,125,3,0,0,0
2013-11-01,4260,3350,1030,1828,995,117,196,527,3,0,0,0
2013-11-02,2772,3607,1742,1256,878,162,141,424,1,0,0,0
2013-11-03,2921,3184,880,1428,1868,152,492,3,1,0,0,0
2013-11-04,3860,2357,2475,1375,2110,486,111,8,0,0,0,0
2013-11-05,4285,970,1165,1247,2021,81,247,49,1,0,0,0
2013-11-06,3565,2645,919,1389,958,310,348,51,3,0,0,0
2013-11-07,3567,3675,1061,2058,1305,180,290,73,2,0,0,0
2013-11-08,4473,3379,692,1405,1250,479,276,25,4,0,0,0
2013-11-09,3506,4009,706,3863,636,194,66,150,4,0,0,0
2013-11-10,2668,3956,767,7221,863,132,168,248,5,0,0,5
2013-11-11,4596,3289,1735,2621,1253,687,374,104,3,0,0,2
2013-11-12,3729,2692,1640,941,807,307,309,36,6,7,0,0
2013-11-13,3693,3817,970,2563,1298,208,329,298,148,0,0,0
2013-11-14,5291,3737,1033,878,2390,253,309,252,104,0,0,0
2013-11-15,6879,3692,900,4683,1022,287,275,296,191,0,0,1
2013-11-16,3675,4125,956,2950,1284,261,183,142,4,0,0,0
2013-11-17,4284,3278,718,1785,922,297,104,53,7,0,0,0
2013-11-18,4140,3666,830,1093,940,389,238,26,247,0,0,0
2013-11-19,4093,4010,1938,985,791,50,173,37,141,0,0,6
2013-11-20,4363,3499,1719,613,2671,183,176,168,9,0,0,13
2013-11-21,21445,2322,2243,858,2190,360,170,414,3,1,0,0
2013-11-22,4454,4323,1287,659,814,276,235,215,5,0,0,0
2013-11-23,3846,2564,892,2393,560,141,130,169,3,0,0,0
2013-11-24,7047,4215,682,3286,739,90,110,132,20,0,0,0
2013-11-25,5004,3822,1269,2291,959,358,185,29,2,0,0,3
2013-11-26,4388,3243,1155,2035,1282,182,199,41,2,0,0,4
2013-11-27,3250,3329,1108,749,1688,368,115,94,148,0,0,0
2013-11-28,2648,2779,1079,671,892,163,84,306,1,0,0,0
2013-11-29,3124,2756,1260,598,647,163,28,285,1,0,0,0
2013-11-30,2426,3716,1401,790,447,163,15,283,2,0,0,0
2013-12-01,3456,2557,1348,873,644,417,222,104,46,0,0,0
2013-12-02,4616,2616,1870,1037,851,108,169,38,505,0,0,3
2013-12-03,4203,3996,1586,1144,707,51,241,27,1011,0,0,6
2013-12-04,4680,2245,1663,1481,649,230,277,90,496,0,0,6
2013-12-05,3848,1968,421,1780,603,363,290,15,4,0,0,5
2013-12-06,4912,2799,67,1081,137,328,261,24,598,0,0,5
2013-12-07,3099,2675,0,764,0,228,124,13,490,0,0,3
2013-12-08,16273,2693,0,900,0,281,125,154,354,0,0,3
2013-12-09,3469,2671,580,994,9,816,108,562,798,0,0,11
2013-12-10,1540,3073,998,1184,43,441,171,121,604,0,0,4
2013-12-11,4737,3591,874,1223,460,137,224,144,489,0,0,7
2013-12-12,4096,2461,928,832,506,231,176,166,51,0,0,7
2013-12-13,3039,2013,930,872,688,257,131,147,32,0,0,6
2013-12-14,3266,1378,716,701,550,166,122,9,20,0,0,6
2013-12-15,5686,2618,895,538,505,221,80,17,25,0,0,1
2013-12-16,4686,2466,1473,792,792,107,190,25,9,0,0,2
2013-12-17,2914,609,1311,909,872,20,178,48,0,0,0,0
2013-12-18,3758,2104,1075,1035,1061,60,119,279,50,0,0,2
2013-12-19,3671,1705,1426,923,1072,270,172,129,110,0,0,2
2013-12-20,3342,1632,1390,1173,1112,379,193,170,86,0,0,3
2013-12-21,1859,1562,458,553,454,137,209,154,67,0,0,6
2013-12-22,2184,2676,525,514,994,91,291,32,146,0,0,7
2013-12-23,3108,2657,889,535,1095,170,199,43,116,0,0,6
2013-12-24,3078,1665,1072,773,552,225,215,34,75,0,0,7
2013-12-25,3492,1608,889,521,432,163,135,35,41,0,0,6
2013-12-26,4137,1426,353,665,461,166,140,34,101,0,0,4
2013-12-27,3743,1169,430,1622,379,224,189,201,31,0,0,5
2013-12-28,2506,993,484,1728,302,211,171,476,11,0,0,4
2013-12-29,2353,885,1111,1531,374,216,129,105,9,0,0,4
2013-12-30,1860,761,2121,1511,423,183,144,521,14,0,0,5
2013-12-31,2532,808,410,1533,402,108,123,542,8,0,0,3
2014-01-01,4057,498,1031,1288,314,250,152,166,10,0,0,4
2014-01-02,25681,1045,1891,1236,480,129,216,16,65,0,0,3
2014-01-03,23965,1498,2105,1072,665,165,144,19,45,0,0,2
2014-01-04,19102,505,870,686,383,118,104,25,70,0,0,3
2014-01-05,39628,1155,1385,4021,441,58,147,9,122,0,0,2
2014-01-06,29065,1312,1084,3197,665,84,174,16,38,0,0,2
2014-01-07,7167,634,1510,709,509,221,259,22,30,0,0,5
2014-01-08,3685,1443,824,642,941,329,156,10,127,0,0,6
2014-01-09,10052,1483,2285,631,1900,568,225,51,169,0,0,4
2014-01-10,9114,1247,2243,517,1881,233,202,443,49,0,0,0
2014-01-11,9587,1050,993,261,942,186,132,218,65,0,0,0
2014-01-12,7833,980,1156,315,930,261,165,463,71,0,0,0
2014-01-13,6454,2045,2020,622,1231,238,154,88,67,0,0,0
2014-01-14,6715,2326,1792,646,1393,175,201,32,58,0,0,2
2014-01-15,8802,1513,2386,640,2020,515,185,61,158,0,0,2
2014-01-16,7225,1617,2511,433,2423,567,179,67,164,0,0,0
2014-01-17,11527,2450,970,488,1151,319,127,68,100,0,0,3
2014-01-18,17285,5358,1205,215,716,270,111,42,93,0,0,3
2014-01-19,13068,5348,996,226,810,391,133,44,64,0,0,1
2014-01-20,11214,3695,1117,496,887,359,195,28,114,0,0,0
2014-01-21,5012,2387,1450,737,1352,114,167,33,55,0,0,1
2014-01-22,8907,3474,934,541,1475,549,349,26,84,0,0,1
2014-01-23,10791,1209,1689,698,2546,664,174,23,49,0,0,3
2014-01-24,13422,4584,849,616,2141,538,144,71,40,0,0,0
2014-01-25,10270,6687,987,386,975,605,175,39,16,0,0,0
2014-01-26,6955,4815,1415,446,2549,553,161,19,22,0,0,0
2014-01-27,4217,4617,1936,600,1866,759,163,35,15,0,0,0
2014-01-28,3580,7294,1534,708,1051,190,239,38,97,0,0,2
2014-01-29,3829,6161,2039,921,1119,404,171,44,55,0,0,0
2014-01-30,4782,7266,1023,324,1178,919,151,47,53,0,0,0
2014-01-31,7767,3482,971,414,1169,769,150,69,39,0,0,0
---------
