title
"Number of Jobs Running: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[OSG] Number of Jobs Running","[TACC STAMPEDE] Number of Jobs Running","[SDSC GORDON] Number of Jobs Running","[SDSC TRESTLES] Number of Jobs Running","[NICS DARTER] Number of Jobs Running","[GATECH KEENELAND] Number of Jobs Running","[TACC MAVERICK2] Number of Jobs Running","[PSC BLACKLIGHT] Number of Jobs Running","[TACC LONESTAR4] Number of Jobs Running","[CCT LSU SUPERMIC] Number of Jobs Running","[NICS NAUTILUS] Number of Jobs Running","[GATECH KIDS] Number of Jobs Running"
2014-08-01,0,6162,2124,1069,2068,343,2105,19,111,0,20,57
2014-08-02,0,7917,953,1086,2243,935,2217,8,86,0,19,414
2014-08-03,0,5994,917,909,2021,557,197,11,236,0,18,26
2014-08-04,0,6322,1352,2321,2638,251,1501,683,238,0,30,13
2014-08-05,0,3283,1932,3105,897,27,247,176,352,0,1,18
2014-08-06,0,4316,2065,3464,516,372,2293,56,201,0,10,6
2014-08-07,0,3948,2379,1325,1819,385,1185,74,221,0,25,25
2014-08-08,0,5903,1612,1474,1764,355,119,106,162,0,9,79
2014-08-09,0,9439,1089,1103,1842,392,58,37,78,0,5,21
2014-08-10,0,7953,887,789,1582,925,867,757,86,0,13,13
2014-08-11,0,7603,1145,1143,1703,585,1521,969,120,0,30,4
2014-08-12,0,11381,1363,746,1243,436,1249,332,209,0,19,38
2014-08-13,0,7808,1623,858,245,720,169,602,358,0,9,121
2014-08-14,0,6340,1580,807,103,515,138,907,153,0,9,26
2014-08-15,0,5187,2069,822,200,523,171,334,299,0,3,88
2014-08-16,0,6264,1665,610,54,473,73,856,105,0,7,6
2014-08-17,0,6511,1277,754,81,427,66,280,78,0,9,5
2014-08-18,0,6869,1290,922,1074,396,264,149,307,0,13,4
2014-08-19,0,6198,1351,1087,1599,217,228,129,484,0,12,19
2014-08-20,0,4813,1802,1144,1560,523,144,102,522,0,16,0
2014-08-21,0,4607,1202,845,2116,447,186,79,270,0,10,13
2014-08-22,0,3745,1342,886,1991,407,299,108,255,0,16,1
2014-08-23,0,7708,1303,594,1971,369,244,107,269,0,6,11
2014-08-24,0,7086,965,477,1553,364,349,89,240,0,5,8
2014-08-25,0,6726,1344,627,1089,403,174,152,208,0,5,8
2014-08-26,0,7993,1675,857,65,869,112,139,157,0,5,7
2014-08-27,0,7619,1458,913,1100,331,151,203,222,0,3,3
2014-08-28,0,5872,2066,792,1045,430,1452,155,179,0,4,2
2014-08-29,0,4682,1526,619,1053,535,3022,132,139,0,14,0
2014-08-30,0,5931,1180,928,1725,215,4178,98,163,0,27,0
2014-08-31,0,7660,1081,483,122,29,2253,100,155,0,32,0
2014-09-01,0,7404,1554,717,1303,43,121,116,153,0,6,0
2014-09-02,0,4634,1244,890,1887,22,95,128,124,0,5,0
2014-09-03,0,7277,1580,1075,44,219,150,171,156,0,5,0
2014-09-04,0,6661,1239,1053,1316,567,133,171,213,0,9,0
2014-09-05,0,5875,1014,873,651,337,121,178,230,0,4,0
2014-09-06,0,4569,930,748,55,105,118,106,167,0,6,0
2014-09-07,0,5979,1069,799,83,24,101,131,72,0,4,0
2014-09-08,0,4031,932,1071,1156,36,109,125,275,0,3,0
2014-09-09,0,2038,819,1003,1266,33,1074,171,333,0,5,0
2014-09-10,0,5341,947,982,1046,75,1267,201,271,0,6,0
2014-09-11,0,5515,752,1096,1493,223,889,214,355,0,4,0
2014-09-12,0,6413,692,1175,577,737,485,121,455,0,6,0
2014-09-13,0,5149,773,918,76,88,207,138,393,0,6,0
2014-09-14,0,3670,929,518,109,60,91,114,411,0,5,0
2014-09-15,0,5261,1142,392,992,165,465,182,425,0,4,0
2014-09-16,0,3693,755,828,1519,447,528,155,854,0,6,0
2014-09-17,0,3730,955,2128,640,508,6,132,1102,0,4,0
2014-09-18,0,4466,1035,794,878,523,80,141,582,0,5,0
2014-09-19,0,5609,913,955,1346,385,134,260,359,0,9,0
2014-09-20,0,4754,1018,522,144,281,86,155,131,0,7,0
2014-09-21,0,5381,928,870,92,277,20,158,147,0,4,0
2014-09-22,0,5625,1166,958,506,289,57,191,570,0,5,0
2014-09-23,0,5451,967,876,1185,262,29,158,265,0,3,0
2014-09-24,0,3388,979,716,311,301,11,165,276,0,1,0
2014-09-25,0,4755,870,906,606,192,144,166,360,0,4,0
2014-09-26,0,4744,1057,942,666,127,21,147,169,0,4,0
2014-09-27,0,4928,728,461,703,72,22,83,50,0,3,0
2014-09-28,0,4877,915,785,1291,67,29,377,159,0,4,0
