Day,[TACC STAMPEDE] Number of Jobs Running,[PURDUE STEELE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[GATECH KIDS] Number of Jobs Running
2013-02-01,6397,5781,3582,5076,606,1114,582,177,116,14,33,1226,0
2013-02-02,7676,4832,2297,7960,441,2740,349,123,90,4,58,1113,0
2013-02-03,9028,2344,2474,40,436,503,561,103,63,8,39,792,0
2013-02-04,10563,6719,2787,10394,1077,2025,666,217,102,26,29,483,0
2013-02-05,9034,4452,2796,14167,1270,1433,634,194,90,23,41,142,0
2013-02-06,9340,5679,3302,10614,1334,1578,530,214,85,32,53,84,0
2013-02-07,10083,7240,2966,7780,756,1689,627,145,122,65,76,127,0
2013-02-08,10063,7331,2250,736,746,1296,608,193,103,47,58,8,0
2013-02-09,6469,7508,2873,20,521,1672,389,135,30,32,15,2,0
2013-02-10,5503,11391,2604,24,278,460,382,197,2,51,26,2,0
2013-02-11,4457,8085,3299,583,543,1489,662,207,59,44,51,1,0
2013-02-12,964,11243,1857,30,497,2589,654,229,104,42,37,0,0
2013-02-13,3099,12819,2736,1090,1236,2097,460,209,79,90,56,0,0
2013-02-14,5204,7387,694,38447,1482,2034,582,169,121,51,87,0,0
2013-02-15,10487,6942,1552,112,550,1950,528,238,102,38,110,0,0
2013-02-16,9332,20861,1726,87,501,1299,414,51,69,29,28,0,0
2013-02-17,14873,22123,1880,76,721,1004,330,183,69,53,30,0,0
2013-02-18,13084,13460,1767,501,702,1425,355,248,48,27,47,0,0
2013-02-19,14136,2882,1795,303,721,1359,737,301,75,46,102,0,0
2013-02-20,6368,7003,2138,570,1081,1278,719,372,56,59,56,0,0
2013-02-21,12150,9518,261,13618,780,1953,470,368,72,52,72,0,0
2013-02-22,4933,7637,1518,20357,747,1581,406,312,92,54,46,0,0
2013-02-23,3959,4938,1815,5500,445,1754,389,204,57,34,52,0,0
2013-02-24,8248,9950,1410,20,554,1288,499,316,71,19,25,0,0
2013-02-25,6416,7331,2229,6145,625,850,589,319,64,11,11,0,0
2013-02-26,1133,11617,2453,14014,1411,1094,167,324,57,22,119,0,0
2013-02-27,3103,10399,2388,186,639,1599,529,582,78,30,65,0,0
2013-02-28,3864,16997,3218,56,903,1977,542,820,85,27,80,0,0
2013-03-01,2086,11770,2696,188,986,1914,469,401,94,14,74,0,0
2013-03-02,1678,4110,1645,35,721,1542,473,305,57,20,68,0,0
2013-03-03,2273,11047,1585,34,807,1023,307,29,62,25,33,0,0
2013-03-04,4054,8798,3158,30,1118,904,604,238,61,27,60,0,0
2013-03-05,3057,5497,4337,32,926,757,687,471,96,19,41,0,0
2013-03-06,3416,9058,3663,37,1421,620,760,509,105,15,28,0,0
2013-03-07,5928,6402,4364,49,1091,853,870,593,85,38,51,0,0
2013-03-08,6851,3689,2371,1020,1258,907,726,230,98,15,55,0,0
2013-03-09,8565,2520,1498,29,606,552,845,121,76,27,11,0,0
2013-03-10,7860,5365,849,28,202,120,1049,142,17,35,3,0,0
2013-03-11,6743,9695,954,742,824,1103,1034,170,40,43,40,0,0
2013-03-12,4932,4766,2582,2633,871,744,1411,98,87,57,59,0,0
2013-03-13,3712,7917,2062,215,585,1477,867,167,97,45,39,0,0
2013-03-14,2931,6974,686,1011,704,2144,729,293,78,43,39,0,0
2013-03-15,2599,5732,2182,1025,535,1866,520,199,35,28,22,0,0
2013-03-16,1826,8317,1343,62,1096,989,353,178,42,25,36,0,0
2013-03-17,2197,9516,1163,13060,711,2830,357,210,85,27,83,0,0
2013-03-18,1727,6512,1648,10387,516,3411,557,236,41,31,49,0,0
2013-03-19,1192,7625,3109,690,1360,1491,634,261,2,24,0,0,0
2013-03-20,3307,11029,1368,2790,457,1980,855,287,0,22,0,0,0
2013-03-21,2853,8347,1824,6332,808,1814,624,300,0,24,0,0,0
2013-03-22,4392,8686,1689,968,1014,3968,428,215,0,27,0,0,0
2013-03-23,3144,6850,1069,1254,1367,2831,474,198,72,82,28,0,0
2013-03-24,2785,8206,1194,4485,1802,2695,438,196,71,84,40,0,0
2013-03-25,7016,8142,2042,331,1053,2229,1058,230,25,80,31,0,0
2013-03-26,2956,8681,1701,1532,1144,1500,424,324,51,68,45,0,0
2013-03-27,2883,7646,1031,711,751,1385,518,232,148,83,28,0,0
2013-03-28,3680,7694,1291,1714,1192,871,522,239,152,52,33,0,0
2013-03-29,2707,6724,1853,5352,1665,768,1550,216,85,35,57,0,0
2013-03-30,2036,7964,2021,5588,1763,1593,774,176,340,33,52,0,0
2013-03-31,6337,8256,1860,209,523,605,539,153,186,30,18,0,0
2013-04-01,5573,7274,2043,1121,1462,1113,506,182,186,62,3,0,0
2013-04-02,2128,5050,2297,9570,1441,1105,772,513,128,76,32,0,0
2013-04-03,6088,5557,2654,6441,1244,1231,791,445,187,44,25,0,0
2013-04-04,6485,8966,2782,3349,1961,975,964,260,181,53,33,0,0
2013-04-05,11673,6345,1884,64,2478,2003,1019,194,173,84,10,0,0
2013-04-06,4659,9260,1757,6402,1963,716,470,164,138,54,26,0,0
2013-04-07,4494,5055,1873,57,1284,917,511,95,136,68,20,0,0
2013-04-08,5189,5048,2599,3237,1447,1288,980,140,147,47,68,0,0
2013-04-09,4706,3683,2282,10149,1750,1559,456,96,53,71,60,0,0
2013-04-10,5819,9583,2738,7360,1490,1310,859,304,84,87,55,0,0
2013-04-11,8199,7382,2715,4793,1370,2726,1242,323,94,76,61,0,0
2013-04-12,6258,6075,3068,6594,2906,3018,1387,129,97,67,36,0,0
2013-04-13,4742,5037,2779,10526,1416,2657,440,170,213,41,15,0,0
2013-04-14,3272,4869,2990,8237,882,4506,864,272,202,17,19,0,0
2013-04-15,3817,4845,3018,7437,1966,891,926,336,191,17,58,0,0
2013-04-16,1902,5419,2906,1001,2328,1104,722,489,134,19,64,0,0
2013-04-17,5463,5718,3329,7218,1422,2902,885,511,155,32,60,0,0
2013-04-18,6127,6971,2465,9845,1790,1900,1135,530,78,29,108,0,0
2013-04-19,5068,5213,2591,9609,1436,1261,1240,257,109,14,72,0,0
2013-04-20,4355,5737,2204,9298,1373,1960,1502,223,88,35,22,0,0
2013-04-21,4540,8982,1924,360,1008,978,1260,118,49,42,39,0,0
2013-04-22,5018,4549,3007,3448,1358,1535,1099,268,164,31,26,0,0
2013-04-23,3349,5115,3848,2156,835,1660,1210,437,107,34,53,0,0
2013-04-24,2969,3188,4310,9959,999,1546,815,405,248,27,42,0,0
